Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal ;Descripcio_dia_setmana;Dia_setmana;Descripcio_tipus_dia;Any;Mes_ any;Nom_mes;Dia_mes;Descripcio_torn;Hora_dia;Descripcio_causa_vianant;Desc_Tipus_vehicle_implicat;Descripcio_sexe;Edat;Descripcio_tipus_persona;Descripcio_situacio;Descripcio_victimitzacio;Coordenada_UTM_X;Coordenada_UTM_Y;Longitud;Latitud
2017S000001    ;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;187105;Madrazo;0063 0063;Diumenge;Dg;Laboral;2017;1;Gener;1;Nit;4;No és causa del  vianant;Turismo;Home;50;Conductor;Presentado;Ferit lleu;428887,27;4583659,1;214.816;41.399.482
2017S000002    ;2;Eixample;5;el Fort Pienc;197302;Marina;0120 0120;Diumenge;Dg;Laboral;2017;1;Gener;1;Nit;2;No és causa del  vianant;Motocicleta;Home;47;Conductor;Presentado;Ferit lleu;431987,02;4583282,61;2.185.284;41.396.355
2017S000004    ;2;Eixample;6;la Sagrada Família;89004;Consell de Cent;0531 0531;Diumenge;Dg;Laboral;2017;1;Gener;1;Matí;7;No és causa del  vianant;Motocicleta;Dona;27;Conductor;Presentado;Ferit lleu;431615,63;4583971,63;2.180.756;41.402.529
2017S000005    ;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;243206;Pamplona;0091 0091;Diumenge;Dg;Laboral;2017;1;Gener;1;Matí;7;No és causa del  vianant;Ciclomotor;Dona;40;Passatger;Desconegut;Ferit lleu;432466,78;4583327,27;2.191.008;41.396.801
2017S000005    ;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;243206;Pamplona;0091 0091;Diumenge;Dg;Laboral;2017;1;Gener;1;Matí;7;No és causa del  vianant;Ciclomotor;Home;37;Conductor;Presentado;Ferit lleu;432466,78;4583327,27;2.191.008;41.396.801
2017S000006    ;1;Ciutat Vella;1;el Raval;352100;Valldonzella;0004 0004;Diumenge;Dg;Laboral;2017;1;Gener;1;Matí;11;No és causa del  vianant;Bicicleta;Home;61;Vianant;Desconegut;Ferit lleu;430384,25;4582001,59;2.166.257;4.138.468
2017S000008    ;2;Eixample;7;la Dreta de l'Eixample;191204;Mallorca;0270 0270;Diumenge;Dg;Laboral;2017;1;Gener;1;Matí;10;No és causa del  vianant;Motocicleta;Dona;31;Passatger;Desconegut;Ferit lleu;430197,72;4583116,33;2.163.892;41.394.706
2017S000008    ;2;Eixample;7;la Dreta de l'Eixample;191204;Mallorca;0270 0270;Diumenge;Dg;Laboral;2017;1;Gener;1;Matí;10;No és causa del  vianant;Motocicleta;Home;35;Conductor;Presentado;Ferit lleu;430197,72;4583116,33;2.163.892;41.394.706
2017S000009    ;3;Sants-Montjuïc;18;Sants;270209;Puiggarí;0027 0027;Diumenge;Dg;Laboral;2017;1;Gener;1;Tarda;14;No és causa del  vianant;Ciclomotor;Dona;35;Conductor;Presentado;Ferit lleu;428117,94;4581559,38;2.139.199;413.805
2017S000010    ;9;Sant Andreu;62;el Congrés i els Indians;133300;Francesc Tàrrega;0002 0004;Diumenge;Dg;Laboral;2017;1;Gener;1;Matí;12;No és causa del  vianant;Autobús;Dona;91;Passatger;Desconegut;Ferit lleu;431588,98;4586110,37;2.180.191;41.421.792
2017S000011    ;10;Sant Martí;67;la Vila Olímpica del Poblenou;700662;Salvador Espriu;0073 0073;Diumenge;Dg;Laboral;2017;1;Gener;1;Tarda;15;No és causa del  vianant;Bicicleta;Home;29;Conductor;Presentado;Ferit lleu;433205,1;4582713,55;2.199.915;41.391.332
2017S000012    ;2;Eixample;5;el Fort Pienc;100800;Diputació;0468 0468;Diumenge;Dg;Laboral;2017;1;Gener;1;Matí;10;No és causa del  vianant;Ciclomotor;Dona;23;Passatger;Desconegut;Ferit lleu;431727,67;4583859,83;2.182.109;4.140.153
2017S000012    ;2;Eixample;5;el Fort Pienc;100800;Diputació;0468 0468;Diumenge;Dg;Laboral;2017;1;Gener;1;Matí;10;No és causa del  vianant;Ciclomotor;Home;26;Conductor;Presentado;Ferit lleu;431727,67;4583859,83;2.182.109;4.140.153
2017S000013    ;2;Eixample;7;la Dreta de l'Eixample;104505;Domingo;0003 0003;Diumenge;Dg;Laboral;2017;1;Gener;1;Tarda;15;Desobeir el senyal del semàfor;Turismo;Dona;57;Vianant;Desconegut;Ferit lleu;430079,43;4582893,47;2.162.507;41.392.688
2017S000014    ;3;Sants-Montjuïc;18;Sants;270209;Puiggarí;0027 0027;Diumenge;Dg;Laboral;2017;1;Gener;1;Tarda;16;No és causa del  vianant;Motocicleta;Home;50;Conductor;Presentado;Ferit lleu;428117,94;4581559,38;2.139.199;413.805
2017S000015    ;10;Sant Martí;73;la Verneda i la Pau;60807;Cantàbria;0038 0038;Diumenge;Dg;Laboral;2017;1;Gener;1;Tarda;17;No és causa del  vianant;Turismo;Home;18;Passatger;Desconegut;Ferit lleu;433317,96;4585942,04;2.200.899;41.420.424
2017S000015    ;10;Sant Martí;73;la Verneda i la Pau;60807;Cantàbria;0038 0038;Diumenge;Dg;Laboral;2017;1;Gener;1;Tarda;17;No és causa del  vianant;Turismo;Home;49;Conductor;Presentado;Ferit lleu;433317,96;4585942,04;2.200.899;41.420.424
2017S000016    ;2;Eixample;5;el Fort Pienc;9209;Alí Bei;0114 0118;Diumenge;Dg;Laboral;2017;1;Gener;1;Tarda;16;No és causa del  vianant;Autobús;Dona;77;Passatger;Desconegut;Ferit lleu;432000,64;4583338,75;2.185.433;4.139.686
