Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal ;Descripcio_dia_setmana;Dia_setmana;Descripcio_tipus_dia;Any;Mes_any;Nom_mes;Dia_mes;Hora_dia;Descripcio_torn;Descripcio_causa_vianant;Numero_morts;Numero_lesionats_lleus;Numero_lesionats_greus;Numero_victimes;Numero_vehicles_implicats;Coordenada_UTM_X;Coordenada_UTM_Y;Longitud;Latitud
2018S000150    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;701819;Número 3 Zona Franca / E Zona Franca              ;69-75     ;Dilluns;Dl;Laboral;2018;1;Gener;8;7;Matí;No és causa del  vianant;0;1;0;1;2;427265.97 ;4576644.81;2.129.612;41.336.163
2018S000761    ;3;Sants-Montjuïc;11;el Poble-sec;234001;Olímpic                                           ;5-jul;Diumenge;Dg;Laboral;2018;1;Gener;28;19;Tarda;No és causa del  vianant;0;0;0;0;2;429210.58 ;4579530.49;2.152.513;41.362.326
2018S005151    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;370531;A Zona Franca / Número 6 Zona Franca              ;;Dimecres;Dc;Laboral;2018;7;Juliol;4;13;Matí;No és causa del  vianant;0;1;0;1;2;427519.99 ;4575229.36;2.132.817;41.323.437
2018S000933    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;701819;Número 3 Zona Franca / E                          ;69-75     ;Diumenge;Dg;Laboral;2018;2;Febrer;4;7;Matí;No és causa del  vianant;0;2;0;2;1;427360.59 ;4576569.22;2.130.752;4.133.549
2018S006926    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;370203;Número 3 Zona Franca                              ;77-111    ;Divendres;Dv;Laboral;2018;9;Setembre;14;6;Matí;No és causa del  vianant;0;0;0;0;2;426842.33 ;4576816.19;2.124.529;41.337.668
2018S002192    ;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;207803;Méndez Núñez                                      ;13;Dilluns;Dl;Laboral;2018;3;Març;19;9;Matí;No és causa del  vianant;0;0;0;0;1;431337.81 ;4582559.03;2.177.601;41.389.788
2018S007095    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;370531;Número 6 Zona Franca / A Zona Franca              ;;Divendres;Dv;Laboral;2018;9;Setembre;21;6;Matí;No és causa del  vianant;0;1;0;1;2;427519.99 ;4575229.36;2.132.817;41.323.437
2018S008180    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;701305;Número 6 Zona Franca / A Zona Franca              ;;Divendres;Dv;Laboral;2018;10;Octubre;26;18;Tarda;No és causa del  vianant;0;1;0;1;2;427519.99 ;4575229.36;2.132.817;41.323.437
2018S009493    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;370531;Número 6 Zona Franca                              ;80;Dijous;Dj;Laboral;2018;12;Desembre;13;6;Matí;No és causa del  vianant;0;1;0;1;2;426726.56 ;4575244.14;2.123.335;41.323.498
2018S007094    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;370407;Número 5 Zona Franca                              ;2;Dijous;Dj;Laboral;2018;9;Setembre;20;23;Nit;No és causa del  vianant;0;1;1;2;2;427425.58 ;4575286.54;2.131.682;41.323.944
2018S007733    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;106861;Número 6 Zona Franca / E Zona Franca              ;;Dijous;Dj;Laboral;2018;10;Octubre;11;14;Tarda;No és causa del  vianant;0;1;0;1;2;426612.1  ;4575272.26;2.121.964;41.323.741
2018S002149    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;106861;Número 6 Zona Franca / E Zona Franca              ;;Dissabte;Ds;Laboral;2018;3;Març;17;8;Matí;No és causa del  vianant;0;2;0;2;3;426612.1  ;4575272.26;2.121.964;41.323.741
2018S003746    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;118940;Número 6 Zona Franca                              ;82;Dilluns;Dl;Laboral;2018;5;Maig;14;10;Matí;No és causa del  vianant;0;1;0;1;2;426516.95 ;4575335.01;212.082;41.324.298
2018S007607    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;118940;Número 6 Zona Franca / F Zona Franca              ;;Dilluns;Dl;Laboral;2018;10;Octubre;8;5;Nit;No és causa del  vianant;0;4;0;4;4;426402;4575355.97;2.119.444;41.324.476
2018S003621    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;701496;Número 6 Zona Franca                              ;81;Dijous;Dj;Laboral;2018;5;Maig;10;8;Matí;No és causa del  vianant;0;1;0;1;2;426311.93 ;4575363.16;2.118.367;41.324.533
