"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2018","141.01","140.40","141.29","139.39","1.83M","0.85%"
"Dec 28, 2018","139.82","141.01","141.80","138.81","2.02M","-0.42%"
"Dec 27, 2018","140.41","137.11","140.41","134.69","2.68M","1.01%"
"Dec 26, 2018","139.01","134.80","139.02","132.63","2.49M","3.99%"
"Dec 24, 2018","133.67","136.58","136.92","133.60","2.31M","-2.57%"
"Dec 21, 2018","137.20","141.02","144.85","136.93","6.24M","-4.39%"
"Dec 20, 2018","143.50","146.00","147.20","139.49","6.41M","-4.94%"
"Dec 19, 2018","150.96","152.29","156.21","149.58","3.26M","-0.78%"
"Dec 18, 2018","152.14","153.33","154.03","151.15","2.69M","0.31%"
"Dec 17, 2018","151.67","154.73","154.98","150.88","2.76M","-2.48%"
"Dec 14, 2018","155.53","158.33","158.64","155.12","2.34M","-2.95%"
"Dec 13, 2018","160.25","159.79","161.09","159.22","2.23M","1.03%"
"Dec 12, 2018","158.62","160.26","161.21","158.53","2.42M","0.20%"
"Dec 11, 2018","158.30","160.00","160.83","157.41","1.79M","0.37%"
"Dec 10, 2018","157.72","157.02","158.65","154.41","2.28M","0.17%"
"Dec 07, 2018","157.45","158.88","160.78","156.24","3.09M","-1.13%"
"Dec 06, 2018","159.25","160.71","161.74","156.64","6.01M","-3.02%"
"Dec 04, 2018","164.21","166.46","168.37","164.09","3.11M","-1.56%"
"Dec 03, 2018","166.82","165.97","167.07","164.68","2.32M","1.40%"
"Nov 30, 2018","164.52","161.77","164.54","160.98","5.83M","2.14%"
"Nov 29, 2018","161.07","162.21","162.46","160.81","2.41M","-0.70%"
"Nov 28, 2018","162.21","160.01","162.36","159.29","2.78M","1.95%"
"Nov 27, 2018","159.11","158.04","159.38","157.50","1.93M","0.45%"
"Nov 26, 2018","158.40","158.54","159.48","157.38","2.13M","0.94%"
"Nov 23, 2018","156.93","155.85","157.87","155.25","938.82K","-0.03%"
"Nov 21, 2018","156.98","160.00","160.00","156.74","2.53M","-1.21%"
"Nov 20, 2018","158.90","160.20","160.97","157.74","2.22M","-2.38%"
"Nov 19, 2018","162.77","164.50","165.94","162.11","2.19M","-1.35%"
"Nov 16, 2018","165.00","161.71","165.83","161.69","3.22M","1.54%"
"Nov 15, 2018","162.49","159.92","162.94","159.43","2.56M","1.37%"
"Nov 14, 2018","160.29","163.22","163.40","159.38","2.82M","-0.72%"
"Nov 13, 2018","161.45","162.67","163.84","160.93","1.49M","-0.61%"
"Nov 12, 2018","162.44","164.52","164.95","162.32","2.26M","-1.64%"
"Nov 09, 2018","165.15","164.03","165.65","163.14","1.88M","0.40%"
"Nov 08, 2018","164.50","162.87","164.54","162.87","1.29M","0.38%"
"Nov 07, 2018","163.87","160.00","163.99","159.99","2.28M","2.79%"
"Nov 06, 2018","159.42","158.96","159.97","158.70","1.36M","0.52%"
"Nov 05, 2018","158.60","157.63","158.96","156.73","1.71M","0.77%"
"Nov 02, 2018","157.39","158.94","160.67","155.99","2.00M","-0.75%"
