"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2018","65.52","65.44","66.08","64.75","7.63M","0.51%"
"Dec 28, 2018","65.19","65.80","66.24","64.85","7.63M","-0.08%"
"Dec 27, 2018","65.24","64.67","65.24","62.81","8.67M","-0.26%"
"Dec 26, 2018","65.41","63.03","65.41","62.06","9.48M","3.96%"
"Dec 24, 2018","62.92","63.54","64.44","62.81","6.31M","-1.22%"
"Dec 21, 2018","63.70","65.95","67.50","63.68","19.25M","-4.18%"
"Dec 20, 2018","66.48","68.10","68.64","65.89","12.92M","-3.08%"
"Dec 19, 2018","68.59","69.81","70.62","68.16","11.04M","-1.39%"
"Dec 18, 2018","69.56","71.37","71.41","68.72","9.71M","-1.60%"
"Dec 17, 2018","70.69","71.00","71.98","70.25","9.48M","-1.66%"
"Dec 14, 2018","71.88","72.74","73.44","71.61","10.62M","-2.03%"
"Dec 13, 2018","73.37","74.36","74.57","72.32","10.69M","-1.52%"
"Dec 12, 2018","74.50","74.40","75.67","74.13","10.14M","1.48%"
"Dec 11, 2018","73.41","74.74","75.41","72.61","10.49M","0.10%"
"Dec 10, 2018","73.34","74.11","74.22","71.51","10.80M","-1.01%"
"Dec 07, 2018","74.09","76.20","76.38","73.69","10.56M","-3.24%"
"Dec 06, 2018","76.57","77.90","78.06","73.89","15.68M","-2.97%"
"Dec 04, 2018","78.91","79.45","80.37","78.57","13.33M","-0.77%"
"Dec 03, 2018","79.52","80.20","80.67","79.16","16.49M","-0.85%"
"Nov 30, 2018","80.20","79.76","80.24","78.68","15.92M","0.25%"
"Nov 29, 2018","80.00","80.69","80.81","79.71","10.09M","-0.34%"
"Nov 28, 2018","80.27","80.62","81.65","79.78","19.88M","0.97%"
"Nov 27, 2018","79.50","77.99","79.58","77.05","11.91M","2.13%"
"Nov 26, 2018","77.84","76.55","78.91","76.50","14.72M","3.54%"
"Nov 23, 2018","75.18","74.79","75.87","74.34","2.44M","0.12%"
"Nov 21, 2018","75.09","76.14","76.55","74.96","6.89M","-0.57%"
"Nov 20, 2018","75.52","77.10","77.78","75.30","10.23M","-3.86%"
"Nov 19, 2018","78.55","79.47","80.07","77.98","6.16M","-0.98%"
"Nov 16, 2018","79.33","79.58","80.44","79.26","6.57M","-0.64%"
"Nov 15, 2018","79.84","79.38","80.27","77.85","6.86M","-0.10%"
"Nov 14, 2018","79.92","81.10","82.15","79.36","8.67M","-1.09%"
"Nov 13, 2018","80.80","80.96","81.56","80.13","6.66M","0.57%"
"Nov 12, 2018","80.34","79.83","81.09","79.45","5.68M","0.64%"
"Nov 09, 2018","79.83","80.13","80.46","79.14","5.76M","-0.27%"
"Nov 08, 2018","80.05","78.39","80.09","78.25","7.92M","1.62%"
"Nov 07, 2018","78.77","79.02","81.28","78.53","12.36M","1.12%"
"Nov 06, 2018","77.90","74.50","78.09","74.25","12.83M","5.71%"
"Nov 05, 2018","73.69","73.40","74.63","73.18","6.41M","0.82%"
"Nov 02, 2018","73.09","74.84","74.91","72.26","5.89M","-1.77%"
"Nov 01, 2018","74.41","72.74","74.48","72.61","6.42M","2.79%"
"Oct 31, 2018","72.39","72.78","73.35","71.46","7.67M","0.00%"
"Oct 30, 2018","72.39","71.03","72.47","70.33","7.21M","2.62%"
"Oct 29, 2018","70.54","71.16","71.52","69.48","6.26M","0.60%"
"Oct 26, 2018","70.12","70.00","70.80","69.17","8.54M","-0.78%"
"Oct 25, 2018","70.67","70.08","71.13","69.55","9.23M","1.23%"
"Oct 24, 2018","69.81","72.13","72.57","69.58","6.94M","-3.64%"
"Oct 23, 2018","72.45","71.27","72.91","70.45","5.86M","-0.54%"
"Oct 22, 2018","72.84","74.45","74.94","72.60","5.39M","-1.81%"
"Oct 19, 2018","74.18","74.39","75.62","73.95","7.27M","-0.47%"
"Oct 18, 2018","74.53","74.47","75.17","73.77","7.32M","0.23%"
"Oct 17, 2018","74.36","73.96","74.83","73.75","7.23M","0.87%"
"Oct 16, 2018","73.72","73.54","73.75","72.65","10.21M","0.90%"
"Oct 15, 2018","73.06","74.17","74.97","73.02","7.38M","-2.04%"
"Oct 12, 2018","74.58","74.51","74.97","73.27","9.48M","1.90%"
"Oct 11, 2018","73.19","76.69","77.07","72.60","17.09M","-7.26%"
"Oct 10, 2018","78.92","80.01","80.53","78.70","14.05M","-0.72%"
"Oct 09, 2018","79.49","79.76","79.89","78.81","3.70M","-0.39%"
"Oct 08, 2018","79.80","78.81","80.00","78.73","5.26M","1.44%"
"Oct 05, 2018","78.67","79.22","79.69","78.44","4.54M","-0.91%"
"Oct 04, 2018","79.39","79.57","79.97","78.97","6.58M","-0.64%"
"Oct 03, 2018","79.90","79.66","80.47","79.20","4.83M","0.83%"
"Oct 02, 2018","79.24","79.28","79.99","79.16","3.93M","-0.33%"
"Oct 01, 2018","79.50","79.05","80.56","78.95","6.45M","0.99%"
"Sep 28, 2018","78.72","78.39","79.09","78.26","6.32M","-0.05%"
"Sep 27, 2018","78.76","78.47","79.42","78.35","8.95M","0.42%"
"Sep 26, 2018","78.43","77.87","79.09","77.33","6.00M","1.06%"
"Sep 25, 2018","77.61","78.34","78.90","77.31","8.94M","-1.44%"
"Sep 24, 2018","78.74","79.22","79.37","78.12","7.13M","-1.07%"
"Sep 21, 2018","79.59","79.46","79.93","78.58","12.10M","0.25%"
"Sep 20, 2018","79.39","79.41","79.97","79.23","6.74M","0.54%"
"Sep 19, 2018","78.96","78.81","79.94","78.48","7.81M","0.45%"
"Sep 18, 2018","78.61","78.04","79.18","77.61","7.72M","0.65%"
"Sep 17, 2018","78.10","76.83","78.20","76.76","8.99M","1.55%"
"Sep 14, 2018","76.91","77.45","77.74","76.86","5.02M","-0.22%"
"Sep 13, 2018","77.08","77.97","78.50","76.89","6.85M","-0.31%"
"Sep 12, 2018","77.32","75.83","77.50","75.62","6.15M","2.10%"
"Sep 11, 2018","75.73","74.91","75.94","74.58","4.98M","0.12%"
"Sep 10, 2018","75.64","77.27","77.80","75.63","5.33M","-2.13%"
"Sep 07, 2018","77.29","75.89","77.42","75.83","9.98M","1.60%"
"Sep 06, 2018","76.07","75.01","76.31","74.09","9.47M","1.58%"
"Sep 05, 2018","74.89","73.89","75.22","72.82","14.73M","1.20%"
"Sep 04, 2018","74.00","74.98","75.01","73.36","9.71M","-1.65%"
"Aug 31, 2018","75.24","74.46","75.31","74.31","5.64M","0.95%"
"Aug 30, 2018","74.53","74.10","74.78","73.65","4.04M","0.11%"
"Aug 29, 2018","74.45","74.86","74.92","74.21","3.78M","-0.63%"
"Aug 28, 2018","74.92","75.00","75.03","73.90","5.54M","-0.05%"
"Aug 27, 2018","74.96","74.20","75.10","74.16","4.77M","1.19%"
"Aug 24, 2018","74.08","73.64","74.25","73.59","5.50M","0.60%"
"Aug 23, 2018","73.64","73.71","73.90","73.20","4.30M","-0.37%"
"Aug 22, 2018","73.91","73.50","74.54","73.14","5.26M","0.30%"
"Aug 21, 2018","73.69","74.30","74.60","73.31","5.07M","-1.25%"
"Aug 20, 2018","74.62","73.98","74.90","73.79","5.87M","1.28%"
"Aug 17, 2018","73.68","73.04","74.24","72.77","7.15M","0.66%"
"Aug 16, 2018","73.20","72.24","73.87","72.00","9.04M","2.18%"
"Aug 15, 2018","71.64","71.04","71.77","70.28","6.97M","0.36%"
"Aug 14, 2018","71.38","69.50","71.89","69.50","9.90M","2.71%"
"Aug 13, 2018","69.50","69.25","70.15","68.56","6.80M","0.65%"
"Aug 10, 2018","69.05","68.50","69.12","68.21","5.92M","0.70%"
"Aug 09, 2018","68.57","68.17","69.28","67.98","9.07M","0.59%"
"Aug 08, 2018","68.17","68.02","69.39","66.72","18.51M","4.16%"
"Aug 07, 2018","65.45","65.42","66.02","64.96","5.72M","0.63%"
"Aug 06, 2018","65.04","64.85","65.30","64.69","4.74M","0.23%"
"Aug 03, 2018","64.89","63.91","65.24","63.70","4.81M","1.74%"
"Aug 02, 2018","63.78","63.77","64.19","63.23","6.81M","-0.48%"
"Aug 01, 2018","64.09","65.00","65.49","63.72","9.57M","-1.19%"
"Jul 31, 2018","64.86","67.46","67.66","64.85","9.35M","-3.81%"
"Jul 30, 2018","67.43","66.65","67.59","66.60","4.67M","1.14%"
"Jul 27, 2018","66.67","65.96","67.05","65.93","4.55M","0.50%"
"Jul 26, 2018","66.34","66.24","66.73","66.16","4.58M","0.53%"
"Jul 25, 2018","65.99","65.30","66.00","65.14","4.57M","0.63%"
"Jul 24, 2018","65.58","65.81","66.21","65.31","6.76M","-1.15%"
"Jul 23, 2018","66.34","65.35","66.57","65.33","5.46M","1.65%"
"Jul 20, 2018","65.26","65.75","65.98","65.06","6.34M","-1.33%"
"Jul 19, 2018","66.14","67.56","67.75","64.76","9.62M","-2.59%"
"Jul 18, 2018","67.90","67.85","68.36","67.56","5.13M","-0.06%"
"Jul 17, 2018","67.94","68.24","68.30","67.36","5.31M","-0.44%"
"Jul 16, 2018","68.24","68.67","68.78","68.11","4.59M","-0.57%"
"Jul 13, 2018","68.63","67.99","69.55","67.99","5.59M","0.94%"
"Jul 12, 2018","67.99","67.94","70.34","67.17","14.05M","1.03%"
"Jul 11, 2018","67.30","67.94","67.94","66.81","5.93M","-1.38%"
"Jul 10, 2018","68.24","68.40","68.77","67.71","6.33M","0.89%"
"Jul 09, 2018","67.64","67.42","68.69","67.16","8.03M","1.74%"
"Jul 06, 2018","66.48","64.96","66.73","64.68","7.11M","2.14%"
"Jul 05, 2018","65.09","65.10","65.39","64.44","6.68M","0.91%"
"Jul 03, 2018","64.50","65.40","65.40","64.28","3.24M","-1.03%"
"Jul 02, 2018","65.17","63.94","65.29","63.71","7.45M","1.27%"
"Jun 29, 2018","64.35","65.88","65.99","64.34","10.76M","-2.17%"
"Jun 28, 2018","65.78","64.19","66.33","63.04","26.16M","-6.10%"
"Jun 27, 2018","70.05","69.77","70.42","69.24","6.38M","0.34%"
"Jun 26, 2018","69.81","71.50","71.75","69.52","6.58M","-2.27%"
"Jun 25, 2018","71.43","71.69","72.22","70.40","6.74M","-1.04%"
"Jun 22, 2018","72.18","71.59","72.63","71.04","9.11M","1.55%"
"Jun 21, 2018","71.08","71.93","72.92","70.81","6.16M","-0.73%"
"Jun 20, 2018","71.60","70.60","72.13","69.79","9.28M","1.17%"
"Jun 19, 2018","70.77","67.72","71.33","67.50","11.02M","4.47%"
"Jun 18, 2018","67.74","69.28","69.48","67.63","7.48M","-3.35%"
"Jun 15, 2018","70.09","68.94","70.25","68.84","13.03M","1.40%"
"Jun 14, 2018","69.12","68.70","69.48","68.10","8.63M","1.04%"
"Jun 13, 2018","68.41","68.00","69.63","67.29","13.83M","3.10%"
"Jun 12, 2018","66.35","67.12","67.34","65.45","9.91M","-0.88%"
"Jun 11, 2018","66.94","66.10","67.73","65.79","8.26M","1.38%"
"Jun 08, 2018","66.03","65.27","66.07","65.01","5.47M","1.55%"
"Jun 07, 2018","65.02","65.12","65.65","64.65","5.81M","-0.09%"
"Jun 06, 2018","65.08","63.67","65.11","63.35","6.53M","2.76%"
"Jun 05, 2018","63.33","63.92","64.32","62.66","8.01M","-1.20%"
"Jun 04, 2018","64.10","64.08","64.53","63.64","11.42M","0.05%"
"Jun 01, 2018","64.07","63.85","64.21","63.44","5.50M","1.07%"
"May 31, 2018","63.39","65.84","65.86","63.36","13.40M","-3.94%"
"May 30, 2018","65.99","65.06","66.03","64.76","6.52M","1.84%"
"May 29, 2018","64.80","65.45","65.98","64.60","8.25M","-1.86%"
"May 25, 2018","66.03","65.12","66.53","64.94","5.56M","1.40%"
"May 24, 2018","65.12","65.53","65.65","64.34","4.71M","-0.69%"
"May 23, 2018","65.57","65.38","65.82","64.86","5.97M","-0.08%"
"May 22, 2018","65.62","65.69","66.59","65.42","4.18M","0.18%"
"May 21, 2018","65.50","65.10","65.67","64.74","4.96M","0.89%"
"May 18, 2018","64.92","65.98","66.09","64.59","4.73M","-1.28%"
"May 17, 2018","65.76","66.06","66.30","65.52","6.61M","-0.56%"
"May 16, 2018","66.13","66.10","66.45","65.59","5.97M","0.44%"
"May 15, 2018","65.84","66.48","66.82","65.48","6.51M","-1.47%"
"May 14, 2018","66.82","64.61","67.07","64.58","12.42M","3.74%"
"May 11, 2018","64.41","62.71","65.61","60.90","15.34M","3.16%"
"May 10, 2018","62.44","61.70","63.62","61.56","10.12M","2.01%"
"May 09, 2018","61.21","60.89","62.36","60.65","9.06M","0.82%"
"May 08, 2018","60.71","62.00","62.00","60.32","10.41M","-1.68%"
"May 07, 2018","61.75","63.12","63.25","61.39","11.94M","-2.14%"
"May 04, 2018","63.10","62.04","63.39","61.31","12.25M","1.33%"
"May 03, 2018","62.27","65.78","65.83","62.25","17.12M","-5.57%"
