date,Kanye West
2017-07-02,10
2017-07-09,7
2017-07-16,7
2017-07-23,7
2017-07-30,6
2017-08-06,6
2017-08-13,6
2017-08-20,8
2017-08-27,8
2017-09-03,7
2017-09-10,6
2017-09-17,9
2017-09-24,10
2017-10-01,7
2017-10-08,8
2017-10-15,8
2017-10-22,8
2017-10-29,8
2017-11-05,9
2017-11-12,9
2017-11-19,9
2017-11-26,8
2017-12-03,8
2017-12-10,6
2017-12-17,7
2017-12-24,7
2017-12-31,7
2018-01-07,7
2018-01-14,16
2018-01-21,10
2018-01-28,8
2018-02-04,9
2018-02-11,8
2018-02-18,7
2018-02-25,7
2018-03-04,6
2018-03-11,7
2018-03-18,7
2018-03-25,7
2018-04-01,7
2018-04-08,7
2018-04-15,11
2018-04-22,59
2018-04-29,77
2018-05-06,26
2018-05-13,12
2018-05-20,12
2018-05-27,40
2018-06-03,33
2018-06-10,19
2018-06-17,13
2018-06-24,11
2018-07-01,10
2018-07-08,9
2018-07-15,8
2018-07-22,8
2018-07-29,9
2018-08-05,12
2018-08-12,12
2018-08-19,9
2018-08-26,9
2018-09-02,13
2018-09-09,15
2018-09-16,16
2018-09-23,16
2018-09-30,44
2018-10-07,47
2018-10-14,29
2018-10-21,12
2018-10-28,16
2018-11-04,9
2018-11-11,8
2018-11-18,7
2018-11-25,8
2018-12-02,7
2018-12-09,18
2018-12-16,12
2018-12-23,8
2018-12-30,11
2019-01-06,7
2019-01-13,7
2019-01-20,7
2019-01-27,6
2019-02-03,6
2019-02-10,7
2019-02-17,7
2019-02-24,7
2019-03-03,7
2019-03-10,6
2019-03-17,6
2019-03-24,6
2019-03-31,7
2019-04-07,7
2019-04-14,7
2019-04-21,11
2019-04-28,6
2019-05-05,10
2019-05-12,10
2019-05-19,7
2019-05-26,7
2019-06-02,8
2019-06-09,7
2019-06-16,6
2019-06-23,6
2019-06-30,7
2019-07-07,6
2019-07-14,6
2019-07-21,5
2019-07-28,5
2019-08-04,5
2019-08-11,5
2019-08-18,6
2019-08-25,6
2019-09-01,7
2019-09-08,8
2019-09-15,8
2019-09-22,12
2019-09-29,17
2019-10-06,8
2019-10-13,8
2019-10-20,25
2019-10-27,31
2019-11-03,19
2019-11-10,14
2019-11-17,17
2019-11-24,10
2019-12-01,8
2019-12-08,10
2019-12-15,9
2019-12-22,9
2019-12-29,7
2020-01-05,6
2020-01-12,6
2020-01-19,6
2020-01-26,7
2020-02-02,7
2020-02-09,6
2020-02-16,6
2020-02-23,6
2020-03-01,5
2020-03-08,4
2020-03-15,6
2020-03-22,8
2020-03-29,5
2020-04-05,5
2020-04-12,6
2020-04-19,9
2020-04-26,8
2020-05-03,6
2020-05-10,6
2020-05-17,5
2020-05-24,6
2020-05-31,9
2020-06-07,8
2020-06-14,6
2020-06-21,7
2020-06-28,9
2020-07-05,82
2020-07-12,18
2020-07-19,100
