date,Michael Jordan
2019-07-28,10
2019-08-04,11
2019-08-11,11
2019-08-18,11
2019-08-25,10
2019-09-01,10
2019-09-08,12
2019-09-15,11
2019-09-22,10
2019-09-29,11
2019-10-06,12
2019-10-13,13
2019-10-20,16
2019-10-27,11
2019-11-03,11
2019-11-10,11
2019-11-17,13
2019-11-24,14
2019-12-01,12
2019-12-08,13
2019-12-15,14
2019-12-22,19
2019-12-29,16
2020-01-05,17
2020-01-12,14
2020-01-19,15
2020-01-26,66
2020-02-02,25
2020-02-09,21
2020-02-16,24
2020-02-23,51
2020-03-01,20
2020-03-08,18
2020-03-15,19
2020-03-22,16
2020-03-29,21
2020-04-05,18
2020-04-12,31
2020-04-19,100
2020-04-26,68
2020-05-03,77
2020-05-10,74
2020-05-17,90
2020-05-24,37
2020-05-31,30
2020-06-07,30
2020-06-14,21
2020-06-21,18
2020-06-28,16
2020-07-05,15
2020-07-12,14
2020-07-19,39
