date,Virgil Abloh
2018-03-04,5
2018-03-11,5
2018-03-18,6
2018-03-25,65
2018-04-01,9
2018-04-08,9
2018-04-15,11
2018-04-22,9
2018-04-29,22
2018-05-06,22
2018-05-13,9
2018-05-20,13
2018-05-27,14
2018-06-03,11
2018-06-10,9
2018-06-17,80
2018-06-24,18
2018-07-01,12
2018-07-08,8
2018-07-15,8
2018-07-22,8
2018-07-29,11
2018-08-05,11
2018-08-12,11
2018-08-19,15
2018-08-26,13
2018-09-02,11
2018-09-09,8
2018-09-16,8
2018-09-23,10
2018-09-30,13
2018-10-07,11
2018-10-14,11
2018-10-21,11
2018-10-28,9
2018-11-04,8
2018-11-11,14
2018-11-18,7
2018-11-25,9
2018-12-02,14
2018-12-09,11
2018-12-16,9
2018-12-23,8
2018-12-30,11
2019-01-06,12
2019-01-13,21
2019-01-20,13
2019-01-27,12
2019-02-03,11
2019-02-10,11
2019-02-17,10
2019-02-24,12
2019-03-03,10
2019-03-10,10
2019-03-17,9
2019-03-24,9
2019-03-31,8
2019-04-07,8
2019-04-14,10
2019-04-21,10
2019-04-28,14
2019-05-05,15
2019-05-12,10
2019-05-19,10
2019-05-26,14
2019-06-02,15
2019-06-09,19
2019-06-16,15
2019-06-23,13
2019-06-30,11
2019-07-07,12
2019-07-14,11
2019-07-21,9
2019-07-28,9
2019-08-04,9
2019-08-11,8
2019-08-18,9
2019-08-25,9
2019-09-01,7
2019-09-08,9
2019-09-15,8
2019-09-22,10
2019-09-29,10
2019-10-06,11
2019-10-13,8
2019-10-20,10
2019-10-27,25
2019-11-03,19
2019-11-10,11
2019-11-17,11
2019-11-24,18
2019-12-01,8
2019-12-08,9
2019-12-15,11
2019-12-22,10
2019-12-29,9
2020-01-05,11
2020-01-12,12
2020-01-19,12
2020-01-26,8
2020-02-02,11
2020-02-09,18
2020-02-16,13
2020-02-23,11
2020-03-01,14
2020-03-08,8
2020-03-15,8
2020-03-22,7
2020-03-29,9
2020-04-05,6
2020-04-12,9
2020-04-19,9
2020-04-26,8
2020-05-03,7
2020-05-10,8
2020-05-17,7
2020-05-24,7
2020-05-31,100
2020-06-07,14
2020-06-14,8
2020-06-21,9
2020-06-28,45
2020-07-05,14
2020-07-12,10
2020-07-19,24
