dates,prices
"July 27, 2020",145
"July 27, 2020",157
"July 27, 2020",1401
"July 27, 2020",1579
"July 27, 2020",1501
"July 27, 2020",1632
"July 27, 2020",992
"July 27, 2020",1525
"July 26, 2020",1565
"July 26, 2020",1571
"July 26, 2020",1459
"July 26, 2020",1694
"July 26, 2020",1446
"July 26, 2020",1574
"July 26, 2020",1598
"July 26, 2020",1673
"July 26, 2020",151
"July 26, 2020",15
"July 26, 2020",14
"July 26, 2020",159
"July 26, 2020",2332
"July 26, 2020",135
"July 25, 2020",158
"July 25, 2020",1691
"July 25, 2020",155
"July 25, 2020",16
"July 25, 2020",1375
"July 25, 2020",17
"July 25, 2020",1681
"July 25, 2020",1414
"July 25, 2020",184
"July 25, 2020",152
"July 24, 2020",139
"July 24, 2020",1675
"July 24, 2020",1535
"July 24, 2020",169
"July 24, 2020",1616
"July 24, 2020",1566
"July 24, 2020",158
"July 24, 2020",135
"July 24, 2020",1455
"July 24, 2020",15
"July 24, 2020",1325
"July 24, 2020",175
"July 24, 2020",850
"July 24, 2020",1572
"July 24, 2020",1521
"July 24, 2020",1635
"July 24, 2020",1738
"July 24, 2020",157
"July 24, 2020",1531
"July 24, 2020",1323
"July 24, 2020",1579
"July 24, 2020",1328
"July 24, 2020",15
"July 24, 2020",15
"July 24, 2020",169
"July 24, 2020",17
"July 24, 2020",167
"July 24, 2020",158
"July 24, 2020",1602
"July 23, 2020",1698
"July 23, 2020",145
"July 23, 2020",1698
"July 23, 2020",1544
"July 23, 2020",159
"July 23, 2020",15
"July 23, 2020",16
"July 23, 2020",1275
"July 23, 2020",14
"July 23, 2020",17
"July 23, 2020",1656
"July 23, 2020",1457
"July 23, 2020",169
"July 23, 2020",156
"July 23, 2020",158
"July 23, 2020",1549
"July 22, 2020",1178
"July 22, 2020",1559
"July 22, 2020",16
"July 22, 2020",1665
"July 22, 2020",1285
"July 22, 2020",1547
"July 22, 2020",125
"July 22, 2020",115
"July 22, 2020",16
"July 22, 2020",1616
"July 22, 2020",168
"July 22, 2020",14
"July 22, 2020",14
"July 22, 2020",145
"July 22, 2020",174
"July 22, 2020",165
"July 22, 2020",1575
"July 22, 2020",151
"July 22, 2020",175
"July 22, 2020",1456
"July 22, 2020",1696
"July 22, 2020",13
"July 22, 2020",155
"July 22, 2020",1206
"July 22, 2020",12
"July 22, 2020",176
"July 22, 2020",17
"July 22, 2020",1626
"July 21, 2020",1215
"July 21, 2020",1551
"July 21, 2020",154
"July 21, 2020",142
"July 21, 2020",14
"July 21, 2020",1431
"July 21, 2020",1613
"July 21, 2020",1565
"July 21, 2020",1585
"July 21, 2020",1561
"July 21, 2020",1555
"July 21, 2020",16
"July 21, 2020",1581
"July 21, 2020",16
"July 21, 2020",1595
"July 21, 2020",1753
"July 21, 2020",155
"July 21, 2020",1486
"July 21, 2020",143
"July 21, 2020",154
"July 21, 2020",13
"July 21, 2020",15
"July 21, 2020",14
"July 21, 2020",1633
"July 21, 2020",15
"July 21, 2020",1753
"July 21, 2020",155
"July 21, 2020",1486
"July 21, 2020",143
"July 21, 2020",154
"July 21, 2020",13
"July 21, 2020",15
"July 21, 2020",14
"July 21, 2020",1633
"July 21, 2020",15
"July 21, 2020",1451
"July 21, 2020",16
"July 21, 2020",175
"July 20, 2020",1547
"July 20, 2020",14
"July 20, 2020",1461
"July 20, 2020",153
"July 20, 2020",1501
"July 20, 2020",132
"July 20, 2020",1305
"July 20, 2020",1406
"July 20, 2020",1305
"July 20, 2020",1637
"July 20, 2020",1399
"July 20, 2020",1556
"July 20, 2020",950
"July 20, 2020",1559
"July 20, 2020",1697
"July 20, 2020",1635
"July 20, 2020",1579
"July 20, 2020",158
"July 20, 2020",1538
"July 20, 2020",1398
"July 20, 2020",158
"July 20, 2020",1435
"July 20, 2020",1749
"July 20, 2020",1635
"July 19, 2020",1633
"July 19, 2020",1408
"July 19, 2020",153
"July 19, 2020",1301
"July 19, 2020",1629
"July 19, 2020",1182
"July 19, 2020",1599
"July 19, 2020",1383
"July 19, 2020",161
"July 19, 2020",1372
"July 19, 2020",153
"July 19, 2020",1599
"July 18, 2020",1379
"July 19, 2020",1301
"July 19, 2020",1629
"July 19, 2020",1182
"July 19, 2020",1599
"July 19, 2020",1383
"July 19, 2020",161
"July 19, 2020",1372
"July 19, 2020",153
"July 19, 2020",1599
"July 18, 2020",1379
"July 18, 2020",16
"July 18, 2020",155
"July 18, 2020",17
"July 18, 2020",148
"July 18, 2020",156
"July 18, 2020",1698
"July 18, 2020",1696
"July 18, 2020",1553
"July 18, 2020",156
"July 18, 2020",138
"July 18, 2020",1699
"July 18, 2020",1225
"July 18, 2020",1555
"July 18, 2020",1188
"July 18, 2020",15
"July 18, 2020",1507
"July 18, 2020",1507
"July 18, 2020",1356
"July 17, 2020",1346
"July 17, 2020",1695
"July 17, 2020",1388
"July 17, 2020",1452
"July 17, 2020",162
"July 17, 2020",1547
"July 17, 2020",1698
"July 17, 2020",1667
"July 17, 2020",1655
"July 17, 2020",1581
"July 17, 2020",1585
