dates,prices
"July 24, 2020",141
"July 24, 2020",1799
"July 23, 2020",1714
"July 23, 2020",1653
"July 23, 2020",145
"July 23, 2020",1399
"July 22, 2020",17
"July 22, 2020",165
"July 21, 2020",1601
"July 21, 2020",1851
"July 21, 2020",15
"July 20, 2020",1701
"July 20, 2020",1719
"July 20, 2020",1637
"July 20, 2020",165
"July 20, 2020",1866
"July 20, 2020",1701
"July 19, 2020",167
"July 19, 2020",1495
"July 19, 2020",1
"July 19, 2020",2172
"July 19, 2020",165
"July 18, 2020",1301
"July 18, 2020",16
"July 17, 2020",1827
"July 17, 2020",1351
"July 17, 2020",125
"July 17, 2020",14
"July 16, 2020",1555
"July 16, 2020",1522
"July 19, 2020",2172
"July 19, 2020",165
"July 18, 2020",1301
"July 18, 2020",16
"July 17, 2020",1827
"July 17, 2020",1351
"July 17, 2020",125
"July 17, 2020",14
"July 16, 2020",1555
"July 16, 2020",1522
"July 15, 2020",145
"July 14, 2020",115
"July 14, 2020",151
"July 14, 2020",1599
"July 14, 2020",1742
"July 14, 2020",167
"July 13, 2020",1481
"July 13, 2020",1593
"July 11, 2020",1616
"July 11, 2020",1349
"July 11, 2020",13
"July 10, 2020",1475
"July 10, 2020",1267
"July 9, 2020",1719
"July 9, 2020",1772
"July 9, 2020",1729
"July 9, 2020",145
"July 8, 2020",14
"July 8, 2020",1378
"July 8, 2020",1607
"July 7, 2020",149
"July 6, 2020",1775
"July 6, 2020",18
"July 6, 2020",16
"July 4, 2020",1765
"July 4, 2020",1599
"July 4, 2020",129
"July 3, 2020",1641
"July 3, 2020",1609
"July 3, 2020",1805
"July 7, 2020",149
"July 6, 2020",1775
"July 6, 2020",18
"July 6, 2020",16
"July 4, 2020",1765
"July 4, 2020",1599
"July 4, 2020",129
"July 3, 2020",1641
"July 3, 2020",1609
"July 3, 2020",1805
"July 2, 2020",154
"July 1, 2020",145
"July 1, 2020",1965
"July 1, 2020",1649
"June 30, 2020",1697
"June 30, 2020",13
"June 29, 2020",14
"June 29, 2020",17
"June 29, 2020",15
"June 29, 2020",1636
"June 28, 2020",1601
"June 27, 2020",159
"June 26, 2020",126
"June 25, 2020",17
"June 25, 2020",1001
"June 25, 2020",1501
"June 25, 2020",1633
"June 24, 2020",1501
"June 23, 2020",16
"June 23, 2020",1742
"June 22, 2020",1799
"June 22, 2020",13
"June 22, 2020",1626
"June 21, 2020",1573
"June 21, 2020",1362
"June 21, 2020",147
"June 20, 2020",1526
"June 20, 2020",155
"June 19, 2020",1768
"June 18, 2020",1599
"June 18, 2020",1486
"June 18, 2020",16
"June 17, 2020",122
"June 17, 2020",1549
"June 17, 2020",15
"June 16, 2020",1501
"June 15, 2020",16
"June 15, 2020",1175
"June 15, 2020",1699
"June 14, 2020",1415
"June 14, 2020",1555
"June 14, 2020",1455
"June 14, 2020",1225
"June 13, 2020",13
"June 13, 2020",1849
"June 13, 2020",165
"June 13, 2020",11
"June 12, 2020",1335
"June 12, 2020",1601
"June 11, 2020",1005
"June 11, 2020",1765
"June 11, 2020",1776
"June 11, 2020",12
"June 11, 2020",1245
"June 10, 2020",12
"June 9, 2020",119
"June 9, 2020",16
"June 9, 2020",1639
"June 8, 2020",1575
"June 8, 2020",127
"June 8, 2020",124
"June 7, 2020",145
"June 7, 2020",14
"June 7, 2020",17
"June 6, 2020",1795
"June 6, 2020",163
"June 6, 2020",1649
"June 6, 2020",115
"June 5, 2020",1949
"June 5, 2020",185
"June 4, 2020",16
"June 4, 2020",15
"June 2, 2020",1602
"June 2, 2020",145
"June 2, 2020",1635
"June 2, 2020",142
"June 1, 2020",1599
"May 31, 2020",15
"May 31, 2020",17
"May 30, 2020",1999
"May 29, 2020",1601
"May 29, 2020",1435
"May 28, 2020",1435
"May 28, 2020",1601
"May 28, 2020",1895
"May 28, 2020",12
"May 27, 2020",1345
"May 27, 2020",1605
"May 26, 2020",15
"May 26, 2020",159
"May 25, 2020",16
"May 24, 2020",1795
"May 23, 2020",165
"May 23, 2020",1699
"May 23, 2020",1693
"May 23, 2020",145
"May 23, 2020",1377
"May 22, 2020",144
"May 22, 2020",1345
"May 22, 2020",175
"May 22, 2020",1943
"May 21, 2020",16
"May 21, 2020",184
"May 21, 2020",178
"May 21, 2020",1699
"May 20, 2020",132
"May 20, 2020",14
"May 20, 2020",1455
"May 19, 2020",1568
"May 19, 2020",1821
"May 19, 2020",997
"May 19, 2020",996
"May 18, 2020",1798
"May 18, 2020",1255
"May 18, 2020",179
"May 18, 2020",13
"May 18, 2020",16
"May 18, 2020",175
"May 18, 2020",12
"May 17, 2020",16
"May 17, 2020",1385
"May 17, 2020",2199
"May 16, 2020",1592
"May 16, 2020",114
"May 15, 2020",1936
"May 15, 2020",1537
"May 15, 2020",17
"May 15, 2020",162
"May 15, 2020",18
"May 15, 2020",1501
"May 15, 2020",1385
"May 14, 2020",15
"May 14, 2020",1777
"May 14, 2020",1175
"May 13, 2020",108
"May 13, 2020",1539
"May 12, 2020",1542
"May 12, 2020",14
"May 12, 2020",1255
"May 12, 2020",1395
"May 12, 2020",16
"May 12, 2020",1456
"May 11, 2020",1525
"May 10, 2020",1321
"May 10, 2020",165
"May 10, 2020",1555
"May 9, 2020",152
"May 9, 2020",1699
"May 9, 2020",114
"May 9, 2020",1295
"May 9, 2020",16
"May 8, 2020",999
"May 7, 2020",12
"May 7, 2020",126
"May 6, 2020",164
"May 6, 2020",11
"May 6, 2020",119
"May 5, 2020",13
"May 5, 2020",1352
"May 5, 2020",15
"May 5, 2020",14
"May 5, 2020",121
"May 5, 2020",986
"May 5, 2020",955
"May 4, 2020",1233
"May 4, 2020",13
"May 4, 2020",15
"May 4, 2020",1401
"May 4, 2020",1123
"May 4, 2020",1478
"May 4, 2020",12
"May 4, 2020",1365
"May 4, 2020",1295
"May 4, 2020",14
"May 4, 2020",135
"May 4, 2020",1364
"May 4, 2020",1099
"May 3, 2020",13
"April 30, 2020",1385
"April 30, 2020",1601
"April 30, 2020",1501
"April 30, 2020",951
"April 29, 2020",13
"April 29, 2020",1301
"April 29, 2020",1336
"April 29, 2020",15
"April 29, 2020",1075
"April 28, 2020",915
"April 28, 2020",13
"April 28, 2020",999
"April 28, 2020",1485
"April 28, 2020",13
"April 27, 2020",135
"April 27, 2020",119
"April 27, 2020",1274
"April 27, 2020",122
"April 27, 2020",915
"April 26, 2020",12
"April 25, 2020",13
"April 24, 2020",1233
"April 24, 2020",1299
"April 24, 2020",1186
"April 23, 2020",1072
"April 23, 2020",975
"April 22, 2020",129
"April 22, 2020",1097
"April 22, 2020",115
"April 22, 2020",12
"April 22, 2020",136
"April 21, 2020",677
"April 20, 2020",138
"April 20, 2020",13
"April 20, 2020",126
"April 20, 2020",1255
"April 20, 2020",115
"April 19, 2020",1
"April 18, 2020",1431
"April 18, 2020",1199
"April 17, 2020",1275
"April 16, 2020",1115
"April 16, 2020",1242
"April 16, 2020",1175
"April 16, 2020",849
"April 15, 2020",1419
"April 15, 2020",976
"April 14, 2020",1252
"April 14, 2020",998
"April 14, 2020",1183
"April 13, 2020",11
"April 13, 2020",134
"April 13, 2020",1151
"April 12, 2020",1299
"April 12, 2020",11
"April 11, 2020",12
"April 11, 2020",109
"April 11, 2020",767
"April 9, 2020",825
"April 8, 2020",1086
"April 7, 2020",900
"April 7, 2020",1057
"April 7, 2020",910
"April 5, 2020",975
"April 5, 2020",880
"April 4, 2020",860
"April 3, 2020",870
"April 3, 2020",796
"April 3, 2020",1098
"April 2, 2020",750
"April 2, 2020",547
"April 1, 2020",115
"March 31, 2020",725
"March 31, 2020",102
"March 30, 2020",1
"March 29, 2020",698
"March 29, 2020",710
"March 28, 2020",11
"March 28, 2020",990
"March 27, 2020",915
"March 27, 2020",906
"March 27, 2020",731
"March 26, 2020",900
"March 25, 2020",1639
"March 25, 2020",955
"March 24, 2020",11
"March 24, 2020",105
"March 24, 2020",940
"March 24, 2020",900
"March 23, 2020",1085
"March 22, 2020",900
"March 21, 2020",1099
"March 21, 2020",975
"March 21, 2020",851
"March 20, 2020",900
"March 19, 2020",985
"March 18, 2020",970
"March 18, 2020",700
"March 18, 2020",850
"March 18, 2020",1097
"March 17, 2020",1001
"March 17, 2020",105
"March 16, 2020",1
"March 16, 2020",850
"March 15, 2020",759
"March 15, 2020",799
"March 15, 2020",11
"March 15, 2020",850
"March 14, 2020",105
"March 13, 2020",783
"March 12, 2020",1197
"March 12, 2020",699
"March 11, 2020",840
"March 11, 2020",12
"March 11, 2020",984
"March 11, 2020",769
"March 11, 2020",560
"March 11, 2020",1196
"March 10, 2020",13
"March 10, 2020",820
"March 9, 2020",1
"March 9, 2020",1092
"March 9, 2020",800
"March 9, 2020",1137
"March 9, 2020",11
"March 8, 2020",790
"March 7, 2020",105
"March 7, 2020",1028
"March 6, 2020",706
"March 6, 2020",749
"March 6, 2020",949
"March 4, 2020",880
"March 2, 2020",689
"March 2, 2020",751
"March 2, 2020",975
"March 2, 2020",1
"March 2, 2020",711
"March 2, 2020",1001
"March 1, 2020",1528
"February 29, 2020",1095
"February 28, 2020",115
"February 28, 2020",105
"February 28, 2020",112
"February 28, 2020",770
"February 27, 2020",1085
"February 27, 2020",669
"February 27, 2020",1042
"February 27, 2020",1087
"February 26, 2020",763
"February 25, 2020",850
"February 25, 2020",950
"February 25, 2020",665
"February 25, 2020",775
"February 23, 2020",1225
"February 23, 2020",610
"February 21, 2020",115
"February 21, 2020",114
"February 21, 2020",780
"February 20, 2020",115
"February 20, 2020",950
"February 20, 2020",1
"February 20, 2020",968
"February 18, 2020",11
"February 18, 2020",710
"February 18, 2020",12
"February 17, 2020",900
"February 17, 2020",988
"February 16, 2020",1099
"February 15, 2020",690
"February 15, 2020",968
"February 15, 2020",746
"February 15, 2020",780
"February 14, 2020",11
"February 13, 2020",950
"February 12, 2020",950
"February 12, 2020",12
"February 11, 2020",750
"February 11, 2020",1
"February 11, 2020",1
"February 11, 2020",700
"February 9, 2020",975
"February 8, 2020",905
"February 7, 2020",742
"February 7, 2020",1044
"February 7, 2020",741
"February 7, 2020",949
"February 6, 2020",690
"February 4, 2020",1175
"February 4, 2020",899
"February 3, 2020",706
"February 2, 2020",880
"February 1, 2020",980
"February 1, 2020",115
"February 1, 2020",650
"February 1, 2020",850
"January 31, 2020",1376
"January 31, 2020",1025
"January 30, 2020",625
"January 30, 2020",125
"January 30, 2020",940
"January 29, 2020",623
"January 29, 2020",450
"January 28, 2020",580
"January 28, 2020",1175
"January 27, 2020",545
"January 24, 2020",625
"January 23, 2020",815
"January 22, 2020",666
"January 22, 2020",838
"January 20, 2020",620
"January 20, 2020",399
"January 20, 2020",660
"January 20, 2020",850
"January 20, 2020",677
"January 20, 2020",1096
"January 20, 2020",840
"January 19, 2020",690
"January 19, 2020",1245
"January 18, 2020",1113
"January 18, 2020",849
"January 16, 2020",1179
"January 15, 2020",1199
"January 15, 2020",11
"January 15, 2020",808
"January 15, 2020",800
"January 14, 2020",850
"January 13, 2020",1012
"January 13, 2020",620
"January 12, 2020",795
"January 11, 2020",765
"January 11, 2020",595
"January 11, 2020",1042
"January 10, 2020",625
"January 10, 2020",106
"January 9, 2020",1
"January 8, 2020",800
"January 8, 2020",607
"January 8, 2020",1076
"January 7, 2020",11
"January 7, 2020",932
"January 7, 2020",572
"January 7, 2020",797
"January 6, 2020",564
"January 6, 2020",799
"January 5, 2020",563
"January 5, 2020",930
"January 5, 2020",385
"January 5, 2020",970
"January 4, 2020",555
"January 4, 2020",799
"January 4, 2020",785
"January 3, 2020",990
"January 2, 2020",860
"January 2, 2020",797
"January 1, 2020",560
"December 31, 2019",892
"December 31, 2019",910
"December 31, 2019",700
"December 31, 2019",567
"December 31, 2019",650
"December 29, 2019",839
"December 29, 2019",1
"December 29, 2019",1265
"December 28, 2019",950
"December 28, 2019",788
"December 28, 2019",710
"December 28, 2019",1033
"December 27, 2019",744
"December 27, 2019",695
"December 26, 2019",699
"December 24, 2019",818
"December 24, 2019",1249
"December 24, 2019",801
"December 24, 2019",900
"December 23, 2019",955
"December 22, 2019",700
"December 20, 2019",910
"December 20, 2019",585
"December 19, 2019",779
"December 19, 2019",805
"December 19, 2019",705
"December 18, 2019",700
"December 18, 2019",682
"December 17, 2019",660
"December 16, 2019",801
"December 16, 2019",860
"December 15, 2019",748
"December 15, 2019",700
"December 14, 2019",510
"December 14, 2019",700
"December 13, 2019",694
"December 13, 2019",675
"December 13, 2019",800
"December 13, 2019",795
"December 13, 2019",500
"December 12, 2019",722
"December 12, 2019",750
"December 12, 2019",601
"December 11, 2019",670
"December 11, 2019",685
"December 11, 2019",743
"December 11, 2019",398
"December 10, 2019",105
"December 10, 2019",965
"December 10, 2019",970
"December 10, 2019",780
"December 9, 2019",675
"December 9, 2019",750
"December 9, 2019",1
"December 9, 2019",550
"December 8, 2019",727
"December 8, 2019",553
"December 6, 2019",1031
"December 6, 2019",699
"December 6, 2019",300
"December 6, 2019",1319
"December 6, 2019",800
"December 6, 2019",780
"December 6, 2019",800
"December 5, 2019",926
"December 5, 2019",875
"December 5, 2019",102
"December 5, 2019",720
"December 4, 2019",703
"December 4, 2019",680
"December 4, 2019",693
"December 4, 2019",600
"December 4, 2019",697
"December 3, 2019",695
"December 3, 2019",725
"December 3, 2019",730
"December 3, 2019",710
"December 3, 2019",850
"December 2, 2019",725
"December 2, 2019",701
"December 2, 2019",870
"December 2, 2019",855
"December 2, 2019",763
"December 2, 2019",780
"November 30, 2019",999
"November 30, 2019",675
"November 29, 2019",801
"November 29, 2019",800
"November 29, 2019",699
"November 28, 2019",820
"November 28, 2019",690
"November 27, 2019",1
"November 27, 2019",799
"November 27, 2019",779
"November 26, 2019",640
"November 26, 2019",680
"November 25, 2019",950
"November 25, 2019",734
"November 24, 2019",850
"November 24, 2019",720
"November 24, 2019",801
"November 23, 2019",685
"November 23, 2019",735
"November 22, 2019",802
"November 22, 2019",845
"November 22, 2019",780
"November 21, 2019",776
"November 21, 2019",715
"November 21, 2019",890
"November 21, 2019",680
"November 20, 2019",900
"November 20, 2019",900
"November 20, 2019",950
"November 20, 2019",1
"November 20, 2019",876
"November 19, 2019",680
"November 18, 2019",850
"November 18, 2019",640
"November 16, 2019",775
"November 15, 2019",760
"November 15, 2019",775
"November 14, 2019",900
"November 14, 2019",575
"November 14, 2019",735
"November 14, 2019",570
"November 14, 2019",799
"November 13, 2019",849
"November 13, 2019",768
"November 13, 2019",800
"November 12, 2019",830
"November 11, 2019",1015
"November 11, 2019",563
"November 11, 2019",990
"November 10, 2019",531
"November 10, 2019",880
"November 9, 2019",749
"November 8, 2019",665
"November 8, 2019",875
"November 8, 2019",12
"November 7, 2019",781
"November 7, 2019",948
"November 7, 2019",920
"November 7, 2019",753
"November 6, 2019",782
"November 6, 2019",850
"November 6, 2019",769
"November 6, 2019",780
"November 6, 2019",750
"November 5, 2019",775
"November 4, 2019",739
"November 4, 2019",300
"November 4, 2019",681
"November 3, 2019",800
"November 3, 2019",800
"November 2, 2019",775
"November 2, 2019",559
"November 1, 2019",726
"November 1, 2019",700
"November 1, 2019",615
"November 1, 2019",725
"October 31, 2019",690
"October 31, 2019",680
"October 31, 2019",505
"October 31, 2019",684
"October 30, 2019",928
"October 30, 2019",927
"October 30, 2019",995
"October 29, 2019",665
"October 27, 2019",798
"October 27, 2019",690
"October 26, 2019",750
"October 25, 2019",647
"October 25, 2019",545
"October 24, 2019",733
"October 24, 2019",760
"October 24, 2019",805
"October 23, 2019",756
"October 23, 2019",530
"October 23, 2019",850
"October 23, 2019",191
"October 23, 2019",606
"October 21, 2019",690
"October 21, 2019",227
"October 20, 2019",551
"October 18, 2019",642
"October 18, 2019",650
"October 18, 2019",651
"October 18, 2019",750
"October 17, 2019",505
"October 17, 2019",751
"October 17, 2019",730
"October 17, 2019",640
"October 17, 2019",530
"October 16, 2019",651
"October 15, 2019",700
"October 11, 2019",727
"October 11, 2019",105
"October 11, 2019",650
"October 11, 2019",800
"October 10, 2019",966
"October 10, 2019",790
"October 10, 2019",849
"October 9, 2019",420
"October 9, 2019",835
"October 9, 2019",759
"October 8, 2019",990
