,date,Michael Jordan
0,2019-07-29,10
1,2019-08-05,11
2,2019-08-12,11
3,2019-08-19,11
4,2019-08-26,10
5,2019-09-02,10
6,2019-09-09,12
7,2019-09-16,11
8,2019-09-23,10
9,2019-09-30,11
10,2019-10-07,12
11,2019-10-14,13
12,2019-10-21,16
13,2019-10-28,11
14,2019-11-04,11
15,2019-11-11,11
16,2019-11-18,13
17,2019-11-25,14
18,2019-12-02,12
19,2019-12-09,13
20,2019-12-16,14
21,2019-12-23,19
22,2019-12-30,16
23,2020-01-06,17
24,2020-01-13,14
25,2020-01-20,15
26,2020-01-27,66
27,2020-02-03,25
28,2020-02-10,21
29,2020-02-17,24
30,2020-02-24,51
31,2020-03-02,20
32,2020-03-09,18
33,2020-03-16,19
34,2020-03-23,16
35,2020-03-30,21
36,2020-04-06,18
37,2020-04-13,31
38,2020-04-20,100
39,2020-04-27,68
40,2020-05-04,77
41,2020-05-11,74
42,2020-05-18,90
43,2020-05-25,37
44,2020-06-01,30
45,2020-06-08,30
46,2020-06-15,21
47,2020-06-22,18
48,2020-06-29,16
49,2020-07-06,15
50,2020-07-13,14
51,2020-07-20,39
