,date,Virgil Abloh
0,2018-03-05,5
1,2018-03-12,5
2,2018-03-19,6
3,2018-03-26,65
4,2018-04-02,9
5,2018-04-09,9
6,2018-04-16,11
7,2018-04-23,9
8,2018-04-30,22
9,2018-05-07,22
10,2018-05-14,9
11,2018-05-21,13
12,2018-05-28,14
13,2018-06-04,11
14,2018-06-11,9
15,2018-06-18,80
16,2018-06-25,18
17,2018-07-02,12
18,2018-07-09,8
19,2018-07-16,8
20,2018-07-23,8
21,2018-07-30,11
22,2018-08-06,11
23,2018-08-13,11
24,2018-08-20,15
25,2018-08-27,13
26,2018-09-03,11
27,2018-09-10,8
28,2018-09-17,8
29,2018-09-24,10
30,2018-10-01,13
31,2018-10-08,11
32,2018-10-15,11
33,2018-10-22,11
34,2018-10-29,9
35,2018-11-05,8
36,2018-11-12,14
37,2018-11-19,7
38,2018-11-26,9
39,2018-12-03,14
40,2018-12-10,11
41,2018-12-17,9
42,2018-12-24,8
43,2018-12-31,11
44,2019-01-07,12
45,2019-01-14,21
46,2019-01-21,13
47,2019-01-28,12
48,2019-02-04,11
49,2019-02-11,11
50,2019-02-18,10
51,2019-02-25,12
52,2019-03-04,10
53,2019-03-11,10
54,2019-03-18,9
55,2019-03-25,9
56,2019-04-01,8
57,2019-04-08,8
58,2019-04-15,10
59,2019-04-22,10
60,2019-04-29,14
61,2019-05-06,15
62,2019-05-13,10
63,2019-05-20,10
64,2019-05-27,14
65,2019-06-03,15
66,2019-06-10,19
67,2019-06-17,15
68,2019-06-24,13
69,2019-07-01,11
70,2019-07-08,12
71,2019-07-15,11
72,2019-07-22,9
73,2019-07-29,9
74,2019-08-05,9
75,2019-08-12,8
76,2019-08-19,9
77,2019-08-26,9
78,2019-09-02,7
79,2019-09-09,9
80,2019-09-16,8
81,2019-09-23,10
82,2019-09-30,10
83,2019-10-07,11
84,2019-10-14,8
85,2019-10-21,10
86,2019-10-28,25
87,2019-11-04,19
88,2019-11-11,11
89,2019-11-18,11
90,2019-11-25,18
91,2019-12-02,8
92,2019-12-09,9
93,2019-12-16,11
94,2019-12-23,10
95,2019-12-30,9
96,2020-01-06,11
97,2020-01-13,12
98,2020-01-20,12
99,2020-01-27,8
100,2020-02-03,11
101,2020-02-10,18
102,2020-02-17,13
103,2020-02-24,11
104,2020-03-02,14
105,2020-03-09,8
106,2020-03-16,8
107,2020-03-23,7
108,2020-03-30,9
109,2020-04-06,6
110,2020-04-13,9
111,2020-04-20,9
112,2020-04-27,8
113,2020-05-04,7
114,2020-05-11,8
115,2020-05-18,7
116,2020-05-25,7
117,2020-06-01,100
118,2020-06-08,14
119,2020-06-15,8
120,2020-06-22,9
121,2020-06-29,45
122,2020-07-06,14
123,2020-07-13,10
124,2020-07-20,24
