,First_day_week,prices,model
0,2019-06-24,811,Air Jordan 1 Chicago
1,2019-07-01,741,Air Jordan 1 Chicago
2,2019-07-08,770,Air Jordan 1 Chicago
3,2019-07-15,817,Air Jordan 1 Chicago
4,2019-07-22,748,Air Jordan 1 Chicago
5,2019-07-29,758,Air Jordan 1 Chicago
6,2019-08-05,726,Air Jordan 1 Chicago
7,2019-08-12,769,Air Jordan 1 Chicago
8,2019-08-19,804,Air Jordan 1 Chicago
9,2019-08-26,802,Air Jordan 1 Chicago
10,2019-09-02,768,Air Jordan 1 Chicago
11,2019-09-09,769,Air Jordan 1 Chicago
12,2019-09-16,747,Air Jordan 1 Chicago
13,2019-09-23,745,Air Jordan 1 Chicago
14,2019-09-30,721,Air Jordan 1 Chicago
15,2019-10-07,835,Air Jordan 1 Chicago
16,2019-10-14,645,Air Jordan 1 Chicago
17,2019-10-21,638,Air Jordan 1 Chicago
18,2019-10-28,735,Air Jordan 1 Chicago
19,2019-11-04,775,Air Jordan 1 Chicago
20,2019-11-11,780,Air Jordan 1 Chicago
21,2019-11-18,803,Air Jordan 1 Chicago
22,2019-11-25,790,Air Jordan 1 Chicago
23,2019-12-02,769,Air Jordan 1 Chicago
24,2019-12-09,726,Air Jordan 1 Chicago
25,2019-12-16,744,Air Jordan 1 Chicago
26,2019-12-23,896,Air Jordan 1 Chicago
27,2019-12-30,744,Air Jordan 1 Chicago
28,2020-01-06,820,Air Jordan 1 Chicago
29,2020-01-13,955,Air Jordan 1 Chicago
30,2020-01-20,735,Air Jordan 1 Chicago
31,2020-01-27,873,Air Jordan 1 Chicago
32,2020-02-03,882,Air Jordan 1 Chicago
33,2020-02-10,917,Air Jordan 1 Chicago
34,2020-02-17,990,Air Jordan 1 Chicago
35,2020-02-24,973,Air Jordan 1 Chicago
36,2020-03-02,867,Air Jordan 1 Chicago
37,2020-03-09,954,Air Jordan 1 Chicago
38,2020-03-16,944,Air Jordan 1 Chicago
39,2020-03-23,974,Air Jordan 1 Chicago
40,2020-03-30,889,Air Jordan 1 Chicago
41,2020-04-06,1023,Air Jordan 1 Chicago
42,2020-04-13,1169,Air Jordan 1 Chicago
43,2020-04-20,1188,Air Jordan 1 Chicago
44,2020-04-27,1259,Air Jordan 1 Chicago
45,2020-05-04,1322,Air Jordan 1 Chicago
46,2020-05-11,1526,Air Jordan 1 Chicago
47,2020-05-18,1546,Air Jordan 1 Chicago
48,2020-05-25,1571,Air Jordan 1 Chicago
49,2020-06-01,1586,Air Jordan 1 Chicago
50,2020-06-08,1417,Air Jordan 1 Chicago
51,2020-06-15,1511,Air Jordan 1 Chicago
52,2020-06-22,1527,Air Jordan 1 Chicago
53,2020-06-29,1602,Air Jordan 1 Chicago
54,2020-07-06,1569,Air Jordan 1 Chicago
55,2020-07-13,1536,Air Jordan 1 Chicago
56,2020-07-20,1647,Air Jordan 1 Chicago
