,First_day_week,prices,model
0,2019-12-09,1250,Air Jordan 1 Travis Scott
1,2019-12-16,1266,Air Jordan 1 Travis Scott
2,2019-12-23,1261,Air Jordan 1 Travis Scott
3,2019-12-30,1281,Air Jordan 1 Travis Scott
4,2020-01-06,1324,Air Jordan 1 Travis Scott
5,2020-01-13,1277,Air Jordan 1 Travis Scott
6,2020-01-20,1254,Air Jordan 1 Travis Scott
7,2020-01-27,1269,Air Jordan 1 Travis Scott
8,2020-02-03,1417,Air Jordan 1 Travis Scott
9,2020-02-10,1306,Air Jordan 1 Travis Scott
10,2020-02-17,1219,Air Jordan 1 Travis Scott
11,2020-02-24,1195,Air Jordan 1 Travis Scott
12,2020-03-02,1166,Air Jordan 1 Travis Scott
13,2020-03-09,1224,Air Jordan 1 Travis Scott
14,2020-03-16,1138,Air Jordan 1 Travis Scott
15,2020-03-23,1122,Air Jordan 1 Travis Scott
16,2020-03-30,1136,Air Jordan 1 Travis Scott
17,2020-04-06,1151,Air Jordan 1 Travis Scott
18,2020-04-13,1185,Air Jordan 1 Travis Scott
19,2020-04-20,1262,Air Jordan 1 Travis Scott
20,2020-04-27,1356,Air Jordan 1 Travis Scott
21,2020-05-04,1354,Air Jordan 1 Travis Scott
22,2020-05-11,1423,Air Jordan 1 Travis Scott
23,2020-05-18,1450,Air Jordan 1 Travis Scott
24,2020-05-25,1430,Air Jordan 1 Travis Scott
25,2020-06-01,1483,Air Jordan 1 Travis Scott
26,2020-06-08,1526,Air Jordan 1 Travis Scott
27,2020-06-15,1524,Air Jordan 1 Travis Scott
28,2020-06-22,1559,Air Jordan 1 Travis Scott
29,2020-06-29,1401,Air Jordan 1 Travis Scott
30,2020-07-06,1459,Air Jordan 1 Travis Scott
31,2020-07-13,1517,Air Jordan 1 Travis Scott
32,2020-07-20,1528,Air Jordan 1 Travis Scott
33,2020-07-27,1456,Air Jordan 1 Travis Scott
