,First_day_week,prices,model
0,2017-04-17,7000,Air Yeezy 2 Red October
1,2017-04-24,5000,Air Yeezy 2 Red October
2,2017-05-01,4401,Air Yeezy 2 Red October
3,2017-05-15,5292,Air Yeezy 2 Red October
4,2017-05-22,4500,Air Yeezy 2 Red October
5,2017-06-05,5784,Air Yeezy 2 Red October
6,2017-06-12,4489,Air Yeezy 2 Red October
7,2017-06-26,4972,Air Yeezy 2 Red October
8,2017-07-03,4119,Air Yeezy 2 Red October
9,2017-07-10,5150,Air Yeezy 2 Red October
10,2017-08-07,5951,Air Yeezy 2 Red October
11,2017-08-14,5040,Air Yeezy 2 Red October
12,2017-08-21,7157,Air Yeezy 2 Red October
13,2017-08-28,5500,Air Yeezy 2 Red October
14,2017-09-04,6574,Air Yeezy 2 Red October
15,2017-09-18,6693,Air Yeezy 2 Red October
16,2017-10-02,4100,Air Yeezy 2 Red October
17,2017-10-23,6000,Air Yeezy 2 Red October
18,2017-10-30,8550,Air Yeezy 2 Red October
19,2017-11-06,7000,Air Yeezy 2 Red October
20,2017-11-13,5750,Air Yeezy 2 Red October
21,2017-11-20,5558,Air Yeezy 2 Red October
22,2017-11-27,5000,Air Yeezy 2 Red October
23,2017-12-04,5850,Air Yeezy 2 Red October
24,2017-12-11,6000,Air Yeezy 2 Red October
25,2017-12-18,6113,Air Yeezy 2 Red October
26,2017-12-25,6400,Air Yeezy 2 Red October
27,2018-01-08,5520,Air Yeezy 2 Red October
28,2018-01-15,5402,Air Yeezy 2 Red October
29,2018-01-29,6490,Air Yeezy 2 Red October
30,2018-02-05,5715,Air Yeezy 2 Red October
31,2018-02-12,5375,Air Yeezy 2 Red October
32,2018-02-19,5542,Air Yeezy 2 Red October
33,2018-02-26,5225,Air Yeezy 2 Red October
34,2018-03-19,5243,Air Yeezy 2 Red October
35,2018-03-26,6000,Air Yeezy 2 Red October
36,2018-04-16,5600,Air Yeezy 2 Red October
37,2018-04-23,4800,Air Yeezy 2 Red October
38,2018-05-14,7200,Air Yeezy 2 Red October
39,2018-05-21,6220,Air Yeezy 2 Red October
40,2018-05-28,5500,Air Yeezy 2 Red October
41,2018-06-11,4752,Air Yeezy 2 Red October
42,2018-06-18,4350,Air Yeezy 2 Red October
43,2018-07-09,5125,Air Yeezy 2 Red October
44,2018-07-23,4800,Air Yeezy 2 Red October
45,2018-07-30,5500,Air Yeezy 2 Red October
46,2018-08-06,5250,Air Yeezy 2 Red October
47,2018-08-27,5500,Air Yeezy 2 Red October
48,2018-09-17,4420,Air Yeezy 2 Red October
49,2018-09-24,4911,Air Yeezy 2 Red October
50,2018-10-08,5000,Air Yeezy 2 Red October
51,2018-10-22,5166,Air Yeezy 2 Red October
52,2018-11-05,4875,Air Yeezy 2 Red October
53,2018-11-19,4356,Air Yeezy 2 Red October
54,2018-11-26,4500,Air Yeezy 2 Red October
55,2019-01-07,5188,Air Yeezy 2 Red October
56,2019-01-28,5000,Air Yeezy 2 Red October
57,2019-02-04,4902,Air Yeezy 2 Red October
58,2019-02-11,5536,Air Yeezy 2 Red October
59,2019-02-18,5776,Air Yeezy 2 Red October
60,2019-02-25,5495,Air Yeezy 2 Red October
61,2019-03-04,5842,Air Yeezy 2 Red October
62,2019-03-11,5861,Air Yeezy 2 Red October
63,2019-03-18,5427,Air Yeezy 2 Red October
64,2019-03-25,5739,Air Yeezy 2 Red October
65,2019-04-08,5755,Air Yeezy 2 Red October
66,2019-04-22,6450,Air Yeezy 2 Red October
67,2019-04-29,5101,Air Yeezy 2 Red October
68,2019-05-13,5825,Air Yeezy 2 Red October
69,2019-05-20,6147,Air Yeezy 2 Red October
70,2019-05-27,5660,Air Yeezy 2 Red October
71,2019-06-03,7500,Air Yeezy 2 Red October
72,2019-06-10,6500,Air Yeezy 2 Red October
73,2019-06-17,6500,Air Yeezy 2 Red October
74,2019-06-24,6299,Air Yeezy 2 Red October
75,2019-07-01,8499,Air Yeezy 2 Red October
76,2019-07-08,6300,Air Yeezy 2 Red October
77,2019-07-15,6501,Air Yeezy 2 Red October
78,2019-07-22,6459,Air Yeezy 2 Red October
79,2019-07-29,5001,Air Yeezy 2 Red October
80,2019-08-05,7527,Air Yeezy 2 Red October
81,2019-08-12,7527,Air Yeezy 2 Red October
82,2019-08-26,5329,Air Yeezy 2 Red October
83,2019-09-02,8699,Air Yeezy 2 Red October
84,2019-10-14,6655,Air Yeezy 2 Red October
85,2019-10-28,6683,Air Yeezy 2 Red October
86,2019-11-11,6950,Air Yeezy 2 Red October
87,2019-12-02,8513,Air Yeezy 2 Red October
88,2019-12-09,8300,Air Yeezy 2 Red October
89,2019-12-30,8000,Air Yeezy 2 Red October
90,2020-01-20,8066,Air Yeezy 2 Red October
91,2020-02-03,7650,Air Yeezy 2 Red October
92,2020-02-17,7499,Air Yeezy 2 Red October
93,2020-02-24,8500,Air Yeezy 2 Red October
94,2020-03-02,8250,Air Yeezy 2 Red October
95,2020-03-09,7665,Air Yeezy 2 Red October
96,2020-03-16,9500,Air Yeezy 2 Red October
97,2020-03-23,15954,Air Yeezy 2 Red October
98,2020-04-13,8825,Air Yeezy 2 Red October
99,2020-04-27,8551,Air Yeezy 2 Red October
100,2020-05-04,8300,Air Yeezy 2 Red October
101,2020-06-01,9500,Air Yeezy 2 Red October
102,2020-06-29,8097,Air Yeezy 2 Red October
