,First_day_week,prices,model
0,2018-03-12,1492,OFF-WHITE Presto
1,2018-03-19,1439,OFF-WHITE Presto
2,2018-03-26,1476,OFF-WHITE Presto
3,2018-04-02,1432,OFF-WHITE Presto
4,2018-04-09,1513,OFF-WHITE Presto
5,2018-04-16,1538,OFF-WHITE Presto
6,2018-04-23,1601,OFF-WHITE Presto
7,2018-04-30,1626,OFF-WHITE Presto
8,2018-05-07,1595,OFF-WHITE Presto
9,2018-05-14,1788,OFF-WHITE Presto
10,2018-05-21,1597,OFF-WHITE Presto
11,2018-05-28,1624,OFF-WHITE Presto
12,2018-06-04,1659,OFF-WHITE Presto
13,2018-06-11,1541,OFF-WHITE Presto
14,2018-06-18,1395,OFF-WHITE Presto
15,2018-06-25,1546,OFF-WHITE Presto
16,2018-07-02,1595,OFF-WHITE Presto
17,2018-07-09,1487,OFF-WHITE Presto
18,2018-07-16,1469,OFF-WHITE Presto
19,2018-07-23,1607,OFF-WHITE Presto
20,2018-07-30,1590,OFF-WHITE Presto
21,2018-08-06,1644,OFF-WHITE Presto
22,2018-08-13,1638,OFF-WHITE Presto
23,2018-08-20,1757,OFF-WHITE Presto
24,2018-08-27,1729,OFF-WHITE Presto
25,2018-09-03,1574,OFF-WHITE Presto
26,2018-09-10,1602,OFF-WHITE Presto
27,2018-09-17,1674,OFF-WHITE Presto
28,2018-09-24,1691,OFF-WHITE Presto
29,2018-10-01,1703,OFF-WHITE Presto
30,2018-10-08,1586,OFF-WHITE Presto
31,2018-10-15,1445,OFF-WHITE Presto
32,2018-10-22,1576,OFF-WHITE Presto
33,2018-10-29,1561,OFF-WHITE Presto
34,2018-11-05,1541,OFF-WHITE Presto
35,2018-11-12,1591,OFF-WHITE Presto
36,2018-11-19,1596,OFF-WHITE Presto
37,2018-11-26,1468,OFF-WHITE Presto
38,2018-12-03,1490,OFF-WHITE Presto
39,2018-12-10,1550,OFF-WHITE Presto
40,2018-12-17,1518,OFF-WHITE Presto
41,2018-12-24,1565,OFF-WHITE Presto
42,2018-12-31,1664,OFF-WHITE Presto
43,2019-01-07,1528,OFF-WHITE Presto
44,2019-01-14,1726,OFF-WHITE Presto
45,2019-01-21,1661,OFF-WHITE Presto
46,2019-01-28,1653,OFF-WHITE Presto
47,2019-02-04,1557,OFF-WHITE Presto
48,2019-02-11,1752,OFF-WHITE Presto
49,2019-02-18,1663,OFF-WHITE Presto
50,2019-02-25,1732,OFF-WHITE Presto
51,2019-03-04,1625,OFF-WHITE Presto
52,2019-03-11,1774,OFF-WHITE Presto
53,2019-03-18,1592,OFF-WHITE Presto
54,2019-03-25,1784,OFF-WHITE Presto
55,2019-04-01,1808,OFF-WHITE Presto
56,2019-04-08,1845,OFF-WHITE Presto
