,dates,prices
0,"July 5, 2020","$8,097"
1,"June 1, 2020","$9,500"
2,"May 9, 2020","$8,500"
3,"May 5, 2020","$7,300"
4,"May 4, 2020","$9,100"
5,"April 27, 2020","$8,551"
6,"April 16, 2020","$8,825"
7,"March 27, 2020","$8,702"
8,"March 23, 2020","$23,206"
9,"March 22, 2020","$9,500"
10,"March 11, 2020","$7,665"
11,"March 8, 2020","$8,250"
12,"February 29, 2020","$8,500"
13,"February 20, 2020","$7,499"
14,"February 7, 2020","$8,500"
15,"February 4, 2020","$6,800"
16,"January 25, 2020","$8,850"
17,"January 25, 2020","$8,849"
18,"January 24, 2020","$6,501"
19,"January 4, 2020","$8,000"
20,"March 11, 2020","$7,665"
21,"March 8, 2020","$8,250"
22,"February 29, 2020","$8,500"
23,"February 20, 2020","$7,499"
24,"February 7, 2020","$8,500"
25,"February 4, 2020","$6,800"
26,"January 25, 2020","$8,850"
27,"January 25, 2020","$8,849"
28,"January 24, 2020","$6,501"
29,"January 4, 2020","$8,000"
30,"December 9, 2019","$8,300"
31,"December 4, 2019","$10,241"
32,"December 4, 2019","$7,500"
33,"December 3, 2019","$7,800"
34,"November 16, 2019","$6,900"
35,"November 13, 2019","$7,001"
36,"November 3, 2019","$5,800"
37,"November 1, 2019","$8,000"
38,"November 1, 2019","$6,250"
39,"October 15, 2019","$6,200"
40,"October 14, 2019","$7,111"
41,"September 7, 2019","$7,523"
42,"September 6, 2019","$10,000"
43,"September 4, 2019","$9,975"
44,"September 4, 2019","$7,000"
45,"September 3, 2019","$9,000"
46,"August 27, 2019","$5,329"
47,"August 16, 2019","$7,527"
48,"August 11, 2019","$7,527"
49,"August 1, 2019","$5,001"
50,"July 26, 2019","$6,459"
51,"July 19, 2019","$6,501"
52,"July 14, 2019","$6,300"
53,"July 6, 2019","$8,499"
54,"June 29, 2019","$6,299"
55,"June 18, 2019","$6,500"
56,"June 13, 2019","$6,500"
57,"June 5, 2019","$7,500"
58,"May 31, 2019","$5,660"
59,"May 25, 2019","$6,500"
60,"May 24, 2019","$5,990"
61,"May 23, 2019","$5,951"
62,"May 17, 2019","$5,500"
63,"May 16, 2019","$5,000"
64,"May 16, 2019","$6,300"
65,"May 14, 2019","$6,500"
66,"May 4, 2019","$5,101"
67,"April 26, 2019","$6,401"
68,"April 24, 2019","$6,500"
69,"April 14, 2019","$6,250"
70,"April 12, 2019","$5,201"
71,"April 10, 2019","$5,850"
72,"April 8, 2019","$5,720"
73,"March 26, 2019","$5,739"
74,"March 24, 2019","$6,155"
75,"March 20, 2019","$4,700"
76,"March 14, 2019","$4,700"
77,"March 13, 2019","$6,694"
78,"March 13, 2019","$6,382"
79,"March 12, 2019","$5,670"
80,"March 7, 2019","$6,826"
81,"March 7, 2019","$5,200"
82,"March 7, 2019","$5,501"
83,"March 1, 2019","$5,495"
84,"February 20, 2019","$5,776"
85,"February 14, 2019","$6,400"
86,"February 12, 2019","$5,700"
87,"February 11, 2019","$4,510"
88,"February 7, 2019","$4,902"
89,"January 28, 2019","$5,000"
90,"March 7, 2019","$6,826"
91,"March 7, 2019","$5,200"
92,"March 7, 2019","$5,501"
93,"March 1, 2019","$5,495"
94,"February 20, 2019","$5,776"
95,"February 14, 2019","$6,400"
96,"February 12, 2019","$5,700"
97,"February 11, 2019","$4,510"
98,"February 7, 2019","$4,902"
99,"January 28, 2019","$5,000"
100,"January 7, 2019","$5,777"
101,"January 7, 2019","$4,600"
102,"November 26, 2018","$4,500"
103,"November 24, 2018","$4,200"
104,"November 20, 2018","$4,500"
105,"November 19, 2018","$4,368"
106,"November 7, 2018","$5,050"
107,"November 5, 2018","$4,700"
108,"October 28, 2018","$4,600"
109,"October 25, 2018","$6,299"
110,"January 7, 2019","$5,777"
111,"January 7, 2019","$4,600"
112,"November 26, 2018","$4,500"
113,"November 24, 2018","$4,200"
114,"November 20, 2018","$4,500"
115,"November 19, 2018","$4,368"
116,"November 7, 2018","$5,050"
117,"November 5, 2018","$4,700"
118,"October 28, 2018","$4,600"
119,"October 25, 2018","$6,299"
120,"October 22, 2018","$4,601"
121,"October 13, 2018","$5,000"
122,"September 28, 2018","$4,750"
123,"September 25, 2018","$4,800"
124,"September 25, 2018","$5,185"
125,"September 23, 2018","$3,900"
126,"September 22, 2018","$5,050"
127,"September 19, 2018","$4,312"
128,"September 2, 2018","$5,500"
129,"August 9, 2018","$5,250"
130,"January 7, 2019","$5,777"
131,"January 7, 2019","$4,600"
132,"November 26, 2018","$4,500"
133,"November 24, 2018","$4,200"
134,"November 20, 2018","$4,500"
135,"November 19, 2018","$4,368"
136,"November 7, 2018","$5,050"
137,"November 5, 2018","$4,700"
138,"October 28, 2018","$4,600"
139,"October 25, 2018","$6,299"
140,"October 22, 2018","$4,601"
141,"October 13, 2018","$5,000"
142,"September 28, 2018","$4,750"
143,"September 25, 2018","$4,800"
144,"September 25, 2018","$5,185"
145,"September 23, 2018","$3,900"
146,"September 22, 2018","$5,050"
147,"September 19, 2018","$4,312"
148,"September 2, 2018","$5,500"
149,"August 9, 2018","$5,250"
150,"July 30, 2018","$5,500"
151,"July 24, 2018","$4,800"
152,"July 12, 2018","$4,999"
153,"July 9, 2018","$5,251"
154,"June 23, 2018","$4,900"
155,"June 20, 2018","$3,800"
156,"June 13, 2018","$4,550"
157,"June 11, 2018","$4,955"
158,"May 31, 2018","$5,500"
159,"May 26, 2018","$7,000"
160,"October 22, 2018","$4,601"
161,"October 13, 2018","$5,000"
162,"September 28, 2018","$4,750"
163,"September 25, 2018","$4,800"
164,"September 25, 2018","$5,185"
165,"September 23, 2018","$3,900"
166,"September 22, 2018","$5,050"
167,"September 19, 2018","$4,312"
168,"September 2, 2018","$5,500"
169,"August 9, 2018","$5,250"
170,"July 30, 2018","$5,500"
171,"July 24, 2018","$4,800"
172,"July 12, 2018","$4,999"
173,"July 9, 2018","$5,251"
174,"June 23, 2018","$4,900"
175,"June 20, 2018","$3,800"
176,"June 13, 2018","$4,550"
177,"June 11, 2018","$4,955"
178,"May 31, 2018","$5,500"
179,"May 26, 2018","$7,000"
180,"May 21, 2018","$5,050"
181,"May 14, 2018","$7,200"
182,"April 26, 2018","$4,800"
183,"April 17, 2018","$5,600"
184,"March 26, 2018","$6,000"
185,"March 23, 2018","$4,900"
186,"March 22, 2018","$5,587"
187,"March 4, 2018","$5,225"
188,"February 25, 2018","$5,150"
189,"February 24, 2018","$4,500"
190,"July 30, 2018","$5,500"
191,"July 24, 2018","$4,800"
192,"July 12, 2018","$4,999"
193,"July 9, 2018","$5,251"
194,"June 23, 2018","$4,900"
195,"June 20, 2018","$3,800"
196,"June 13, 2018","$4,550"
197,"June 11, 2018","$4,955"
198,"May 31, 2018","$5,500"
199,"May 26, 2018","$7,000"
200,"May 21, 2018","$5,050"
201,"May 14, 2018","$7,200"
202,"April 26, 2018","$4,800"
203,"April 17, 2018","$5,600"
204,"March 26, 2018","$6,000"
205,"March 23, 2018","$4,900"
206,"March 22, 2018","$5,587"
207,"March 4, 2018","$5,225"
208,"February 25, 2018","$5,150"
209,"February 24, 2018","$4,500"
210,"February 20, 2018","$6,500"
211,"February 14, 2018","$6,000"
212,"February 13, 2018","$4,750"
213,"February 5, 2018","$5,715"
214,"February 2, 2018","$6,490"
215,"January 21, 2018","$6,300"
216,"January 15, 2018","$4,505"
217,"January 13, 2018","$5,520"
218,"December 26, 2017","$6,400"
219,"December 23, 2017","$8,000"
220,"February 20, 2018","$6,500"
221,"February 14, 2018","$6,000"
222,"February 13, 2018","$4,750"
223,"February 5, 2018","$5,715"
224,"February 2, 2018","$6,490"
225,"January 21, 2018","$6,300"
226,"January 15, 2018","$4,505"
227,"January 13, 2018","$5,520"
228,"December 26, 2017","$6,400"
229,"December 23, 2017","$8,000"
230,"December 19, 2017","$4,699"
231,"December 16, 2017","$6,000"
232,"December 15, 2017","$6,000"
233,"December 9, 2017","$5,850"
234,"December 2, 2017","$5,000"
235,"November 21, 2017","$4,700"
236,"November 21, 2017","$6,000"
237,"November 21, 2017","$6,000"
238,"November 21, 2017","$6,000"
239,"November 21, 2017","$5,090"
240,"February 20, 2018","$6,500"
241,"February 14, 2018","$6,000"
242,"February 13, 2018","$4,750"
243,"February 5, 2018","$5,715"
244,"February 2, 2018","$6,490"
245,"January 21, 2018","$6,300"
246,"January 15, 2018","$4,505"
247,"January 13, 2018","$5,520"
248,"December 26, 2017","$6,400"
249,"December 23, 2017","$8,000"
250,"December 19, 2017","$4,699"
251,"December 16, 2017","$6,000"
252,"December 15, 2017","$6,000"
253,"December 9, 2017","$5,850"
254,"December 2, 2017","$5,000"
255,"November 21, 2017","$4,700"
256,"November 21, 2017","$6,000"
257,"November 21, 2017","$6,000"
258,"November 21, 2017","$6,000"
259,"November 21, 2017","$5,090"
260,"December 19, 2017","$4,699"
261,"December 16, 2017","$6,000"
262,"December 15, 2017","$6,000"
263,"December 9, 2017","$5,850"
264,"December 2, 2017","$5,000"
265,"November 21, 2017","$4,700"
266,"November 21, 2017","$6,000"
267,"November 21, 2017","$6,000"
268,"November 21, 2017","$6,000"
269,"November 21, 2017","$5,090"
270,"November 17, 2017","$5,750"
271,"November 8, 2017","$7,000"
272,"November 3, 2017","$7,500"
273,"November 2, 2017","$9,600"
274,"October 27, 2017","$6,500"
275,"October 25, 2017","$5,500"
276,"October 3, 2017","$4,100"
277,"September 23, 2017","$6,387"
278,"September 19, 2017","$7,000"
279,"September 9, 2017","$4,250"
280,"December 19, 2017","$4,699"
281,"December 16, 2017","$6,000"
282,"December 15, 2017","$6,000"
283,"December 9, 2017","$5,850"
