,dates,prices
0,"July 24, 2020","$2,075"
1,"July 24, 2020","$2,005"
2,"July 24, 2020","$2,205"
3,"July 24, 2020","$2,155"
4,"July 22, 2020","$2,309"
5,"July 20, 2020","$1,521"
6,"July 20, 2020","$2,220"
7,"July 17, 2020","$1,753"
8,"July 16, 2020","$2,480"
9,"July 16, 2020","$2,440"
10,"July 15, 2020","$1,999"
11,"July 15, 2020","$1,716"
12,"July 14, 2020","$1,987"
13,"July 14, 2020","$1,890"
14,"July 14, 2020","$2,264"
15,"July 13, 2020","$2,001"
16,"July 13, 2020","$1,877"
17,"July 10, 2020","$2,385"
18,"July 9, 2020","$2,284"
19,"July 9, 2020","$2,470"
20,"July 9, 2020","$1,895"
21,"July 8, 2020","$1,861"
22,"July 8, 2020","$2,357"
23,"July 6, 2020","$2,225"
24,"July 3, 2020","$2,155"
25,"July 3, 2020","$2,285"
26,"July 2, 2020","$1,888"
27,"July 1, 2020","$1,925"
28,"July 1, 2020","$2,084"
29,"June 30, 2020","$2,197"
30,"June 29, 2020","$2,399"
31,"June 28, 2020","$1,890"
32,"June 27, 2020","$1,921"
33,"June 24, 2020","$2,435"
34,"June 24, 2020","$2,489"
35,"June 23, 2020","$1,969"
36,"June 22, 2020","$1,925"
37,"June 19, 2020","$2,600"
38,"June 15, 2020","$1,700"
39,"June 12, 2020","$2,150"
40,"June 29, 2020","$2,399"
41,"June 28, 2020","$1,890"
42,"June 27, 2020","$1,921"
43,"June 24, 2020","$2,435"
44,"June 24, 2020","$2,489"
45,"June 23, 2020","$1,969"
46,"June 22, 2020","$1,925"
47,"June 19, 2020","$2,600"
48,"June 15, 2020","$1,700"
49,"June 12, 2020","$2,150"
50,"June 8, 2020","$2,360"
51,"June 7, 2020","$2,285"
52,"June 5, 2020","$2,350"
53,"June 2, 2020","$2,275"
54,"May 31, 2020","$2,150"
55,"May 31, 2020","$1,725"
56,"May 31, 2020","$1,876"
57,"May 23, 2020","$2,454"
58,"May 23, 2020","$1,888"
59,"May 23, 2020","$1,850"
60,"June 29, 2020","$2,399"
61,"June 28, 2020","$1,890"
62,"June 27, 2020","$1,921"
63,"June 24, 2020","$2,435"
64,"June 24, 2020","$2,489"
65,"June 23, 2020","$1,969"
66,"June 22, 2020","$1,925"
67,"June 19, 2020","$2,600"
68,"June 15, 2020","$1,700"
69,"June 12, 2020","$2,150"
70,"June 8, 2020","$2,360"
71,"June 7, 2020","$2,285"
72,"June 5, 2020","$2,350"
73,"June 2, 2020","$2,275"
74,"May 31, 2020","$2,150"
75,"May 31, 2020","$1,725"
76,"May 31, 2020","$1,876"
77,"May 23, 2020","$2,454"
78,"May 23, 2020","$1,888"
79,"May 23, 2020","$1,850"
80,"June 8, 2020","$2,360"
81,"June 7, 2020","$2,285"
82,"June 5, 2020","$2,350"
83,"June 2, 2020","$2,275"
84,"May 31, 2020","$2,150"
85,"May 31, 2020","$1,725"
86,"May 31, 2020","$1,876"
87,"May 23, 2020","$2,454"
88,"May 23, 2020","$1,888"
89,"May 23, 2020","$1,850"
90,"June 8, 2020","$2,360"
91,"June 7, 2020","$2,285"
92,"June 5, 2020","$2,350"
93,"June 2, 2020","$2,275"
94,"May 31, 2020","$2,150"
95,"May 31, 2020","$1,725"
96,"May 31, 2020","$1,876"
97,"May 23, 2020","$2,454"
98,"May 23, 2020","$1,888"
99,"May 23, 2020","$1,850"
100,"May 20, 2020","$2,083"
101,"May 19, 2020","$2,420"
102,"May 18, 2020","$1,971"
103,"May 16, 2020","$1,981"
104,"May 16, 2020","$1,819"
105,"May 16, 2020","$1,749"
106,"May 15, 2020","$2,300"
107,"May 13, 2020","$2,327"
108,"May 9, 2020","$2,055"
109,"May 9, 2020","$2,720"
110,"June 8, 2020","$2,360"
111,"June 7, 2020","$2,285"
112,"June 5, 2020","$2,350"
113,"June 2, 2020","$2,275"
114,"May 31, 2020","$2,150"
115,"May 31, 2020","$1,725"
116,"May 31, 2020","$1,876"
117,"May 23, 2020","$2,454"
118,"May 23, 2020","$1,888"
119,"May 23, 2020","$1,850"
120,"May 20, 2020","$2,083"
121,"May 19, 2020","$2,420"
122,"May 18, 2020","$1,971"
