,brand,model,price
0,Nike ,Dunk SB Low ,"34,489"
1,Nike ,MAG Back to the Future ,"26,746"
2,Jordan ,4 Retro Eminem ,"23,726"
3,Jordan ,4 Retro Eminem Encore ,"15,530"
4,Jordan ,4 Retro Travis Scott Purple Friends and ,"14,344"
5,Jordan ,4 Retro UNDFTD 2018 ,"13,805"
6,Nike ,Dunk SB Low Yellow ,"13,082"
7,Jordan ,Kobe PE Pack ,"10,919"
8,Nike ,Dunk SB Low Freddy ,"10,498"
9,Nike ,Air VaporMax 2019 Cactus Plant Flea Market  ,"10,353"
10,Jordan ,1 Retro High ,"10,339"
11,Nike ,MAG Back to the Future ,"9,693"
12,Jordan ,1 Retro Legends of Summer Red ,"8,628"
13,Jordan ,5 Retro Tokyo T23 ,"8,628"
14,Jordan ,4 Retro Eminem ,"8,354"
15,Jordan ,3 Retro DJ Khaled Father of ,"7,897"
16,Jordan ,1 Retro Low ,"7,859"
17,Jordan ,4 Retro ,"7,765"
18,Nike ,Air Force 1 Low ,"7,334"
19,Nike ,Air Yeezy 2 Red ,"7,095"
20,Nike ,SB Dunk Low ,"7,045"
21,Jordan ,4 Retro UNC ,"6,767"
22,Jordan ,1 Retro Fragment Friends and ,"6,661"
23,Nike ,SB Dunk Low ,"6,211"
24,Nike ,Air Force 1 Low 1World ,"6,193"
25,Louis Vuitton ,Dons Kanye ,"6,153"
26,Jordan ,1 Retro Legends Of Summer ,"6,040"
27,Nike ,Air Force 1 Low x Eminem Shady  ,"6,040"
28,adidas ,Human Race NMD Pharrell x ,"5,826"
29,Nike ,SB Dunk Low Reese Forbes ,"5,815"
30,Jordan ,1 Retro Dave White Wings For the Future ,"5,684"
31,Jordan ,1 Retro High colette ,"5,619"
32,Nike ,Dunk SB Low What the ,"5,591"
33,Jordan ,3 Retro Tinker Oregon Ducks ,"5,421"
34,Jordan ,3 Retro DJ Khaled Another ,"5,306"
35,Jordan ,1 OG Chicago ,"5,303"
36,Jordan ,4 Retro Oregon ,"5,190"
37,Jordan ,4 Retro Florida Gators ,"5,177"
38,Jordan ,5 Retro Quai 54 Friends and ,"5,177"
39,Jordan ,3 Retro Solefly ,"5,177"
40,Nike ,SB Dunk High 420 Reverse Skunk Special ,"5,067"
41,Nike ,Air Force 1 Low 1WORLD CLOT Special ,"4,961"
42,Nike ,Dunk SB Low Michael Lau Gardener ,"4,833"
43,Jordan ,2 Retro Legends Of ,"4,810"
44,Louis Vuitton ,Jaspers Kanye Patchwork ,"4,746"
45,Jordan ,1 Retro High Oklahoma Sooners ,"4,702"
46,Jordan ,5 Retro Trophy Room University Red ,"4,644"
47,Jordan ,1 Retro Legends of Summer ,"4,574"
48,Jordan ,4 Retro Georgetown ,"4,562"
49,Nike ,Air Yeezy 2 Solar ,"4,497"
50,Jordan ,5 Retro Oregon ,"4,386"
51,Nike ,Dunk SB Low Red Lobster Special ,"4,216"
52,Nike ,Air Force 1 07 Virgil x MoMA With ,"4,176"
53,Nike ,SB Dunk Low Girls t Cry ,"4,163"
54,A Bathing Ape,Ape Bapesta Kanye West College ,"4,116"
55,NikeCraft ,Mars Yard Shoe 0 Tom Sachs Space ,"4,110"
56,Jordan ,1 Retro High OG Legends Of Summer Black 3M ,"3,979"
57,Nike ,SB Dunk High Reverse Skunk 420 Regular ,"3,951"
58,Jordan ,1 Retro Just Don BHM ,"3,949"
59,Nike ,Air Foamposite One ,"3,909"
60,Nike ,Air Force 1 Low CLOT Spider ,"3,883"
61,Nike ,Kobe 1 81 Points ,"3,883"
62,Nike ,Air Yeezy 2 Pure ,"3,820"
63,Nike ,Kobe 1 Protro Undefeated Flight ,"3,790"
64,Jordan ,13 Retro Oregon Ducks ,"3,768"
65,Jordan ,1 Retro High Michigan ,"3,710"
66,Jordan ,5 Retro Fab Five ,"3,710"
67,Nike ,Kobe 1 Protro Undefeated Purple ,"3,652"
68,Jordan ,1 Retro High Rust ,"3,648"
69,Nike ,Air Force 1 Low VLONE ,"3,646"
70,Nike ,Kobe 9 Elite Premium Low HTM Milan Black Multi-,"3,628"
71,Jordan ,4 Retro Oklahoma Sooners ,"3,618"
72,Jordan ,1 Retro High ,"3,615"
73,Jordan ,4 Retro Marquette ,"3,585"
74,Jordan ,3 Retro Oregon Ducks Pit Crew ,"3,581"
75,Nike ,Air Foamposite One ,"3,569"
76,Nike ,Dunk SB Low Supreme Black Cement ,"3,551"
77,Nike ,Air Force 1 High Vlone Paris Fashion ,"3,542"
78,Jordan ,4 Retro Michigan ,"3,466"
79,NikeCraft ,Mars Yard Shoe 0 Tom Sachs Space ,"3,456"
80,Nike ,Air Force 1 Low Ueno Sakura ,"3,451"
81,Nike ,Air Max 1 Powerwall ,"3,451"
82,Nike ,LeBron 9 What the ,"3,451"
83,Jordan ,1 Retro High Off-White ,"3,410"
84,Nike ,Dunk High Pro SB Supreme Blue ,"3,399"
85,adidas ,NMD R1 Pharrell HU Friends and Family ,"3,357"
86,Nike ,Air Force 1 Low Entourage ,"3,357"
87,Nike ,Air Force 1 Low Virgil Abloh Off-White ,"3,292"
88,Jordan ,1 Retro Just Don ,"3,279"
89,Jordan ,1 Retro High SoleFly Art Basel ,"3,234"
90,adidas ,Pharrell NMD HU China Pack Happy  Friends and ,"3,196"
91,Nike ,Air Max 1 Parra Patta ,"3,182"
92,Jordan ,6 Retro Oregon ,"3,171"
93,Nike ,Air Force 1 Low SBTG x Staple Pigeon ,"3,063"
94,Nike ,SB Dunk High Supreme ,"3,055"
95,Nike ,Air Max 1 AMS Parra ,"3,054"
96,Nike ,Air Yeezy 1 ,"3,050"
97,Nike ,Dunk High Pro SB Supreme Red ,"3,033"
98,Nike ,Air Max 90 Dizzee Rascal Tongue N ,"3,020"
99,Nike ,Air Force 1 Low Supreme O Michael ,"2,969"
100,adidas ,Ultra Boost Uncaged Parley For the ,"2,891"
101,Nike ,SB Dunk Low 7 ,"2,859"
102,Jordan ,5 Retro Fresh Prince ,"2,850"
103,Jordan ,2 Retro Eminem The Way I ,"2,791"
104,Jordan ,3 Retro UNC ,"2,779"
105,Nike ,Dunk SB Low Medicom ,"2,775"
106,Jordan ,1 Retro High TedX PDX Perfect ,"2,740"
107,Jordan ,1 Retro High OG Spike Lee Fort ,"2,733"
108,Jordan ,1 Retro ,"2,731"
109,Jordan ,3 Retro Oregon Ducks Pit Crew ,"2,691"
110,Jordan ,1 Retro High Satin Banned Promo ,"2,679"
111,Nike ,SB Dunk Low Grateful Dead Bears ,"2,667"
112,Nike ,Air Force 1 Low 1World ,"2,663"
113,Jordan ,1 Retro High Off-White ,"2,658"
114,Nike ,Air Force 1 07 Virgil x MoMA No ,"2,640"
115,Jordan ,4 Retro Travis Scott Cactus Jack ,"2,634"
116,Nike ,Air Max 90 ,"2,611"
117,Nike ,Kobe 9 Elite Premium Low HTM Milan White Multi-,"2,610"
118,adidas ,NMD Hu Pharrell Respira ,"2,592"
119,Nike ,LeBron 4 Fruity ,"2,589"
120,Jordan ,4 Retro ,"2,589"
121,Nike ,Air Force 1 High Vlone Black University ,"2,584"
122,Nike ,LeBron 8 James Dean ,"2,546"
123,Nike ,SB Dunk Low Ben  s Chunky Dunky F ,"2,522"
124,Nike ,Dunk SB Low ,"2,515"
125,Jordan ,1 Retro Satin ,"2,514"
126,Nike ,Kyrie 3 Ray ,"2,508"
127,Jordan ,14 Retro Oregon Ducks PE ,"2,464"
128,Nike ,Air Force 1 Low G-Dragon Peaceminusone Para-Noise Korea ,"2,442"
129,Nike ,SB Dunk Low Parra F ,"2,434"
130,Jordan ,1 Retro High Charlotte Hornets Foundation ,"2,383"
131,Nike ,SB Dunk Low Diamond Supply Co Canary Diamond Friends and ,"2,376"
132,Nike ,Dunk SB Low Supreme White Cement ,"2,359"
133,Jordan ,10 Retro SoleFly Friends and ,"2,331"
134,Jordan ,5 Retro Tokyo ,"2,295"
135,Louis Vuitton ,Trainers Orange ,"2,198"
136,Nike ,Air Yeezy 1 Zen ,"2,167"
137,Nike ,Air Max 1 ,"2,160"
138,Nike ,Cavs Court SPO - LeBron 1 Air Zoom Generation Retro First Game ,"2,157"
139,Nike ,SB Dunk High Iron ,"2,157"
140,Nike ,Kyrie 4 Concepts Yellow ,"2,143"
141,Nike ,Air Yeezy 2 John Geiger x LASCO Golden ,"2,094"
142,Nike ,Dunk Low Cowboy Sole ,"2,071"
143,Louis Vuitton ,Don Kanye ,"2,071"
144,Nike ,Air Yeezy 1 Net ,"2,046"
145,Jordan ,3 Retro Michigan ,"2,029"
146,Jordan ,5 Retro Michigan ,"1,985"
147,New Balance ,990v3 ,"1,942"
148,Jordan ,14 Retro Oregon Ducks PE ,"1,940"
149,Nike ,Air Foamposite Lite ASG ,"1,924"
150,Jordan ,7 Retro Oregon Ducks ,"1,920"
151,Nike ,SB Dunk Low Entourage ,"1,918"
152,Nike ,Air Force 1 Low ,"1,899"
153,Nike ,Dunk High Pro SB ,"1,890"
154,Louis Vuitton ,LV Trainer Sneaker Mid White ,"1,877"
155,Nike ,LeBron 15 Lifestyle Kith F ,"1,877"
156,Nike ,Kobe 6 FC Barcelona ,"1,870"
157,Chanel ,Sneakers Pharrell White Multi-,"1,842"
158,Dior ,B22 Blue ,"1,816"
159,Nike ,SB Blazer Supreme Red ,"1,811"
160,Nike ,Air Presto Off-,"1,810"
161,Nike ,Air Force 1 Low Mark Smith Cashmere ,"1,785"
162,Nike ,Air Max 1 B Atmos ,"1,769"
163,Nike ,SB Blazer Supreme Black ,"1,763"
