"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2018","161.33","159.56","161.65","158.90","2.18M","1.48%"
"Dec 28, 2018","158.98","162.26","163.79","158.31","2.88M","-1.27%"
"Dec 27, 2018","161.02","158.50","161.02","155.28","2.88M","0.54%"
"Dec 26, 2018","160.15","154.00","160.15","150.94","3.50M","4.88%"
"Dec 24, 2018","152.70","156.95","157.73","152.61","2.94M","-3.35%"
"Dec 21, 2018","158.00","158.01","159.79","154.66","6.97M","-1.08%"
"Dec 20, 2018","159.72","161.99","164.99","158.34","6.55M","-1.72%"
"Dec 19, 2018","162.51","169.22","171.63","162.50","15.29M","-12.16%"
"Dec 18, 2018","185.01","183.53","186.14","182.95","4.30M","1.55%"
"Dec 17, 2018","182.19","183.11","186.17","181.28","3.40M","-1.04%"
"Dec 14, 2018","184.11","185.15","188.75","183.10","2.56M","-1.64%"
"Dec 13, 2018","187.18","189.03","189.45","183.55","4.19M","-0.58%"
"Dec 12, 2018","188.27","192.39","193.12","187.58","3.68M","-0.73%"
"Dec 11, 2018","189.65","195.37","196.50","187.03","4.58M","-1.70%"
"Dec 10, 2018","192.93","198.71","198.73","188.51","5.89M","-4.20%"
"Dec 07, 2018","201.39","214.70","217.45","200.12","3.10M","-6.36%"
"Dec 06, 2018","215.06","212.00","215.31","209.50","2.25M","-0.21%"
"Dec 04, 2018","215.52","227.00","227.55","212.80","3.82M","-6.31%"
"Dec 03, 2018","230.04","232.66","234.49","228.27","1.47M","0.45%"
"Nov 30, 2018","229.00","227.20","229.57","226.25","1.59M","0.66%"
"Nov 29, 2018","227.50","230.92","231.50","227.33","1.16M","-1.88%"
"Nov 28, 2018","231.85","226.56","231.85","225.13","1.31M","2.94%"
"Nov 27, 2018","225.23","223.78","225.85","222.42","1.12M","0.08%"
"Nov 26, 2018","225.04","225.88","226.12","223.10","1.17M","0.73%"
"Nov 23, 2018","223.40","221.42","226.00","220.56","498.23K","0.38%"
"Nov 21, 2018","222.55","222.35","226.30","222.35","1.02M","0.55%"
"Nov 20, 2018","221.34","222.72","224.17","220.02","1.62M","-2.19%"
"Nov 19, 2018","226.30","226.46","228.99","224.69","1.11M","-0.17%"
"Nov 16, 2018","226.69","226.88","228.17","224.59","1.24M","-0.49%"
"Nov 15, 2018","227.81","223.23","229.46","221.98","1.29M","1.18%"
"Nov 14, 2018","225.16","224.54","227.30","222.99","1.38M","1.19%"
"Nov 13, 2018","222.51","220.79","225.25","220.04","1.09M","1.31%"
"Nov 12, 2018","219.63","224.59","225.19","218.77","1.58M","-2.13%"
"Nov 09, 2018","224.40","229.00","229.60","222.66","1.69M","-2.18%"
"Nov 08, 2018","229.40","230.35","231.81","227.85","1.04M","-0.81%"
"Nov 07, 2018","231.28","228.37","231.56","225.17","1.29M","1.99%"
"Nov 06, 2018","226.77","222.54","227.17","221.92","1.25M","1.87%"
"Nov 05, 2018","222.61","222.10","224.09","221.58","1.26M","0.43%"
"Nov 02, 2018","221.66","226.67","227.65","220.45","1.81M","-1.06%"
"Nov 01, 2018","224.04","221.00","225.13","218.35","1.54M","1.68%"
"Oct 31, 2018","220.34","219.08","222.86","219.08","1.72M","1.76%"
"Oct 30, 2018","216.53","211.08","217.14","210.90","1.30M","2.60%"
"Oct 29, 2018","211.04","213.56","215.88","207.90","1.36M","0.24%"
"Oct 26, 2018","210.53","210.88","214.25","208.10","1.68M","-1.52%"
"Oct 25, 2018","213.78","211.33","215.51","210.56","1.63M","2.19%"
"Oct 24, 2018","209.20","216.62","219.42","208.85","2.17M","-4.20%"
"Oct 23, 2018","218.38","215.05","219.45","212.18","1.95M","-0.01%"
