,fecha,prec,dir,velmedia,racha,horaracha,tmed,tmin,horatmin,tmax,horatmax
0,2017-01-01,0.0,28,1.9,6.1,20:00,,,,,
1,2017-01-02,0.0,22,2.2,9.4,14:30,,,,,
2,2017-01-03,0.0,34,2.8,7.2,08:10,,,,,
3,2017-01-04,0.0,27,2.2,6.7,15:10,,,,,
4,2017-01-05,0.0,34,1.7,7.5,10:00,,,,,
5,2017-01-06,0.0,34,2.5,6.1,07:40,,,,,
6,2017-01-07,0.0,99,1.9,6.1,Varias,,,,,
7,2017-01-08,0.0,35,1.4,5.8,23:30,,,,,
8,2017-01-09,0.0,22,2.2,7.5,13:20,,,,,
9,2017-01-10,0.0,07,2.8,7.8,16:40,,,,,
10,2017-01-11,0.0,21,4.2,9.4,16:00,,,,,
11,2017-01-12,0.0,26,2.8,10.3,15:40,,,,,
12,2017-01-13,0.0,30,5.8,18.3,06:50,,,,,
13,2017-01-14,0.0,34,3.1,11.4,10:50,,,,,
14,2017-01-15,0.0,34,3.1,11.7,14:20,,,,,
15,2017-01-16,0.0,14,3.1,14.2,16:20,,,,,
16,2017-01-17,0.0,10,3.1,17.2,02:30,,,,,
17,2017-01-18,0.0,36,1.1,6.7,09:40,,,,,
18,2017-01-19,0.0,07,8.9,21.4,21:10,,,,,
19,2017-01-20,2.6,08,9.2,20.0,00:30,,,,,
20,2017-01-21,0.0,04,7.5,18.3,14:30,,,,,
21,2017-01-22,5.8,02,6.7,16.4,05:10,,,,,
22,2017-01-23,1.9,09,2.5,15.8,03:00,,,,,
23,2017-01-24,0.0,34,2.5,7.5,09:30,,,,,
24,2017-01-25,0.8,08,6.1,13.9,18:10,,,,,
25,2017-01-26,0.2,34,2.2,6.4,07:40,,,,,
26,2017-01-27,8.1,09,3.6,12.5,21:10,,,,,
27,2017-01-28,0.1,09,2.5,9.7,02:10,,,,,
28,2017-01-29,0.0,25,3.6,9.7,15:40,,,,,
29,2017-01-30,0.0,19,1.9,5.8,15:40,,,,,
30,2017-01-31,0.0,21,3.3,8.6,14:10,,,,,
31,2017-02-01,0.0,21,1.9,7.8,15:40,,,,,
32,2017-02-02,0.0,25,3.6,13.9,19:30,,,,,
33,2017-02-03,0.0,25,2.8,14.4,14:00,,,,,
34,2017-02-04,0.0,26,5.0,18.3,04:20,,,,,
35,2017-02-05,0.1,30,6.7,22.5,20:40,,,,,
36,2017-02-06,0.0,32,5.6,19.2,04:30,,,,,
37,2017-02-07,7.3,11,1.9,18.1,23:10,,,,,
38,2017-02-08,0.0,08,2.8,13.9,00:30,,,,,
39,2017-02-09,0.0,22,3.1,7.2,16:50,,,,,
40,2017-02-10,0.0,14,2.5,4.7,12:50,,,,,
41,2017-02-11,0.0,10,6.7,12.8,20:00,,,,,
42,2017-02-12,0.0,07,9.4,14.7,Varias,,,,,
43,2017-02-13,4.6,08,9.4,18.1,09:00,,,,,
44,2017-02-14,0.1,15,3.6,9.4,00:20,,,,,
45,2017-02-15,0.0,10,3.6,8.6,11:40,,,,,
46,2017-02-16,0.0,19,1.9,5.3,15:30,,,,,
47,2017-02-17,0.0,20,3.6,8.3,12:50,,,,,
48,2017-02-18,0.0,02,2.5,5.3,08:10,,,,,
49,2017-02-19,0.0,11,3.9,7.2,Varias,,,,,
50,2017-02-20,0.0,26,1.4,7.8,11:50,,,,,
51,2017-02-21,0.0,19,2.2,6.9,15:00,,,,,
52,2017-02-22,0.0,19,3.1,7.8,14:40,,,,,
53,2017-02-23,0.8,22,3.1,9.2,19:40,,,,,
54,2017-02-24,3.8,08,2.2,9.2,02:20,,,,,
55,2017-02-25,0.0,32,2.5,6.7,06:10,,,,,
56,2017-02-26,0.0,22,3.3,10.3,16:30,,,,,
57,2017-02-27,0.0,21,4.7,10.8,14:30,,,,,
58,2017-02-28,0.0,27,4.2,15.3,15:00,,,,,
59,2017-03-01,0.0,21,3.6,11.1,17:00,,,,,
60,2017-03-02,0.0,19,3.9,8.1,12:50,,,,,
61,2017-03-03,10.2,08,4.4,12.2,22:10,,,,,
62,2017-03-04,0.0,29,5.3,19.7,02:50,,,,,
63,2017-03-05,0.0,24,4.2,13.1,14:10,,,,,
64,2017-03-06,0.0,30,5.0,16.7,19:40,,,,,
65,2017-03-07,0.0,24,3.6,9.7,00:40,,,,,
66,2017-03-08,0.0,20,3.3,7.8,11:50,,,,,
67,2017-03-09,0.0,99,1.7,4.2,Varias,,,,,
68,2017-03-10,0.0,20,3.6,7.5,13:20,,,,,
69,2017-03-11,0.0,01,2.2,5.6,03:30,,,,,
70,2017-03-12,0.0,22,3.6,8.9,13:20,,,,,
71,2017-03-13,0.0,09,8.6,18.9,17:20,,,,,
72,2017-03-14,0.0,07,2.5,7.8,19:20,,,,,
73,2017-03-15,0.0,20,2.5,4.7,11:40,,,,,
74,2017-03-16,0.0,19,2.8,6.7,15:10,,,,,
75,2017-03-17,0.0,20,2.8,9.4,13:20,,,,,
76,2017-03-18,0.0,08,1.7,5.6,16:40,,,,,
77,2017-03-19,0.0,19,2.5,7.5,14:40,,,,,
78,2017-03-20,0.0,20,1.4,5.8,11:20,,,,,
79,2017-03-21,0.0,99,3.1,7.8,21:40,,,,,
80,2017-03-22,0.0,22,3.1,10.6,14:10,,,,,
81,2017-03-23,0.0,36,3.3,10.8,06:30,,,,,
82,2017-03-24,81.9,25,2.8,11.1,22:00,,,,,
83,2017-03-25,0.0,30,2.5,13.3,03:00,,,,,
84,2017-03-26,0.0,20,2.8,7.5,14:40,,,,,
85,2017-03-27,0.7,07,5.0,10.3,07:50,,,,,
86,2017-03-28,0.0,14,3.1,5.3,12:20,,,,,
87,2017-03-29,0.0,19,2.8,6.4,14:30,,,,,
88,2017-03-30,0.0,20,3.3,8.9,12:40,,,,,
89,2017-03-31,0.5,24,2.2,9.2,19:00,,,,,
90,2017-04-01,4.9,09,2.8,9.2,08:30,,,,,
91,2017-04-02,1.2,20,3.1,8.9,17:40,,,,,
92,2017-04-03,0.0,20,3.3,8.3,12:10,,,,,
93,2017-04-04,0.0,22,3.6,11.1,15:50,,,,,
94,2017-04-05,1.4,24,2.5,9.4,19:50,,,,,
95,2017-04-06,0.0,07,3.3,7.5,17:00,,,,,
96,2017-04-07,0.0,19,2.8,6.9,11:00,,,,,
97,2017-04-08,0.0,20,3.1,7.8,11:50,,,,,
98,2017-04-09,0.0,19,3.6,8.3,13:10,,,,,
99,2017-04-10,0.0,22,3.3,12.5,12:40,,,,,
100,2017-04-11,0.0,11,2.8,11.1,12:20,,,,,
101,2017-04-12,0.0,22,2.8,5.6,19:30,,,,,
102,2017-04-13,0.0,19,2.8,7.5,12:20,,,,,
103,2017-04-14,0.0,24,1.4,4.7,01:00,,,,,
104,2017-04-15,0.0,18,3.1,7.5,19:10,,,,,
105,2017-04-16,0.0,21,3.9,10.3,16:20,,,,,
106,2017-04-17,0.0,20,3.6,8.9,14:20,,,,,
107,2017-04-18,0.0,11,2.8,11.7,23:50,,,,,
108,2017-04-19,0.0,10,5.0,14.2,00:50,,,,,
109,2017-04-20,0.0,09,5.8,13.3,08:50,,,,,
110,2017-04-21,0.0,18,3.9,7.8,14:40,,,,,
111,2017-04-22,0.0,22,4.7,13.9,14:50,,,,,
112,2017-04-23,0.0,20,2.8,7.5,15:40,,,,,
113,2017-04-24,0.0,19,3.1,7.8,10:10,,,,,
114,2017-04-25,0.3,20,3.9,11.1,15:30,,,,,
115,2017-04-26,14.4,09,6.9,13.1,05:10,,,,,
116,2017-04-27,5.8,33,2.2,7.2,09:00,,,,,
117,2017-04-28,0.0,19,3.3,7.8,12:40,,,,,
118,2017-04-29,0.2,22,4.7,12.5,15:00,,,,,
119,2017-04-30,0.4,22,5.6,13.3,09:20,,,,,
120,2017-05-01,0.0,12,2.8,11.7,01:10,,,,,
121,2017-05-02,0.0,22,3.3,12.2,14:00,,,,,
122,2017-05-03,0.5,08,3.1,6.1,00:10,,,,,
123,2017-05-04,0.0,19,3.6,8.3,13:00,,,,,
124,2017-05-05,0.0,08,7.8,12.2,15:20,,,,,
125,2017-05-06,0.0,30,5.0,13.9,08:20,,,,,
126,2017-05-07,0.0,11,2.8,12.5,12:00,,,,,
127,2017-05-08,0.0,19,2.5,6.1,12:20,,,,,
128,2017-05-09,0.1,14,3.3,6.4,13:50,,,,,
129,2017-05-10,0.3,07,4.4,9.4,23:59,,,,,
130,2017-05-11,8.7,24,5.0,10.8,13:40,,,,,
131,2017-05-12,0.0,25,5.3,14.7,15:40,,,,,
132,2017-05-13,0.0,22,4.2,13.1,14:50,,,,,
133,2017-05-14,0.0,08,1.7,5.0,07:30,,,,,
134,2017-05-15,0.0,21,1.4,5.3,16:00,,,,,
135,2017-05-16,0.0,11,1.9,6.7,12:40,,,,,
136,2017-05-17,0.0,13,1.9,5.0,12:00,,,,,
137,2017-05-18,0.1,28,3.3,8.9,21:50,,,,,
138,2017-05-19,0.0,08,4.7,14.2,23:10,,,,,
139,2017-05-20,0.0,99,3.9,10.3,00:10,,,,,
140,2017-05-21,0.0,24,4.2,11.4,17:10,,,,,
141,2017-05-22,0.0,19,3.3,8.6,11:50,,,,,
142,2017-05-23,0.0,20,4.2,7.8,17:30,,,,,
143,2017-05-24,0.0,20,3.9,9.7,16:10,,,,,
144,2017-05-25,0.0,20,3.9,10.0,14:00,,,,,
