,Region/Country/Area,Country,Series,Year,Value,Footnotes
1,8,Albania,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",2007,118.5,
2,8,Albania,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",2008,142.7,
3,8,Albania,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",2009,148.3,
4,8,Albania,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",2010,200.2,
5,8,Albania,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",2011,237.6,
6,8,Albania,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",2012,273.4,
7,8,Albania,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",2013,349.1,
8,8,Albania,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",2014,355.3,
9,8,Albania,Index of industrial production: Mining (Index base: 2005=100),2007,136.5,
10,8,Albania,Index of industrial production: Mining (Index base: 2005=100),2008,156.7,
11,8,Albania,Index of industrial production: Mining (Index base: 2005=100),2009,153.1,
12,8,Albania,Index of industrial production: Mining (Index base: 2005=100),2010,241.7,
13,8,Albania,Index of industrial production: Mining (Index base: 2005=100),2011,361.4,
14,8,Albania,Index of industrial production: Mining (Index base: 2005=100),2012,477.0,
15,8,Albania,Index of industrial production: Mining (Index base: 2005=100),2013,699.8,
16,8,Albania,Index of industrial production: Mining (Index base: 2005=100),2014,695.1,
17,8,Albania,Index of industrial production: Manufacturing (Index base: 2005=100),2007,113.3,
18,8,Albania,Index of industrial production: Manufacturing (Index base: 2005=100),2008,134.2,
19,8,Albania,Index of industrial production: Manufacturing (Index base: 2005=100),2009,153.9,
20,8,Albania,Index of industrial production: Manufacturing (Index base: 2005=100),2010,186.6,
21,8,Albania,Index of industrial production: Manufacturing (Index base: 2005=100),2011,204.1,
22,8,Albania,Index of industrial production: Manufacturing (Index base: 2005=100),2012,199.5,
23,8,Albania,Index of industrial production: Manufacturing (Index base: 2005=100),2013,198.5,
24,8,Albania,Index of industrial production: Manufacturing (Index base: 2005=100),2014,212.9,
25,8,Albania,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2007,124.8,
26,8,Albania,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2008,149.9,
27,8,Albania,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2009,149.3,
28,8,Albania,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2010,158.9,
29,8,Albania,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2011,161.6,
30,8,Albania,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2012,185.3,
31,8,Albania,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2013,169.9,
32,8,Albania,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2014,169.8,
33,8,Albania,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2007,106.6,
34,8,Albania,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2008,128.1,
35,8,Albania,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2009,159.6,
36,8,Albania,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2010,181.7,
37,8,Albania,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2011,183.6,
38,8,Albania,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2012,168.5,
39,8,Albania,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2013,195.2,
40,8,Albania,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2014,231.9,
41,8,Albania,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",2007,69.9,
42,8,Albania,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",2008,73.3,
43,8,Albania,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",2009,122.5,
44,8,Albania,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",2010,77.4,
45,8,Albania,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",2011,119.1,
46,8,Albania,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",2012,94.5,
47,8,Albania,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",2013,69.2,
48,8,Albania,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",2014,44.5,
49,8,Albania,Index of industrial production: Metal products and machinery (Index Base: 2005=100),2007,113.9,Including basic metals.
50,8,Albania,Index of industrial production: Metal products and machinery (Index Base: 2005=100),2008,126.6,Including basic metals.
51,8,Albania,Index of industrial production: Metal products and machinery (Index Base: 2005=100),2009,109.2,Including basic metals.
52,8,Albania,Index of industrial production: Metal products and machinery (Index Base: 2005=100),2010,145.6,Including basic metals.
53,8,Albania,Index of industrial production: Metal products and machinery (Index Base: 2005=100),2011,167.1,Including basic metals.
54,8,Albania,Index of industrial production: Metal products and machinery (Index Base: 2005=100),2012,206.0,Including basic metals.
55,8,Albania,Index of industrial production: Metal products and machinery (Index Base: 2005=100),2013,218.1,Including basic metals.
56,8,Albania,Index of industrial production: Metal products and machinery (Index Base: 2005=100),2014,215.7,Including basic metals.
57,8,Albania,"Index of industrial production: Electricity, gas, steam (Index base: 2005=100)",2007,56.6,
58,8,Albania,"Index of industrial production: Electricity, gas, steam (Index base: 2005=100)",2008,84.1,
59,8,Albania,"Index of industrial production: Electricity, gas, steam (Index base: 2005=100)",2009,66.4,
60,8,Albania,"Index of industrial production: Electricity, gas, steam (Index base: 2005=100)",2010,83.4,
61,8,Albania,"Index of industrial production: Electricity, gas, steam (Index base: 2005=100)",2011,41.0,
62,8,Albania,"Index of industrial production: Electricity, gas, steam (Index base: 2005=100)",2012,57.3,
63,8,Albania,"Index of industrial production: Electricity, gas, steam (Index base: 2005=100)",2013,112.4,
64,8,Albania,"Index of industrial production: Electricity, gas, steam (Index base: 2005=100)",2014,99.7,
65,8,Albania,Index of industrial production: Water and waste management (Index base: 2005=100),2007,102.8,
66,8,Albania,Index of industrial production: Water and waste management (Index base: 2005=100),2008,131.1,
67,8,Albania,Index of industrial production: Water and waste management (Index base: 2005=100),2009,125.5,
68,8,Albania,Index of industrial production: Water and waste management (Index base: 2005=100),2010,110.6,
69,8,Albania,Index of industrial production: Water and waste management (Index base: 2005=100),2011,118.4,
70,8,Albania,Index of industrial production: Water and waste management (Index base: 2005=100),2012,108.4,
71,8,Albania,Index of industrial production: Water and waste management (Index base: 2005=100),2013,116.0,
72,8,Albania,Index of industrial production: Water and waste management (Index base: 2005=100),2014,116.1,
73,12,Algeria,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",2007,97.0,The indices are based on ISIC Rev. 3.
74,12,Algeria,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",2008,98.7,The indices are based on ISIC Rev. 3.
75,12,Algeria,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",2009,99.2,The indices are based on ISIC Rev. 3.
76,12,Algeria,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",2010,96.7,The indices are based on ISIC Rev. 3.
77,12,Algeria,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",2011,97.0,The indices are based on ISIC Rev. 3.
78,12,Algeria,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",2012,98.6,The indices are based on ISIC Rev. 3.
79,12,Algeria,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",2013,99.5,The indices are based on ISIC Rev. 3.
80,12,Algeria,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",2014,104.2,The indices are based on ISIC Rev. 3.
81,12,Algeria,Index of industrial production: Mining (Index base: 2005=100),2007,125.9,The indices are based on ISIC Rev. 3.
82,12,Algeria,Index of industrial production: Mining (Index base: 2005=100),2008,138.3,The indices are based on ISIC Rev. 3.
83,12,Algeria,Index of industrial production: Mining (Index base: 2005=100),2009,143.0,The indices are based on ISIC Rev. 3.
84,12,Algeria,Index of industrial production: Mining (Index base: 2005=100),2010,138.3,The indices are based on ISIC Rev. 3.
85,12,Algeria,Index of industrial production: Mining (Index base: 2005=100),2011,125.2,The indices are based on ISIC Rev. 3.
86,12,Algeria,Index of industrial production: Mining (Index base: 2005=100),2012,118.2,The indices are based on ISIC Rev. 3.
87,12,Algeria,Index of industrial production: Mining (Index base: 2005=100),2013,125.3,The indices are based on ISIC Rev. 3.
88,12,Algeria,Index of industrial production: Mining (Index base: 2005=100),2014,133.6,The indices are based on ISIC Rev. 3.
89,12,Algeria,Index of industrial production: Manufacturing (Index base: 2005=100),2007,87.2,The indices are based on ISIC Rev. 3.
90,12,Algeria,Index of industrial production: Manufacturing (Index base: 2005=100),2008,88.9,The indices are based on ISIC Rev. 3.
91,12,Algeria,Index of industrial production: Manufacturing (Index base: 2005=100),2009,90.4,The indices are based on ISIC Rev. 3.
92,12,Algeria,Index of industrial production: Manufacturing (Index base: 2005=100),2010,85.5,The indices are based on ISIC Rev. 3.
93,12,Algeria,Index of industrial production: Manufacturing (Index base: 2005=100),2011,84.3,The indices are based on ISIC Rev. 3.
94,12,Algeria,Index of industrial production: Manufacturing (Index base: 2005=100),2012,84.3,The indices are based on ISIC Rev. 3.
95,12,Algeria,Index of industrial production: Manufacturing (Index base: 2005=100),2013,85.9,The indices are based on ISIC Rev. 3.
96,12,Algeria,Index of industrial production: Manufacturing (Index base: 2005=100),2014,86.4,The indices are based on ISIC Rev. 3.
97,12,Algeria,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2007,87.1,The indices are based on ISIC Rev. 3.
98,12,Algeria,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2008,93.0,The indices are based on ISIC Rev. 3.
99,12,Algeria,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2009,84.4,The indices are based on ISIC Rev. 3.
100,12,Algeria,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2010,81.7,The indices are based on ISIC Rev. 3.
101,12,Algeria,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2011,98.7,The indices are based on ISIC Rev. 3.
102,12,Algeria,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2012,96.8,The indices are based on ISIC Rev. 3.
103,12,Algeria,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2013,96.0,The indices are based on ISIC Rev. 3.
104,12,Algeria,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2014,103.0,The indices are based on ISIC Rev. 3.
105,12,Algeria,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2007,64.0,The indices are based on ISIC Rev. 3.
106,12,Algeria,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2008,58.7,The indices are based on ISIC Rev. 3.
107,12,Algeria,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2009,59.4,The indices are based on ISIC Rev. 3.
108,12,Algeria,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2010,53.6,The indices are based on ISIC Rev. 3.
109,12,Algeria,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2011,47.6,The indices are based on ISIC Rev. 3.
110,12,Algeria,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2012,42.7,The indices are based on ISIC Rev. 3.
111,12,Algeria,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2013,42.8,The indices are based on ISIC Rev. 3.
112,12,Algeria,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2014,45.6,The indices are based on ISIC Rev. 3.
113,12,Algeria,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",2007,99.2,The indices are based on ISIC Rev. 3.
114,12,Algeria,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",2008,103.8,The indices are based on ISIC Rev. 3.
115,12,Algeria,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",2009,109.1,The indices are based on ISIC Rev. 3.
116,12,Algeria,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",2010,129.2,The indices are based on ISIC Rev. 3.
117,12,Algeria,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",2011,123.7,The indices are based on ISIC Rev. 3.
118,12,Algeria,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",2012,115.7,The indices are based on ISIC Rev. 3.
119,12,Algeria,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",2013,115.3,The indices are based on ISIC Rev. 3.
120,12,Algeria,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",2014,145.9,The indices are based on ISIC Rev. 3.
121,12,Algeria,Index of industrial production: Basic metals (Index base: 2005=100),2007,100.3,The indices are based on ISIC Rev. 3.
122,12,Algeria,Index of industrial production: Basic metals (Index base: 2005=100),2008,133.9,The indices are based on ISIC Rev. 3.
123,12,Algeria,Index of industrial production: Basic metals (Index base: 2005=100),2009,204.3,The indices are based on ISIC Rev. 3.
124,12,Algeria,Index of industrial production: Basic metals (Index base: 2005=100),2010,109.4,The indices are based on ISIC Rev. 3.
125,12,Algeria,Index of industrial production: Basic metals (Index base: 2005=100),2011,57.1,The indices are based on ISIC Rev. 3.
126,12,Algeria,Index of industrial production: Basic metals (Index base: 2005=100),2012,101.4,The indices are based on ISIC Rev. 3.
127,12,Algeria,Index of industrial production: Basic metals (Index base: 2005=100),2013,142.5,The indices are based on ISIC Rev. 3.
128,12,Algeria,Index of industrial production: Basic metals (Index base: 2005=100),2014,108.8,The indices are based on ISIC Rev. 3.
129,12,Algeria,Index of industrial production: Metal products and machinery (Index Base: 2005=100),2007,77.9,The indices are based on ISIC Rev. 3.
130,12,Algeria,Index of industrial production: Metal products and machinery (Index Base: 2005=100),2008,75.8,The indices are based on ISIC Rev. 3.
131,12,Algeria,Index of industrial production: Metal products and machinery (Index Base: 2005=100),2009,74.7,The indices are based on ISIC Rev. 3.
132,12,Algeria,Index of industrial production: Metal products and machinery (Index Base: 2005=100),2010,73.9,The indices are based on ISIC Rev. 3.
133,12,Algeria,Index of industrial production: Metal products and machinery (Index Base: 2005=100),2011,80.6,The indices are based on ISIC Rev. 3.
134,12,Algeria,Index of industrial production: Metal products and machinery (Index Base: 2005=100),2012,82.1,The indices are based on ISIC Rev. 3.
135,12,Algeria,Index of industrial production: Metal products and machinery (Index Base: 2005=100),2013,83.2,The indices are based on ISIC Rev. 3.
136,12,Algeria,Index of industrial production: Metal products and machinery (Index Base: 2005=100),2014,70.3,The indices are based on ISIC Rev. 3.
137,12,Algeria,"Index of industrial production: Electricity, gas and water (Index base: 2005=100)",2007,109.5,The indices are based on ISIC Rev. 3.;Data refers to electricity only.
138,12,Algeria,"Index of industrial production: Electricity, gas and water (Index base: 2005=100)",2008,118.2,The indices are based on ISIC Rev. 3.;Data refers to electricity only.
139,12,Algeria,"Index of industrial production: Electricity, gas and water (Index base: 2005=100)",2009,126.6,The indices are based on ISIC Rev. 3.;Data refers to electricity only.
140,12,Algeria,"Index of industrial production: Electricity, gas and water (Index base: 2005=100)",2010,133.7,The indices are based on ISIC Rev. 3.;Data refers to electricity only.
141,12,Algeria,"Index of industrial production: Electricity, gas and water (Index base: 2005=100)",2011,144.6,The indices are based on ISIC Rev. 3.;Data refers to electricity only.
142,12,Algeria,"Index of industrial production: Electricity, gas and water (Index base: 2005=100)",2012,162.2,The indices are based on ISIC Rev. 3.;Data refers to electricity only.
143,12,Algeria,"Index of industrial production: Electricity, gas and water (Index base: 2005=100)",2013,165.6,The indices are based on ISIC Rev. 3.;Data refers to electricity only.
144,12,Algeria,"Index of industrial production: Electricity, gas and water (Index base: 2005=100)",2014,178.9,The indices are based on ISIC Rev. 3.;Data refers to electricity only.
145,32,Argentina,Index of industrial production: Manufacturing (Index base: 2005=100),2007,119.6,The indices are based on ISIC Rev. 3.
146,32,Argentina,Index of industrial production: Manufacturing (Index base: 2005=100),2008,126.3,The indices are based on ISIC Rev. 3.
147,32,Argentina,Index of industrial production: Manufacturing (Index base: 2005=100),2009,127.0,The indices are based on ISIC Rev. 3.
148,32,Argentina,Index of industrial production: Manufacturing (Index base: 2005=100),2010,142.8,The indices are based on ISIC Rev. 3.
149,32,Argentina,Index of industrial production: Manufacturing (Index base: 2005=100),2011,162.4,The indices are based on ISIC Rev. 3.
150,32,Argentina,Index of industrial production: Manufacturing (Index base: 2005=100),2012,165.1,The indices are based on ISIC Rev. 3.
151,32,Argentina,Index of industrial production: Manufacturing (Index base: 2005=100),2013,171.0,The indices are based on ISIC Rev. 3.
152,32,Argentina,Index of industrial production: Manufacturing (Index base: 2005=100),2014,169.4,The indices are based on ISIC Rev. 3.
153,32,Argentina,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2007,116.8,The indices are based on ISIC Rev. 3.
154,32,Argentina,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2008,127.9,The indices are based on ISIC Rev. 3.
155,32,Argentina,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2009,139.7,The indices are based on ISIC Rev. 3.
156,32,Argentina,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2010,149.9,The indices are based on ISIC Rev. 3.
157,32,Argentina,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2011,173.5,The indices are based on ISIC Rev. 3.
158,32,Argentina,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2012,186.6,The indices are based on ISIC Rev. 3.
159,32,Argentina,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2013,197.6,The indices are based on ISIC Rev. 3.
160,32,Argentina,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2014,200.4,The indices are based on ISIC Rev. 3.
161,32,Argentina,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2007,116.6,The indices are based on ISIC Rev. 3.
162,32,Argentina,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2008,112.9,The indices are based on ISIC Rev. 3.
163,32,Argentina,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2009,112.6,The indices are based on ISIC Rev. 3.
164,32,Argentina,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2010,136.8,The indices are based on ISIC Rev. 3.
165,32,Argentina,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2011,156.4,The indices are based on ISIC Rev. 3.
166,32,Argentina,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2012,158.5,The indices are based on ISIC Rev. 3.
167,32,Argentina,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2013,170.5,The indices are based on ISIC Rev. 3.
168,32,Argentina,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2014,173.9,The indices are based on ISIC Rev. 3.
169,32,Argentina,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",2007,115.9,The indices are based on ISIC Rev. 3.
170,32,Argentina,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",2008,120.9,The indices are based on ISIC Rev. 3.
171,32,Argentina,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",2009,130.7,The indices are based on ISIC Rev. 3.
172,32,Argentina,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",2010,138.9,The indices are based on ISIC Rev. 3.
173,32,Argentina,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",2011,146.9,The indices are based on ISIC Rev. 3.
174,32,Argentina,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",2012,152.0,The indices are based on ISIC Rev. 3.
175,32,Argentina,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",2013,155.2,The indices are based on ISIC Rev. 3.
176,32,Argentina,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",2014,155.2,The indices are based on ISIC Rev. 3.
177,32,Argentina,Index of industrial production: Basic metals (Index base: 2005=100),2007,111.7,The indices are based on ISIC Rev. 3.
178,32,Argentina,Index of industrial production: Basic metals (Index base: 2005=100),2008,122.9,The indices are based on ISIC Rev. 3.
179,32,Argentina,Index of industrial production: Basic metals (Index base: 2005=100),2009,104.2,The indices are based on ISIC Rev. 3.
180,32,Argentina,Index of industrial production: Basic metals (Index base: 2005=100),2010,127.3,The indices are based on ISIC Rev. 3.
181,32,Argentina,Index of industrial production: Basic metals (Index base: 2005=100),2011,150.2,The indices are based on ISIC Rev. 3.
182,32,Argentina,Index of industrial production: Basic metals (Index base: 2005=100),2012,137.2,The indices are based on ISIC Rev. 3.
183,32,Argentina,Index of industrial production: Basic metals (Index base: 2005=100),2013,140.7,The indices are based on ISIC Rev. 3.
184,32,Argentina,Index of industrial production: Basic metals (Index base: 2005=100),2014,144.7,The indices are based on ISIC Rev. 3.
185,32,Argentina,Index of industrial production: Metal products and machinery (Index Base: 2005=100),2007,133.0,The indices are based on ISIC Rev. 3.
186,32,Argentina,Index of industrial production: Metal products and machinery (Index Base: 2005=100),2008,137.8,The indices are based on ISIC Rev. 3.
187,32,Argentina,Index of industrial production: Metal products and machinery (Index Base: 2005=100),2009,119.2,The indices are based on ISIC Rev. 3.
188,32,Argentina,Index of industrial production: Metal products and machinery (Index Base: 2005=100),2010,149.1,The indices are based on ISIC Rev. 3.
189,32,Argentina,Index of industrial production: Metal products and machinery (Index Base: 2005=100),2011,175.3,The indices are based on ISIC Rev. 3.
190,32,Argentina,Index of industrial production: Metal products and machinery (Index Base: 2005=100),2012,161.6,The indices are based on ISIC Rev. 3.
191,32,Argentina,Index of industrial production: Metal products and machinery (Index Base: 2005=100),2013,156.8,The indices are based on ISIC Rev. 3.
192,32,Argentina,Index of industrial production: Metal products and machinery (Index Base: 2005=100),2014,137.2,The indices are based on ISIC Rev. 3.
193,32,Argentina,"Index of industrial production: Electricity, gas and water (Index base: 2005=100)",2007,108.3,The indices are based on ISIC Rev. 3.;Data refers to electricity only.
194,32,Argentina,"Index of industrial production: Electricity, gas and water (Index base: 2005=100)",2008,115.3,The indices are based on ISIC Rev. 3.;Data refers to electricity only.
195,32,Argentina,"Index of industrial production: Electricity, gas and water (Index base: 2005=100)",2009,114.8,The indices are based on ISIC Rev. 3.;Data refers to electricity only.
196,32,Argentina,"Index of industrial production: Electricity, gas and water (Index base: 2005=100)",2010,119.3,The indices are based on ISIC Rev. 3.;Data refers to electricity only.
197,32,Argentina,"Index of industrial production: Electricity, gas and water (Index base: 2005=100)",2011,124.9,The indices are based on ISIC Rev. 3.;Data refers to electricity only.
198,32,Argentina,"Index of industrial production: Electricity, gas and water (Index base: 2005=100)",2012,129.7,The indices are based on ISIC Rev. 3.;Data refers to electricity only.
199,32,Argentina,"Index of industrial production: Electricity, gas and water (Index base: 2005=100)",2013,133.8,The indices are based on ISIC Rev. 3.;Data refers to electricity only.
200,32,Argentina,"Index of industrial production: Electricity, gas and water (Index base: 2005=100)",2014,135.3,The indices are based on ISIC Rev. 3.;Data refers to electricity only.
201,51,Armenia,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",2007,101.7,The indices are based on ISIC Rev. 3.
202,51,Armenia,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",2008,103.4,The indices are based on ISIC Rev. 3.
203,51,Armenia,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",2009,95.7,The indices are based on ISIC Rev. 3.
204,51,Armenia,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",2010,104.9,The indices are based on ISIC Rev. 3.
