,City,Home/apartment_avg_price,Private_room_avg_price,Hotel_room_avg_price,Country,Continent,Total GDP,GDP per capita,Country GDP per capita
0,Atenas,82.02812091898429,68.95276824034335,178.65463687150836,Grecia,Europa,129623,32484,19172
1,Austin,314.1285482055771,114.00185099490976,610.1538461538462,Estados Unidos,América del Norte,107364,55420,65474
2,Boston,201.39151398264224,87.44424934152765,235.22222222222223,Estados Unidos,América del Norte,360110,76204,65474
3,Chicago,176.80683129471498,84.01503340757239,517.2837837837837,Estados Unidos,América del Norte,563188,58861,65474
4,Nueva York,201.32095363079614,91.80095619084788,311.17525773195877,Estados Unidos,América del Norte,1403463,69915,65474
5,Seattle,147.49172374429224,70.12325285895807,145.8,Estados Unidos,América del Norte,267473,73012,65474
6,Barcelona,136.75822420004238,62.06193156509414,255.20975342465752,España,Europa,171032,36157,29442
7,Madrid,158.79737269002425,95.11121670626486,119.25980676328503,España,Europa,262335,39288,29442
8,Sevilla,117.53703757225433,55.02612487611496,99.4376923076923,España,Europa,35796,24416,29442
9,Valencia,95.42602034191734,52.14580540976988,95.25818181818182,España,Europa,52748,28289,29442
10,Berlín,102.2220308084951,51.84485880873442,136.32591304347824,Alemania,Europa,157706,36259,46241
11,Bordeaux,116.89346470019342,58.916759298845655,139.81795918367345,Francia,Europa,40189,35235,40471
12,París,137.61873810856184,93.34122299225439,245.99584659913168,Francia,Europa,715080,57241,40471
13,Bristol,158.20875,63.13424193548387,99.02666666666667,Reino Unido,Europa,47659,42326,42146
14,Edimburgo,201.22997863755046,125.31777020890101,307.91962962962964,Reino Unido,Europa,32497,58437,42146
15,Bruselas,106.03981182795698,65.16133742331287,182.8672222222222,Bélgica,Europa,254327,46298,45855
16,Buenos Aires,52.69942406015038,25.938332629355862,716.1330481283422,Argentina,América del Sur,315885,23606,11658
17,Ciudad de México,75.81510070544935,41.77907428571429,92.78151750972762,México,América del Norte,403561,19239,9797
18,Ciudad del Cabo,174.85658459869848,77.00782520325204,190.00784660766962,Sudáfrica,África,58863,14086,6354
19,Copenhague,185.2337278274443,93.8685275645499,113.26344827586206,Dinamarca,Europa,127001,42220,60897
20,Dublín,207.50296798697775,96.43291738594328,148.60236842105263,Irlanda,Europa,90137,51319,78308
21,Estambul,84.17594839857651,44.929810810810814,96.80828125000001,Turquía,Europa,348721,24867,9405
22,Estocolmo,159.55375394321766,86.02330275229357,76.41866666666667,Suecia,Europa,142953,56250,51455
23,Florencia,131.5734958077138,79.20649900199601,132.7265873015873,Italia,Europa,52536,35627,33219
24,Roma,132.09263483985174,99.50542448614833,108.12302848575712,Italia,Europa,163243,38025,33219
25,Hong Kong,146.27875618105745,79.9175336209084,132.4900568181818,China,Asia,416047,57244,9580
26,Pekín,164.11165913952934,101.95809518806472,,China,Asia,506137,23390,9580
27,Shanghái,129.32426894817297,75.55437609227542,0.0,China,Asia,594005,24065,9580
28,Melbourne,144.2408916782134,68.34840078695896,165.23613861386139,Australia,Oceanía,178392,40244,56420
29,Sídney,207.09294397977047,74.65242910564038,136.36435146443515,Australia,Oceanía,223413,46344,56420
30,Porto,105.45052786922466,56.18797088262056,171.26388888888889,Portugal,Europa,42983,21674,23193
31,Praga,102.65988965296657,74.86927443609022,158.03039473684208,República Checa,Europa,89181,46947,23113
32,Río de Janeiro,152.6815172413793,76.7018216080402,86.94151260504202,Brasil,América del Sur,176630,14176,8917
33,Santiago de Chile,99.60787934782608,62.80980869810257,147.45522297297296,Chile,América del Sur,171436,23929,15065
34,Singapur,177.39232016210738,76.44723018147086,79.43959677419355,Singapur,Asia,365928,66864,65977
35,Tokio,109.44124537386017,105.02045143531261,64.856182278481,Japón,Asia,1617000,68776,39293
36,Toronto,129.87542059219382,56.53014546580006,82.80380952380952,Canadá,América del Norte,276313,45771,46290
37,Vancouver,135.52168421052633,63.63210762331839,82.65,Canadá,América del Norte,109805,44337,46290
38,Viena,93.9982699577496,59.104828269484806,143.2940594059406,Austria,Europa,183712,48546,50143
39,Ámsterdam,202.54936579378068,112.06299337072922,172.37686567164178,Países Bajos,Europa,320600,45265,52108
