,Date,Value
0,2017-01-03,88.6
1,2017-01-04,90.51
2,2017-01-05,94.37
3,2017-01-06,93.89
4,2017-01-09,94.72
5,2017-01-10,96.75
6,2017-01-11,96.94
7,2017-01-12,95.9
8,2017-01-13,96.27
9,2017-01-17,96.12
10,2017-01-18,96.0
11,2017-01-19,96.17
12,2017-01-20,96.06
13,2017-01-23,98.41
14,2017-01-24,101.43
15,2017-01-25,104.06
16,2017-01-26,102.75
17,2017-01-27,102.07
18,2017-01-30,101.02
19,2017-01-31,101.31
20,2017-02-01,101.57
21,2017-02-02,100.84
22,2017-02-03,100.39
23,2017-02-06,100.9
24,2017-02-07,100.83
25,2017-02-08,103.57
26,2017-02-09,103.34
27,2017-02-10,102.36
28,2017-02-13,103.1
29,2017-02-14,101.59
30,2017-02-15,101.55
31,2017-02-16,100.82
32,2017-02-17,100.52
33,2017-02-21,102.12
34,2017-02-22,104.2
35,2017-02-23,102.46
36,2017-02-24,102.95
37,2017-02-27,103.6
38,2017-02-28,102.9
39,2017-03-01,104.04
40,2017-03-02,103.19
41,2017-03-03,103.31
42,2017-03-06,102.31
43,2017-03-07,102.63
44,2017-03-08,103.22
45,2017-03-09,103.24
46,2017-03-10,103.39
47,2017-03-13,105.18
48,2017-03-14,104.25
49,2017-03-15,103.69
50,2017-03-16,105.63
51,2017-03-17,105.61
52,2017-03-20,107.25
53,2017-03-21,105.09
54,2017-03-22,106.09
55,2017-03-23,108.25
56,2017-03-24,108.04
57,2017-03-27,108.08
58,2017-03-28,107.8
59,2017-03-29,109.51
60,2017-03-30,108.85
61,2017-03-31,107.83
62,2017-04-03,108.09
63,2017-04-04,107.52
64,2017-04-05,107.44
65,2017-04-06,108.04
66,2017-04-07,108.99
67,2017-04-10,111.7
68,2017-04-11,110.44
69,2017-04-12,110.63
70,2017-04-13,110.21
71,2017-04-17,111.76
72,2017-04-18,111.23
73,2017-04-19,110.76
74,2017-04-20,112.96
75,2017-04-21,113.11
76,2017-04-24,114.86
77,2017-04-25,115.48
78,2017-04-26,114.97
79,2017-04-27,115.43
80,2017-04-28,115.5
81,2017-05-01,116.68
82,2017-05-02,118.09
83,2017-05-03,116.57
84,2017-05-04,115.86
85,2017-05-05,116.04
86,2017-05-08,116.86
87,2017-05-09,120.0
88,2017-05-10,119.98
89,2017-05-11,120.16
90,2017-05-12,120.34
91,2017-05-15,121.4
92,2017-05-16,124.02
93,2017-05-17,120.72
94,2017-05-18,121.27
95,2017-05-19,123.22
96,2017-05-22,124.75
97,2017-05-23,122.93
98,2017-05-24,122.81
99,2017-05-25,123.63
100,2017-05-26,123.99
101,2017-05-30,123.91
102,2017-05-31,122.46
103,2017-06-01,123.97
104,2017-06-02,124.13
105,2017-06-05,125.37
106,2017-06-06,124.62
107,2017-06-07,125.64
108,2017-06-08,142.34
109,2017-06-09,139.44
110,2017-06-12,139.08
111,2017-06-13,136.6
112,2017-06-14,136.67
113,2017-06-15,135.08
114,2017-06-16,134.87
115,2017-06-19,139.47
116,2017-06-20,138.38
117,2017-06-21,143.29
