,Date,Value
0,2017-01-03,753.67
1,2017-01-04,757.18
2,2017-01-05,780.45
3,2017-01-06,795.99
4,2017-01-09,796.92
5,2017-01-10,795.9
6,2017-01-11,799.02
7,2017-01-12,813.64
8,2017-01-13,817.14
9,2017-01-17,809.72
10,2017-01-18,807.48
11,2017-01-19,809.04
12,2017-01-20,808.33
13,2017-01-23,817.88
14,2017-01-24,822.44
15,2017-01-25,836.52
16,2017-01-26,839.15
17,2017-01-27,835.77
18,2017-01-30,830.38
19,2017-01-31,823.48
20,2017-02-01,832.35
21,2017-02-02,839.95
22,2017-02-03,810.2
23,2017-02-06,807.64
24,2017-02-07,812.5
25,2017-02-08,819.71
26,2017-02-09,821.36
27,2017-02-10,827.46
28,2017-02-13,836.53
29,2017-02-14,836.39
30,2017-02-15,842.7
31,2017-02-16,844.14
32,2017-02-17,845.07
33,2017-02-21,856.44
34,2017-02-22,855.61
35,2017-02-23,852.19
36,2017-02-24,845.24
37,2017-02-27,848.64
38,2017-02-28,845.04
39,2017-03-01,853.08
40,2017-03-02,848.91
41,2017-03-03,849.88
42,2017-03-06,846.61
43,2017-03-07,846.02
44,2017-03-08,850.5
45,2017-03-09,853.0
46,2017-03-10,852.46
47,2017-03-13,854.59
48,2017-03-14,852.53
49,2017-03-15,852.97
50,2017-03-16,853.42
51,2017-03-17,852.31
52,2017-03-20,856.97
53,2017-03-21,843.2
54,2017-03-22,848.06
55,2017-03-23,847.38
56,2017-03-24,845.61
57,2017-03-27,846.82
58,2017-03-28,856.0
59,2017-03-29,874.32
60,2017-03-30,876.34
61,2017-03-31,886.54
62,2017-04-03,891.51
63,2017-04-04,906.83
64,2017-04-05,909.28
65,2017-04-06,898.28
66,2017-04-07,894.88
67,2017-04-10,907.04
68,2017-04-11,902.36
69,2017-04-12,896.23
70,2017-04-13,884.67
71,2017-04-17,901.99
72,2017-04-18,903.78
73,2017-04-19,899.2
74,2017-04-20,902.06
75,2017-04-21,898.53
76,2017-04-24,907.41
77,2017-04-25,907.62
78,2017-04-26,909.29
79,2017-04-27,918.38
80,2017-04-28,924.99
81,2017-05-01,948.23
82,2017-05-02,946.94
83,2017-05-03,941.03
84,2017-05-04,937.53
85,2017-05-05,934.15
86,2017-05-08,949.04
87,2017-05-09,952.82
88,2017-05-10,948.95
89,2017-05-11,947.62
90,2017-05-12,961.35
91,2017-05-15,957.97
92,2017-05-16,966.07
93,2017-05-17,944.76
94,2017-05-18,958.49
95,2017-05-19,959.84
96,2017-05-22,970.67
97,2017-05-23,971.54
98,2017-05-24,980.35
99,2017-05-25,993.38
100,2017-05-26,995.78
101,2017-05-30,996.7
102,2017-05-31,994.62
103,2017-06-01,995.95
104,2017-06-02,1006.73
105,2017-06-05,1011.34
106,2017-06-06,1003.0
107,2017-06-07,1010.07
108,2017-06-08,1010.27
109,2017-06-09,978.31
110,2017-06-12,964.91
111,2017-06-13,980.79
112,2017-06-14,976.47
113,2017-06-15,964.17
114,2017-06-16,987.71
115,2017-06-19,995.17
116,2017-06-20,992.59
117,2017-06-21,1002.23
118,2017-06-22,1001.3
119,2017-06-23,1003.74
120,2017-06-26,993.98
121,2017-06-27,976.78
122,2017-06-28,990.33
123,2017-06-29,975.93
124,2017-06-30,968.0
125,2017-07-03,953.66
126,2017-07-05,971.4
127,2017-07-06,965.14
128,2017-07-07,978.76
129,2017-07-10,996.47
130,2017-07-11,994.13
131,2017-07-12,1006.51
132,2017-07-13,1000.63
133,2017-07-14,1001.81
134,2017-07-17,1010.04
135,2017-07-18,1024.45
136,2017-07-19,1026.87
137,2017-07-20,1028.7
138,2017-07-21,1025.67
139,2017-07-24,1038.95
140,2017-07-25,1039.87
141,2017-07-26,1052.8
142,2017-07-27,1046.0
143,2017-07-28,1020.04
144,2017-07-31,987.78
145,2017-08-01,996.19
146,2017-08-02,995.89
147,2017-08-03,986.92
148,2017-08-04,987.58
149,2017-08-07,992.27
150,2017-08-08,989.84
151,2017-08-09,982.01
152,2017-08-10,956.92
153,2017-08-11,967.99
154,2017-08-14,983.3
155,2017-08-15,982.74
156,2017-08-16,978.18
157,2017-08-17,960.57
158,2017-08-18,958.47
159,2017-08-21,953.29
160,2017-08-22,966.9
161,2017-08-23,958.0
162,2017-08-24,952.45
163,2017-08-25,945.26
164,2017-08-28,946.02
165,2017-08-29,954.06
166,2017-08-30,967.59
167,2017-08-31,980.6
168,2017-09-01,978.25
169,2017-09-05,965.27
170,2017-09-06,967.8
171,2017-09-07,979.47
172,2017-09-08,965.9
173,2017-09-11,977.96
