,Date,Index
0,2017-01-03,103.23
1,2017-01-04,102.52
2,2017-01-05,101.44
3,2017-01-06,102.2
4,2017-01-09,101.85
5,2017-01-10,102.02
6,2017-01-11,101.73
7,2017-01-12,101.46
8,2017-01-13,101.19
9,2017-01-16,101.63
10,2017-01-17,100.32
11,2017-01-18,101.29
12,2017-01-19,101.17
13,2017-01-20,100.81
14,2017-01-23,99.91
15,2017-01-24,100.27
16,2017-01-25,99.93
17,2017-01-26,100.52
18,2017-01-27,100.56
19,2017-01-30,100.4
20,2017-01-31,99.57
21,2017-02-01,99.75
22,2017-02-02,99.82
23,2017-02-03,99.73
24,2017-02-06,99.9
25,2017-02-07,100.41
26,2017-02-08,100.18
27,2017-02-09,100.67
28,2017-02-10,100.71
29,2017-02-13,101.0
30,2017-02-14,101.21
31,2017-02-15,101.14
32,2017-02-16,100.52
33,2017-02-17,100.9
34,2017-02-20,100.89
35,2017-02-21,101.46
36,2017-02-22,101.33
37,2017-02-23,100.99
38,2017-02-24,101.12
39,2017-02-27,101.16
40,2017-02-28,101.38
41,2017-03-01,101.71
42,2017-03-02,102.14
43,2017-03-03,101.54
44,2017-03-06,101.67
45,2017-03-07,101.81
46,2017-03-08,102.11
47,2017-03-09,102.01
48,2017-03-10,101.38
49,2017-03-13,101.31
50,2017-03-14,101.74
51,2017-03-15,100.74
52,2017-03-16,100.23
53,2017-03-17,100.3
54,2017-03-20,100.41
55,2017-03-21,99.75
56,2017-03-22,99.73
57,2017-03-23,99.76
58,2017-03-24,99.77
59,2017-03-27,99.22
60,2017-03-28,99.69
61,2017-03-29,99.93
62,2017-03-30,100.52
63,2017-03-31,100.56
64,2017-04-03,100.5
65,2017-04-04,100.48
66,2017-04-05,100.52
67,2017-04-06,100.72
68,2017-04-07,101.13
69,2017-04-10,101.0
70,2017-04-11,100.7
71,2017-04-12,100.12
72,2017-04-13,100.57
73,2017-04-14,100.51
74,2017-04-17,100.3
75,2017-04-18,99.51
76,2017-04-19,99.81
77,2017-04-20,99.81
78,2017-04-21,99.75
79,2017-04-24,99.06
80,2017-04-25,98.84
81,2017-04-26,98.97
82,2017-04-27,99.15
83,2017-04-28,99.04
84,2017-05-01,99.15
85,2017-05-02,98.95
86,2017-05-03,99.37
87,2017-05-04,98.78
88,2017-05-05,98.58
89,2017-05-08,99.17
90,2017-05-09,99.56
91,2017-05-10,99.63
92,2017-05-11,99.65
93,2017-05-12,99.19
94,2017-05-15,98.9
95,2017-05-16,98.22
96,2017-05-17,97.38
97,2017-05-18,97.91
98,2017-05-19,97.12
99,2017-05-22,96.98
100,2017-05-23,97.36
101,2017-05-24,97.08
102,2017-05-25,97.22
103,2017-05-26,97.4
104,2017-05-29,97.55
105,2017-05-30,97.4
106,2017-05-31,96.98
107,2017-06-01,97.2
108,2017-06-02,96.67
109,2017-06-05,96.82
110,2017-06-06,96.55
111,2017-06-07,96.7
112,2017-06-08,97.22
113,2017-06-09,97.28
114,2017-06-12,97.15
115,2017-06-13,97.01
116,2017-06-14,96.94
117,2017-06-15,97.48
118,2017-06-16,97.14
119,2017-06-19,97.53
120,2017-06-20,97.75
121,2017-06-21,97.54
122,2017-06-22,97.54
123,2017-06-23,97.3
124,2017-06-26,97.41
125,2017-06-27,96.49
126,2017-06-28,96.04
127,2017-06-29,95.58
128,2017-06-30,95.63
129,2017-07-03,96.21
130,2017-07-04,96.26
131,2017-07-05,96.21
132,2017-07-06,95.81
133,2017-07-07,96.0
134,2017-07-10,96.06
135,2017-07-11,95.76
136,2017-07-12,95.51
137,2017-07-13,95.51
138,2017-07-14,94.93
139,2017-07-17,94.9
140,2017-07-18,94.4
141,2017-07-19,94.59
142,2017-07-20,94.12
143,2017-07-21,93.68
144,2017-07-24,93.8
145,2017-07-25,93.89
146,2017-07-26,93.5
147,2017-07-27,93.72
148,2017-07-28,93.11
149,2017-07-31,92.72
150,2017-08-01,92.9
151,2017-08-02,92.7
152,2017-08-03,92.71
153,2017-08-04,93.42
154,2017-08-07,93.31
155,2017-08-08,93.52
156,2017-08-09,93.43
157,2017-08-10,93.3
158,2017-08-11,92.96
159,2017-08-14,93.3
160,2017-08-15,93.76
161,2017-08-16,93.44
162,2017-08-17,93.53
163,2017-08-18,93.36
164,2017-08-21,93.01
165,2017-08-22,93.46
166,2017-08-23,93.07
167,2017-08-24,93.2
168,2017-08-25,92.68
169,2017-08-28,92.14
170,2017-08-29,92.18
171,2017-08-30,92.82
172,2017-08-31,92.63
173,2017-09-01,92.77
174,2017-09-04,92.77
175,2017-09-05,92.23
176,2017-09-06,92.25
177,2017-09-07,91.64
178,2017-09-08,91.33
179,2017-09-11,91.85
180,2017-09-12,91.86
181,2017-09-13,92.51
182,2017-09-14,92.11
183,2017-09-15,91.86
184,2017-09-18,91.82
