,Date,Index
0,2017-01-02,171.77
1,2017-01-03,171.26
2,2017-01-04,171.78
3,2017-01-05,172.57
4,2017-01-06,172.77
5,2017-01-09,174.27
6,2017-01-10,173.84
7,2017-01-11,173.95
8,2017-01-12,174.66
9,2017-01-13,174.79
10,2017-01-16,175.45
11,2017-01-17,173.96
12,2017-01-18,174.09
13,2017-01-19,174.03
14,2017-01-20,174.3
15,2017-01-23,173.81
16,2017-01-24,173.46
17,2017-01-25,172.87
18,2017-01-26,172.23
19,2017-01-27,172.86
20,2017-01-30,173.15
21,2017-01-31,173.81
22,2017-02-01,172.89
23,2017-02-02,173.71
24,2017-02-03,174.33
25,2017-02-06,173.79
26,2017-02-07,172.54
27,2017-02-08,172.45
28,2017-02-09,172.38
29,2017-02-10,172.2
30,2017-02-13,171.33
31,2017-02-14,171.51
32,2017-02-15,171.84
33,2017-02-16,172.65
34,2017-02-17,172.22
35,2017-02-20,171.95
36,2017-02-21,170.76
37,2017-02-22,171.2
38,2017-02-23,170.72
39,2017-02-24,171.08
40,2017-02-27,171.73
41,2017-02-28,171.98
42,2017-03-01,172.37
43,2017-03-02,172.03
44,2017-03-03,173.5
45,2017-03-06,173.4
46,2017-03-07,173.43
47,2017-03-08,173.41
48,2017-03-09,174.18
49,2017-03-10,175.72
50,2017-03-13,174.86
51,2017-03-14,174.62
52,2017-03-15,175.22
53,2017-03-16,175.33
54,2017-03-17,174.41
55,2017-03-20,174.61
56,2017-03-21,174.75
57,2017-03-22,174.41
58,2017-03-23,173.88
59,2017-03-24,174.5
60,2017-03-27,174.72
61,2017-03-28,174.83
62,2017-03-29,174.27
63,2017-03-30,172.84
64,2017-03-31,172.08
65,2017-04-03,172.37
66,2017-04-04,172.81
67,2017-04-05,172.27
68,2017-04-06,172.1
69,2017-04-07,172.18
70,2017-04-10,171.78
71,2017-04-11,171.2
72,2017-04-12,171.62
73,2017-04-13,171.13
74,2017-04-14,170.85
75,2017-04-17,171.16
76,2017-04-18,170.28
77,2017-04-19,170.49
78,2017-04-20,170.44
79,2017-04-21,170.21
80,2017-04-24,172.99
81,2017-04-25,173.83
82,2017-04-26,173.39
83,2017-04-27,172.49
84,2017-04-28,172.47
85,2017-05-01,173.12
86,2017-05-02,173.21
87,2017-05-03,173.12
88,2017-05-04,174.13
89,2017-05-05,173.94
90,2017-05-08,173.33
91,2017-05-09,172.81
92,2017-05-10,172.77
93,2017-05-11,172.94
94,2017-05-12,173.9
95,2017-05-15,174.54
96,2017-05-16,175.85
97,2017-05-17,176.28
98,2017-05-18,175.74
99,2017-05-19,176.5
100,2017-05-22,177.28
101,2017-05-23,176.85
102,2017-05-24,177.18
103,2017-05-25,177.4
104,2017-05-26,177.66
105,2017-05-29,177.22
106,2017-05-30,177.88
107,2017-05-31,178.19
108,2017-06-01,177.77
109,2017-06-02,178.62
110,2017-06-05,178.09
111,2017-06-06,178.2
112,2017-06-07,177.6
113,2017-06-08,178.46
114,2017-06-09,178.45
115,2017-06-12,178.98
116,2017-06-13,178.48
117,2017-06-14,178.62
118,2017-06-15,177.69
119,2017-06-16,178.28
120,2017-06-19,177.96
121,2017-06-20,178.55
122,2017-06-21,178.66
123,2017-06-22,178.34
124,2017-06-23,178.68
125,2017-06-26,178.6
126,2017-06-27,180.26
127,2017-06-28,180.0
128,2017-06-29,180.36
129,2017-06-30,179.99
130,2017-07-03,179.95
131,2017-07-04,179.8
132,2017-07-05,179.73
133,2017-07-06,180.55
134,2017-07-07,181.06
135,2017-07-10,181.04
136,2017-07-11,182.32
137,2017-07-12,181.06
138,2017-07-13,180.53
139,2017-07-14,180.22
140,2017-07-17,180.73
141,2017-07-18,181.86
