,Date,Value
0,2017-01-03,116.86
1,2017-01-04,118.69
2,2017-01-05,120.67
3,2017-01-06,123.41
4,2017-01-09,124.9
5,2017-01-10,124.35
6,2017-01-11,126.09
7,2017-01-12,126.62
8,2017-01-13,128.34
9,2017-01-17,127.87
10,2017-01-18,127.92
11,2017-01-19,127.55
12,2017-01-20,127.04
13,2017-01-23,128.93
14,2017-01-24,129.37
15,2017-01-25,131.48
16,2017-01-26,132.78
17,2017-01-27,132.18
18,2017-01-30,130.98
19,2017-01-31,130.32
20,2017-02-01,133.23
21,2017-02-02,130.84
22,2017-02-03,130.98
23,2017-02-06,132.06
24,2017-02-07,131.84
25,2017-02-08,134.2
26,2017-02-09,134.14
27,2017-02-10,134.19
28,2017-02-13,134.05
29,2017-02-14,133.85
30,2017-02-15,133.44
31,2017-02-16,133.84
32,2017-02-17,133.53
33,2017-02-21,133.72
34,2017-02-22,136.12
35,2017-02-23,135.36
36,2017-02-24,135.44
37,2017-02-27,136.41
38,2017-02-28,135.54
39,2017-03-01,137.42
40,2017-03-02,136.76
41,2017-03-03,137.17
42,2017-03-06,137.42
43,2017-03-07,137.3
44,2017-03-08,137.72
45,2017-03-09,138.24
46,2017-03-10,138.79
47,2017-03-13,139.6
48,2017-03-14,139.32
49,2017-03-15,139.72
50,2017-03-16,139.99
51,2017-03-17,139.84
52,2017-03-20,139.94
53,2017-03-21,138.51
54,2017-03-22,139.59
55,2017-03-23,139.53
56,2017-03-24,140.34
57,2017-03-27,140.32
58,2017-03-28,141.76
59,2017-03-29,142.65
60,2017-03-30,142.41
61,2017-03-31,142.05
62,2017-04-03,142.28
63,2017-04-04,141.73
64,2017-04-05,141.85
65,2017-04-06,141.17
66,2017-04-07,140.78
67,2017-04-10,141.04
68,2017-04-11,139.92
69,2017-04-12,139.58
70,2017-04-13,139.39
71,2017-04-17,141.42
72,2017-04-18,140.96
73,2017-04-19,142.27
74,2017-04-20,143.8
75,2017-04-21,143.68
76,2017-04-24,145.47
77,2017-04-25,146.49
78,2017-04-26,146.56
79,2017-04-27,147.7
80,2017-04-28,150.25
81,2017-05-01,152.46
82,2017-05-02,152.78
83,2017-05-03,151.8
84,2017-05-04,150.85
85,2017-05-05,150.24
86,2017-05-08,151.06
87,2017-05-09,150.48
88,2017-05-10,150.29
89,2017-05-11,150.04
90,2017-05-12,150.33
91,2017-05-15,150.19
92,2017-05-16,149.78
93,2017-05-17,144.85
94,2017-05-18,147.66
95,2017-05-19,148.06
96,2017-05-22,148.24
97,2017-05-23,148.07
98,2017-05-24,150.04
99,2017-05-25,151.96
100,2017-05-26,152.13
101,2017-05-30,152.38
102,2017-05-31,151.46
103,2017-06-01,151.53
104,2017-06-02,153.61
105,2017-06-05,153.63
106,2017-06-06,152.81
107,2017-06-07,153.12
108,2017-06-08,154.71
109,2017-06-09,149.6
110,2017-06-12,148.44
111,2017-06-13,150.68
112,2017-06-14,150.25
113,2017-06-15,149.8
114,2017-06-16,150.64
115,2017-06-19,152.87
116,2017-06-20,152.25
117,2017-06-21,153.91
118,2017-06-22,153.4
119,2017-06-23,155.07
120,2017-06-26,153.59
121,2017-06-27,150.58
122,2017-06-28,153.24
123,2017-06-29,151.04
124,2017-06-30,150.98
125,2017-07-03,148.43
126,2017-07-05,150.34
127,2017-07-06,148.82
128,2017-07-07,151.44
129,2017-07-10,153.5
130,2017-07-11,155.27
131,2017-07-12,158.9
132,2017-07-13,159.26
133,2017-07-14,159.97
134,2017-07-17,159.73
135,2017-07-18,162.86
136,2017-07-19,164.14
137,2017-07-20,164.53
138,2017-07-21,164.43
139,2017-07-24,166.0
140,2017-07-25,165.28
141,2017-07-26,165.61
142,2017-07-27,170.44
143,2017-07-28,172.45
144,2017-07-31,169.25
145,2017-08-01,169.86
146,2017-08-02,169.3
147,2017-08-03,168.59
148,2017-08-04,169.62
149,2017-08-07,171.98
150,2017-08-08,171.23
151,2017-08-09,171.18
152,2017-08-10,167.4
153,2017-08-11,168.08
154,2017-08-14,170.75
155,2017-08-15,171.0
156,2017-08-16,170.0
157,2017-08-17,166.91
158,2017-08-18,167.41
159,2017-08-21,167.78
160,2017-08-22,169.64
161,2017-08-23,168.71
162,2017-08-24,167.74
163,2017-08-25,166.32
164,2017-08-28,167.24
165,2017-08-29,168.05
166,2017-08-30,169.92
167,2017-08-31,171.97
168,2017-09-01,172.02
169,2017-09-05,170.72
170,2017-09-06,172.09
171,2017-09-07,173.21
172,2017-09-08,170.95
173,2017-09-11,173.51
174,2017-09-12,172.96
175,2017-09-13,173.05
176,2017-09-14,170.96
177,2017-09-15,171.64
178,2017-09-18,170.01
179,2017-09-19,172.52
180,2017-09-20,172.17
181,2017-09-21,171.11
182,2017-09-22,170.54
183,2017-09-25,162.87
184,2017-09-26,164.21
185,2017-09-27,167.68
186,2017-09-28,168.73
187,2017-09-29,170.87
