,Date,Value
0,2017-01-03,786.14
1,2017-01-04,786.9
2,2017-01-05,794.02
3,2017-01-06,806.15
4,2017-01-09,806.65
5,2017-01-10,804.79
6,2017-01-11,807.91
7,2017-01-12,806.36
8,2017-01-13,807.88
9,2017-01-17,804.61
10,2017-01-18,806.07
11,2017-01-19,802.175
12,2017-01-20,805.02
13,2017-01-23,819.31
14,2017-01-24,823.87
15,2017-01-25,835.67
16,2017-01-26,832.15
17,2017-01-27,823.31
18,2017-01-30,802.32
19,2017-01-31,796.79
20,2017-02-01,795.695
21,2017-02-02,798.53
22,2017-02-03,801.49
23,2017-02-06,801.34
24,2017-02-07,806.97
25,2017-02-08,808.38
26,2017-02-09,809.56
27,2017-02-10,813.67
28,2017-02-13,819.24
29,2017-02-14,820.45
30,2017-02-15,818.98
31,2017-02-16,824.16
32,2017-02-17,828.07
33,2017-02-21,831.66
34,2017-02-22,830.76
35,2017-02-23,831.33
36,2017-02-24,828.64
37,2017-02-27,829.28
38,2017-02-28,823.21
39,2017-03-01,835.24
40,2017-03-02,830.63
41,2017-03-03,829.08
42,2017-03-06,827.78
43,2017-03-07,831.91
44,2017-03-08,835.37
45,2017-03-09,838.68
46,2017-03-10,843.25
47,2017-03-13,845.54
48,2017-03-14,845.62
49,2017-03-15,847.2
50,2017-03-16,848.78
51,2017-03-17,852.12
52,2017-03-20,848.4
53,2017-03-21,830.46
54,2017-03-22,829.59
55,2017-03-23,817.58
56,2017-03-24,814.43
57,2017-03-27,819.51
58,2017-03-28,820.92
59,2017-03-29,831.41
60,2017-03-30,831.5
61,2017-03-31,829.56
62,2017-04-03,838.55
63,2017-04-04,834.57
64,2017-04-05,831.41
65,2017-04-06,827.88
66,2017-04-07,824.67
67,2017-04-10,824.73
68,2017-04-11,823.35
69,2017-04-12,824.32
70,2017-04-13,823.56
71,2017-04-17,837.17
72,2017-04-18,836.82
73,2017-04-19,838.21
74,2017-04-20,841.65
75,2017-04-21,843.19
76,2017-04-24,862.76
77,2017-04-25,872.3
78,2017-04-26,871.73
79,2017-04-27,874.25
80,2017-04-28,905.96
81,2017-05-01,912.57
82,2017-05-02,916.44
83,2017-05-03,927.04
84,2017-05-04,931.66
85,2017-05-05,927.13
86,2017-05-08,934.3
87,2017-05-09,932.17
88,2017-05-10,928.78
89,2017-05-11,930.6
90,2017-05-12,932.22
91,2017-05-15,937.08
92,2017-05-16,943.0
93,2017-05-17,919.62
94,2017-05-18,930.24
95,2017-05-19,934.01
96,2017-05-22,941.86
97,2017-05-23,948.82
98,2017-05-24,954.96
99,2017-05-25,969.54
100,2017-05-26,971.47
101,2017-05-30,975.88
102,2017-05-31,964.86
103,2017-06-01,966.95
104,2017-06-02,975.6
105,2017-06-05,983.68
106,2017-06-06,976.57
107,2017-06-07,981.08
108,2017-06-08,983.41
109,2017-06-09,949.83
110,2017-06-12,942.9
111,2017-06-13,953.4
112,2017-06-14,950.76
113,2017-06-15,942.31
114,2017-06-16,939.78
115,2017-06-19,957.37
116,2017-06-20,950.63
117,2017-06-21,959.45
118,2017-06-22,957.09
119,2017-06-23,965.59
120,2017-06-26,952.27
121,2017-06-27,927.33
122,2017-06-28,940.49
123,2017-06-29,917.79
124,2017-06-30,908.73
125,2017-07-03,898.7
126,2017-07-05,911.71
127,2017-07-06,906.69
128,2017-07-07,918.59
129,2017-07-10,928.8
130,2017-07-11,930.09
131,2017-07-12,943.83
132,2017-07-13,947.16
133,2017-07-14,955.99
134,2017-07-17,953.42
135,2017-07-18,965.4
136,2017-07-19,970.89
137,2017-07-20,968.15
138,2017-07-21,972.92
139,2017-07-24,980.34
140,2017-07-25,950.7
141,2017-07-26,947.8
142,2017-07-27,934.09
143,2017-07-28,941.53
144,2017-07-31,930.5
145,2017-08-01,930.83
146,2017-08-02,930.39
147,2017-08-03,923.65
148,2017-08-04,927.96
149,2017-08-07,929.36
150,2017-08-08,926.79
151,2017-08-09,922.9
152,2017-08-10,907.24
153,2017-08-11,914.39
154,2017-08-14,922.67
155,2017-08-15,922.22
156,2017-08-16,926.96
157,2017-08-17,910.98
158,2017-08-18,910.67
159,2017-08-21,906.66
160,2017-08-22,924.69
161,2017-08-23,927.0
162,2017-08-24,921.28
163,2017-08-25,915.89
164,2017-08-28,913.81
