,Date,Value
0,2017-01-03,62.58
1,2017-01-04,62.3
2,2017-01-05,62.3
3,2017-01-06,62.84
4,2017-01-09,62.64
5,2017-01-10,62.62
6,2017-01-11,63.19
7,2017-01-12,62.61
8,2017-01-13,62.7
9,2017-01-17,62.53
10,2017-01-18,62.5
11,2017-01-19,62.3
12,2017-01-20,62.74
13,2017-01-23,62.96
14,2017-01-24,63.52
15,2017-01-25,63.68
16,2017-01-26,64.27
17,2017-01-27,65.78
18,2017-01-30,65.13
19,2017-01-31,64.65
20,2017-02-01,63.58
21,2017-02-02,63.17
22,2017-02-03,63.68
23,2017-02-06,63.64
24,2017-02-07,63.43
25,2017-02-08,63.34
26,2017-02-09,64.06
27,2017-02-10,64.0
28,2017-02-13,64.72
29,2017-02-14,64.57
30,2017-02-15,64.53
31,2017-02-16,64.52
32,2017-02-17,64.62
33,2017-02-21,64.49
34,2017-02-22,64.36
35,2017-02-23,64.62
36,2017-02-24,64.62
37,2017-02-27,64.23
38,2017-02-28,63.98
39,2017-03-01,64.94
40,2017-03-02,64.01
41,2017-03-03,64.25
42,2017-03-06,64.27
43,2017-03-07,64.4
44,2017-03-08,64.99
45,2017-03-09,64.73
46,2017-03-10,64.93
47,2017-03-13,64.71
48,2017-03-14,64.41
49,2017-03-15,64.75
50,2017-03-16,64.64
51,2017-03-17,64.87
52,2017-03-20,64.93
53,2017-03-21,64.21
54,2017-03-22,65.03
55,2017-03-23,64.87
56,2017-03-24,64.98
57,2017-03-27,65.1
58,2017-03-28,65.29
59,2017-03-29,65.47
60,2017-03-30,65.71
61,2017-03-31,65.86
62,2017-04-03,65.55
63,2017-04-04,65.73
64,2017-04-05,65.56
65,2017-04-06,65.73
66,2017-04-07,65.68
67,2017-04-10,65.53
68,2017-04-11,65.48
69,2017-04-12,65.23
70,2017-04-13,64.95
71,2017-04-17,65.48
72,2017-04-18,65.39
73,2017-04-19,65.04
74,2017-04-20,65.5
75,2017-04-21,66.4
76,2017-04-24,67.53
77,2017-04-25,67.92
78,2017-04-26,67.83
79,2017-04-27,68.27
80,2017-04-28,68.46
81,2017-05-01,69.41
82,2017-05-02,69.3
83,2017-05-03,69.08
84,2017-05-04,68.81
85,2017-05-05,69.0
86,2017-05-08,68.94
87,2017-05-09,69.04
88,2017-05-10,69.31
89,2017-05-11,68.46
90,2017-05-12,68.38
91,2017-05-15,68.43
92,2017-05-16,69.41
93,2017-05-17,67.48
94,2017-05-18,67.71
95,2017-05-19,67.69
96,2017-05-22,68.45
97,2017-05-23,68.68
98,2017-05-24,68.77
99,2017-05-25,69.62
100,2017-05-26,69.96
101,2017-05-30,70.41
102,2017-05-31,69.84
103,2017-06-01,70.1
104,2017-06-02,71.76
105,2017-06-05,72.28
106,2017-06-06,72.52
107,2017-06-07,72.39
108,2017-06-08,71.95
109,2017-06-09,70.32
110,2017-06-12,69.78
111,2017-06-13,70.65
112,2017-06-14,70.27
113,2017-06-15,69.9
114,2017-06-16,70.0
115,2017-06-19,70.87
116,2017-06-20,69.91
