,Date,Value
0,2017-01-02,7630.11
1,2017-01-03,7710.43
2,2017-01-04,7642.79
3,2017-01-05,7515.97
4,2017-01-06,7651.25
5,2017-01-09,7866.83
6,2017-01-10,7871.06
7,2017-01-11,8090.87
8,2017-01-12,8200.78
9,2017-01-13,7917.56
10,2017-01-16,7748.47
11,2017-01-17,7811.88
12,2017-01-18,7807.65
13,2017-01-19,7921.79
14,2017-01-20,7862.6
15,2017-01-23,8044.37
16,2017-01-24,8065.51
17,2017-01-25,8327.6
18,2017-01-26,8433.28
19,2017-01-31,8340.28
20,2017-02-01,8268.42
21,2017-02-02,8319.14
22,2017-02-03,8340.28
23,2017-02-06,8361.42
24,2017-02-07,8205.01
25,2017-02-08,8116.24
26,2017-02-09,8116.24
27,2017-02-10,8107.78
28,2017-02-13,8023.24
29,2017-02-14,7942.92
30,2017-02-15,7972.51
31,2017-02-16,8035.92
32,2017-02-17,8002.1
33,2017-02-20,8171.19
34,2017-02-21,8230.37
35,2017-02-22,8306.46
36,2017-02-23,8281.1
37,2017-02-24,8078.19
38,2017-02-27,8044.37
39,2017-02-28,8124.69
40,2017-03-02,8395.23
41,2017-03-03,8374.1
42,2017-03-06,8471.32
43,2017-03-07,8496.69
44,2017-03-08,8496.69
45,2017-03-09,8496.69
46,2017-03-10,8492.46
47,2017-03-13,8581.23
48,2017-03-14,8741.86
49,2017-03-15,8750.32
50,2017-03-16,8843.32
51,2017-03-17,8961.68
52,2017-03-20,8856.0
53,2017-03-21,8995.5
54,2017-03-22,8974.36
55,2017-03-23,8834.86
56,2017-03-24,8771.46
57,2017-03-27,8708.05
58,2017-03-28,8767.23
59,2017-03-29,8830.64
60,2017-03-30,10658.71
61,2017-03-31,10460.67
62,2017-04-03,10521.61
63,2017-04-04,10684.1
64,2017-04-05,10699.34
65,2017-04-06,10623.17
66,2017-04-07,10562.23
67,2017-04-10,10648.56
68,2017-04-11,10562.23
69,2017-04-12,10638.4
70,2017-04-13,10770.43
71,2017-04-14,10668.87
72,2017-04-17,10552.07
73,2017-04-18,10536.84
74,2017-04-19,10384.5
75,2017-04-20,10227.08
76,2017-04-21,10348.96
77,2017-04-24,10470.83
78,2017-04-25,10841.52
79,2017-04-26,10866.91
80,2017-04-27,11130.97
81,2017-04-28,11329.01
82,2017-05-02,11400.1
83,2017-05-04,11557.52
84,2017-05-08,11938.37
85,2017-05-10,11577.83
86,2017-05-11,11552.44
87,2017-05-12,11633.69
88,2017-05-15,11704.78
89,2017-05-16,11775.87
90,2017-05-17,11765.72
91,2017-05-18,11664.16
92,2017-05-19,11354.4
93,2017-05-22,11450.88
94,2017-05-23,11405.18
95,2017-05-24,11395.02
