,Date,Index
0,2017-01-02,281.93
1,2017-01-03,281.72
2,2017-01-04,281.35
3,2017-01-05,284.07
4,2017-01-06,282.24
5,2017-01-09,285.98
6,2017-01-10,286.32
7,2017-01-11,286.86
8,2017-01-12,289.07
9,2017-01-13,288.93
10,2017-01-16,292.44
11,2017-01-17,290.37
12,2017-01-18,287.95
13,2017-01-19,285.7
14,2017-01-20,286.58
15,2017-01-23,288.95
16,2017-01-24,286.0
17,2017-01-25,285.97
18,2017-01-26,283.7
19,2017-01-27,282.63
20,2017-01-30,286.72
21,2017-01-31,287.93
22,2017-02-01,285.62
23,2017-02-02,288.24
24,2017-02-03,289.19
25,2017-02-06,291.71
26,2017-02-07,290.3
27,2017-02-08,291.04
28,2017-02-09,288.03
29,2017-02-10,288.15
30,2017-02-13,286.84
31,2017-02-14,286.15
32,2017-02-15,286.26
33,2017-02-16,288.15
34,2017-02-17,290.32
35,2017-02-20,289.02
36,2017-02-21,287.9
37,2017-02-22,289.05
38,2017-02-23,289.21
39,2017-02-24,292.14
40,2017-02-27,290.59
41,2017-02-28,291.11
42,2017-03-01,289.81
43,2017-03-02,288.89
44,2017-03-03,289.23
45,2017-03-06,290.04
46,2017-03-07,290.45
47,2017-03-08,289.9
48,2017-03-09,288.27
49,2017-03-10,288.49
50,2017-03-13,287.54
51,2017-03-14,289.12
52,2017-03-15,289.92
53,2017-03-16,289.15
54,2017-03-17,290.56
55,2017-03-20,291.4
56,2017-03-21,292.24
57,2017-03-22,292.83
58,2017-03-23,293.09
59,2017-03-24,292.7
60,2017-03-27,293.17
61,2017-03-28,293.6
62,2017-03-29,294.2
63,2017-03-30,292.05
64,2017-03-31,292.76
65,2017-04-03,294.54
66,2017-04-04,295.38
67,2017-04-05,295.43
68,2017-04-06,294.9
69,2017-04-07,295.39
70,2017-04-10,295.76
71,2017-04-11,298.19
72,2017-04-12,298.84
73,2017-04-13,299.14
74,2017-04-14,300.37
75,2017-04-17,298.62
76,2017-04-18,296.33
77,2017-04-19,296.04
78,2017-04-20,294.54
79,2017-04-21,295.19
80,2017-04-24,292.8
81,2017-04-25,288.62
82,2017-04-26,288.53
83,2017-04-27,287.54
84,2017-04-28,286.39
85,2017-05-01,286.2
86,2017-05-02,285.0
87,2017-05-03,284.34
88,2017-05-04,283.58
89,2017-05-05,282.96
90,2017-05-08,281.95
91,2017-05-09,280.52
92,2017-05-10,279.88
93,2017-05-11,281.54
94,2017-05-12,282.63
95,2017-05-15,281.36
96,2017-05-16,281.84
97,2017-05-17,286.79
98,2017-05-18,285.35
99,2017-05-19,284.54
100,2017-05-22,284.7
101,2017-05-23,284.03
102,2017-05-24,284.43
103,2017-05-25,284.13
104,2017-05-26,287.19
105,2017-05-29,287.02
106,2017-05-30,288.38
107,2017-05-31,287.16
108,2017-06-01,285.86
109,2017-06-02,287.97
110,2017-06-05,287.65
111,2017-06-06,290.45
112,2017-06-07,288.83
113,2017-06-08,291.41
114,2017-06-09,290.64
115,2017-06-12,292.14
116,2017-06-13,290.76
117,2017-06-14,291.9
118,2017-06-15,288.96
119,2017-06-16,288.52
120,2017-06-19,287.38
121,2017-06-20,289.06
122,2017-06-21,288.42
123,2017-06-22,288.72
124,2017-06-23,288.05
125,2017-06-26,286.65
126,2017-06-27,283.77
127,2017-06-28,282.3
128,2017-06-29,281.54
129,2017-06-30,280.58
130,2017-07-03,279.52
131,2017-07-04,279.99
132,2017-07-05,280.08
133,2017-07-06,279.45
134,2017-07-07,278.77
135,2017-07-10,278.45
136,2017-07-11,278.81
137,2017-07-12,280.43
138,2017-07-13,279.69
139,2017-07-14,279.38
140,2017-07-17,279.69
141,2017-07-18,280.88
142,2017-07-19,281.68
143,2017-07-20,281.85
144,2017-07-21,283.32
145,2017-07-24,282.9
146,2017-07-25,281.16
147,2017-07-26,281.7
148,2017-07-27,282.29
149,2017-07-28,283.06
150,2017-07-31,282.97
151,2017-08-01,282.72
152,2017-08-02,281.53
153,2017-08-03,284.37
154,2017-08-04,283.95
155,2017-08-07,283.82
156,2017-08-08,285.64
157,2017-08-09,286.25
158,2017-08-10,288.6
159,2017-08-11,288.07
160,2017-08-14,287.71
161,2017-08-15,286.38
162,2017-08-16,287.11
163,2017-08-17,289.25
164,2017-08-18,289.89
165,2017-08-21,289.89
166,2017-08-22,289.36
167,2017-08-23,291.1
168,2017-08-24,289.53
169,2017-08-25,288.81
170,2017-08-28,289.23
171,2017-08-29,287.21
172,2017-08-30,285.96
173,2017-08-31,286.51
174,2017-09-01,285.68
175,2017-09-04,287.2
176,2017-09-05,288.4
177,2017-09-06,286.99
178,2017-09-07,288.21
179,2017-09-08,288.52
180,2017-09-11,285.11
181,2017-09-12,281.8
182,2017-09-13,282.16
183,2017-09-14,280.61
184,2017-09-15,276.9
185,2017-09-18,276.1
186,2017-09-19,275.83
187,2017-09-20,274.6
188,2017-09-21,273.36
189,2017-09-22,274.77
190,2017-09-25,276.45
191,2017-09-26,275.41
192,2017-09-27,274.9
193,2017-09-28,275.5
194,2017-09-29,275.3
195,2017-10-02,276.47
196,2017-10-03,276.46
197,2017-10-04,276.61
198,2017-10-05,278.15
199,2017-10-06,279.01
200,2017-10-09,278.16
201,2017-10-10,277.9
202,2017-10-11,277.17
203,2017-10-12,277.42
204,2017-10-13,278.14
205,2017-10-16,277.98
206,2017-10-17,278.68
207,2017-10-18,276.61
208,2017-10-19,277.9
209,2017-10-20,275.57
210,2017-10-23,275.62
211,2017-10-24,275.35
212,2017-10-25,274.3
213,2017-10-26,275.34
214,2017-10-27,276.63
215,2017-10-30,276.9
216,2017-10-31,274.8
217,2017-11-01,274.15
218,2017-11-02,276.38
219,2017-11-03,276.24
220,2017-11-06,275.82
221,2017-11-07,275.82
222,2017-11-08,276.34
223,2017-11-09,276.71
224,2017-11-10,275.92
225,2017-11-13,276.68
226,2017-11-14,275.97
227,2017-11-15,277.35
228,2017-11-16,276.66
229,2017-11-17,278.72
230,2017-11-20,277.6
231,2017-11-21,277.79
232,2017-11-22,279.5
233,2017-11-23,279.58
234,2017-11-24,278.25
235,2017-11-27,279.7
236,2017-11-28,278.42
237,2017-11-29,276.61
238,2017-11-30,273.79
239,2017-12-01,275.45
240,2017-12-04,274.67
241,2017-12-05,275.21
242,2017-12-06,276.62
243,2017-12-07,273.69
244,2017-12-08,273.63
245,2017-12-11,273.99
246,2017-12-12,274.35
247,2017-12-13,275.04
248,2017-12-14,275.92
249,2017-12-15,276.49
250,2017-12-18,275.83
251,2017-12-19,274.82
252,2017-12-20,273.72
253,2017-12-21,273.64
254,2017-12-22,274.06
255,2017-12-26,274.17
256,2017-12-27,273.59
257,2017-12-28,273.91
258,2017-12-29,273.41
259,2018-01-02,273.34
260,2018-01-03,273.63
261,2018-01-04,272.46
262,2018-01-05,271.54
263,2018-01-08,271.68
264,2018-01-09,273.47
265,2018-01-10,276.7
266,2018-01-11,276.45
267,2018-01-12,274.37
268,2018-01-15,274.59
269,2018-01-16,274.9
270,2018-01-17,272.85
271,2018-01-18,272.38
272,2018-01-19,273.48
273,2018-01-22,271.77
274,2018-01-23,273.01
275,2018-01-24,272.86
276,2018-01-25,272.98
277,2018-01-26,274.68
278,2018-01-29,274.92
279,2018-01-30,274.58
280,2018-01-31,272.97
281,2018-02-01,271.29
282,2018-02-02,271.31
283,2018-02-05,275.5
284,2018-02-06,274.22
285,2018-02-07,276.44
286,2018-02-08,277.38
287,2018-02-09,278.3
288,2018-02-12,278.28
289,2018-02-13,279.84
290,2018-02-14,280.4
291,2018-02-15,281.31
292,2018-02-16,282.2
293,2018-02-19,281.57
294,2018-02-20,280.07
295,2018-02-21,280.08
296,2018-02-22,281.98
297,2018-02-23,281.69
298,2018-02-26,281.32
299,2018-02-27,281.22
300,2018-02-28,284.91
301,2018-03-01,285.87
302,2018-03-02,286.53
303,2018-03-05,284.64
304,2018-03-06,285.24
305,2018-03-07,284.12
306,2018-03-08,285.04
307,2018-03-09,283.3
308,2018-03-12,283.66
309,2018-03-13,282.47
310,2018-03-14,283.1
311,2018-03-15,283.79
312,2018-03-16,284.55
313,2018-03-19,283.45
314,2018-03-20,282.74
315,2018-03-21,282.42
316,2018-03-22,285.71
317,2018-03-23,285.76
318,2018-03-26,282.47
319,2018-03-27,283.49
320,2018-03-28,281.04
321,2018-03-29,282.39
322,2018-03-30,282.89
323,2018-04-02,283.86
324,2018-04-03,281.93
325,2018-04-04,281.25
326,2018-04-05,280.56
327,2018-04-06,280.89
328,2018-04-09,280.53
329,2018-04-10,278.92
330,2018-04-11,279.92
331,2018-04-12,278.26
332,2018-04-13,277.92
333,2018-04-16,277.48
334,2018-04-17,278.39
335,2018-04-18,278.7
336,2018-04-19,279.59
337,2018-04-20,279.95
338,2018-04-23,278.23
339,2018-04-24,277.46
340,2018-04-25,276.76
341,2018-04-26,277.47
342,2018-04-27,279.32
343,2018-04-30,279.18
344,2018-05-01,279.69
345,2018-05-02,280.2
346,2018-05-03,281.85
347,2018-05-04,282.65
348,2018-05-07,282.55
349,2018-05-08,282.9
350,2018-05-09,281.26
351,2018-05-10,282.16
352,2018-05-11,282.05
353,2018-05-14,280.94
354,2018-05-15,280.17
355,2018-05-16,280.26
356,2018-05-17,279.04
357,2018-05-18,279.6
358,2018-05-21,279.24
359,2018-05-22,279.48
360,2018-05-23,283.09
361,2018-05-24,284.53
362,2018-05-25,284.83
363,2018-05-28,285.27
364,2018-05-29,288.13
365,2018-05-30,286.58
366,2018-05-31,286.67
367,2018-06-01,284.11
368,2018-06-04,283.76
369,2018-06-05,282.63
370,2018-06-06,281.52
371,2018-06-07,282.41
372,2018-06-08,283.42
373,2018-06-11,282.1
374,2018-06-12,281.46
375,2018-06-13,281.57
376,2018-06-14,282.67
377,2018-06-15,282.59
378,2018-06-18,283.0
379,2018-06-19,285.24
380,2018-06-20,284.44
381,2018-06-21,284.65
382,2018-06-22,284.04
383,2018-06-25,284.31
384,2018-06-26,284.42
385,2018-06-27,285.45
386,2018-06-28,285.31
387,2018-06-29,282.85
388,2018-07-02,283.29
389,2018-07-03,283.32
390,2018-07-04,283.25
391,2018-07-05,282.72
392,2018-07-06,282.44
393,2018-07-09,281.69
394,2018-07-10,281.11
395,2018-07-11,279.77
396,2018-07-12,278.45
