,Country,Country GDP per capita
0,España,29442
1,Alemania,46241
2,Reino Unido,42146
3,Francia,40471
4,Italia,33219
5,Portugal,23193
6,Zona Euro,39919
9,Estados Unidos,65474
10,Japón,39293
14,China,9580
17,Andorra,42487
18,Emiratos Árabes Unidos,43005
19,Afganistán,528
20,Antigua y Barbuda,16727
21,Albania,5367
22,Armenia,4193
23,Angola,3437
24,Argentina,11658
27,Austria,50143
28,Australia,56420
31,Azerbaiyán,4722
32,Bosnia y Herzegovina,5741
33,Barbados,17758
34,Bangladés,1788
35,Bélgica,45855
36,Burkina Faso,716
37,Bulgaria,9771
38,Baréin,24051
39,Burundi,272
40,Benín,1242
41,Brunéi,30668
42,Bolivia,3549
43,Brasil,8917
44,Bahamas,32997
45,Bután,3423
46,Botsuana,8258
47,Bielorrusia,6283
48,Belice,5025
49,Canadá,46290
52,República Democrática del Congo,560
53,República Centroafricana,476
54,República del Congo,2148
55,Suiza,81706
56,Costa de Marfil,1716
57,Chile,15065
58,Camerún,1534
59,Colombia,6498
60,Costa Rica,12301
61,Cuba,8822
62,Cabo Verde,3639
63,Chipre,28097
64,República Checa,23113
67,Yibuti,2787
68,Dinamarca,60897
71,Dominica,7691
72,República Dominicana,8341
73,Argelia,4115
74,Ecuador,6368
75,Estonia,23618
76,Egipto,2573
77,Eritrea,396
78,Etiopía,735
79,Finlandia,48643
80,Fiyi,6253
81,Estados Federados de Micronesia,3634
82,Gabón,7963
83,Granada,10632
84,Georgia,4353
85,Ghana,2201
86,Gambia,713
87,Guinea,975
88,Guinea Ecuatorial,10144
89,Grecia,19172
90,Guatemala,4545
91,Guinea-Bisáu,762
92,Guyana,4979
93,Hong Kong,48451
94,Honduras,2506
95,Croacia,14962
96,Haiti,868
98,Hungría,16484
101,Indonesia,3871
104,Irlanda,78308
105,Israel,41728
108,India,2010
109,Irak,5834
110,Irán,5417
111,Islandia,66416
112,Jamaica,5268
113,Jordania,4248
114,Kenia,1711
115,Kirguistán,1293
116,Camboya,1504
117,Kiribati,1625
118,Comoras,1415
119,San Cristóbal y Nieves,18688
120,Corea del Norte,683
121,Corea del Sur,33320
124,Kuwait,33994
125,Kazajistán,9401
126,Laos,2566
127,Líbano,8270
128,Santa Lucía,10567
129,Liechtenstein,179175
130,Sri Lanka,4102
131,Liberia,674
132,Lesoto,1299
133,Lituania,19405
134,Luxemburgo,113569
135,Letonia,18033
138,Libia,7242
139,Marruecos,3399
140,Mónaco,187593
141,Moldavia,3191
142,Montenegro,8912
143,Madagascar,528
144,Islas Marshall,3789
145,Macedonia del Norte,6044
146,Malí,901
147,Birmania - Myanmar,1279
148,Mongolia,4122
149,Mauritania,1189
150,Malta,28886
151,Mauricio,11228
152,Maldivas,10332
153,Malaui,389
155,México,9797
158,Malasia,11072
159,Mozambique,488
160,Namibia,6013
161,Níger,414
162,Nigeria,2033
163,Nicaragua,2029
164,Países Bajos,52108
165,Noruega,74898
166,Nepal,1034
167,Nauru,8816
168,Nueva Zelanda,41205
171,Omán,18970
172,Panamá,15643
173,Perú,7007
174,Papúa Nueva Guinea,2730
175,Filipinas,3103
176,Pakistán,1565
177,Polonia,15544
178,Estado de Palestina,3199
179,Palaos,16195
180,Paraguay,5934
181,Catar,68794
182,Rumanía,12943
183,Serbia,7430
184,Rusia,11289
187,Ruanda,773
188,Arabia Saudita,23530
189,Islas Salomón,2111
190,Seychelles,16434
191,Sudán,977
192,Suecia,51455
193,Singapur,65977
194,Eslovenia,25643
195,Eslovaquia,19316
196,Sierra Leona,534
197,San Marino,45888
198,Senegal,1482
199,Somalia,315
200,Surinam,6234
201,Sudán del Sur,315
202,Santo Tomé y Príncipe,2001
203,El Salvador,3922
204,Siria,890
205,Suazilandia,4146
206,Chad,728
207,Togo,679
208,Tailandia,7448
209,Tayikistán,827
210,Timor Oriental,1237
211,Turkmenistán,6967
212,Túnez,3448
213,Tonga,4858
215,Turquía,9405
218,Trinidad y Tobago,17130
219,Tuvalu,3702
220,Taiwan,25008
221,Tanzania,1009
222,Ucrania,3113
223,Uganda,658
224,Uruguay,17294
225,Uzbekistán,1532
226,San Vicente y las Granadinas,7359
227,Venezuela,3410
228,Vietnam,2525
229,Vanuatu,3124
230,Samoa,4395
231,Yemen,944
232,Sudáfrica,6354
235,Zambia,1540
236,Zimbabue,2147
