"DATE";"CLOSING PRICE";"OPEN";"DAILY HIGH";"DAILY LOW"
1/2/2006;440.52;437.56;440.65;437.56
1/3/2006;441.93;441.37;445.79;439.94
1/4/2006;445.00;445.64;446.72;443.18
1/5/2006;443.13;444.99;445.12;442.39
1/6/2006;446.11;443.37;446.11;442.98
1/9/2006;447.88;447.47;448.61;447.03
1/10/2006;443.90;447.70;447.70;443.72
1/11/2006;446.31;445.76;447.47;445.08
1/12/2006;447.40;446.95;447.69;445.42
1/13/2006;441.37;445.51;445.69;440.23
1/16/2006;441.99;441.03;442.97;439.55
1/17/2006;438.51;439.57;439.80;437.92
1/18/2006;434.21;432.62;436.35;431.74
1/19/2006;436.62;436.42;437.66;435.93
1/20/2006;432.20;437.42;438.40;431.97
1/23/2006;431.88;428.16;432.38;427.90
1/24/2006;431.51;432.33;433.40;429.70
1/25/2006;436.46;433.26;436.46;432.57
1/26/2006;443.63;438.07;443.63;437.81
1/27/2006;449.67;446.95;449.73;445.63
1/30/2006;450.70;449.43;451.87;447.77
1/31/2006;450.50;452.35;454.46;449.77
2/1/2006;455.70;449.86;456.17;449.13
2/2/2006;450.41;456.19;457.46;450.41
2/3/2006;451.27;450.82;453.71;449.11
2/6/2006;452.52;453.32;455.10;451.62
2/7/2006;453.03;455.47;455.59;451.06
2/8/2006;452.62;449.27;453.46;448.66
2/9/2006;457.87;455.47;458.02;454.99
2/10/2006;456.26;457.02;460.39;455.29
2/13/2006;459.48;456.65;459.48;455.45
2/14/2006;460.04;460.22;461.05;457.94
2/15/2006;460.56;460.75;462.13;459.37
2/16/2006;461.66;462.16;462.27;459.94
2/17/2006;463.60;462.11;464.69;461.51
2/20/2006;464.64;463.66;464.91;463.13
2/21/2006;464.32;465.49;467.12;463.16
2/22/2006;466.02;463.31;466.26;461.63
2/23/2006;464.59;466.29;467.15;463.26
2/24/2006;464.57;464.69;466.03;463.39
2/27/2006;467.53;465.29;467.53;465.29
2/28/2006;458.72;466.51;467.01;458.19
3/1/2006;461.70;459.89;462.22;459.12
3/2/2006;457.26;462.57;463.99;455.04
3/3/2006;455.25;457.16;459.02;452.57
3/6/2006;457.86;458.30;458.68;456.42
3/7/2006;455.17;455.17;455.69;452.68
3/8/2006;451.38;454.70;455.29;449.15
3/9/2006;454.42;454.76;455.31;452.71
3/10/2006;458.59;453.18;458.59;452.40
3/13/2006;461.67;460.76;462.33;460.35
3/14/2006;462.58;461.02;462.93;460.40
3/15/2006;464.50;464.63;465.37;463.54
3/16/2006;464.17;464.36;465.00;462.73
3/17/2006;464.05;464.77;467.55;462.46
3/20/2006;466.53;466.28;467.56;465.39
3/21/2006;467.08;466.60;467.08;463.18
3/22/2006;469.03;465.22;469.29;464.72
3/23/2006;470.75;470.47;471.71;469.30
3/24/2006;472.07;471.24;473.02;470.57
3/27/2006;469.76;472.11;473.13;469.47
3/28/2006;467.75;469.96;472.00;466.37
3/29/2006;468.99;467.43;469.07;466.49
3/30/2006;472.58;471.47;472.88;469.42
3/31/2006;468.69;470.74;471.53;468.54
4/3/2006;471.33;471.45;471.45;468.92
4/4/2006;467.95;470.28;470.45;467.95
4/5/2006;468.53;470.03;470.52;464.64
4/6/2006;469.60;470.47;471.18;468.34
4/7/2006;468.68;470.23;472.93;468.19
