"DATE";"CLOSING PRICE";"OPEN";"DAILY HIGH";"DAILY LOW"
1/2/2006;4754.92;4731.92;4757.54;4727.09
1/3/2006;4776.98;4761.95;4803.23;4755.72
1/4/2006;4838.52;4820.90;4838.52;4799.19
1/5/2006;4835.09;4839.09;4849.67;4826.31
1/6/2006;4867.15;4843.16;4867.15;4839.75
1/9/2006;4875.09;4875.12;4886.19;4870.93
1/10/2006;4861.93;4868.90;4868.90;4838.48
1/11/2006;4890.49;4893.75;4897.58;4866.76
1/12/2006;4890.24;4875.88;4898.05;4872.52
1/13/2006;4850.53;4876.41;4876.41;4834.24
1/16/2006;4856.09;4844.13;4864.76;4844.13
1/17/2006;4807.14;4829.33;4829.33;4803.44
1/18/2006;4772.09;4748.72;4792.07;4730.38
1/19/2006;4814.09;4798.33;4815.81;4790.77
1/20/2006;4773.48;4828.71;4841.42;4773.48
1/23/2006;4751.99;4725.00;4754.78;4719.33
1/24/2006;4748.32;4758.93;4766.52;4739.76
1/25/2006;4791.00;4766.61;4794.22;4758.06
1/26/2006;4876.52;4801.84;4876.52;4800.21
1/27/2006;4956.60;4938.77;4956.60;4907.48
1/30/2006;4936.79;4945.83;4954.96;4934.62
1/31/2006;4947.99;4943.46;4970.21;4930.18
2/1/2006;4999.39;4946.77;5000.00;4936.59
2/2/2006;4927.89;5000.95;5012.38;4927.89
2/3/2006;4937.56;4945.38;4955.94;4905.63
2/6/2006;4934.59;4949.84;4960.67;4919.90
2/7/2006;4935.40;4951.99;4958.51;4906.36
2/8/2006;4895.08;4893.15;4909.68;4875.80
2/9/2006;4955.74;4925.71;4958.79;4921.60
2/10/2006;4910.82;4940.05;4963.69;4910.82
2/13/2006;4957.36;4916.36;4957.36;4898.96
2/14/2006;4961.34;4964.57;4975.41;4928.11
2/15/2006;4934.09;4957.12;4958.31;4922.81
2/16/2006;4973.09;4959.70;4973.89;4938.37
2/17/2006;5000.00;4975.73;5003.39;4965.57
2/20/2006;4979.94;4981.31;4985.66;4971.25
2/21/2006;4991.93;4997.94;5024.51;4974.51
2/22/2006;5041.60;4984.97;5041.60;4984.12
2/23/2006;5040.39;5051.77;5060.27;5020.04
2/24/2006;5073.95;5051.63;5073.95;5036.17
2/27/2006;5080.52;5082.13;5085.20;5058.09
