"DATE";"CLOSING PRICE";"OPEN";"DAILY HIGH";"DAILY LOW"
1/2/2006;5,449.98;5,410.24;5,451.57;5,409.28
1/3/2006;5,460.68;5,451.34;5,496.46;5,440.74
1/4/2006;5,523.62;5,494.46;5,523.67;5,477.60
1/5/2006;5,516.53;5,521.86;5,526.41;5,502.25
1/6/2006;5,536.32;5,521.52;5,537.58;5,507.92
1/9/2006;5,537.11;5,543.34;5,553.55;5,532.84
1/10/2006;5,494.71;5,528.06;5,528.28;5,482.18
1/11/2006;5,532.89;5,524.20;5,537.48;5,515.67
1/12/2006;5,542.13;5,533.25;5,553.48;5,516.24
1/13/2006;5,483.09;5,531.73;5,531.73;5,463.78
1/16/2006;5,514.64;5,464.98;5,515.26;5,462.54
1/17/2006;5,460.16;5,481.86;5,481.86;5,448.87
1/18/2006;5,395.61;5,419.18;5,426.82;5,363.64
1/19/2006;5,430.84;5,411.34;5,438.91;5,410.29
1/20/2006;5,349.02;5,433.69;5,447.37;5,344.52
1/23/2006;5,348.72;5,311.90;5,350.24;5,290.49
1/24/2006;5,334.30;5,350.77;5,369.58;5,321.27
1/25/2006;5,427.09;5,346.36;5,430.09;5,339.01
1/26/2006;5,548.91;5,433.05;5,549.08;5,422.26
1/27/2006;5,647.42;5,586.48;5,650.95;5,585.37
1/30/2006;5,660.03;5,636.24;5,670.39;5,619.07
1/31/2006;5,674.15;5,667.70;5,697.01;5,635.81
2/1/2006;5,726.53;5,662.05;5,733.56;5,643.40
2/2/2006;5,649.60;5,738.50;5,760.63;5,644.11
2/3/2006;5,657.12;5,662.69;5,686.44;5,614.29
2/6/2006;5,666.78;5,667.18;5,702.76;5,649.28
2/7/2006;5,672.92;5,680.01;5,699.35;5,630.11
2/8/2006;5,666.41;5,627.75;5,675.56;5,598.05
2/9/2006;5,743.68;5,694.46;5,743.68;5,694.46
2/10/2006;5,701.47;5,730.09;5,745.49;5,696.02
2/13/2006;5,756.33;5,699.44;5,756.33;5,683.88
2/14/2006;5,763.40;5,759.66;5,786.69;5,717.44
2/15/2006;5,764.37;5,766.60;5,790.27;5,744.96
2/16/2006;5,789.25;5,786.16;5,796.79;5,757.25
2/17/2006;5,795.48;5,784.64;5,812.69;5,773.52
2/20/2006;5,793.95;5,795.68;5,802.72;5,766.99
2/21/2006;5,801.04;5,798.89;5,850.47;5,780.99
2/22/2006;5,862.06;5,793.46;5,862.06;5,783.35
2/23/2006;5,857.88;5,868.12;5,884.22;5,820.35
2/24/2006;5,870.79;5,856.73;5,873.10;5,840.60
2/27/2006;5,915.15;5,888.81;5,915.93;5,871.75
2/28/2006;5,796.04;5,908.58;5,916.80;5,791.90
3/1/2006;5,866.61;5,806.96;5,867.59;5,796.41
3/2/2006;5,783.49;5,862.36;5,885.73;5,749.06
3/3/2006;5,721.46;5,771.33;5,811.48;5,691.21
3/6/2006;5,754.06;5,742.07;5,768.98;5,726.59
3/7/2006;5,739.28;5,732.54;5,750.85;5,698.06
3/8/2006;5,673.36;5,745.38;5,763.27;5,664.19
3/9/2006;5,732.22;5,711.02;5,741.83;5,693.30
3/10/2006;5,804.92;5,715.30;5,804.95;5,708.79
3/13/2006;5,855.16;5,820.74;5,859.92;5,807.61
3/14/2006;5,870.88;5,841.43;5,870.88;5,823.63
3/15/2006;5,898.48;5,885.50;5,905.83;5,869.51
3/16/2006;5,897.79;5,906.30;5,909.50;5,867.37
3/17/2006;5,882.38;5,906.36;5,947.43;5,862.04
3/20/2006;5,902.79;5,895.78;5,932.46;5,884.33
3/21/2006;5,911.86;5,900.84;5,911.86;5,847.90
3/22/2006;5,932.31;5,883.09;5,949.15;5,859.52
3/23/2006;5,947.11;5,941.78;5,960.02;5,922.03
3/24/2006;5,973.14;5,956.35;5,977.06;5,941.24
3/27/2006;5,912.26;5,972.15;5,976.63;5,910.89
3/28/2006;5,890.63;5,914.65;5,940.59;5,863.07
3/29/2006;5,914.78;5,893.27;5,921.12;5,868.21
3/30/2006;5,984.19;5,943.47;5,993.45;5,936.31
3/31/2006;5,970.08;5,972.03;5,993.90;5,942.88
4/3/2006;6,024.05;5,989.08;6,028.14;5,978.46
4/4/2006;6,013.85;6,015.37;6,024.66;5,992.89
4/5/2006;6,029.20;6,013.89;6,035.67;5,995.77
4/6/2006;6,031.39;6,033.69;6,047.98;6,008.56
4/7/2006;5,952.92;6,028.33;6,045.25;5,947.56
4/10/2006;6,003.40;5,951.08;6,004.71;5,943.12
4/11/2006;5,908.47;6,000.11;6,000.76;5,895.04
4/12/2006;5,901.25;5,907.91;5,917.28;5,860.50
4/13/2006;5,918.57;5,909.82;5,925.40;5,873.58
4/18/2006;5,902.58;5,915.11;5,917.84;5,866.85
4/19/2006;5,993.76;5,935.41;5,996.60;5,935.41
4/20/2006;6,063.28;6,000.32;6,089.30;5,996.50
4/21/2006;6,094.75;6,070.86;6,108.69;6,069.38
4/24/2006;6,079.09;6,058.75;6,094.83;6,034.86
4/25/2006;6,078.80;6,084.80;6,111.30;6,051.61
4/26/2006;6,107.12;6,089.82;6,121.95;6,081.95
4/27/2006;6,067.74;6,104.28;6,113.08;6,021.27
4/28/2006;6,009.89;6,061.50;6,061.50;6,003.91
5/2/2006;6,051.29;6,014.38;6,056.27;6,006.87
5/3/2006;5,968.96;6,054.64;6,079.80;5,962.86
5/4/2006;6,039.32;5,980.49;6,040.70;5,968.68
5/5/2006;6,113.29;6,049.25;6,113.29;6,045.83
5/8/2006;6,127.98;6,126.96;6,153.47;6,118.98
5/9/2006;6,140.72;6,128.01;6,142.02;6,100.04
5/10/2006;6,118.38;6,119.11;6,157.96;6,110.45
5/11/2006;6,054.72;6,122.01;6,162.37;6,047.43
5/12/2006;5,916.28;6,028.39;6,043.65;5,915.74
5/15/2006;5,857.03;5,893.00;5,902.44;5,785.14
5/16/2006;5,851.92;5,860.60;5,898.33;5,807.84
5/17/2006;5,652.72;5,873.72;5,897.77;5,652.72
5/18/2006;5,666.07;5,672.36;5,714.63;5,587.92
5/19/2006;5,672.28;5,656.41;5,706.19;5,635.69
5/22/2006;5,546.24;5,653.85;5,653.85;5,513.43
5/23/2006;5,678.49;5,556.82;5,703.34;5,556.82
5/24/2006;5,587.23;5,637.34;5,653.99;5,552.02
5/25/2006;5,706.06;5,601.32;5,706.06;5,568.83
5/26/2006;5,788.36;5,728.99;5,788.47;5,720.50
5/29/2006;5,755.02;5,782.49;5,784.29;5,748.20
5/30/2006;5,622.43;5,749.16;5,758.82;5,593.89
5/31/2006;5,692.86;5,582.63;5,704.11;5,533.12
6/1/2006;5,707.59;5,677.53;5,713.53;5,603.10
6/2/2006;5,687.04;5,733.42;5,778.78;5,676.04
6/5/2006;5,621.19;5,685.56;5,691.69;5,590.22
6/6/2006;5,502.81;5,563.13;5,590.83;5,477.75
6/7/2006;5,543.93;5,510.29;5,572.09;5,471.76
6/8/2006;5,383.28;5,478.71;5,478.71;5,383.28
6/9/2006;5,464.08;5,434.80;5,485.57;5,434.80
6/12/2006;5,395.55;5,458.38;5,470.23;5,375.99
6/13/2006;5,292.14;5,337.68;5,337.68;5,262.21
6/14/2006;5,305.99;5,298.62;5,332.08;5,243.71
6/15/2006;5,422.22;5,330.48;5,438.33;5,330.48
6/16/2006;5,376.01;5,454.34;5,507.60;5,367.14
6/19/2006;5,439.23;5,388.83;5,483.88;5,388.83
6/20/2006;5,493.61;5,408.25;5,493.61;5,382.58
6/21/2006;5,503.41;5,499.05;5,510.15;5,414.62
6/22/2006;5,533.42;5,548.38;5,580.82;5,499.36
6/23/2006;5,529.74;5,536.43;5,559.87;5,499.55
6/26/2006;5,514.63;5,542.74;5,564.64;5,500.94
6/27/2006;5,459.15;5,537.77;5,552.95;5,447.02
6/28/2006;5,456.87;5,442.17;5,490.19;5,420.08
6/29/2006;5,581.67;5,480.37;5,592.53;5,479.96
6/30/2006;5,683.31;5,617.71;5,698.21;5,617.71
7/3/2006;5,712.69;5,688.00;5,712.69;5,675.50
7/4/2006;5,729.01;5,714.60;5,729.59;5,689.01
7/5/2006;5,625.63;5,700.29;5,705.58;5,608.95
7/6/2006;5,695.47;5,635.27;5,702.65;5,635.27
7/7/2006;5,681.85;5,680.17;5,717.90;5,628.19
7/10/2006;5,706.32;5,678.11;5,711.04;5,633.47
7/11/2006;5,616.04;5,678.55;5,684.40;5,593.80
7/12/2006;5,637.82;5,641.01;5,700.01;5,620.49
7/13/2006;5,527.29;5,609.13;5,609.13;5,505.36
7/14/2006;5,422.22;5,502.35;5,504.07;5,422.22
7/17/2006;5,416.96;5,437.08;5,451.25;5,365.06
7/18/2006;5,396.85;5,402.68;5,445.07;5,373.44
7/19/2006;5,539.29;5,415.05;5,543.38;5,401.41
7/20/2006;5,545.82;5,559.67;5,587.28;5,535.06
7/21/2006;5,451.01;5,537.16;5,539.72;5,423.63
7/24/2006;5,578.05;5,460.12;5,582.06;5,460.12
7/25/2006;5,565.76;5,587.04;5,601.62;5,542.38
7/26/2006;5,583.10;5,573.62;5,596.19;5,555.45
7/27/2006;5,659.07;5,615.08;5,667.55;5,597.35
7/28/2006;5,705.42;5,640.92;5,708.33;5,620.91
7/31/2006;5,681.97;5,704.56;5,708.37;5,672.77
8/1/2006;5,596.74;5,678.01;5,693.49;5,583.96
8/2/2006;5,680.82;5,622.74;5,684.49;5,620.79
8/3/2006;5,640.03;5,688.29;5,696.70;5,591.19
8/4/2006;5,723.03;5,656.38;5,741.80;5,654.32
8/7/2006;5,626.67;5,685.46;5,687.80;5,614.30
8/8/2006;5,651.92;5,658.36;5,678.73;5,630.06
8/9/2006;5,702.81;5,663.69;5,709.10;5,612.95
8/10/2006;5,630.96;5,662.73;5,662.73;5,557.59
8/11/2006;5,628.37;5,648.83;5,673.20;5,602.30
8/14/2006;5,692.00;5,661.07;5,701.59;5,659.71
8/15/2006;5,776.80;5,677.37;5,793.05;5,664.89
8/16/2006;5,812.94;5,778.71;5,826.41;5,764.80
8/17/2006;5,833.51;5,819.51;5,835.35;5,803.34
8/18/2006;5,817.02;5,828.35;5,849.37;5,804.24
8/21/2006;5,794.83;5,804.66;5,817.09;5,771.93
8/22/2006;5,818.41;5,816.21;5,831.86;5,755.89
8/23/2006;5,775.54;5,819.29;5,819.29;5,759.55
8/24/2006;5,814.08;5,773.46;5,847.11;5,744.11
8/25/2006;5,811.47;5,814.34;5,834.07;5,783.89
8/28/2006;5,854.99;5,808.37;5,862.33;5,767.83
8/29/2006;5,847.02;5,854.50;5,880.48;5,837.38
8/30/2006;5,867.53;5,863.31;5,884.51;5,852.19
8/31/2006;5,859.57;5,880.58;5,886.78;5,841.00
9/1/2006;5,876.54;5,861.25;5,907.16;5,856.49
9/4/2006;5,909.72;5,890.01;5,917.24;5,890.01
9/5/2006;5,884.07;5,904.42;5,907.49;5,857.38
9/6/2006;5,813.06;5,883.44;5,883.89;5,799.69
9/7/2006;5,773.72;5,792.64;5,792.64;5,753.67
9/8/2006;5,795.26;5,782.63;5,811.59;5,773.54
9/11/2006;5,798.46;5,774.31;5,800.71;5,737.20
9/12/2006;5,873.85;5,803.80;5,878.83;5,775.03
9/13/2006;5,906.12;5,888.47;5,906.98;5,874.45
9/14/2006;5,907.37;5,913.47;5,935.04;5,888.74
9/15/2006;5,937.87;5,911.89;5,953.72;5,907.46
9/18/2006;5,926.33;5,932.51;5,950.36;5,896.65
9/19/2006;5,873.46;5,918.97;5,930.14;5,869.57
9/20/2006;5,954.38;5,877.08;5,962.14;5,872.31
9/21/2006;5,962.03;5,949.06;5,979.87;5,936.00
9/22/2006;5,883.32;5,930.11;5,930.30;5,857.89
9/25/2006;5,901.66;5,898.90;5,935.02;5,864.99
9/26/2006;5,960.63;5,936.45;5,977.92;5,926.55
9/27/2006;5,989.71;5,981.19;6,003.51;5,956.03
9/28/2006;5,989.16;5,984.62;6,002.94;5,973.50
9/29/2006;6,004.33;5,998.40;6,031.55;5,992.42
10/2/2006;5,999.46;6,019.34;6,031.86;5,964.74
10/3/2006;5,992.22;5,986.74;5,992.22;5,944.57
10/4/2006;6,046.37;5,996.24;6,050.28;5,995.41
10/5/2006;6,075.28;6,065.46;6,097.87;6,065.46
10/6/2006;6,085.82;6,066.69;6,088.44;6,052.99
10/9/2006;6,084.40;6,064.88;6,084.55;6,054.67
10/10/2006;6,117.71;6,094.20;6,127.28;6,088.05
10/11/2006;6,119.45;6,111.02;6,128.20;6,080.14
10/12/2006;6,160.28;6,112.51;6,164.41;6,112.51
10/13/2006;6,173.68;6,169.81;6,188.69;6,152.36
10/16/2006;6,186.54;6,178.36;6,189.82;6,162.77
10/17/2006;6,115.10;6,170.02;6,170.02;6,106.19
10/18/2006;6,182.78;6,133.78;6,210.35;6,133.78
10/19/2006;6,177.42;6,168.00;6,203.90;6,148.31
10/20/2006;6,202.82;6,189.70;6,218.57;6,176.90
10/23/2006;6,242.91;6,216.46;6,248.80;6,185.51
10/24/2006;6,247.52;6,236.95;6,251.95;6,226.93
10/25/2006;6,264.92;6,243.47;6,276.74;6,234.06
10/26/2006;6,284.19;6,279.37;6,304.78;6,270.22
10/27/2006;6,262.54;6,288.56;6,300.37;6,231.33
10/30/2006;6,258.19;6,230.86;6,263.35;6,205.75
10/31/2006;6,268.92;6,243.63;6,286.70;6,237.55
11/1/2006;6,291.90;6,262.71;6,311.93;6,262.59
11/2/2006;6,223.33;6,272.97;6,295.67;6,201.00
11/3/2006;6,241.15;6,233.17;6,279.46;6,220.11
11/6/2006;6,330.65;6,249.92;6,331.19;6,249.92
11/7/2006;6,361.96;6,334.19;6,363.15;6,326.24
11/8/2006;6,349.26;6,340.91;6,356.41;6,317.87
11/9/2006;6,358.68;6,360.93;6,366.65;6,333.50
11/10/2006;6,357.77;6,349.70;6,366.46;6,311.53
11/13/2006;6,393.73;6,350.65;6,403.72;6,344.10
11/14/2006;6,387.38;6,394.27;6,411.24;6,365.43
11/15/2006;6,430.89;6,404.16;6,434.00;6,404.16
11/16/2006;6,443.02;6,429.50;6,452.13;6,415.43
11/17/2006;6,412.36;6,438.18;6,451.69;6,398.52
11/20/2006;6,452.33;6,394.08;6,459.53;6,368.07
11/21/2006;6,460.39;6,450.56;6,476.71;6,447.53
11/22/2006;6,476.13;6,475.30;6,497.06;6,453.49
11/23/2006;6,475.25;6,483.58;6,494.70;6,461.58
11/24/2006;6,411.96;6,464.85;6,469.25;6,367.20
11/27/2006;6,298.17;6,400.49;6,419.97;6,297.61
11/28/2006;6,281.68;6,289.71;6,305.65;6,247.99
11/29/2006;6,363.80;6,300.41;6,365.83;6,297.35
