"DATE";"CLOSING PRICE";"OPEN";"DAILY HIGH";"DAILY LOW"
1/3/2006;10,847.41;10,718.30;10,862.78;10,684.45
1/4/2006;10,880.15;10,843.97;10,892.64;10,833.90
1/5/2006;10,882.15;10,880.39;10,908.25;10,843.65
1/6/2006;10,959.31;10,875.45;10,968.84;10,875.45
1/9/2006;11,011.90;10,959.47;11,020.15;10,944.43
1/10/2006;11,011.58;11,010.46;11,013.98;10,949.87
1/11/2006;11,043.44;11,011.66;11,047.76;10,991.97
1/12/2006;10,962.36;11,043.12;11,045.84;10,951.23
1/13/2006;10,959.87;10,961.48;10,992.69;10,921.53
1/17/2006;10,896.32;10,957.55;10,957.87;10,875.60
1/18/2006;10,854.86;10,890.08;10,890.08;10,817.32
1/19/2006;10,880.71;10,855.18;10,915.95;10,852.13
1/20/2006;10,667.39;10,880.71;10,880.71;10,661.15
1/23/2006;10,688.77;10,668.75;10,737.04;10,666.35
1/24/2006;10,712.22;10,690.21;10,750.31;10,686.04
1/25/2006;10,709.74;10,713.26;10,760.57;10,672.60
1/26/2006;10,809.47;10,711.02;10,827.96;10,710.94
1/27/2006;10,907.21;10,815.32;10,932.34;10,804.75
1/30/2006;10,899.92;10,908.49;10,930.50;10,887.44
1/31/2006;10,864.86;10,900.40;10,923.45;10,862.14
2/1/2006;10,953.95;10,862.14;10,967.57;10,852.82
2/2/2006;10,851.98;10,950.11;10,950.11;10,827.16
2/3/2006;10,793.62;10,849.57;10,863.58;10,779.06
2/6/2006;10,798.27;10,793.30;10,814.51;10,770.97
2/7/2006;10,749.76;10,796.42;10,822.76;10,737.67
2/8/2006;10,858.62;10,742.16;10,865.42;10,740.63
2/9/2006;10,883.35;10,859.42;10,952.27;10,855.74
2/10/2006;10,919.05;10,883.51;10,944.99;10,820.20
2/13/2006;10,892.32;10,915.21;10,939.86;10,849.89
2/14/2006;11,028.39;10,890.72;11,047.68;10,890.72
2/15/2006;11,058.97;11,025.67;11,068.74;10,989.72
2/16/2006;11,120.68;11,059.05;11,120.76;11,046.40
2/17/2006;11,115.32;11,119.56;11,131.95;11,077.70
2/21/2006;11,069.06;11,115.48;11,140.77;11,050.81
2/22/2006;11,137.17;11,065.29;11,159.18;11,060.33
2/23/2006;11,069.22;11,133.52;11,135.89;11,052.73
2/24/2006;11,061.85;11,065.77;11,085.54;11,010.22
2/27/2006;11,097.55;11,062.81;11,132.61;11,061.73
2/28/2006;10,993.41;11,096.75;11,100.19;10,978.61
3/1/2006;11,053.53;10,993.25;11,069.38;10,991.97
3/2/2006;11,025.51;11,052.57;11,052.57;10,986.05
3/3/2006;11,021.59;11,024.23;11,106.68;10,984.61
3/6/2006;10,958.59;11,022.47;11,037.12;10,929.22
3/7/2006;10,980.69;10,957.31;10,989.01;10,928.74
3/8/2006;11,005.74;10,977.08;11,026.71;10,922.73
3/9/2006;10,972.28;11,005.66;11,049.12;10,963.88
3/10/2006;11,076.34;10,972.92;11,098.99;10,972.92
3/13/2006;11,076.02;11,067.61;11,116.68;11,056.33
3/14/2006;11,151.34;11,076.02;11,161.35;11,058.65
3/15/2006;11,209.77;11,149.76;11,226.74;11,138.93
3/16/2006;11,253.24;11,210.97;11,282.45;11,210.57
3/17/2006;11,279.65;11,254.12;11,290.07;11,254.12
3/20/2006;11,274.53;11,278.93;11,308.39;11,259.80
3/21/2006;11,235.47;11,275.89;11,334.96;11,221.54
3/22/2006;11,317.43;11,234.51;11,328.80;11,226.42
3/23/2006;11,270.29;11,317.35;11,327.20;11,237.15
3/24/2006;11,279.97;11,270.61;11,316.09;11,244.03
3/27/2006;11,250.11;11,280.13;11,280.45;11,229.86
3/28/2006;11,154.54;11,250.11;11,281.77;11,145.02
3/29/2006;11,215.70;11,154.94;11,244.35;11,154.94
3/30/2006;11,150.70;11,216.34;11,259.16;11,117.64
3/31/2006;11,109.32;11,151.34;11,191.36;11,105.65
4/3/2006;11,144.94;11,113.00;11,247.87;11,113.00
4/4/2006;11,203.85;11,203.21;11,226.98;11,123.57
