"DATE";"CLOSING PRICE";"OPEN";"DAILY HIGH";"DAILY LOW"
1/2/2006;3604.33;3578.73;3605.95;3578.73
1/3/2006;3614.34;3604.08;3638.42;3601.84
1/4/2006;3652.46;3615.23;3652.46;3615.23
1/5/2006;3650.24;3652.19;3661.65;3643.17
1/6/2006;3666.99;3650.54;3666.99;3647.66
1/9/2006;3671.78;3667.10;3685.99;3667.10
1/10/2006;3644.94;3671.23;3671.23;3638.77
1/11/2006;3668.61;3645.73;3674.31;3645.73
1/12/2006;3670.20;3667.16;3676.00;3656.99
1/13/2006;3629.25;3670.27;3670.27;3618.06
1/16/2006;3644.41;3628.73;3649.10;3621.03
1/17/2006;3610.07;3639.57;3639.57;3606.54
1/18/2006;3570.17;3609.34;3609.34;3550.16
1/19/2006;3593.22;3572.19;3597.34;3572.19
1/20/2006;3550.80;3593.16;3612.37;3550.80
1/23/2006;3544.31;3550.24;3550.24;3515.07
1/24/2006;3532.68;3544.78;3553.16;3526.37
1/25/2006;3578.00;3532.72;3578.00;3532.72
1/26/2006;3641.42;3578.92;3641.42;3577.98
1/27/2006;3685.48;3643.35;3685.48;3643.35
1/30/2006;3677.52;3684.38;3685.65;3664.45
1/31/2006;3691.41;3676.71;3707.63;3671.67
2/1/2006;3728.34;3686.16;3728.80;3674.89
2/2/2006;3677.05;3728.92;3745.14;3677.05
2/3/2006;3678.48;3677.05;3696.00;3652.76
2/6/2006;3682.32;3678.87;3704.17;3672.53
2/7/2006;3680.80;3682.97;3698.63;3656.20
2/8/2006;3671.37;3680.05;3680.05;3637.93
2/9/2006;3726.81;3672.34;3726.81;3672.34
2/10/2006;3695.63;3725.18;3735.14;3692.63
2/13/2006;3727.46;3696.09;3727.46;3684.83
2/14/2006;3734.48;3728.16;3744.66;3707.25
2/15/2006;3729.79;3733.97;3749.36;3720.41
2/16/2006;3756.47;3730.82;3756.47;3730.82
2/17/2006;3767.70;3757.34;3777.16;3749.94
2/20/2006;3766.74;3767.11;3769.16;3749.88
2/21/2006;3779.51;3767.21;3800.78;3767.21
2/22/2006;3818.48;3778.02;3818.48;3771.06
2/23/2006;3813.29;3819.56;3831.16;3796.21
2/24/2006;3826.00;3812.76;3826.00;3805.55
2/27/2006;3840.56;3828.99;3840.56;3819.65
2/28/2006;3774.51;3840.31;3840.31;3769.25
3/1/2006;3806.03;3775.23;3806.34;3772.49
3/2/2006;3763.73;3807.30;3820.55;3745.46
3/3/2006;3733.95;3763.95;3774.03;3715.35
3/6/2006;3754.07;3737.58;3766.47;3737.58
3/7/2006;3745.20;3751.30;3751.30;3719.92
3/8/2006;3727.96;3745.10;3757.16;3702.04
3/9/2006;3757.73;3736.61;3765.56;3736.61
3/10/2006;3798.46;3754.13;3798.46;3741.51
3/13/2006;3824.97;3801.03;3827.45;3801.03
3/14/2006;3833.48;3823.18;3833.48;3808.96
3/15/2006;3842.16;3834.11;3853.33;3834.11
3/16/2006;3839.71;3844.15;3847.88;3822.56
