"DATE";"CLOSING PRICE";"OPEN";"DAILY HIGH";"DAILY LOW"
11/30/2009;22,374.26;22,447.61;22,690.70;22,374.26
12/1/2009;22,995.84;22,553.85;22,995.84;22,553.85
12/2/2009;23,008.51;23,025.14;23,155.26;22,866.13
12/3/2009;23,045.47;23,238.97;23,327.38;23,001.05
12/4/2009;23,333.51;22,957.22;23,459.73;22,792.11
12/7/2009;23,207.05;23,257.66;23,314.07;23,097.87
12/8/2009;22,832.61;23,174.62;23,331.89;22,715.50
12/9/2009;22,650.15;22,764.52;22,904.08;22,499.58
12/10/2009;22,795.61;22,637.59;22,857.19;22,565.94
12/11/2009;22,824.72;22,888.36;23,049.75;22,794.99
12/14/2009;23,057.59;23,029.93;23,129.82;22,984.06
12/15/2009;23,025.98;23,126.18;23,140.84;22,802.34
12/16/2009;23,288.35;23,057.81;23,288.35;23,038.78
12/17/2009;23,085.30;23,153.56;23,257.38;23,012.52
12/18/2009;22,885.44;23,106.71;23,215.35;22,838.14
12/21/2009;23,149.83;22,993.56;23,187.89;22,893.85
12/22/2009;23,367.74;23,203.14;23,458.53;23,199.06
12/23/2009;23,486.15;23,494.98;23,582.03;23,435.48
12/28/2009;23,682.41;23,651.33;23,721.45;23,623.84
12/29/2009;23,759.33;23,740.58;23,835.54;23,704.63
12/30/2009;23,652.86;23,749.40;23,834.12;23,592.97
1/4/2010;23,957.48;23,760.95;23,957.48;23,735.75
1/5/2010;23,997.41;23,966.35;24,075.80;23,905.02
1/6/2010;24,061.18;24,013.20;24,067.38;23,928.70
1/7/2010;24,146.19;23,994.23;24,183.78;23,912.45
1/8/2010;24,231.64;24,245.58;24,329.17;24,099.99
1/11/2010;24,192.49;24,367.24;24,463.81;24,190.30
1/12/2010;23,993.27;24,237.23;24,274.89;23,925.01
1/13/2010;24,059.64;23,899.78;24,076.17;23,879.76
1/14/2010;24,208.60;24,227.45;24,305.21;24,106.40
1/15/2010;23,902.43;24,290.13;24,363.19;23,889.22
1/18/2010;23,953.48;23,980.99;24,044.44;23,832.09
1/19/2010;24,139.73;23,902.34;24,149.47;23,596.79
1/20/2010;23,582.35;24,068.22;24,150.51;23,558.79
1/21/2010;23,340.36;23,745.48;23,866.72;23,332.23
1/22/2010;23,038.31;23,180.20;23,393.80;22,860.09
1/25/2010;22,867.03;22,850.87;23,146.97;22,823.95
1/26/2010;22,897.39;22,686.73;22,909.06;22,550.05
1/27/2010;22,516.73;22,691.94;22,794.54;22,430.72
1/28/2010;22,156.88;22,786.98;22,805.89;22,150.67
1/29/2010;22,432.34;22,202.67;22,566.57;22,033.18
2/1/2010;22,545.91;22,240.73;22,608.34;22,209.34
2/2/2010;22,942.35;22,620.70;22,942.35;22,455.59
2/3/2010;22,696.96;22,996.96;23,014.58;22,666.82
2/4/2010;21,938.10;22,708.27;22,784.37;21,924.51
2/5/2010;21,335.08;21,809.10;21,843.98;21,280.20
2/8/2010;21,425.45;21,446.79;21,554.39;20,988.81
2/9/2010;21,342.01;21,353.17;21,604.38;21,240.15
2/10/2010;21,746.12;21,607.69;21,908.00;21,592.98
2/11/2010;21,591.67;21,888.36;21,979.33;21,411.86
2/12/2010;21,549.03;21,793.77;21,844.76;21,428.34
2/15/2010;21,632.05;21,647.20;21,800.76;21,570.38
2/16/2010;21,798.78;21,823.28;21,851.03;21,519.36
2/17/2010;22,139.49;22,022.72;22,270.21;22,013.73
2/18/2010;22,181.89;22,108.51;22,233.05;22,042.66
2/19/2010;22,259.72;21,934.89;22,259.72;21,909.19
2/22/2010;22,199.67;22,367.98;22,371.90;22,195.10
2/23/2010;21,738.24;22,277.04;22,347.49;21,694.35
2/24/2010;21,842.35;21,784.59;21,906.27;21,548.19
2/25/2010;21,347.82;21,668.40;21,828.30;21,296.61
2/26/2010;21,583.24;21,549.70;21,602.27;21,323.23
3/1/2010;21,840.24;21,767.05;21,849.86;21,537.42
3/2/2010;21,965.82;21,840.96;22,024.46;21,763.50
3/3/2010;22,268.38;21,898.00;22,298.39;21,820.44
3/4/2010;22,359.67;22,101.91;22,455.57;22,101.91
3/5/2010;22,769.70;22,466.16;22,771.28;22,355.58
3/8/2010;22,884.88;22,905.28;22,937.84;22,822.77
3/9/2010;22,850.94;22,894.46;22,922.69;22,681.59
3/10/2010;23,128.82;22,853.36;23,137.59;22,774.30
3/11/2010;23,040.52;23,031.63;23,169.32;22,955.73
3/12/2010;23,053.01;23,079.54;23,233.34;23,010.88
3/15/2010;22,870.39;23,027.51;23,058.25;22,863.89
3/16/2010;23,112.38;22,918.37;23,162.39;22,918.37
3/17/2010;23,361.43;23,317.95;23,390.63;23,232.72
3/18/2010;23,246.51;23,263.70;23,395.98;23,187.95
3/19/2010;23,179.20;23,362.61;23,508.96;23,082.74
3/22/2010;23,121.95;23,092.28;23,157.87;22,879.43
3/23/2010;23,281.31;23,184.38;23,315.40;23,097.42
3/24/2010;23,309.37;23,341.64;23,381.04;23,030.25
3/25/2010;23,539.62;23,308.09;23,577.78;23,280.86
3/26/2010;23,563.06;23,503.64;23,615.61;23,450.03
3/29/2010;23,607.80;23,630.34;23,682.17;23,489.04
3/30/2010;23,513.99;23,704.43;23,743.76;23,499.18
3/31/2010;23,368.38;23,488.63;23,649.08;23,253.22
4/1/2010;23,718.93;23,478.96;23,718.93;23,456.33
4/6/2010;23,847.27;23,832.63;23,866.08;23,672.72
4/7/2010;23,665.52;23,836.69;23,836.69;23,632.37
4/8/2010;23,355.68;23,562.81;23,634.75;23,221.56
4/9/2010;23,634.05;23,525.41;23,639.99;23,436.05
4/12/2010;23,804.06;23,784.55;23,837.77;23,688.11
4/13/2010;23,709.43;23,748.38;23,858.77;23,657.96
4/14/2010;23,983.04;23,833.63;23,992.68;23,807.73
4/15/2010;24,049.59;24,042.68;24,094.71;23,888.31
4/16/2010;23,550.52;23,961.07;24,085.25;23,510.43
4/19/2010;23,318.02;23,343.56;23,503.69;23,252.34
4/20/2010;23,796.68;23,450.55;23,796.68;23,380.36
4/21/2010;23,586.89;23,875.08;23,883.55;23,539.63
4/22/2010;23,155.81;23,556.34;23,702.68;23,096.34
4/23/2010;23,282.33;23,203.09;23,359.21;23,030.45
4/26/2010;23,325.13;23,497.74;23,590.11;23,266.92
4/27/2010;22,602.40;23,308.62;23,320.24;22,602.40
4/28/2010;22,079.98;22,381.54;22,508.46;21,848.23
4/29/2010;22,300.53;22,172.93;22,353.54;21,941.62
4/30/2010;22,182.84;22,341.30;22,554.47;22,031.44
5/3/2010;22,248.81;22,136.53;22,358.20;22,001.49
5/4/2010;21,255.02;22,276.42;22,319.27;21,209.63
5/5/2010;20,983.45;21,296.72;21,411.20;20,716.64
5/6/2010;20,137.84;20,729.13;21,093.32;19,769.63
5/7/2010;19,500.75;19,708.73;20,402.45;19,162.77
5/10/2010;21,547.32;19,872.58;21,547.32;19,872.58
5/11/2010;21,445.97;21,307.14;21,463.23;20,944.10
5/12/2010;21,626.38;21,358.69;21,841.54;21,181.40
5/13/2010;21,483.73;21,845.03;21,845.03;21,288.61
5/14/2010;20,398.04;21,321.28;21,321.28;20,261.97
5/17/2010;20,415.83;20,293.24;20,735.00;20,194.76
5/18/2010;20,890.02;20,699.52;20,974.71;20,541.12
5/19/2010;20,200.65;20,506.71;20,548.54;20,031.65
5/20/2010;19,867.62;20,421.01;20,561.09;19,519.96
5/21/2010;20,103.93;19,879.53;20,157.07;19,536.29
5/24/2010;19,614.75;19,917.69;19,971.63;19,491.08
5/25/2010;18,964.96;19,012.45;19,068.32;18,642.94
5/26/2010;19,382.65;19,292.46;19,642.54;19,227.06
5/27/2010;20,216.19;19,540.62;20,216.19;19,476.94
5/28/2010;20,080.69;20,346.99;20,346.99;20,023.98
5/31/2010;20,150.30;19,972.68;20,207.65;19,972.68
6/1/2010;19,906.75;20,063.47;20,063.47;19,444.80
6/2/2010;19,817.94;19,727.74;19,917.21;19,534.46
6/3/2010;20,109.03;20,227.78;20,386.84;20,091.85
6/4/2010;19,384.18;20,159.09;20,219.54;19,320.85
6/7/2010;19,262.54;19,124.62;19,517.22;18,997.54
6/8/2010;19,154.30;19,387.79;19,387.79;18,843.75
6/9/2010;19,520.99;19,340.30;19,520.99;19,146.14
6/10/2010;19,989.27;19,390.64;20,024.33;19,274.57
6/11/2010;20,255.23;20,070.88;20,327.86;19,932.06
6/14/2010;20,767.97;20,466.40;20,790.53;20,466.40
6/15/2010;21,133.02;20,549.94;21,177.96;20,495.32
6/16/2010;21,114.94;21,266.82;21,295.98;20,839.59
6/17/2010;21,122.16;21,113.10;21,300.18;21,013.65
6/18/2010;21,295.51;21,177.95;21,329.11;20,996.97
6/21/2010;21,344.08;21,567.87;21,570.05;21,280.62
6/22/2010;21,160.52;21,209.64;21,387.77;20,927.26
6/23/2010;20,904.79;20,927.54;21,197.88;20,766.95
6/24/2010;20,485.61;21,008.31;21,028.57;20,381.93
6/25/2010;20,483.80;20,520.34;20,653.33;20,274.76
6/28/2010;20,664.05;20,581.04;20,801.26;20,331.49
6/29/2010;19,793.71;20,359.54;20,386.47;19,784.60
6/30/2010;19,869.40;19,854.12;20,105.66;19,682.24
7/1/2010;19,489.44;19,571.77;19,796.07;19,368.31
7/2/2010;19,628.47;19,652.16;19,795.23;19,484.94
7/5/2010;19,419.19;19,681.30;19,681.30;19,416.39
7/6/2010;19,928.58;19,510.27;20,131.70;19,477.82
7/7/2010;20,555.34;19,758.42;20,555.34;19,677.13
7/8/2010;20,769.45;20,693.18;20,841.47;20,645.07
7/9/2010;20,984.76;20,908.72;21,028.31;20,816.56
7/12/2010;21,021.89;21,016.43;21,135.52;20,899.67
7/13/2010;21,351.67;21,019.13;21,374.34;20,999.81
7/14/2010;21,303.21;21,464.36;21,464.36;21,079.11
7/15/2010;20,991.71;21,189.73;21,368.68;20,850.91
7/16/2010;20,662.70;21,043.24;21,141.41;20,520.82
7/19/2010;20,617.63;20,553.50;20,849.02;20,454.17
7/20/2010;20,475.45;20,744.22;20,817.74;20,164.02
7/21/2010;20,629.58;20,624.11;20,842.59;20,564.90
7/22/2010;21,162.43;20,531.82;21,169.50;20,496.29
7/23/2010;21,079.44;21,108.72;21,203.55;20,926.86
7/26/2010;21,285.12;21,213.64;21,285.94;20,968.54
7/27/2010;21,601.27;21,369.66;21,734.97;21,346.40
7/28/2010;21,531.70;21,678.43;21,756.84;21,480.61
7/29/2010;21,551.06;21,603.79;21,865.55;21,495.02
7/30/2010;21,463.20;21,477.27;21,654.21;21,226.74
8/2/2010;21,975.78;21,571.71;22,036.96;21,490.60
8/3/2010;21,928.56;21,978.02;22,052.60;21,758.73
8/4/2010;21,914.08;21,854.46;22,048.03;21,565.00
8/5/2010;21,762.59;21,941.75;22,026.49;21,693.26
8/6/2010;21,567.43;21,859.67;21,991.38;21,461.46
8/9/2010;21,817.46;21,780.53;21,863.36;21,724.87
8/10/2010;21,726.42;21,768.95;21,876.71;21,591.97
8/11/2010;21,066.48;21,585.17;21,585.17;21,038.30
8/12/2010;21,022.19;21,025.94;21,190.48;20,852.89
8/13/2010;20,969.55;21,164.77;21,164.77;20,751.80
8/16/2010;20,915.83;21,019.02;21,101.92;20,709.48
