"DATE";"CLOSING PRICE";"OPEN";"DAILY HIGH";"DAILY LOW"
1/2/2006;10,786.70;10,725.80;10,814.60;10,720.00
1/3/2006;10,818.10;10,794.10;10,839.30;10,769.30
1/4/2006;10,895.80;10,869.30;10,898.90;10,830.90
1/5/2006;10,913.60;10,907.30;10,929.60;10,883.30
1/9/2006;10,962.50;10,943.10;10,966.10;10,928.10
1/10/2006;10,869.90;10,932.10;10,935.10;10,869.90
1/11/2006;10,966.20;10,909.30;10,966.20;10,908.80
1/12/2006;10,955.80;10,935.00;10,969.40;10,925.70
1/13/2006;10,850.70;10,938.40;10,943.00;10,825.50
1/16/2006;10,898.40;10,825.90;10,905.80;10,821.60
1/17/2006;10,806.30;10,834.50;10,844.00;10,795.10
1/18/2006;10,708.10;10,719.00;10,740.70;10,674.20
1/19/2006;10,821.50;10,764.70;10,821.50;10,763.40
1/20/2006;10,740.90;10,834.10;10,872.40;10,737.80
1/23/2006;10,712.20;10,642.90;10,723.30;10,611.10
1/24/2006;10,665.60;10,728.30;10,747.60;10,645.50
1/25/2006;10,824.10;10,704.10;10,824.10;10,690.40
1/26/2006;10,890.20;10,792.20;10,952.60;10,788.10
1/27/2006;11,023.20;10,944.50;11,026.90;10,886.30
1/30/2006;11,038.00;11,012.40;11,051.70;10,979.70
1/31/2006;11,104.30;11,025.20;11,112.10;11,022.80
2/1/2006;11,221.10;11,030.50;11,221.10;11,030.10
2/2/2006;11,136.00;11,218.70;11,253.00;11,125.70
2/3/2006;11,175.80;11,162.00;11,202.50;11,120.70
2/6/2006;11,187.50;11,199.80;11,217.00;11,164.80
2/7/2006;11,175.10;11,195.90;11,215.90;11,099.10
2/8/2006;11,202.60;11,114.10;11,209.30;11,083.40
2/9/2006;11,344.90;11,226.40;11,344.90;11,222.00
2/10/2006;11,312.60;11,339.10;11,366.90;11,293.60
2/13/2006;11,395.50;11,325.10;11,395.50;11,281.20
2/14/2006;11,395.90;11,389.50;11,412.30;11,320.40
2/15/2006;11,377.40;11,399.00;11,426.10;11,366.90
2/16/2006;11,447.20;11,410.90;11,447.20;11,384.10
2/17/2006;11,491.30;11,460.70;11,501.40;11,428.60
2/20/2006;11,535.60;11,502.30;11,535.60;11,456.90
2/21/2006;11,626.90;11,564.00;11,657.80;11,542.00
2/22/2006;11,755.30;11,619.20;11,755.30;11,604.80
2/23/2006;11,739.00;11,755.20;11,785.90;11,708.50
2/24/2006;11,786.90;11,753.90;11,786.90;11,738.70
2/27/2006;11,832.80;11,821.10;11,832.80;11,786.50
2/28/2006;11,740.70;11,825.40;11,840.10;11,691.80
3/1/2006;11,902.20;11,764.60;11,902.20;11,758.10
3/2/2006;11,809.60;11,914.40;11,918.60;11,776.40
3/3/2006;11,755.70;11,783.60;11,834.80;11,725.80
3/6/2006;11,759.10;11,765.70;11,812.40;11,740.80
3/7/2006;11,701.30;11,706.20;11,714.40;11,610.30
3/8/2006;11,629.20;11,722.30;11,736.00;11,566.80
3/9/2006;11,699.60;11,701.50;11,727.90;11,657.50
3/10/2006;11,771.80;11,642.20;11,771.80;11,635.30
3/13/2006;11,845.40;11,808.70;11,854.70;11,805.90
3/14/2006;11,835.00;11,815.50;11,839.70;11,773.30
3/15/2006;11,845.70;11,869.40;11,884.50;11,831.90
3/16/2006;11,862.50;11,860.30;11,874.40;11,804.20
3/17/2006;11,872.90;11,877.40;11,949.60;11,835.30
3/20/2006;11,922.00;11,909.30;11,962.80;11,896.60
3/21/2006;11,933.40;11,944.60;11,944.60;11,857.80
3/22/2006;11,951.60;11,876.20;11,959.30;11,860.00
3/23/2006;11,906.20;11,957.50;11,970.00;11,880.40
3/24/2006;11,954.40;11,908.50;11,954.40;11,895.30
3/27/2006;11,839.60;11,939.50;11,954.10;11,839.10
3/28/2006;11,774.20;11,855.40;11,870.50;11,754.10
3/29/2006;11,817.30;11,773.10;11,839.80;11,753.90
3/30/2006;11,869.80;11,870.20;11,884.00;11,805.20
3/31/2006;11,854.30;11,856.20;11,871.60;11,779.20
4/3/2006;11,920.00;11,923.50;11,958.60;11,901.80
4/4/2006;11,893.80;11,892.60;11,893.80;11,829.80
4/5/2006;11,916.40;11,888.20;11,916.40;11,839.80
4/6/2006;11,908.20;11,938.60;11,944.00;11,883.60
4/7/2006;11,816.70;11,903.40;11,922.00;11,807.70
4/10/2006;11,817.50;11,792.40;11,817.50;11,764.40
4/11/2006;11,674.60;11,796.70;11,822.20;11,657.10
4/12/2006;11,601.70;11,666.90;11,667.90;11,567.60
4/13/2006;11,609.40;11,604.50;11,645.30;11,564.20
4/18/2006;11,585.00;11,589.40;11,626.30;11,552.10
4/19/2006;11,720.10;11,671.70;11,721.30;11,659.80
4/20/2006;11,782.60;11,720.10;11,814.20;11,716.30
4/21/2006;11,913.80;11,819.90;11,913.80;11,806.10
4/24/2006;11,901.30;11,884.40;11,955.80;11,856.60
4/25/2006;11,920.50;11,889.80;11,975.50;11,878.60
4/26/2006;11,925.60;11,940.80;11,958.10;11,886.90
4/27/2006;11,891.30;11,944.90;11,946.20;11,825.30
4/28/2006;11,892.50;11,876.20;11,913.90;11,812.90
5/2/2006;11,929.30;11,843.30;11,929.30;11,835.90
5/3/2006;11,876.50;11,939.50;11,956.90;11,858.40
5/4/2006;11,928.50;11,901.10;11,934.80;11,851.60
5/5/2006;12,034.40;11,935.20;12,034.40;11,922.30
5/8/2006;12,067.70;12,070.50;12,087.20;12,031.50
5/9/2006;12,083.30;12,073.10;12,096.20;12,042.50
5/10/2006;12,064.80;12,057.30;12,085.50;12,046.60
5/11/2006;12,008.40;12,052.20;12,106.00;11,998.10
5/12/2006;11,710.20;11,919.10;11,931.80;11,710.20
5/15/2006;11,587.70;11,661.30;11,673.10;11,517.90
5/16/2006;11,595.90;11,567.10;11,637.10;11,553.90
5/17/2006;11,248.20;11,615.30;11,636.10;11,248.20
5/18/2006;11,210.30;11,241.40;11,332.10;11,069.10
5/19/2006;11,270.80;11,197.20;11,294.20;11,173.70
5/22/2006;10,950.20;11,246.60;11,248.00;10,918.30
5/23/2006;11,160.70;11,004.80;11,169.50;10,993.10
5/24/2006;11,047.20;11,085.20;11,120.80;10,961.50
5/25/2006;11,208.20;11,107.70;11,208.20;10,984.30
5/26/2006;11,414.80;11,268.70;11,414.80;11,236.70
5/29/2006;11,371.40;11,401.90;11,410.70;11,369.00
5/30/2006;11,165.60;11,347.50;11,384.30;11,143.20
5/31/2006;11,340.50;11,072.40;11,344.30;11,049.20
6/1/2006;11,346.40;11,327.70;11,375.80;11,244.80
6/2/2006;11,360.70;11,445.70;11,470.60;11,317.10
6/5/2006;11,287.80;11,380.00;11,380.00;11,262.50
6/6/2006;11,112.00;11,134.10;11,223.80;11,090.10
6/7/2006;11,224.70;11,181.00;11,267.10;11,105.80
6/8/2006;10,952.60;11,027.40;11,097.80;10,952.60
6/9/2006;11,098.20;11,086.40;11,121.70;11,037.60
6/12/2006;11,031.40;11,060.80;11,109.40;11,018.50
6/13/2006;10,797.50;10,867.80;10,909.00;10,772.40
6/14/2006;10,852.00;10,833.40;10,873.40;10,744.20
