"DATE";"CLOSING PRICE";"OPEN";"DAILY HIGH";"DAILY LOW"
1/2/2006;9,139.09;9,206.10;9,209.87;9,139.09
1/3/2006;9,205.27;9,139.09;9,213.21;9,137.93
1/4/2006;9,330.78;9,205.27;9,396.16;9,205.27
1/5/2006;9,369.15;9,330.75;9,383.88;9,314.22
1/6/2006;9,473.55;9,369.15;9,475.40;9,369.15
1/9/2006;9,418.44;9,473.55;9,480.23;9,402.39
1/10/2006;9,397.75;9,418.44;9,423.20;9,375.66
1/11/2006;9,457.04;9,397.75;9,459.31;9,396.88
1/12/2006;9,422.59;9,448.34;9,494.85;9,416.32
1/13/2006;9,420.57;9,422.67;9,436.40;9,418.56
1/16/2006;9,392.32;9,420.98;9,422.51;9,384.02
1/17/2006;9,337.49;9,392.32;9,397.91;9,335.36
1/18/2006;9,328.09;9,337.49;9,343.56;9,306.54
1/19/2006;9,375.73;9,328.44;9,392.56;9,328.44
1/20/2006;9,358.15;9,377.00;9,398.55;9,352.88
1/23/2006;9,317.60;9,359.53;9,360.93;9,317.60
1/24/2006;9,333.77;9,317.64;9,337.25;9,275.45
1/25/2006;9,366.94;9,333.77;9,381.38;9,332.15
1/26/2006;9,445.69;9,366.94;9,464.02;9,366.94
1/27/2006;9,486.04;9,445.69;9,507.32;9,445.69
1/30/2006;9,505.36;9,486.00;9,514.72;9,473.26
1/31/2006;9,513.40;9,505.36;9,545.92;9,505.36
2/1/2006;9,528.10;9,513.40;9,528.10;9,502.56
2/2/2006;9,484.47;9,528.10;9,530.09;9,477.24
2/3/2006;9,495.23;9,484.50;9,499.79;9,484.43
2/6/2006;9,508.38;9,495.23;9,511.12;9,479.02
2/7/2006;9,489.51;9,508.91;9,511.46;9,488.95
2/8/2006;9,506.84;9,489.51;9,516.68;9,474.58
2/9/2006;9,562.21;9,506.84;9,562.43;9,503.26
2/10/2006;9,575.50;9,562.21;9,576.13;9,555.09
2/13/2006;9,564.94;9,575.50;9,581.26;9,561.19
2/14/2006;9,521.03;9,564.94;9,565.96;9,520.45
2/15/2006;9,537.88;9,521.03;9,541.42;9,508.31
2/16/2006;9,511.32;9,537.89;9,544.24;9,503.73
2/17/2006;9,508.22;9,511.81;9,513.58;9,494.72
2/20/2006;9,497.54;9,508.22;9,512.04;9,490.97
2/21/2006;9,550.01;9,497.54;9,564.52;9,497.54
2/22/2006;9,637.79;9,550.01;9,639.22;9,549.60
2/23/2006;9,703.75;9,637.79;9,710.54;9,542.69
2/24/2006;9,747.58;9,703.75;9,750.12;9,695.53
2/27/2006;9,808.77;9,747.58;9,810.92;9,730.83
2/28/2006;9,755.40;9,808.85;10,081.04;9,753.12
3/1/2006;9,706.66;9,755.40;9,755.40;9,705.47
3/2/2006;9,701.10;9,706.52;9,709.18;9,686.26
3/3/2006;9,771.08;9,701.10;9,771.87;9,701.10
3/6/2006;9,766.35;9,773.69;9,798.07;9,766.19
3/7/2006;9,714.82;9,766.35;9,799.61;9,714.39
3/8/2006;9,695.60;9,714.82;9,733.12;9,642.61
3/9/2006;9,701.88;9,695.60;9,756.00;9,695.60
3/10/2006;9,732.56;9,701.88;9,738.27;9,699.57
3/13/2006;9,805.15;9,738.35;9,811.81;9,738.34
