"DATE";"CLOSING PRICE";"OPEN";"DAILY HIGH";"DAILY LOW"
1/4/2006;16361.54;16294.65;16361.54;16250.76
1/5/2006;16425.37;16441.27;16474.52;16368.51
1/6/2006;16428.21;16408.31;16479.55;16320.43
1/10/2006;16124.35;16487.05;16487.05;16124.35
1/11/2006;16363.59;16164.92;16363.59;16005.24
1/12/2006;16445.19;16426.69;16472.99;16310.45
1/13/2006;16454.95;16454.32;16490.27;16383.23
1/16/2006;16268.03;16360.04;16387.63;16221.59
1/17/2006;15805.95;16152.07;16324.17;15805.95
1/18/2006;15341.18;15725.64;15725.64;15059.52
1/19/2006;15696.28;15396.60;15740.82;15396.60
1/20/2006;15696.69;15847.17;15875.39;15597.77
1/23/2006;15360.65;15497.61;15564.90;15312.71
1/24/2006;15648.89;15470.91;15685.14;15470.39
1/25/2006;15651.00;15725.76;15849.52;15651.00
1/26/2006;15891.02;15783.70;15891.02;15764.89
1/27/2006;16460.68;16079.94;16460.68;16079.92
1/30/2006;16551.23;16615.91;16754.60;16538.72
1/31/2006;16649.82;16603.90;16718.79;16561.31
2/1/2006;16480.09;16594.90;16671.91;16480.09
2/2/2006;16710.55;16632.60;16736.18;16611.53
2/3/2006;16659.64;16596.21;16665.10;16567.87
2/6/2006;16747.76;16736.23;16777.37;16578.19
2/7/2006;16720.99;16768.16;16769.37;16681.04
2/8/2006;16272.68;16609.96;16682.91;16272.68
2/9/2006;16439.67;16444.74;16540.49;16351.43
2/10/2006;16257.83;16525.50;16525.50;16090.93
2/13/2006;15877.66;16191.93;16191.93;15877.66
2/14/2006;16184.87;15845.19;16184.87;15691.86
2/15/2006;15932.83;16302.94;16312.74;15932.83
2/16/2006;16043.67;15901.38;16109.20;15842.00
2/17/2006;15713.45;16078.51;16129.94;15702.67
2/20/2006;15437.93;15620.58;15661.85;15389.58
2/21/2006;15894.94;15602.83;15894.94;15573.71
2/22/2006;15781.78;15882.64;15923.00;15679.91
2/23/2006;16096.10;15908.87;16096.10;15892.51
2/24/2006;16101.91;16034.67;16118.11;15947.04
2/27/2006;16192.95;16192.95;16290.15;16123.29
2/28/2006;16205.43;16218.62;16229.68;15953.32
3/1/2006;15964.46;16026.82;16053.30;15910.65
3/2/2006;15909.76;16068.76;16106.26;15879.71
3/3/2006;15663.34;15835.43;15897.29;15658.64
3/6/2006;15901.16;15668.63;15901.16;15609.80
3/7/2006;15726.02;15864.57;15864.57;15678.12
3/8/2006;15627.49;15657.79;15720.65;15553.14
3/9/2006;16036.91;15645.30;16049.61;15645.30
3/10/2006;16115.63;16007.41;16264.89;15982.02
3/13/2006;16361.51;16264.59;16379.47;16242.16
3/14/2006;16238.36;16401.11;16410.29;16238.36
3/15/2006;16319.04;16342.52;16367.76;16291.77
3/16/2006;16096.21;16354.71;16356.49;16032.55
3/17/2006;16339.73;16172.74;16339.73;16106.38
3/20/2006;16624.80;16299.35;16667.13;16299.35
3/22/2006;16495.48;16578.50;16583.25;16477.26
3/23/2006;16489.37;16605.48;16661.14;16464.47
3/24/2006;16560.87;16501.50;16612.52;16462.47
3/27/2006;16650.10;16599.92;16711.16;16599.92
3/28/2006;16690.24;16550.47;16690.24;16463.95
3/29/2006;16938.41;16670.38;16976.29;16613.72
3/30/2006;17045.34;17011.13;17125.64;16974.47
3/31/2006;17059.66;17088.76;17094.61;16995.77
4/3/2006;17333.31;17127.61;17387.08;17105.50
4/4/2006;17292.91;17295.58;17410.30;17266.39
4/5/2006;17243.98;17340.14;17464.54;17187.35
