"DATE";"CLOSING PRICE";"OPEN";"DAILY HIGH";"DAILY LOW"
1/10/2006;1190.34;1128.20;1192.90;1128.20
1/11/2006;1216.66;1190.04;1216.92;1188.86
1/12/2006;1255.92;1216.96;1261.42;1216.96
1/13/2006;1239.76;1255.65;1261.57;1234.10
1/16/2006;1276.90;1240.05;1277.26;1240.05
1/17/2006;1253.58;1277.79;1292.30;1246.61
1/18/2006;1235.01;1252.91;1252.91;1219.79
1/19/2006;1278.28;1233.01;1278.28;1225.66
1/20/2006;1304.53;1278.93;1305.96;1278.93
1/23/2006;1295.39;1304.28;1305.82;1287.71
1/24/2006;1307.05;1296.20;1308.05;1296.20
1/25/2006;1324.65;1307.05;1325.82;1307.05
1/26/2006;1337.82;1324.37;1340.33;1323.01
1/27/2006;1373.22;1338.63;1373.22;1338.63
1/30/2006;1332.27;1374.00;1376.43;1331.59
1/31/2006;1315.96;1334.04;1346.46;1314.75
2/1/2006;1339.57;1316.01;1340.02;1308.95
2/2/2006;1334.85;1339.79;1342.18;1333.35
2/3/2006;1308.13;1334.13;1334.13;1307.88
2/6/2006;1325.27;1308.45;1332.44;1308.45
2/7/2006;1330.64;1325.48;1335.01;1322.96
2/8/2006;1335.19;1330.16;1335.40;1312.06
2/9/2006;1366.37;1336.46;1367.47;1336.46
2/10/2006;1365.26;1367.08;1370.06;1360.36
2/13/2006;1365.24;1363.65;1369.72;1357.52
2/14/2006;1367.91;1365.11;1383.22;1362.37
2/15/2006;1375.10;1368.92;1375.10;1355.16
2/16/2006;1381.59;1373.92;1386.70;1366.70
2/17/2006;1428.14;1382.49;1428.15;1382.49
2/20/2006;1459.48;1430.87;1459.48;1430.87
2/21/2006;1444.35;1459.93;1464.00;1444.35
2/22/2006;1465.62;1444.38;1466.42;1442.94
2/26/2006;1516.46;1465.62;1516.66;1465.62
2/27/2006;1516.99;1516.59;1531.27;1496.78
2/28/2006;1453.44;1515.10;1515.10;1451.52
3/1/2006;1450.82;1453.70;1465.69;1434.82
3/2/2006;1466.87;1452.95;1470.82;1452.95
3/3/2006;1487.11;1467.00;1497.17;1467.00
3/6/2006;1480.90;1487.21;1497.52;1479.63
