"DATE";"CLOSING PRICE";"OPEN";"DAILY HIGH";"DAILY LOW"
1/4/2006;1180.96;1163.88;1181.00;1161.91
1/5/2006;1197.27;1183.31;1197.84;1180.45
1/6/2006;1209.42;1198.81;1215.54;1191.61
1/9/2006;1215.67;1210.32;1217.31;1205.25
1/10/2006;1220.62;1215.85;1220.76;1203.65
1/11/2006;1211.05;1219.81;1223.56;1204.04
1/12/2006;1226.70;1208.77;1227.30;1205.28
1/13/2006;1221.46;1228.16;1231.22;1214.88
1/16/2006;1202.87;1221.11;1221.39;1202.59
1/17/2006;1208.44;1200.26;1209.02;1198.84
1/18/2006;1233.35;1207.53;1234.53;1206.36
1/19/2006;1251.58;1235.08;1251.96;1230.85
1/20/2006;1255.31;1251.41;1258.70;1247.21
1/23/2006;1255.77;1254.78;1257.35;1244.27
1/24/2006;1252.06;1256.01;1262.09;1247.01
1/25/2006;1258.05;1251.27;1260.17;1245.92
2/6/2006;1287.63;1263.00;1287.67;1263.00
2/7/2006;1282.10;1289.45;1297.40;1270.40
2/8/2006;1290.06;1282.12;1291.74;1276.02
2/9/2006;1269.45;1288.97;1288.97;1266.81
2/10/2006;1282.66;1269.54;1284.10;1266.23
2/13/2006;1279.64;1283.78;1284.95;1267.56
2/14/2006;1286.33;1279.63;1286.42;1275.85
2/15/2006;1299.17;1289.14;1301.00;1288.64
2/16/2006;1270.63;1298.50;1298.50;1268.56
2/17/2006;1267.41;1269.40;1280.04;1265.14
2/20/2006;1267.54;1268.11;1279.42;1265.38
2/21/2006;1288.42;1266.65;1288.55;1256.81
2/22/2006;1284.23;1288.85;1297.94;1282.91
2/23/2006;1288.85;1284.13;1289.94;1273.94
2/24/2006;1296.87;1289.43;1297.34;1286.96
2/27/2006;1297.19;1297.69;1304.61;1293.47
2/28/2006;1299.03;1294.81;1299.47;1277.74
3/1/2006;1306.59;1299.15;1308.20;1297.76
3/2/2006;1285.67;1306.59;1307.64;1281.57
3/3/2006;1293.30;1284.61;1295.41;1275.62
3/6/2006;1288.96;1292.75;1296.85;1286.64
3/7/2006;1259.92;1288.26;1288.26;1257.54
3/8/2006;1250.38;1256.69;1258.24;1238.16
3/9/2006;1245.17;1247.46;1253.76;1242.68
3/10/2006;1245.65;1245.19;1253.91;1240.75
3/13/2006;1259.67;1245.30;1260.07;1245.30
3/14/2006;1259.04;1260.42;1262.75;1250.28
3/15/2006;1274.81;1259.23;1275.52;1258.15
3/16/2006;1274.19;1274.62;1277.19;1270.83
3/17/2006;1269.46;1273.01;1276.63;1265.61
3/20/2006;1288.42;1269.58;1288.97;1264.41
3/21/2006;1290.40;1288.56;1297.61;1285.43
3/22/2006;1296.71;1289.46;1296.91;1281.13
3/23/2006;1302.46;1296.19;1302.79;1289.53
3/24/2006;1294.70;1302.14;1308.06;1293.30
3/27/2006;1295.92;1296.07;1296.59;1283.68
3/28/2006;1298.79;1295.76;1302.65;1293.00
3/29/2006;1305.57;1299.38;1313.13;1296.59
3/30/2006;1294.72;1305.84;1308.50;1293.83
3/31/2006;1298.30;1291.52;1298.75;1285.74
4/3/2006;1319.47;1298.68;1319.49;1298.68
4/4/2006;1329.80;1319.84;1330.11;1315.33
4/5/2006;1340.16;1330.56;1341.50;1326.53
4/6/2006;1339.74;1341.74;1348.52;1336.14
4/7/2006;1342.97;1340.65;1345.29;1330.51
4/10/2006;1359.08;1344.24;1359.41;1339.52
4/11/2006;1362.23;1360.98;1366.52;1350.32
4/12/2006;1360.13;1361.74;1364.69;1355.66
4/13/2006;1332.33;1359.28;1364.32;1331.68
4/14/2006;1359.54;1330.10;1360.09;1328.44
4/17/2006;1378.61;1360.64;1383.65;1353.40
4/18/2006;1385.11;1379.81;1391.38;1370.15
4/19/2006;1396.70;1389.13;1399.55;1378.80
4/20/2006;1385.90;1398.10;1404.19;1376.96
4/21/2006;1416.79;1385.92;1419.89;1383.45
4/24/2006;1409.79;1423.41;1429.06;1402.27
4/25/2006;1399.77;1405.90;1409.27;1386.13
4/26/2006;1417.48;1399.07;1426.63;1397.35
4/27/2006;1416.73;1418.90;1424.47;1407.14
4/28/2006;1440.22;1403.52;1444.71;1389.35
5/8/2006;1497.10;1446.99;1497.20;1446.99
5/9/2006;1531.16;1503.24;1532.75;1497.99
5/10/2006;1545.69;1537.56;1554.03;1518.34
5/11/2006;1537.38;1547.56;1583.76;1536.29
5/12/2006;1602.83;1532.88;1603.21;1531.23
5/15/2006;1664.09;1616.26;1664.94;1606.57
5/16/2006;1613.25;1658.69;1678.60;1604.78
5/17/2006;1625.15;1613.23;1640.70;1592.19
5/18/2006;1617.28;1611.66;1630.07;1582.96
5/19/2006;1659.55;1620.21;1664.61;1610.04
5/22/2006;1657.69;1656.75;1674.22;1646.68
5/23/2006;1604.55;1647.96;1648.53;1597.10
5/24/2006;1590.92;1609.74;1634.59;1562.39
5/25/2006;1591.43;1585.47;1598.56;1563.86
5/26/2006;1613.89;1596.57;1614.55;1593.09
5/29/2006;1648.54;1622.11;1648.84;1609.01
5/30/2006;1657.29;1654.98;1663.93;1634.90
5/31/2006;1641.30;1656.28;1667.23;1628.68
6/1/2006;1684.20;1639.67;1684.71;1635.75
6/2/2006;1669.40;1688.78;1695.58;1659.14
6/5/2006;1684.62;1669.24;1685.29;1639.68
6/6/2006;1679.13;1681.22;1692.83;1672.81
6/7/2006;1589.55;1678.24;1678.24;1588.97
6/8/2006;1591.49;1576.44;1596.12;1540.93
6/9/2006;1551.38;1583.96;1594.44;1550.20
6/12/2006;1552.80;1540.22;1566.45;1529.50
6/13/2006;1548.50;1552.10;1570.10;1532.06
6/14/2006;1531.33;1540.64;1540.64;1512.52
6/15/2006;1533.98;1531.25;1551.30;1528.23
6/16/2006;1574.47;1540.19;1574.48;1540.19
6/19/2006;1586.29;1559.99;1591.85;1544.93
6/20/2006;1592.33;1583.87;1592.83;1572.58
6/21/2006;1598.12;1590.61;1617.71;1570.08
6/22/2006;1596.07;1593.10;1605.25;1587.80
6/23/2006;1605.71;1594.50;1608.11;1582.02
6/26/2006;1633.45;1607.79;1635.80;1607.79
6/27/2006;1639.55;1636.70;1642.57;1627.59
6/28/2006;1639.29;1638.23;1642.35;1627.07
6/29/2006;1671.62;1641.93;1672.10;1641.93
6/30/2006;1672.21;1679.72;1690.95;1662.28
7/3/2006;1697.28;1677.31;1697.83;1670.02
7/4/2006;1681.55;1700.32;1702.66;1670.13
7/5/2006;1718.56;1755.22;1757.47;1703.59
7/6/2006;1741.47;1715.28;1742.20;1711.65
7/7/2006;1730.19;1746.52;1750.03;1724.68
7/10/2006;1734.33;1730.70;1737.03;1715.83
7/11/2006;1745.81;1736.99;1746.72;1725.23
7/12/2006;1740.00;1745.88;1753.28;1738.00
7/13/2006;1655.77;1736.21;1737.60;1654.49
7/14/2006;1665.21;1641.14;1676.75;1633.90
7/17/2006;1682.89;1662.05;1684.34;1653.60
7/18/2006;1684.25;1682.36;1684.67;1666.31
7/19/2006;1645.16;1681.77;1681.77;1637.49
7/20/2006;1655.12;1642.62;1658.05;1636.26
7/21/2006;1665.33;1653.81;1669.29;1653.51
7/24/2006;1665.94;1648.75;1667.62;1632.69
7/25/2006;1685.46;1668.14;1690.61;1668.14
7/26/2006;1686.65;1688.54;1691.43;1675.66
7/27/2006;1675.17;1685.35;1701.61;1665.39
7/28/2006;1662.03;1674.43;1678.53;1646.35
7/31/2006;1612.73;1659.54;1659.54;1611.16
8/1/2006;1600.61;1619.64;1625.04;1596.66
8/2/2006;1600.87;1598.76;1608.78;1577.90
8/3/2006;1601.06;1599.75;1609.43;1587.12
8/4/2006;1570.15;1601.61;1612.10;1567.25
8/7/2006;1547.44;1561.80;1570.05;1541.41
8/8/2006;1580.58;1547.91;1581.75;1547.91
8/9/2006;1578.57;1581.80;1585.17;1571.71
8/10/2006;1606.07;1578.35;1606.94;1577.86
8/11/2006;1605.93;1605.60;1610.76;1596.22
8/14/2006;1570.74;1605.20;1611.66;1566.72
8/15/2006;1595.66;1568.27;1596.65;1564.40
8/16/2006;1616.41;1596.06;1616.45;1591.86
8/17/2006;1603.33;1612.41;1612.41;1592.85
8/18/2006;1598.02;1601.57;1614.37;1596.56
8/21/2006;1601.15;1565.46;1602.13;1558.10
8/22/2006;1613.36;1601.52;1619.07;1598.78
8/23/2006;1612.40;1614.39;1621.40;1608.74
8/24/2006;1623.02;1612.70;1623.17;1601.89
8/25/2006;1623.03;1622.48;1630.05;1619.74
8/28/2006;1650.44;1627.12;1651.29;1624.28
