"DATE";"CLOSING PRICE";"OPEN";"DAILY HIGH";"DAILY LOW"
1/3/2006;1,268.80;1,252.03;1,270.22;1,245.74
1/4/2006;1,273.46;1,268.96;1,275.37;1,267.74
1/5/2006;1,273.48;1,273.54;1,276.91;1,270.30
1/6/2006;1,285.45;1,274.61;1,286.09;1,273.48
1/9/2006;1,290.15;1,285.56;1,290.78;1,284.82
1/10/2006;1,289.69;1,288.93;1,290.15;1,283.76
1/11/2006;1,294.18;1,290.08;1,294.90;1,288.12
1/12/2006;1,286.06;1,293.52;1,294.18;1,285.04
1/13/2006;1,287.61;1,286.07;1,288.96;1,282.78
1/17/2006;1,282.93;1,285.83;1,287.61;1,278.61
1/18/2006;1,277.93;1,278.91;1,282.93;1,272.08
1/19/2006;1,285.04;1,278.96;1,287.79;1,277.93
1/20/2006;1,261.49;1,284.52;1,285.04;1,260.92
1/23/2006;1,263.82;1,261.98;1,268.19;1,261.49
1/24/2006;1,266.86;1,264.59;1,271.47;1,263.82
1/25/2006;1,264.68;1,267.81;1,271.87;1,259.42
1/26/2006;1,273.83;1,267.40;1,276.44;1,264.68
1/27/2006;1,283.72;1,275.40;1,286.38;1,273.83
1/30/2006;1,285.20;1,283.78;1,287.94;1,283.51
1/31/2006;1,280.08;1,284.97;1,285.20;1,276.85
2/1/2006;1,282.46;1,280.08;1,283.33;1,277.57
2/2/2006;1,270.84;1,281.82;1,282.46;1,267.72
2/3/2006;1,264.03;1,269.45;1,270.87;1,261.02
2/6/2006;1,265.02;1,264.21;1,267.04;1,261.62
2/7/2006;1,254.78;1,264.82;1,265.78;1,253.61
2/8/2006;1,265.65;1,257.23;1,266.47;1,254.78
2/9/2006;1,263.78;1,266.37;1,274.56;1,262.80
2/10/2006;1,266.99;1,263.86;1,269.89;1,254.98
2/13/2006;1,262.86;1,265.15;1,266.99;1,258.34
2/14/2006;1,275.53;1,263.12;1,278.21;1,260.80
2/15/2006;1,280.00;1,275.53;1,281.00;1,271.06
2/16/2006;1,289.38;1,280.42;1,289.39;1,280.00
2/17/2006;1,287.24;1,288.64;1,289.47;1,284.07
2/21/2006;1,283.03;1,287.14;1,291.92;1,281.33
2/22/2006;1,292.67;1,283.09;1,294.17;1,283.03
2/23/2006;1,287.79;1,292.52;1,293.84;1,285.14
2/24/2006;1,289.43;1,287.72;1,292.11;1,285.62
2/27/2006;1,294.12;1,289.79;1,297.57;1,289.43
2/28/2006;1,280.66;1,293.24;1,294.12;1,278.66
3/1/2006;1,291.24;1,281.65;1,291.80;1,280.66
3/2/2006;1,289.14;1,288.57;1,291.24;1,283.21
3/3/2006;1,287.23;1,287.28;1,297.33;1,284.20
