,accuracy,latitude,longitude,date,main_activity,month,day,time,hour,weekday_weekend,morning_afternoon,total_time
0,13,41.5502409,2.1152073,2019-05-15 05:39:28,IN_VEHICLE,5,15,0 days 05:39:28.000000000,5,weekday,am,17.0
1,3,41.5115027,2.1025351,2019-05-15 05:56:51,IN_VEHICLE,5,15,0 days 05:56:51.000000000,5,weekday,am,3.0
2,3,41.500047,2.1458847,2019-05-15 06:00:09,IN_VEHICLE,5,15,0 days 06:00:09.000000000,6,weekday,am,40.0
3,200,41.3972607,2.1854036,2019-05-15 06:40:26,IN_VEHICLE,5,15,0 days 06:40:26.000000000,6,weekday,am,0.0
4,14,41.3906738,2.166036,2019-05-15 13:21:39,IN_VEHICLE,5,15,0 days 13:21:39.000000000,13,weekday,pm,11.0
5,13,41.3922464,2.1677053,2019-05-15 13:33:19,IN_VEHICLE,5,15,0 days 13:33:19.000000000,13,weekday,pm,0.0
6,400,41.3975736,2.1854036,2019-05-15 16:01:45,IN_VEHICLE,5,15,0 days 16:01:45.000000000,16,weekday,pm,51.0
7,3,41.5299077,2.1011574,2019-05-15 16:53:10,IN_VEHICLE,5,15,0 days 16:53:10.000000000,16,weekday,pm,7.0
8,60,41.5286788,2.1036551,2019-05-15 17:00:12,IN_VEHICLE,5,15,0 days 17:00:12.000000000,17,weekday,pm,15.0
9,14,41.5522125,2.114321,2019-05-15 17:15:36,IN_VEHICLE,5,15,0 days 17:15:36.000000000,17,weekday,pm,0.0
10,3,41.5501682,2.1155189,2019-05-16 05:40:54,IN_VEHICLE,5,16,0 days 05:40:54.000000000,5,weekday,am,16.0
11,3,41.512982,2.1010079,2019-05-16 05:57:35,IN_VEHICLE,5,16,0 days 05:57:35.000000000,5,weekday,am,3.0
12,3,41.4988502,2.1468565,2019-05-16 06:01:22,IN_VEHICLE,5,16,0 days 06:01:22.000000000,6,weekday,am,37.0
13,5,41.4005892,2.186087,2019-05-16 06:38:40,IN_VEHICLE,5,16,0 days 06:38:40.000000000,6,weekday,am,0.0
14,16,41.4010587,2.1839745,2019-05-16 11:34:57,IN_VEHICLE,5,16,0 days 11:34:57.000000000,11,weekday,pm,18.0
15,55,41.5113035,2.1057445,2019-05-16 11:53:16,IN_VEHICLE,5,16,0 days 11:53:16.000000000,11,weekday,pm,19.0
16,52,41.5126262,2.1053656,2019-05-16 12:12:39,IN_VEHICLE,5,16,0 days 12:12:39.000000000,12,weekday,pm,14.0
17,15,41.5495227,2.1144048,2019-05-16 12:27:02,IN_VEHICLE,5,16,0 days 12:27:02.000000000,12,weekday,pm,0.0
18,7,41.5502527,2.1154177,2019-05-17 05:39:55,IN_VEHICLE,5,17,0 days 05:39:55.000000000,5,weekday,am,18.0
19,3,41.4714442,2.1642417,2019-05-17 05:58:22,IN_VEHICLE,5,17,0 days 05:58:22.000000000,5,weekday,am,2.0
20,4,41.455521,2.1884082,2019-05-17 06:00:22,IN_VEHICLE,5,17,0 days 06:00:22.000000000,6,weekday,am,42.0
21,6,41.3986345,2.1865929,2019-05-17 06:43:10,IN_VEHICLE,5,17,0 days 06:43:10.000000000,6,weekday,am,0.0
22,32,41.4014514,2.1848936,2019-05-17 16:35:35,IN_VEHICLE,5,17,0 days 16:35:35.000000000,16,weekday,pm,20.0
23,1000,41.5220543,2.0970159,2019-05-17 16:55:55,IN_VEHICLE,5,17,0 days 16:55:55.000000000,16,weekday,pm,0.0
24,14,41.5502584,2.1153889,2019-05-20 05:38:41,IN_VEHICLE,5,20,0 days 05:38:41.000000000,5,weekday,am,20.0
25,316,41.4775196,2.1643244,2019-05-20 05:58:48,IN_VEHICLE,5,20,0 days 05:58:48.000000000,5,weekday,am,1.0
26,77,41.4685416,2.168191,2019-05-20 06:00:32,IN_VEHICLE,5,20,0 days 06:00:32.000000000,6,weekday,am,53.0
27,500,41.3956902,2.1857108,2019-05-20 06:53:41,IN_VEHICLE,5,20,0 days 06:53:41.000000000,6,weekday,am,0.0
28,500,41.3966581,2.1841748,2019-05-20 16:08:04,IN_VEHICLE,5,20,0 days 16:08:04.000000000,16,weekday,pm,49.0
29,500,41.3776362,2.1804886,2019-05-20 16:57:55,IN_VEHICLE,5,20,0 days 16:57:55.000000000,16,weekday,pm,0.0
30,16,41.3812667,2.1832924,2019-05-20 18:06:55,IN_VEHICLE,5,20,0 days 18:06:55.000000000,18,weekday,pm,26.0
31,14,41.5353321,2.1048847,2019-05-20 18:33:29,IN_VEHICLE,5,20,0 days 18:33:29.000000000,18,weekday,pm,0.0
32,33,41.5460622,2.1163515,2019-05-21 05:35:45,IN_VEHICLE,5,21,0 days 05:35:45.000000000,5,weekday,am,22.0
33,135,41.4484715,2.1998238,2019-05-21 05:58:06,IN_VEHICLE,5,21,0 days 05:58:06.000000000,5,weekday,am,2.0
