Date, Close/Last, Volume, Open, High, Low
11/19/2019, $199.32, 19070290, $197.4, $200, $196.86
11/18/2019, $197.4, 16176110, $194.56, $198.63, $193.05
11/15/2019, $195.1, 11530230, $194.26, $195.3, $193.38
11/14/2019, $193.15, 9059897, $192.93, $194.03, $191.45
11/13/2019, $193.19, 11009800, $194.7, $195.7, $192.74
11/12/2019, $194.47, 17615450, $190, $195.06, $189.74
11/11/2019, $189.61, 8637768, $189.93, $190.08, $188.54
11/08/2019, $190.84, 10764780, $190, $192.34, $189.7
11/07/2019, $190.42, 13473000, $191.91, $193.44, $189.47
11/06/2019, $191.55, 10973020, $194.03, $194.37, $191.35
11/05/2019, $194.32, 9941954, $195.37, $195.75, $193.6
11/04/2019, $194.72, 16371290, $194.55, $197.3672, $193.8119
11/01/2019, $193.62, 21711830, $192.85, $194.11, $189.91
10/31/2019, $191.65, 42286530, $196.7, $198.09, $188.25
10/30/2019, $188.25, 28734560, $189.56, $190.45, $185.98
10/29/2019, $189.31, 13574870, $191.69, $192.53, $188.47
10/28/2019, $189.4, 13657870, $187.2, $189.53, $185.08
10/25/2019, $187.89, 8061240, $185.83, $189, $185.0876
10/24/2019, $186.38, 11505410, $184.62, $186.73, $182.8
10/23/2019, $186.15, 12370820, $182.01, $186.38, $182
10/22/2019, $182.34, 19854190, $190, $190.65, $181.5
10/21/2019, $189.76, 8580744, $187.04, $189.91, $186.75
10/18/2019, $185.85, 16882860, $190.23, $191.49, $183.9239
10/17/2019, $190.39, 9761548, $190.3, $190.84, $188.765
10/16/2019, $189.55, 10560340, $188.32, $189.7, $186.9002
10/15/2019, $188.89, 15143120, $183.8, $190.38, $183.66
10/14/2019, $183.28, 7203665, $184.2, $184.62, $182.5735
10/11/2019, $184.19, 14998750, $182.15, $186.49, $182.14
10/10/2019, $180.03, 8980978, $180.32, $181.61, $179.17
10/09/2019, $179.85, 7648874, $179.16, $180.72, $177.94
10/08/2019, $177.75, 10084900, $178.26, $180.37, $177.72
10/07/2019, $179.68, 9359793, $180, $181.18, $178.09
10/04/2019, $180.45, 10476400, $179.55, $180.98, $178.1
10/03/2019, $179.38, 16789320, $175.57, $179.84, $173.63
10/02/2019, $174.6, 16374150, $174.84, $176.53, $173.09
10/01/2019, $175.81, 17261560, $179.15, $179.84, $174.88
09/30/2019, $178.08, 11071430, $177.87, $178.67, $176.85
09/27/2019, $177.1, 14663580, $180.49, $180.755, $175.66
09/26/2019, $180.11, 16280690, $181.33, $181.4, $177.67
09/25/2019, $182.8, 18339960, $181.45, $183.42, $177.87
09/24/2019, $181.28, 18775670, $187.98, $188.04, $180.39
09/23/2019, $186.82, 14370090, $189.34, $190.1, $185.2062
09/20/2019, $189.93, 20359880, $190.66, $193.1, $188.12
09/19/2019, $190.14, 10474690, $188.66, $191.1, $188.15
09/18/2019, $188.14, 9945798, $188.09, $189.08, $186.012
09/17/2019, $188.08, 9751570, $186.66, $188.32, $185.54
09/16/2019, $186.22, 8444844, $186.93, $187.7943, $185.765
09/13/2019, $187.19, 11441120, $187.325, $187.97, $186.54
09/12/2019, $187.47, 11419780, $189.86, $190.93, $187.23
09/11/2019, $188.49, 11761660, $186.46, $189.44, $186.08
09/10/2019, $186.17, 15455870, $187.44, $188.1, $184.55
09/09/2019, $188.76, 14722400, $187.73, $188.98, $185.8466
09/06/2019, $187.49, 15226820, $190.21, $190.21, $186.35
09/05/2019, $190.9, 13896620, $188.53, $191.36, $187.94
09/04/2019, $187.14, 11314570, $184.65, $187.7494, $183.89
09/03/2019, $182.39, 9792187, $184, $185.67, $182.11
08/30/2019, $185.67, 10785720, $186.78, $186.8017, $183.4585
08/29/2019, $185.57, 10135030, $183.77, $186.0752, $183.47
08/28/2019, $181.76, 9392060, $180.53, $181.95, $178.92
08/27/2019, $181.3, 14408950, $181.93, $184.04, $181.01
08/26/2019, $180.36, 8780477, $179.4, $180.5, $178.24
08/23/2019, $177.75, 17331220, $180.84, $183.13, $176.66
08/22/2019, $182.04, 10829510, $183.43, $184.11, $179.91
08/21/2019, $183.55, 8409548, $185, $185.9, $183.14
08/20/2019, $183.81, 10087590, $185.45, $186, $182.39
08/19/2019, $186.17, 9699661, $186.01, $187.5, $184.85
08/16/2019, $183.7, 12844830, $183.75, $185.1, $182.36
08/15/2019, $182.59, 13059640, $180.95, $183.2, $180.03
08/14/2019, $179.71, 18903720, $185.8, $185.99, $179.31
08/13/2019, $188.45, 13653320, $185.52, $191.38, $185.37
08/12/2019, $185.37, 10936280, $186.85, $187.59, $184.46
08/09/2019, $187.85, 11058810, $190, $190.98, $187.12
08/08/2019, $190.16, 14828920, $186.62, $190.34, $184.05
08/07/2019, $185.15, 15833200, $183.6, $186.37, $181.22
08/06/2019, $184.51, 18035690, $183.69, $185.789, $183.09
08/05/2019, $181.73, 23086660, $184.69, $185.67, $179.34
08/02/2019, $189.02, 15296980, $191.1, $192.62, $188.07
08/01/2019, $192.73, 17777010, $194.17, $198.47, $190.88
07/31/2019, $194.23, 14593540, $196.95, $198.76, $192.68
07/30/2019, $197.04, 11903560, $195.39, $198.71, $193.5
07/29/2019, $195.94, 16530800, $199, $199.63, $195.3
07/26/2019, $199.75, 24433990, $200.19, $202.88, $196.25
07/25/2019, $200.71, 39889870, $206.7, $208.66, $198.26
07/24/2019, $204.66, 32532540, $197.63, $204.81, $197.22
07/23/2019, $202.36, 14583680, $202.84, $204.242, $200.9625
07/22/2019, $202.32, 13589020, $199.91, $202.57, $198.81
07/19/2019, $198.36, 12098260, $202.18, $202.33, $198.07
07/18/2019, $200.78, 11956550, $200.15, $202.47, $199.38
07/17/2019, $201.8, 12083710, $204.18, $204.36, $201.59
07/16/2019, $203.84, 12132720, $203.89, $205.4707, $203.1
07/15/2019, $203.91, 16030340, $204.25, $205.33, $201.82
07/12/2019, $204.87, 15366270, $199.68, $205.3, $199.16
07/11/2019, $201.23, 13678460, $203.26, $203.8, $200.21
07/10/2019, $202.73, 20571700, $200, $202.96, $199.67
07/09/2019, $199.21, 14698610, $194.97, $199.46, $194.89
07/08/2019, $195.76, 9723858, $195.19, $196.68, $193.64
07/05/2019, $196.4, 11164110, $196.18, $197.07, $194.17
07/03/2019, $197.2, 10246120, $194.16, $197.4, $194.16
07/02/2019, $195, 9049979, $193, $195, $192.71
07/01/2019, $193, 14204690, $195.21, $195.28, $191.93
06/28/2019, $193, 16378880, $190.55, $193.2, $189.94
06/27/2019, $189.5, 11158980, $189.88, $189.95, $188.27
06/26/2019, $187.66, 12808600, $189.54, $190.76, $187.31
06/25/2019, $188.84, 16750310, $192.88, $193.14, $188.13
06/24/2019, $192.6, 15508960, $192.42, $193.98, $191.57
06/21/2019, $191.14, 22751160, $188.75, $192, $188.75
06/20/2019, $189.53, 14635740, $190.95, $191.16, $187.64
06/19/2019, $187.48, 21417090, $187, $188.1, $184.55
