,month,day,morning_afternoon,total_time
0,5,15,am,60.0
1,5,15,pm,84.0
2,5,16,am,56.0
3,5,16,pm,51.0
4,5,17,am,62.0
6,5,20,am,74.0
7,5,20,pm,75.0
8,5,21,am,47.0
9,5,21,pm,59.0
10,5,22,am,48.0
11,5,22,pm,48.0
12,5,23,am,93.0
13,5,23,pm,73.0
14,5,24,am,73.0
15,5,24,pm,72.0
16,5,27,am,48.0
17,5,27,pm,79.0
18,5,28,am,46.0
19,5,28,pm,55.0
20,5,29,am,60.0
22,5,30,am,47.0
24,5,31,am,49.0
26,6,1,am,34.0
27,6,1,pm,47.0
28,6,3,am,55.0
30,6,4,am,65.0
31,6,4,pm,69.0
32,6,5,am,72.0
33,6,5,pm,46.0
34,6,6,am,54.0
35,6,6,pm,47.0
36,6,7,am,54.0
38,6,11,am,67.0
40,6,12,am,60.0
41,6,12,pm,35.0
42,6,13,am,59.0
43,6,13,pm,34.0
44,6,14,am,56.0
45,6,14,pm,86.0
46,6,17,am,68.0
48,6,18,am,51.0
49,6,18,pm,65.0
50,6,19,am,63.0
51,6,19,pm,48.0
56,6,24,am,55.0
58,6,25,am,55.0
60,6,26,am,47.0
61,6,26,pm,58.0
62,6,27,am,51.0
63,6,27,pm,65.0
64,6,28,am,62.0
69,7,1,pm,53.0
70,7,2,am,40.0
71,7,3,am,48.0
73,7,4,am,56.0
74,7,4,pm,87.0
75,7,5,am,56.0
76,7,5,pm,79.0
77,7,8,am,69.0
78,7,8,pm,62.0
79,7,9,am,48.0
80,7,9,pm,69.0
81,7,10,am,54.0
82,7,10,pm,86.0
83,7,11,am,52.0
84,7,11,pm,76.0
85,7,12,am,37.0
86,7,12,pm,65.0
88,7,15,am,54.0
89,7,15,pm,57.0
90,7,16,am,52.0
91,7,16,pm,36.0
92,7,17,am,52.0
93,7,17,pm,63.0
96,7,19,am,49.0
98,7,22,am,57.0
99,7,22,pm,49.0
