,month,day,morning_afternoon,total_time
0,5,15,am,60.0
2,5,16,am,56.0
4,5,17,am,62.0
6,5,20,am,74.0
8,5,21,am,47.0
10,5,22,am,48.0
12,5,23,am,93.0
14,5,24,am,73.0
16,5,27,am,48.0
18,5,28,am,46.0
20,5,29,am,60.0
22,5,30,am,47.0
24,5,31,am,49.0
26,6,1,am,34.0
28,6,3,am,55.0
30,6,4,am,65.0
32,6,5,am,72.0
34,6,6,am,54.0
36,6,7,am,54.0
38,6,11,am,67.0
40,6,12,am,60.0
42,6,13,am,59.0
44,6,14,am,56.0
46,6,17,am,68.0
48,6,18,am,51.0
50,6,19,am,63.0
56,6,24,am,55.0
58,6,25,am,55.0
60,6,26,am,47.0
62,6,27,am,51.0
64,6,28,am,62.0
70,7,2,am,40.0
71,7,3,am,48.0
73,7,4,am,56.0
75,7,5,am,56.0
77,7,8,am,69.0
79,7,9,am,48.0
81,7,10,am,54.0
83,7,11,am,52.0
85,7,12,am,37.0
88,7,15,am,54.0
90,7,16,am,52.0
92,7,17,am,52.0
96,7,19,am,49.0
98,7,22,am,57.0
