Date,Open,High,Low,Close
2015-01-02,239.46,241.23,238.66,240.46
2015-01-05,240.98,243.85,240.78,243.75
2015-01-06,243.75,246.77,243.24,246.33
2015-01-07,246.35,246.47,244.77,245.24
2015-01-08,245.24,245.49,244.23,244.71
2015-01-09,244.71,246.64,244.43,246.32
2015-01-12,246.68,247.23,245.25,246.77
2015-01-13,246.76,248.81,245.91,248.03
2015-01-14,248.03,250.82,247.96,248.83
2015-01-15,248.78,249.85,244.53,249.15
2015-01-16,249.13,249.85,246.35,246.39
2015-01-19,247.1,248.22,246.54,247.05
2015-01-20,247.06,247.19,244.17,244.65
2015-01-21,244.64,247.57,244.51,245.84
2015-01-22,245.85,247.74,245.07,246.37
2015-01-23,246.38,249.48,245.83,248.89
2015-01-26,249.32,250.47,246.77,247.19
2015-01-27,247.19,248.36,246.62,247.35
2015-01-28,247.33,248.97,246.58,248.56
2015-01-29,248.55,248.78,247.22,247.51
2015-01-30,247.51,250.25,247.24,249.49
2015-02-02,249.98,250.36,248.55,249.33
2015-02-03,249.33,251.1,247.76,248.18
2015-02-04,248.18,249.4,247.19,248.81
2015-02-05,248.81,249.29,246.5,246.72
2015-02-06,246.71,247.51,244.37,245.21
2015-02-09,244.82,246.3,244.69,245.81
2015-02-10,245.83,246.19,243.77,243.93
2015-02-11,243.92,244.18,241.76,242.25
2015-02-12,242.26,245.23,242.19,243.34
2015-02-13,243.34,244.49,243.21,243.97
2015-02-16,244.19,245.59,243.82,245.03
2015-02-17,245.05,245.62,243.1,243.58
2015-02-18,243.58,244.3,242.74,243.98
2015-02-19,243.98,244.35,243.23,243.75
2015-02-20,243.76,245.87,243.38,243.65
2015-02-23,243.66,244.52,243.49,243.98
2015-02-24,243.96,244.08,242.38,243.71
2015-02-25,243.71,244.25,243.09,243.31
2015-02-26,243.31,244.08,242.76,243.7
2015-02-27,243.7,243.94,242.57,243.02
2015-03-02,242.99,243.15,242.48,242.57
2015-03-03,242.57,243.9,242.43,243.65
2015-03-04,243.64,244.86,243.5,244.66
2015-03-05,244.66,244.99,243.42,244.31
2015-03-06,244.33,245.56,244.07,245.44
2015-03-09,245.41,245.52,243.48,243.81
2015-03-10,243.81,245.44,242.92,245.27
2015-03-11,245.26,246.87,244.51,246.31
2015-03-12,246.31,246.95,245.89,246.52
2015-03-13,246.52,248.79,246.36,247.99
2015-03-16,248.04,248.24,246.91,247.24
2015-03-17,247.24,248.06,246.91,247.79
2015-03-18,247.79,249.27,246.36,247.19
2015-03-19,247.19,248.62,247.1,248.16
2015-03-20,248.16,248.49,246.61,247.27
2015-03-23,247.38,248.57,247.23,247.53
2015-03-24,247.53,248.61,247.3,248.35
2015-03-25,248.35,248.65,247.87,248.43
2015-03-26,248.43,250.21,248.25,249.58
2015-03-27,249.58,249.98,248.94,249.44
2015-03-30,249.26,249.78,248.09,248.36
2015-03-31,248.37,249.461,247.955,248.598
2015-04-01,248.6,249.95,248.19,249.24
2015-04-02,249.23,249.59,248.27,248.55
2015-04-03,248.56,249.29,248.08,249.12
2015-04-06,249.14,249.27,248.12,248.38
