,time,type,rate,votes
11919,115 min,movie,6.6,"2,734"
11920,,,,
11921,95 min,movie,6.5,"1,617"
11922,,,,
11923,,,,
11924,,,,
11925,,,,
11926,101 min,movie,7.2,"12,883"
11927,,,,
11928,,,,
11929,89 min,movie,4.8,"91,744"
11930,82 min,movie,6.7,"2,388"
11931,,,,
11932,44 min,series,7.3,37
11933,174 min,movie,7.7,"7,787"
11934,95 min,movie,5.9,794
11935,94 min,movie,7.8,"61,782"
11936,,,,
11937,98 min,movie,6.3,"30,714"
11938,,,,
11939,,,,
11940,,,,
11941,95 min,movie,7.4,"7,918"
11942,,,,
11943,124 min,movie,4.6,311
11944,,,,
11945,102 min,movie,7.0,"4,656"
11946,,,,
11947,,,,
11948,77 min,movie,6.6,"2,764"
11949,109 min,movie,7.3,"50,714"
11950,89 min,movie,6.7,803
11951,90 min,movie,4.4,248
11952,N/A,movie,7.7,6
11953,,,,
11954,,,,
11955,,,,
11956,,,,
11957,86 min,movie,6.2,"1,116"
11958,,,,
11959,,,,
11960,,,,
11961,111 min,movie,7.0,"13,163"
11962,85 min,movie,5.1,479
11963,,,,
11964,,,,
11965,,,,
11966,,,,
11967,,,,
11968,,,,
11969,89 min,movie,6.8,"60,705"
11970,98 min,movie,7.2,"30,560"
11971,,,,
11972,101 min,movie,6.3,"6,186"
11973,68 min,movie,7.4,"1,534"
11974,,,,
11975,105 min,movie,7.4,"3,273"
11976,,,,
11977,60 min,series,7.4,"8,275"
11978,90 min,movie,4.6,128
11979,103 min,movie,7.8,"9,839"
11980,111 min,movie,7.6,"53,669"
11981,,,,
11982,,,,
11983,79 min,movie,7.2,"145,302"
11984,,,,
11985,108 min,movie,6.5,"50,945"
11986,,,,
11987,95 min,movie,7.9,"2,191"
11988,93 min,movie,3.8,669
11989,,,,
11990,152 min,movie,5.4,167
11991,,,,
11992,,,,
11993,87 min,movie,5.1,405
11994,,,,
11995,88 min,movie,6.2,487
11996,,,,
11997,60 min,movie,5.6,104
11998,110 min,movie,6.4,"14,314"
11999,104 min,movie,5.5,"87,401"
12000,,,,
12001,,,,
12002,74 min,movie,6.7,"41,276"
12003,27 min,movie,7.4,349
12004,84 min,movie,3.8,438
12005,100 min,movie,6.1,"4,966"
12006,104 min,movie,7.1,206
12007,114 min,movie,6.5,"2,750"
12008,,,,
12009,,,,
12010,,,,
12011,124 min,movie,7.3,"11,861"
12012,,,,
12013,92 min,movie,2.7,551
12014,101 min,movie,5.7,"128,542"
12015,115 min,movie,6.8,"71,735"
12016,,,,
12017,120 min,movie,7.3,"16,220"
12018,,,,
12019,,,,
12020,,,,
12021,106 min,movie,6.1,"3,980"
12022,,,,
12023,,,,
12024,,,,
12025,,,,
12026,,,,
12027,,,,
12028,87 min,movie,7.3,"71,727"
12029,,,,
12030,,,,
12031,,,,
12032,,,,
12033,,,,
12034,146 min,movie,8.4,"848,707"
12035,,,,
12036,,,,
12037,60 min,movie,8.3,99
12038,120 min,movie,6.0,"1,835"
12039,88 min,movie,5.5,"1,492"
12040,,,,
12041,N/A,movie,5.4,97
12042,,,,
12043,,,,
12044,142 min,movie,6.5,"1,805"
12045,72 min,movie,5.0,269
12046,,,,
12047,123 min,movie,6.1,"302,404"
12048,79 min,movie,3.9,161
12049,,,,
12050,,,,
12051,,,,
12052,129 min,movie,7.7,"173,342"
12053,85 min,movie,3.1,306
12054,87 min,movie,6.6,"83,191"
12055,88 min,movie,2.7,498
12056,97 min,movie,5.3,"19,739"
12057,100 min,movie,6.7,"1,548"
12058,,,,
12059,,,,
12060,75 min,movie,6.0,"1,389"
12061,82 min,movie,7.6,"11,610"
12062,52 min,movie,7.3,94
12063,90 min,movie,2.7,472
12064,134 min,movie,7.7,"5,515"
12065,,,,
12066,,,,
12067,,,,
12068,,,,
12069,,,,
12070,90 min,movie,3.5,594
12071,94 min,movie,7.1,"112,962"
12072,108 min,movie,6.1,"9,830"
12073,92 min,movie,7.0,"1,500"
12074,172 min,movie,8.0,"194,154"
12075,65 min,movie,8.0,"6,379"
12076,120 min,movie,6.0,"3,459"
12077,121 min,movie,6.2,"27,219"
12078,75 min,movie,4.8,184
12079,,,,
