Category: All categories

Month,netflix: (United States)
2004-01,5
2004-02,4
2004-03,5
2004-04,5
2004-05,4
2004-06,5
2004-07,6
2004-08,6
2004-09,6
2004-10,6
2004-11,7
2004-12,7
2005-01,9
2005-02,8
2005-03,8
2005-04,7
2005-05,8
2005-06,8
2005-07,9
2005-08,10
2005-09,9
2005-10,9
2005-11,10
2005-12,12
2006-01,12
2006-02,11
2006-03,11
2006-04,10
2006-05,10
2006-06,12
2006-07,12
2006-08,13
2006-09,11
2006-10,12
2006-11,12
2006-12,15
2007-01,16
2007-02,14
2007-03,13
2007-04,13
2007-05,12
2007-06,14
2007-07,16
2007-08,14
2007-09,14
2007-10,13
2007-11,14
2007-12,15
2008-01,17
2008-02,16
2008-03,16
2008-04,15
2008-05,14
2008-06,17
2008-07,17
2008-08,16
2008-09,15
2008-10,16
2008-11,21
2008-12,24
2009-01,26
2009-02,23
2009-03,22
2009-04,21
2009-05,22
2009-06,23
2009-07,25
2009-08,25
2009-09,25
2009-10,25
2009-11,29
2009-12,33
2010-01,37
2010-02,35
2010-03,36
2010-04,36
2010-05,37
2010-06,43
2010-07,43
2010-08,43
2010-09,45
2010-10,47
2010-11,49
2010-12,59
2011-01,74
2011-02,70
2011-03,70
2011-04,71
2011-05,73
2011-06,85
2011-07,86
2011-08,77
2011-09,75
2011-10,69
2011-11,66
2011-12,75
2012-01,74
2012-02,72
2012-03,70
2012-04,65
2012-05,61
2012-06,70
2012-07,70
2012-08,66
2012-09,65
2012-10,67
2012-11,71
2012-12,85
2013-01,80
2013-02,74
2013-03,73
2013-04,69
2013-05,70
2013-06,75
2013-07,76
2013-08,75
2013-09,73
2013-10,72
2013-11,75
2013-12,87
2014-01,89
2014-02,77
2014-03,69
2014-04,65
2014-05,64
2014-06,68
2014-07,71
2014-08,72
2014-09,65
2014-10,64
2014-11,71
2014-12,76
2015-01,77
2015-02,70
2015-03,66
2015-04,67
2015-05,67
2015-06,75
2015-07,76
2015-08,77
2015-09,74
2015-10,70
2015-11,67
2015-12,73
2016-01,74
2016-02,62
2016-03,59
2016-04,55
2016-05,57
2016-06,58
2016-07,61
2016-08,56
2016-09,58
2016-10,58
2016-11,55
2016-12,65
2017-01,65
2017-02,57
2017-03,57
2017-04,60
2017-05,57
2017-06,59
2017-07,61
2017-08,60
2017-09,58
2017-10,61
2017-11,61
2017-12,71
2018-01,72
2018-02,63
2018-03,65
2018-04,62
2018-05,62
2018-06,66
2018-07,63
2018-08,61
2018-09,62
2018-10,60
2018-11,61
2018-12,79
2019-01,89
2019-02,66
2019-03,63
2019-04,61
2019-05,63
2019-06,65
2019-07,69
2019-08,62
2019-09,60
2019-10,60
2019-11,63
2019-12,70
2020-01,78
2020-02,65
2020-03,90
2020-04,100
