Movie_Id,Year,Name,time,type,rate,votes
1,2003.0,Dinosaur Planet,50 min,series,7.7,410
2,2004.0,Isle of Man TT 2004 Review,,,,
3,1997.0,Character,122 min,movie,7.7,"10,015"
4,1994.0,Paula Abdul's Get Up & Dance,,,,
5,2004.0,The Rise and Fall of ECW,,,,
6,1997.0,Sick,90 min,movie,7.6,"1,459"
7,1992.0,8 Man,83 min,movie,5.0,62
8,2004.0,What the #$*! Do We Know!?,,,,
9,1991.0,Class of Nuke 'Em High 2,,,,
10,2001.0,Fighter,,movie,7.3,11
11,1999.0,Full Frame: Documentary Shorts,,,,
12,1947.0,My Favorite Brunette,87 min,movie,6.8,"2,769"
13,2003.0,Lord of the Rings: The Return of the King: Extended Edition: Bonus Material,,,,
14,1982.0,Nature: Antarctica,,,,
15,1988.0,Neil Diamond: Greatest Hits Live,60 min,movie,8.0,68
16,1996.0,Screamers,,,,
17,2005.0,7 Seconds,96 min,movie,4.8,"6,725"
18,1994.0,Immortal Beloved,121 min,movie,7.5,"22,321"
19,2000.0,By Dawn's Early Light,100 min,movie,6.7,343
20,1972.0,Seeta Aur Geeta,162 min,movie,6.8,"1,538"
21,2002.0,Strange Relations,,,,
22,2000.0,Chump Change,89 min,movie,5.6,362
23,2001.0,Clifford: Clifford Saves the Day! / Clifford's Fluffiest Friend Cleo,,,,
24,1981.0,My Bloody Valentine,90 min,movie,6.3,"16,626"
25,1997.0,Inspector Morse 31: Death Is Now My Neighbour,,,,
26,2004.0,Never Die Alone,88 min,movie,5.7,"5,339"
27,1962.0,Sesame Street: Elmo's World: The Street We Live On,,,,
28,2002.0,Lilo and Stitch,,,,
29,2001.0,Boycott,118 min,movie,7.3,725
30,2003.0,Something's Gotta Give,128 min,movie,6.7,"107,844"
31,1999.0,Classic Albums: Meat Loaf: Bat Out of Hell,58 min,movie,7.7,222
32,2004.0,ABC Primetime: Mel Gibson's The Passion of the Christ,,,,
33,2000.0,Aqua Teen Hunger Force: Vol. 1,,,,
34,2003.0,Ashtanga Yoga: Beginner's Practice with Nicki Doane,,,,
35,2000.0,Ferngully 2: The Magical Rescue,,,,
36,1992.0,Lady Chatterley,,,,
37,1973.0,Zatoichi's Conspiracy,88 min,movie,7.2,730
38,2003.0,Daydream Obsession,87 min,movie,3.6,99
39,2000.0,Love Reinvented,,,,
40,2004.0,Pitcher and the Pin-Up,,,,
41,2000.0,Horror Vision,,,,
42,2002.0,Searching for Paradise,88 min,movie,5.7,182
43,2000.0,Silent Service,,,,
44,1996.0,Spitfire Grill,117 min,movie,7.0,"5,165"
45,1999.0,The Love Letter,88 min,movie,5.5,"3,981"
46,1964.0,Rudolph the Red-Nosed Reindeer,47 min,movie,8.1,"24,650"
47,1952.0,The Bad and the Beautiful,118 min,movie,7.8,"12,109"
48,2001.0,Justice League,22 min,series,8.5,"38,816"
49,2003.0,Devo: The Complete Truth About De-evolution,,,,
50,1941.0,A Yank in the R.A.F.,98 min,movie,6.5,990
51,2002.0,Jonah: A VeggieTales Movie: Bonus Material,,,,
52,2002.0,The Weather Underground,92 min,movie,7.5,"3,313"
53,2003.0,The Bonesetter,72 min,movie,1.7,174
54,1952.0,We're Not Married,86 min,movie,6.4,"1,685"
55,1995.0,Jade,95 min,movie,5.3,"10,963"
56,2004.0,Carandiru,,,,
57,1995.0,Richard III,110 min,movie,7.4,"13,346"
58,1996.0,Dragonheart,103 min,movie,6.5,"88,855"
59,2003.0,Sex and the Beauties,,,,
60,1969.0,The Libertine,,,,
61,1999.0,Ricky Martin: One Night Only,45 min,movie,7.4,78
62,1991.0,Ken Burns' America: Empire of the Air,,,,
63,1943.0,Crash Dive,106 min,movie,6.3,"1,284"
64,2001.0,Outside the Law,,,,
65,2000.0,Lost in the Pershing Point Hotel,107 min,movie,4.8,149
66,1989.0,Barbarian Queen 2,,,,
67,1997.0,Vampire Journals,82 min,movie,5.7,"1,261"
68,2004.0,Invader Zim,,,,
69,2003.0,WWE: Armageddon 2003,,,,
70,1999.0,Tai Chi: The 24 Forms,,,,
71,1995.0,Maya Lin: A Strong Clear Vision,,,,
72,1974.0,At Home Among Strangers,97 min,movie,7.7,"2,315"
73,1954.0,Davy Crockett: 50th Anniversary Double Feature,,,,
74,1999.0,6ixtynin9,118 min,movie,7.2,"1,885"
75,1997.0,Grind,96 min,movie,5.3,362
76,1952.0,I Love Lucy: Season 2,,,,
77,1995.0,Congo,109 min,movie,5.3,"40,875"
78,1996.0,Jingle All the Way,89 min,movie,5.6,"88,380"
79,1956.0,The Killing,84 min,movie,8.0,"77,602"
80,1979.0,Winter Kills,97 min,movie,6.2,"1,841"
81,1991.0,Antarctica: IMAX,,,,
82,1951.0,The Frogmen,96 min,movie,6.6,989
83,1983.0,Silkwood,131 min,movie,7.2,"17,510"
84,2002.0,The Powerpuff Girls Movie,73 min,movie,6.5,"8,971"
85,2005.0,Elfen Lied,,,,
86,1996.0,Iron Monkey 2,92 min,movie,4.6,628
87,2002.0,Louder Than Bombs,,,,
88,1998.0,Record of Lodoss War: Chronicles of the Heroic Knight,25 min,series,7.4,563
89,2000.0,Chain of Command,96 min,movie,4.6,782
90,1951.0,The Lemon Drop Kid,91 min,movie,7.1,"1,602"
91,2005.0,WWE: Royal Rumble 2005,,,,
92,2002.0,ECW: Cyberslam '99,,movie,8.0,45
93,2004.0,They Came Back,102 min,movie,5.9,"2,701"
94,2000.0,G3: Live in Concert,,,,
95,1985.0,Dona Herlinda and Her Son,90 min,movie,6.8,388
96,2000.0,Inside the Space Station,,movie,6.5,66
97,2002.0,Mostly Martha,,,,
98,1965.0,The Battle of Algiers: Bonus Material,,,,
99,1989.0,A Fishy Story,,,,
100,1993.0,Sam the Iron Bridge,,,,
101,1997.0,Complete Shamanic Princess,,,,
102,2004.0,Notre Musique,80 min,movie,6.9,"2,738"
103,1976.0,Sanford and Son: Season 6,,,,
