Movie_Id,Year,Name,time,type,rate,votes,mean,med,mod
1,2003.0,Dinosaur Planet,50 min,series,7.7,410,3.749542961608775,4.0,4.0
2,2004.0,Isle of Man TT 2004 Review,,,,,3.5586206896551724,4.0,4.0
3,1997.0,Character,122 min,movie,7.7,"10,015",3.6411530815109345,4.0,4.0
4,1994.0,Paula Abdul's Get Up & Dance,,,,,2.73943661971831,3.0,3.0
5,2004.0,The Rise and Fall of ECW,,,,,3.9192982456140353,4.0,5.0
6,1997.0,Sick,90 min,movie,7.6,"1,459",3.084396467124632,3.0,3.0
7,1992.0,8 Man,83 min,movie,5.0,62,2.129032258064516,2.0,1.0
8,2004.0,What the #$*! Do We Know!?,,,,,3.1898054996646548,3.0,3.0
9,1991.0,Class of Nuke 'Em High 2,,,,,2.6210526315789475,3.0,3.0
10,2001.0,Fighter,,movie,7.3,11,3.180722891566265,3.0,3.0
11,1999.0,Full Frame: Documentary Shorts,,,,,3.0303030303030303,3.0,3.0
12,1947.0,My Favorite Brunette,87 min,movie,6.8,"2,769",3.4175824175824174,3.0,3.0
13,2003.0,Lord of the Rings: The Return of the King: Extended Edition: Bonus Material,,,,,4.552,5.0,5.0
14,1982.0,Nature: Antarctica,,,,,3.0254237288135593,3.0,3.0
15,1988.0,Neil Diamond: Greatest Hits Live,60 min,movie,8.0,68,3.286206896551724,3.0,4.0
16,1996.0,Screamers,,,,,3.0985550203779177,3.0,3.0
17,2005.0,7 Seconds,96 min,movie,4.8,"6,725",2.90320765334834,3.0,3.0
18,1994.0,Immortal Beloved,121 min,movie,7.5,"22,321",3.7843685879500093,4.0,4.0
19,2000.0,By Dawn's Early Light,100 min,movie,6.7,343,3.324675324675325,3.0,3.0
20,1972.0,Seeta Aur Geeta,162 min,movie,6.8,"1,538",3.146551724137931,3.0,3.0
21,2002.0,Strange Relations,,,,,3.463302752293578,3.5,3.0
22,2000.0,Chump Change,89 min,movie,5.6,362,2.2463054187192117,2.0,1.0
23,2001.0,Clifford: Clifford Saves the Day! / Clifford's Fluffiest Friend Cleo,,,,,3.55609756097561,4.0,4.0
24,1981.0,My Bloody Valentine,90 min,movie,6.3,"16,626",2.9939984996249063,3.0,3.0
25,1997.0,Inspector Morse 31: Death Is Now My Neighbour,,,,,3.9701739850869924,4.0,4.0
26,2004.0,Never Die Alone,88 min,movie,5.7,"5,339",2.7937212079849854,3.0,3.0
27,1962.0,Sesame Street: Elmo's World: The Street We Live On,,,,,3.5274725274725274,4.0,4.0
28,2002.0,Lilo and Stitch,,,,,3.823254175890521,4.0,4.0
29,2001.0,Boycott,118 min,movie,7.3,725,3.598470363288719,4.0,4.0
30,2003.0,Something's Gotta Give,128 min,movie,6.7,"107,844",3.7618420274800908,4.0,4.0
31,1999.0,Classic Albums: Meat Loaf: Bat Out of Hell,58 min,movie,7.7,222,3.0542986425339365,3.0,3.0
32,2004.0,ABC Primetime: Mel Gibson's The Passion of the Christ,,,,,4.071736785329018,4.0,5.0
33,2000.0,Aqua Teen Hunger Force: Vol. 1,,,,,4.168650217706822,5.0,5.0
34,2003.0,Ashtanga Yoga: Beginner's Practice with Nicki Doane,,,,,2.712962962962963,3.0,3.0
35,2000.0,Ferngully 2: The Magical Rescue,,,,,3.1454112038140645,3.0,3.0
36,1992.0,Lady Chatterley,,,,,3.020234291799787,3.0,3.0
37,1973.0,Zatoichi's Conspiracy,88 min,movie,7.2,730,3.9893238434163703,4.0,4.0
38,2003.0,Daydream Obsession,87 min,movie,3.6,99,2.0511221945137157,2.0,1.0
39,2000.0,Love Reinvented,,,,,2.4361702127659575,2.0,3.0
40,2004.0,Pitcher and the Pin-Up,,,,,2.920570264765784,3.0,3.0
41,2000.0,Horror Vision,,,,,1.6344086021505377,1.0,1.0
42,2002.0,Searching for Paradise,88 min,movie,5.7,182,2.328125,2.0,2.0
43,2000.0,Silent Service,,,,,2.5714285714285716,3.0,3.0
44,1996.0,Spitfire Grill,117 min,movie,7.0,"5,165",3.6840371720974003,4.0,4.0
45,1999.0,The Love Letter,88 min,movie,5.5,"3,981",2.9686903398243603,3.0,3.0
46,1964.0,Rudolph the Red-Nosed Reindeer,47 min,movie,8.1,"24,650",3.8064958828911255,4.0,4.0
47,1952.0,The Bad and the Beautiful,118 min,movie,7.8,"12,109",3.266382978723404,3.0,3.0
48,2001.0,Justice League,22 min,series,8.5,"38,816",3.7109440267335003,4.0,4.0
49,2003.0,Devo: The Complete Truth About De-evolution,,,,,3.6666666666666665,4.0,4.0
50,1941.0,A Yank in the R.A.F.,98 min,movie,6.5,990,3.027439024390244,3.0,3.0
51,2002.0,Jonah: A VeggieTales Movie: Bonus Material,,,,,3.566666666666667,4.0,5.0
52,2002.0,The Weather Underground,92 min,movie,7.5,"3,313",3.7571400816009324,4.0,4.0
53,2003.0,The Bonesetter,72 min,movie,1.7,174,1.6754385964912282,1.0,1.0
54,1952.0,We're Not Married,86 min,movie,6.4,"1,685",2.9874213836477987,3.0,3.0
55,1995.0,Jade,95 min,movie,5.3,"10,963",3.024522028262677,3.0,3.0
56,2004.0,Carandiru,,,,,3.6486633933442443,4.0,4.0
57,1995.0,Richard III,110 min,movie,7.4,"13,346",3.6785513756316677,4.0,4.0
58,1996.0,Dragonheart,103 min,movie,6.5,"88,855",3.6120080436656132,4.0,4.0
59,2003.0,Sex and the Beauties,,,,,2.7892156862745097,3.0,3.0
60,1969.0,The Libertine,,,,,2.1491525423728812,2.0,1.0
61,1999.0,Ricky Martin: One Night Only,45 min,movie,7.4,78,2.9523809523809526,3.0,3.0
62,1991.0,Ken Burns' America: Empire of the Air,,,,,3.6241379310344826,4.0,4.0
63,1943.0,Crash Dive,106 min,movie,6.3,"1,284",3.25,3.0,3.0
64,2001.0,Outside the Law,,,,,2.4210526315789473,2.0,3.0
65,2000.0,Lost in the Pershing Point Hotel,107 min,movie,4.8,149,2.3294573643410854,2.0,2.0
66,1989.0,Barbarian Queen 2,,,,,2.2951807228915664,2.0,2.0
67,1997.0,Vampire Journals,82 min,movie,5.7,"1,261",2.557093425605536,3.0,3.0
68,2004.0,Invader Zim,,,,,4.14259927797834,5.0,5.0
69,2003.0,WWE: Armageddon 2003,,,,,3.293103448275862,3.0,5.0
70,1999.0,Tai Chi: The 24 Forms,,,,,2.7317784256559765,3.0,3.0
71,1995.0,Maya Lin: A Strong Clear Vision,,,,,3.7700192184497117,4.0,4.0
72,1974.0,At Home Among Strangers,97 min,movie,7.7,"2,315",3.1452513966480447,3.0,3.0
73,1954.0,Davy Crockett: 50th Anniversary Double Feature,,,,,3.891566265060241,4.0,4.0
74,1999.0,6ixtynin9,118 min,movie,7.2,"1,885",3.185567010309278,3.0,3.0
75,1997.0,Grind,96 min,movie,5.3,362,2.5707762557077625,3.0,3.0
76,1952.0,I Love Lucy: Season 2,,,,,4.090385917400136,4.0,5.0
77,1995.0,Congo,109 min,movie,5.3,"40,875",2.852772466539197,3.0,3.0
78,1996.0,Jingle All the Way,89 min,movie,5.6,"88,380",2.9416494845360823,3.0,3.0
79,1956.0,The Killing,84 min,movie,8.0,"77,602",3.765381218722402,4.0,4.0
80,1979.0,Winter Kills,97 min,movie,6.2,"1,841",2.7992700729927007,3.0,3.0
81,1991.0,Antarctica: IMAX,,,,,3.4395516413130505,3.0,3.0
82,1951.0,The Frogmen,96 min,movie,6.6,989,3.042016806722689,3.0,3.0
83,1983.0,Silkwood,131 min,movie,7.2,"17,510",3.729331339457381,4.0,4.0
84,2002.0,The Powerpuff Girls Movie,73 min,movie,6.5,"8,971",3.2212936046511627,3.0,3.0
85,2005.0,Elfen Lied,,,,,4.2518796992481205,5.0,5.0
86,1996.0,Iron Monkey 2,92 min,movie,4.6,628,1.9545454545454546,2.0,1.0
87,2002.0,Louder Than Bombs,,,,,2.8119658119658117,3.0,3.0
88,1998.0,Record of Lodoss War: Chronicles of the Heroic Knight,25 min,series,7.4,563,3.8353783231083844,4.0,5.0
89,2000.0,Chain of Command,96 min,movie,4.6,782,2.6913439635535306,3.0,3.0
90,1951.0,The Lemon Drop Kid,91 min,movie,7.1,"1,602",3.496,4.0,3.0
91,2005.0,WWE: Royal Rumble 2005,,,,,3.8959435626102294,4.0,5.0
92,2002.0,ECW: Cyberslam '99,,movie,8.0,45,3.5652173913043477,4.0,5.0
93,2004.0,They Came Back,102 min,movie,5.9,"2,701",2.689655172413793,3.0,3.0
94,2000.0,G3: Live in Concert,,,,,3.6842105263157894,4.0,4.0
95,1985.0,Dona Herlinda and Her Son,90 min,movie,6.8,388,2.5828877005347595,3.0,3.0
96,2000.0,Inside the Space Station,,movie,6.5,66,3.3688524590163933,3.0,4.0
97,2002.0,Mostly Martha,,,,,3.87182829336114,4.0,4.0
98,1965.0,The Battle of Algiers: Bonus Material,,,,,3.9153846153846152,4.0,4.0
99,1989.0,A Fishy Story,,,,,2.4206349206349205,2.0,3.0
100,1993.0,Sam the Iron Bridge,,,,,2.6538461538461537,3.0,3.0
101,1997.0,Complete Shamanic Princess,,,,,3.3727272727272726,3.0,4.0
102,2004.0,Notre Musique,80 min,movie,6.9,"2,738",2.7363636363636363,3.0,3.0
103,1976.0,Sanford and Son: Season 6,,,,,3.6555023923444976,4.0,5.0
104,1965.0,The Great Race,160 min,movie,7.2,"15,425",3.6977142857142855,4.0,4.0
