Country,Happiness_Score_All,GDP_per_Capita_All,Social_Support__All,Health_or_Life Expectancy_All,Freedom_All,Perceptions_Of_Corruption_All,Generosity_All,Dystopia_Residual_All
Norway,7.537750044822692,1.5272257960891724,1.3933433898925776,0.8346666257381439,0.6468106468486785,0.34468845863103875,0.3434880593276025,2.5324966633224477
Denmark,7.532499958992005,1.4001607531929023,1.4163603981304174,0.8325613811445235,0.6344491806125641,0.43421751704216,0.3355951221823693,2.5810343379211425
Switzerland,7.519249989509583,1.477204888305665,1.3901654362678526,0.8973978223705292,0.6328026441669465,0.38895432133913055,0.28103981956481927,2.54093155807495
Iceland,7.515250046730043,1.38815325510025,1.460016001758575,0.8906805305290224,0.6247931588315963,0.145681639868021,0.43540505518436423,2.6050238206100476
Finland,7.479999965667725,1.3612004812908176,1.3962866812705998,0.8457944173860551,0.6279202141714095,0.399842885735035,0.23147819314718251,2.715922875823975
Netherlands,7.3837499637603745,1.41476615884781,1.3065573058223725,0.8484615312576296,0.5978136220264434,0.298767956354618,0.4384374574446677,2.55274852405548
Canada,7.3687499961853025,1.393911104068755,1.35801474784851,0.8659469131183625,0.6176927280235289,0.3053078790569305,0.4157474306106567,2.4849686106109625
New Zealand,7.314500032424927,1.321136512002945,1.4104112809181226,0.8580224263858794,0.6259780326128005,0.40501917553186423,0.45850628149986283,2.332809084243775
Sweden,7.3132499799728405,1.4082268172550199,1.3389680423641201,0.8714887895774842,0.6284760247421265,0.4036271821522712,0.3538898130440712,2.4042669985961926
Australia,7.288249979972839,1.4006062337779999,1.3742579880332948,0.8841616981649401,0.617054345574379,0.32071593259096154,0.4370973124957085,2.3297927048110947
Israel,7.236999955177308,1.2964031058502201,1.2571474909305576,0.8723609999513625,0.41187465095758446,0.08309302501499652,0.31167066373825075,3.02489683391571
Austria,7.116000010490417,1.403926815834045,1.3362037408638001,0.8505996048021318,0.5881615473937988,0.21132509135961525,0.30450058043718353,2.477284103126525
Costa Rica,7.115999999046325,1.0360690706539148,1.2837009128093724,0.7995598163557054,0.599535412492752,0.10310164737403399,0.20952830725908278,3.10964980052948
United States,7.025500007629395,1.4616823210048677,1.2964626409244526,0.8085191569423675,0.5201026308345795,0.14405469708561902,0.3738496951627732,2.45401085559845
Ireland,6.950250059127808,1.4507691598224652,1.4180702788352975,0.8489156560611725,0.5862400855064391,0.2972395383286476,0.4108745807147025,2.0146122594070426
Belgium,6.920999948501588,1.3802476901912701,1.320865674591065,0.8570879673385621,0.5552026805973053,0.24480578276634224,0.22110083440542225,2.4019000894165052
Germany,6.9150000534057625,1.4009283459281925,1.3359075878524775,0.8416701829385757,0.574485346121788,0.2651679845309257,0.29898229251146324,2.2679424896240223
Luxembourg,6.897499979019165,1.6448433994483949,1.309300916461945,0.8763623737955093,0.5982894727659225,0.342776106004715,0.2588077454686165,1.9474180202865599
United Kingdom,6.780000056266785,1.35295848493576,1.3569150200366975,0.8519189847326277,0.5344500089550017,0.2830220165634155,0.4668635396790505,2.00201838104248
Mexico,6.7577500171661375,1.0817009544658651,1.02299303993225,0.7492122494268417,0.437657502090931,0.15611102865219123,0.1120201081997155,3.2218387163162223
Brazil,6.747250057220461,1.040533302612305,1.2943890011310575,0.6506805882263182,0.45629843669891346,0.12899069028973575,0.1439624736607075,3.0544017705535897
Chile,6.625749987602235,1.176908652448655,1.16134123846054,0.8262199259757994,0.4067763196730612,0.0966219955265522,0.2933106053066253,2.67962146434784
Singapore,6.61300000667572,1.597171917476655,1.1730985908699023,0.9824830987310411,0.5527651423740387,0.470819446258545,0.3112689953708647,1.6395304998779299
Czech Republic,6.605250051498412,1.26845308801651,1.2843113041782375,0.804258500776291,0.4779415434169769,0.03431323177486657,0.08956418972313406,2.65494796459198
