Country,Happiness_Score_All,Average_alcohol_consumption
Norway,7.537750044822692,6.7
Denmark,7.532499958992005,10.4
Switzerland,7.519249989509583,10.2
Iceland,7.515250046730043,6.6
Finland,7.479999965667725,10.0
Netherlands,7.3837499637603745,9.4
Canada,7.3687499961853025,8.2
New Zealand,7.314500032424927,9.3
Sweden,7.3132499799728405,7.2
Australia,7.288249979972839,10.4
Israel,7.236999955177308,2.5
Austria,7.116000010490417,9.7
Costa Rica,7.115999999046325,4.4
Ireland,6.950250059127808,11.4
Belgium,6.920999948501588,10.5
Germany,6.9150000534057625,11.3
Luxembourg,6.897499979019165,11.4
United Kingdom,6.780000056266785,10.4
Mexico,6.7577500171661375,5.5
Brazil,6.747250057220461,7.2
Chile,6.625749987602235,7.6
Singapore,6.61300000667572,1.5
Czech Republic,6.605250051498412,11.8
Panama,6.59225003528595,7.2
Argentina,6.552749994277955,8.3
France,6.49599997806549,11.8
Malta,6.485999987602234,6.6
Uruguay,6.465749999046325,6.6
Qatar,6.43375,0.9
Colombia,6.3937499685287476,4.2
Saudi Arabia,6.376249965667725,0.1
Thailand,6.356249946594238,6.4
Spain,6.350749969482423,10.0
Guatemala,6.320749999046326,2.2
Kuwait,6.180500004768373,0.0
Bahrain,6.09249997329712,2.0
El Salvador,6.0919999456405645,2.2
Slovakia,6.086000012397765,11.4
Malaysia,6.045250027656555,0.3
Uzbekistan,6.01425004863739,2.4
Nicaragua,6.008000024795533,3.5
Ecuador,5.9829999742507916,4.2
Italy,5.972250056266785,6.5
Japan,5.935750019073488,7.0
Poland,5.930500012397765,10.9
South Korea,5.882999955177308,9.8
Lithuania,5.8749999876022345,12.9
Kazakhstan,5.845749941825868,6.8
Slovenia,5.830499974250793,10.6
Bolivia,5.821749988555908,3.8
Moldova,5.815999955177308,6.3
Algeria,5.781750054359436,0.7
Venezuela,5.7375,7.7
Peru,5.736250038146972,6.1
Belarus,5.666749941825867,14.4
Turkmenistan,5.666000006675719,2.2
Mauritius,5.661250046730042,2.6
Cyprus,5.654499953269958,8.2
Paraguay,5.647500007629395,7.3
Libya,5.615000023841857,0.0
Latvia,5.610249976158142,10.5
Romania,5.6054999523162845,10.4
Jamaica,5.604999967575073,3.4
Estonia,5.57400001525879,9.5
Croatia,5.465250055313111,10.2
Turkey,5.426,1.4
Philippines,5.326499957084655,4.6
Serbia,5.273249995231627,9.6
Indonesia,5.267000020980835,0.1
Pakistan,5.26675001335144,0.0
Jordan,5.24799999141693,0.5
Azerbaijan,5.234500051498413,1.3
Montenegro,5.234249997138978,4.9
China,5.225999940872192,5.0
Hungary,5.222249970436096,11.3
Portugal,5.207500042915345,11.0
Morocco,5.1632500333786,0.5
Kyrgyzstan,5.1515000467300425,2.4
Vietnam,5.1494999704360955,2.0
Dominican Republic,5.143000004768373,6.2
Bhutan,5.135500039100648,0.4
Macedonia,5.122000047683715,3.9
Greece,5.118750059127808,8.3
Lebanon,5.0979999761581425,1.9
Nigeria,5.092999970436096,9.1
Honduras,5.0860000581741325,3.0
Tajikistan,5.045249972343446,0.3
Mongolia,4.9652499809265125,4.9
Tunisia,4.795249957084655,1.3
Nepal,4.78724997329712,0.2
Iran,4.72449997806549,0.0
Albania,4.711000013351439,4.9
Zambia,4.70374998474121,2.5
South Africa,4.663499999046325,8.2
Bangladesh,4.611249950408935,0.0
Cameroon,4.608750042915345,5.8
Sierra Leone,4.605500027656555,6.7
Iraq,4.551250054359435,0.2
Bulgaria,4.520500056266785,10.3
Ethiopia,4.4575000095367425,0.7
Kenya,4.43449999332428,1.8
Egypt,4.4275000333786,0.2
Ghana,4.42149997138977,1.8
Sri Lanka,4.399250014305115,2.2
Myanmar,4.388750019073487,0.1
India,4.368500014305115,2.2
Armenia,4.351749981880188,3.8
Senegal,4.322249961853028,0.3
Mauritania,4.321249954223633,0.0
Gabon,4.310000038146972,8.9
Ukraine,4.301000048637389,8.9
Georgia,4.293749943733215,5.4
Sudan,4.24174998474121,1.7
Mali,4.176250014305115,0.6
Zimbabwe,4.0925,4.7
Cambodia,4.08175005531311,2.2
Malawi,4.001250007152557,1.5
Uganda,3.9779999628067024,8.3
Niger,3.973749969482423,0.1
Burkina Faso,3.9455000162124625,4.3
Haiti,3.93274998140335,5.9
Chad,3.9167500271797175,0.4
Botswana,3.9155000081062328,5.4
Angola,3.872250019073488,5.9
Liberia,3.805249998092653,3.1
Madagascar,3.69850001335144,0.8
Yemen,3.6872499837875377,0.1
Guinea,3.683499992370605,0.2
Benin,3.6555000162124625,1.1
Afghanistan,3.5902499775886527,0.0
Tanzania,3.5247499942779554,5.7
Rwanda,3.464749989032745,6.8
Togo,3.40899997138977,1.3
Syria,3.24974997329712,1.0
Burundi,2.904999992847442,6.3
