Country,Happiness_Score_All,Average_obesity
Norway,7.537750044822692,57.86666666666667
Denmark,7.532499958992005,55.06666666666667
Switzerland,7.519249989509583,53.9
Iceland,7.515250046730043,58.76666666666666
Finland,7.479999965667725,57.56666666666667
Netherlands,7.3837499637603745,57.36666666666667
Canada,7.3687499961853025,63.666666666666664
New Zealand,7.314500032424927,65.1
Sweden,7.3132499799728405,56.0
Australia,7.288249979972839,64.03333333333333
Israel,7.236999955177308,63.96666666666666
Austria,7.116000010490417,53.86666666666667
Costa Rica,7.115999999046325,60.800000000000004
Ireland,6.950250059127808,60.03333333333333
Belgium,6.920999948501588,59.199999999999996
Germany,6.9150000534057625,56.4
Luxembourg,6.897499979019165,58.29999999999999
Mexico,6.7577500171661375,64.4
Brazil,6.747250057220461,55.9
Chile,6.625749987602235,62.56666666666666
Singapore,6.61300000667572,31.5
Panama,6.59225003528595,58.20000000000001
Argentina,6.552749994277955,62.26666666666667
France,6.49599997806549,59.03333333333333
Malta,6.485999987602234,66.06666666666668
Uruguay,6.465749999046325,62.4
Qatar,6.43375,71.13333333333333
Colombia,6.3937499685287476,58.46666666666667
Saudi Arabia,6.376249965667725,69.13333333333333
Thailand,6.356249946594238,31.600000000000005
Spain,6.350749969482423,61.26666666666666
Guatemala,6.320749999046326,55.26666666666667
Kuwait,6.180500004768373,73.0
Bahrain,6.09249997329712,65.23333333333333
El Salvador,6.0919999456405645,59.300000000000004
Slovakia,6.086000012397765,55.76666666666667
Malaysia,6.045250027656555,41.56666666666667
Uzbekistan,6.01425004863739,47.5
Nicaragua,6.008000024795533,57.56666666666666
Ecuador,5.9829999742507916,55.4
Italy,5.972250056266785,58.03333333333333
Japan,5.935750019073488,26.8
Poland,5.930500012397765,57.833333333333336
Lithuania,5.8749999876022345,59.23333333333333
Kazakhstan,5.845749941825868,53.0
Slovenia,5.830499974250793,55.666666666666664
Algeria,5.781750054359436,61.26666666666667
Peru,5.736250038146972,56.93333333333334
Belarus,5.666749941825867,59.0
Turkmenistan,5.666000006675719,51.1
Mauritius,5.661250046730042,31.866666666666664
Cyprus,5.654499953269958,58.76666666666666
Paraguay,5.647500007629395,52.833333333333336
Libya,5.615000023841857,66.23333333333333
Latvia,5.610249976158142,57.5
Romania,5.6054999523162845,57.13333333333333
Jamaica,5.604999967575073,54.800000000000004
Estonia,5.57400001525879,55.43333333333334
Croatia,5.465250055313111,59.1
Turkey,5.426,66.2
Philippines,5.326499957084655,27.0
Serbia,5.273249995231627,56.666666666666664
Indonesia,5.267000020980835,27.366666666666664
Pakistan,5.26675001335144,27.7
Jordan,5.24799999141693,69.03333333333333
Azerbaijan,5.234500051498413,52.9
Montenegro,5.234249997138978,58.93333333333334
China,5.225999940872192,31.566666666666666
Hungary,5.222249970436096,61.1
Portugal,5.207500042915345,57.0
Morocco,5.1632500333786,59.666666666666664
Kyrgyzstan,5.1515000467300425,47.6
Dominican Republic,5.143000004768373,60.29999999999999
Bhutan,5.135500039100648,26.366666666666664
Greece,5.118750059127808,61.9
Bosnia and Herzegovina,5.105750040054322,52.76666666666667
Lebanon,5.0979999761581425,67.4
Nigeria,5.092999970436096,28.26666666666667
Honduras,5.0860000581741325,55.03333333333333
Tajikistan,5.045249972343446,44.6
Mongolia,4.9652499809265125,54.800000000000004
Tunisia,4.795249957084655,61.0
Nepal,4.78724997329712,20.400000000000002
Albania,4.711000013351439,57.0
Zambia,4.70374998474121,27.266666666666666
South Africa,4.663499999046325,53.166666666666664
Bangladesh,4.611249950408935,19.400000000000002
Cameroon,4.608750042915345,32.96666666666667
Sierra Leone,4.605500027656555,27.166666666666668
Iraq,4.551250054359435,64.06666666666666
Bulgaria,4.520500056266785,61.23333333333333
Ethiopia,4.4575000095367425,20.4
Kenya,4.43449999332428,24.900000000000002
Egypt,4.4275000333786,62.833333333333336
Ghana,4.42149997138977,31.400000000000002
Sri Lanka,4.399250014305115,22.633333333333336
Myanmar,4.388750019073487,24.03333333333333
India,4.368500014305115,19.133333333333336
Armenia,4.351749981880188,53.9
Senegal,4.322249961853028,27.833333333333332
Mauritania,4.321249954223633,33.73333333333334
Gabon,4.310000038146972,39.63333333333333
Ukraine,4.301000048637389,58.0
Georgia,4.293749943733215,53.5
Mali,4.176250014305115,27.399999999999995
Zimbabwe,4.0925,37.733333333333334
Cambodia,4.08175005531311,21.099999999999998
Malawi,4.001250007152557,22.899999999999995
Uganda,3.9779999628067024,21.899999999999995
Niger,3.973749969482423,21.5
Burkina Faso,3.9455000162124625,22.566666666666666
Haiti,3.93274998140335,53.86666666666667
Chad,3.9167500271797175,22.600000000000005
Botswana,3.9155000081062328,42.9
Angola,3.872250019073488,26.833333333333332
Liberia,3.805249998092653,30.366666666666664
Madagascar,3.69850001335144,23.3
Yemen,3.6872499837875377,47.96666666666666
Guinea,3.683499992370605,26.066666666666666
Benin,3.6555000162124625,28.933333333333334
Afghanistan,3.5902499775886527,22.333333333333332
Rwanda,3.464749989032745,24.46666666666667
Togo,3.40899997138977,27.5
Burundi,2.904999992847442,21.633333333333336
