"Player,Pos,Squad,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Int"
"Brenden Aaronson\Brenden-Aaronson,MF,Philadelphia,50,16,32.0,6,23,21,0"
"Lalas Abubakar\Lalas-Abubakar,DF,Colorado,19,4,21.1,10,9,0,4"
"David Accam\David-Accam,FW,Nashville,28,7,25.0,8,13,7,0"
"Ifunanyachi Achara\Ifunanyachi-Achara,MF,Toronto FC,18,11,61.1,3,13,2,0"
"Kellyn Acosta\Kellyn-Acosta,MF,Colorado,28,8,28.6,7,16,5,1"
"Fanendo Adi\Fanendo-Adi,FW,Columbus,2,0,0.0,0,1,1,0"
"Ali Adnan Kadhim\Ali-Adnan-Kadhim,DF,Vancouver,17,6,35.3,12,5,0,3"
"Harrison Afful\Harrison-Afful,DF,Columbus,23,5,21.7,11,9,3,5"
"Juan Agudelo\Juan-Agudelo,FW,Miami,13,4,30.8,1,3,9,0"
"Tesho Akindele\Tesho-Akindele,FW,Orlando City,19,4,21.1,2,5,12,1"
"Oswaldo Alanís\Oswaldo-Alanis,DF,San Jose,33,10,30.3,19,13,1,3"
"Osvaldo Alonso\Osvaldo-Alonso,MF,Minnesota,31,12,38.7,22,8,1,6"
"Jozy Altidore\Jozy-Altidore,FW,Toronto FC,20,6,30.0,1,7,12,0"
"Luis Amarilla\Luis-Amarilla,FW,Minnesota,30,5,16.7,2,21,7,1"
"Frankie Amaya\Frankie-Amaya,MF,FC Cincinnati,62,29,46.8,27,27,8,4"
"Daniel Armando Ríos\Daniel-Armando-Rios,FW,Nashville,2,0,0.0,0,0,2,0"
"Xavier Arreaga\Xavier-Arreaga,DF,Seattle,24,10,41.7,21,3,0,3"
"Artur\Artur,MF,Columbus,63,14,22.2,31,21,11,4"
"Yamil Asad\Yamil-Asad,FW,D.C. United,14,2,14.3,8,3,3,0"
"Dairon Asprilla\Dairon-Asprilla,FW,Portland,2,1,50.0,1,1,0,1"
"Eduard Atuesta\Eduard-Atuesta,MF,Los Angeles FC,24,7,29.2,9,11,4,2"
"Auro\Auro,DF,Toronto FC,37,12,32.4,15,15,7,2"
"Micheal Azira\Micheal-Azira,MF,Chicago,1,0,0.0,0,0,1,0"
"Dominique Badji\Dominique-Badji,FW,Nashville,22,6,27.3,2,3,17,0"
"Corey Baird\Corey-Baird,FW,Real Salt Lake,18,3,16.7,6,5,7,1"
"Ezequiel Barco\Ezequiel-Barco,FW,Atlanta,22,13,59.1,0,11,11,0"
"Tom Barlow\Tom-Barlow,FW,NY Red Bulls,24,6,25.0,5,9,10,0"
"Michael Barrios\Michael-Barrios,FW,FC Dallas,23,5,21.7,3,9,11,0"
"Alejandro Bedoya\Alejandro-Bedoya,MF,Philadelphia,23,11,47.8,8,8,7,1"
"Robert Berić\Robert-Beric,FW,Chicago,48,17,35.4,2,21,25,1"
"Matt Besler\Matt-Besler,DF,Sporting KC,18,8,44.4,16,2,0,3"
"Nick Besler\Nick-Besler,MF,Real Salt Lake,46,12,26.1,17,21,8,2"
"Janio Bikel\Janio-Bikel,DF,Vancouver,13,3,23.1,10,2,1,0"
"David Bingham\David-Bingham,GK,LA Galaxy,1,0,0.0,1,0,0,0"
"Luis Binks\Luis-Binks,DF,Montreal,21,12,57.1,12,9,0,7"
"Steve Birnbaum\Steve-Birnbaum,DF,D.C. United,7,1,14.3,3,4,0,4"
"Tristan Blackmon\Tristan-Blackmon,DF,Los Angeles FC,30,8,26.7,10,12,8,4"
"Andre Blake\Andre-Blake,GK,Philadelphia,1,0,0.0,1,0,0,0"
"Sebastián Blanco\Sebastian-Blanco,FW,Portland,28,9,32.1,5,16,7,3"
"Latif Blessing\Latif-Blessing,MF,Los Angeles FC,59,26,44.1,17,29,13,1"
"Jonathan Bornstein\Jonathan-Bornstein,DF,Chicago,31,10,32.3,15,12,4,6"
"Gustavo Bou\Gustavo-Bou,MFFW,New England,45,17,37.8,0,22,23,1"
"Michael Boxall\Michael-Boxall,DF,Minnesota,22,10,45.5,11,10,1,5"
"Zachary Brault-Guillard\Zachary-Brault-Guillard,DF,Montreal,23,8,34.8,9,9,5,3"
"Bressan\Bressan,FW,FC Dallas,1,0,0.0,1,0,0,1"
"Frédéric Brillant\Frederic-Brillant,DF,D.C. United,16,0,0.0,12,4,0,2"
"Brandt Bronico\Brandt-Bronico,DF,Chicago,41,11,26.8,20,19,2,3"
"Tajon Buchanan\Tajon-Buchanan,FWDF,New England,4,0,0.0,0,1,3,0"
"Adam Buksa\Adam-Buksa,FW,New England,66,19,28.8,3,32,31,0"
"Teal Bunbury\Teal-Bunbury,FW,New England,35,10,28.6,14,13,8,0"
"Gianluca Busio\Gianluca-Busio,MF,Sporting KC,10,2,20.0,2,6,2,0"
"Brandon Bye\Brandon-Bye,DF,New England,43,12,27.9,18,19,6,7"
"Chris Cadden\Chris-Cadden,DF,Columbus,3,1,33.3,2,0,1,0"
"Scott Caldwell\Scott-Caldwell,MF,New England,15,4,26.7,6,8,1,0"
"Alexander Callens\Alexander-Callens,DF,NYCFC,31,14,45.2,22,9,0,6"
"Francisco Calvo\Francisco-Calvo,DF,Chicago,19,8,42.1,11,7,1,10"
"George Campbell\George-Campbell,DF,Atlanta,10,2,20.0,6,3,1,1"
"Reggie Cannon\Reggie-Cannon,DF,FC Dallas,25,7,28.0,9,7,9,1"
"Russell Canouse\Russell-Canouse,DF,D.C. United,34,10,29.4,9,19,6,2"
"Antonio Carlos\Antonio-Carlos,DF,Orlando City,6,2,33.3,4,2,0,1"
"Cristian Cásseres\Cristian-Casseres,MF,NY Red Bulls,58,28,48.3,18,30,10,7"
"Valentín Castellanos\Valentin-Castellanos,FWMF,NYCFC,19,5,26.3,1,9,9,1"
"Lucas Cavallini\Lucas-Cavallini,FW,Vancouver,35,9,25.7,2,15,18,0"
"Darwin Cerén\Darwin-Ceren,FW,Houston,1,0,0.0,1,0,0,0"
"Maxime Chanot\Maxime-Chanot,MF,NYCFC,1,0,0.0,1,0,0,1"
"Diego Chará\Diego-Chara,MF,Portland,58,13,22.4,27,29,2,4"
"Yimmi Chará\Yimmi-Chara,FW,Portland,20,7,35.0,10,4,6,0"
"José Cifuentes\Jose-Cifuentes,MF,Los Angeles FC,8,4,50.0,3,2,3,0"
"Steve Clark\Steve-Clark,GK,Portland,0,0,,0,0,0,0"
"Elliot Collier\Elliot-Collier,MF,Chicago,2,1,50.0,0,1,1,0"
"Derek Cornelius\Derek-Cornelius,DF,Vancouver,2,0,0.0,1,0,1,1"
"Joe Corona\Joe-Corona,MFFW,LA Galaxy,25,6,24.0,11,9,5,0"
"Cade Cowell\Cade-Cowell,FW,San Jose,9,1,11.1,3,2,4,1"
"Warren Creavalle\Warren-Creavalle,MF,Philadelphia,26,13,50.0,10,14,2,9"
"Maxime Crépeau\Maxime-Crepeau,GK,Vancouver,0,0,,0,0,0,0"
"Allan Cruz\Allan-Cruz,MF,FC Cincinnati,41,12,29.3,11,27,3,0"
"Emil Cuello\Emil-Cuello,MF,LA Galaxy,3,0,0.0,0,2,1,0"
"Cristián Dajome\Cristian-Dajome,MF,Vancouver,25,6,24.0,10,13,2,2"
"Mario Daniel Vega\Mario-Daniel-Vega,GK,San Jose,0,0,,0,0,0,0"
"Abu Danladi\Abu-Danladi,FW,Nashville,11,4,36.4,1,4,6,0"
"Sean Davis\Sean-Davis,MF,NY Red Bulls,52,19,36.5,15,28,9,2"
"Jordy Delem\Jordy-Delem,MF,Seattle,11,3,27.3,5,6,0,4"
"Marky Delgado\Marky-Delgado,MF,Toronto FC,45,17,37.8,13,26,6,6"
"Mathieu Deplagne\Mathieu-Deplagne,DF,FC Cincinnati,23,10,43.5,13,8,2,3"
"Nick DePuy\Nick-DePuy,DF,LA Galaxy,24,6,25.0,15,7,2,0"
"Maikel van der Werff\Maikel-van-der-Werff,DF,FC Cincinnati,19,6,31.6,14,5,0,4"
"Justin Dhillon\Justin-Dhillon,FW,Seattle,4,1,25.0,0,3,1,0"
"Luis Díaz\Luis-Diaz,FW,Columbus,14,6,42.9,5,6,3,4"
"Clément Diop\Clement-Diop,GK,Montreal,0,0,,0,0,0,0"
"Jonathan dos Santos\Jonathan-dos-Santos,MF,LA Galaxy,3,0,0.0,2,1,0,0"
"Thiago dos Santos\Thiago-dos-Santos,MF,FC Dallas,37,10,27.0,11,22,4,1"
"Hassani Dotson\Hassani-Dotson,MF,Minnesota,34,12,35.3,11,21,2,3"
"Bryce Duke\Bryce-Duke,MF,Los Angeles FC,9,1,11.1,5,1,3,1"
"Kyle Duncan\Kyle-Duncan,DF,NY Red Bulls,56,20,35.7,20,27,9,2"
"Chris Duvall\Chris-Duvall,DF,Portland,12,3,25.0,9,3,0,1"
"Jeremy Ebobisse\Jeremy-Ebobisse,FWMF,Portland,4,1,25.0,2,1,1,0"
"Raheem Edwards\Raheem-Edwards,FW,Minnesota,3,0,0.0,2,1,0,1"
"Jack Elliott\Jack-Elliott,DF,Philadelphia,1,0,0.0,0,0,1,0"
"Tsubasa Endoh\Tsubasa-Endoh,MF,Toronto FC,29,3,10.3,8,13,8,3"
"Magnus Eriksson\Magnus-Eriksson,MF,San Jose,50,15,30.0,14,27,9,0"
"Franco Escobar\Franco-Escobar,DF,Atlanta,6,2,33.3,3,1,2,1"
"Cristian Espinoza\Cristian-Espinoza,FWMF,San Jose,21,9,42.9,4,9,8,1"
"Roger Espinoza\Roger-Espinoza,MF,Sporting KC,40,7,17.5,5,22,13,1"
"Derrick Etienne\Derrick-Etienne,FW,Columbus,7,1,14.3,0,2,5,0"
"Diego Fagúndez\Diego-Fagundez,MF,New England,55,13,23.6,16,30,9,4"
"Rod Fanni\Rod-Fanni,DF,Montreal,9,3,33.3,6,3,0,7"
"Andrew Farrell\Andrew-Farrell,DF,New England,16,8,50.0,9,7,0,2"
"Felipe\Felipe,MF,D.C. United,34,17,50.0,7,19,8,2"
"Rolf Feltscher\Rolf-Feltscher,DF,LA Galaxy,30,7,23.3,12,11,7,3"
"Gerso Fernandes\Gerso-Fernandes,FW,Sporting KC,12,6,50.0,3,5,4,1"
"Jesus Ferreira\Jesus-Ferreira,MF,FC Dallas,27,8,29.6,10,11,6,2"
"Carlos Fierro\Carlos-Fierro,MF,San Jose,2,1,50.0,2,0,0,0"
"Jorge Figal\Jorge-Figal,DF,Miami,22,4,18.2,14,8,0,3"
"Maynor Figueroa\Maynor-Figueroa,DF,Houston,19,6,31.6,11,8,0,1"
"Ethan Finlay\Ethan-Finlay,FW,Minnesota,52,12,23.1,14,26,12,1"
"Oniel Fisher\Oniel-Fisher,DF,D.C. United,4,3,75.0,4,0,0,0"
"Edison Flores\Edison-Flores,FW,D.C. United,15,5,33.3,3,5,7,1"
"Anthony Fontana\Anthony-Fontana,MF,Philadelphia,6,3,50.0,2,1,3,0"
"Przemysław Frankowski\Przemyslaw-Frankowski,MF,Chicago,37,8,21.6,9,19,9,3"
"Liam Fraser\Liam-Fraser,MF,Toronto FC,6,0,0.0,3,3,0,0"
"Stefan Frei\Stefan-Frei,GK,Seattle,0,0,,0,0,0,0"
"Ray Gaddis\Ray-Gaddis,DF,Philadelphia,36,15,41.7,19,10,7,3"
"Erickson Gallardo\Erickson-Gallardo,MF,Toronto FC,13,2,15.4,2,8,3,0"
"Pedro Gallese\Pedro-Gallese,GK,Orlando City,0,0,,0,0,0,0"
"Boniek García\Boniek-Garcia,MF,Houston,25,8,32.0,6,13,6,1"
"Greg Garza\Greg-Garza,DF,FC Cincinnati,19,6,31.6,8,10,1,4"
"Chase Gasper\Chase-Gasper,DF,Minnesota,39,15,38.5,20,9,10,5"
"Gastón Giménez\Gaston-Gimenez,DF,Chicago,5,3,60.0,1,4,0,0"
"Francisco Ginella\Francisco-Ginella,MF,Los Angeles FC,19,5,26.3,9,7,3,1"
"Justen Glad\Justen-Glad,DF,Real Salt Lake,20,5,25.0,9,10,1,1"
"Jakob Glesnes\Jakob-Glesnes,DF,Philadelphia,16,5,31.3,10,5,1,2"
"Aníbal Godoy\Anibal-Godoy,MF,Nashville,30,9,30.0,9,16,5,8"
"Yeimar Gómez Andrade\Yeimar-Gomez-Andrade,DF,Seattle,15,6,40.0,12,3,0,5"
"Giancarlo González\Giancarlo-Gonzalez,DF,LA Galaxy,20,3,15.0,15,4,1,4"
"Jesse Gonzalez\Jesse-Gonzalez,GK,FC Dallas,0,0,,0,0,0,0"
"Omar Gonzalez\Omar-Gonzalez,DF,Toronto FC,16,6,37.5,9,7,0,3"
"Ján Greguš\Jan-Gregus,MF,Minnesota,35,11,31.4,13,17,5,5"
"Julian Gressel\Julian-Gressel,MF,D.C. United,36,7,19.4,14,17,5,5"
"Andrew Gutman\Andrew-Gutman,DF,FC Cincinnati,4,0,0.0,2,1,1,0"
"Brad Guzan\Brad-Guzan,GK,Atlanta,0,0,,0,0,0,1"
"Joe Gyau\Joe-Gyau,FW,FC Cincinnati,7,2,28.6,1,3,3,1"
"Bill Hamid\Bill-Hamid,GK,D.C. United,0,0,,0,0,0,0"
"Niko Hansen\Niko-Hansen,MF,Houston,7,4,57.1,2,4,1,0"
"Jordan Harvey\Jordan-Harvey,DF,Los Angeles FC,18,4,22.2,13,4,1,0"
"Héber\Heber,FW,NYCFC,33,10,30.3,1,13,19,0"
"Matt Hedges\Matt-Hedges,DF,FC Dallas,12,6,50.0,8,4,0,6"
"Fabian Herbers\Fabian-Herbers,MF,Chicago,47,18,38.3,10,24,13,3"
"Javier Hernández\Javier-Hernandez,FW,LA Galaxy,35,9,25.7,3,15,17,0"
"Aaron Herrera\Aaron-Herrera,DFFW,Real Salt Lake,28,12,42.9,10,12,6,1"
"Danny Hoesen\Danny-Hoesen,FW,San Jose,21,7,33.3,5,10,6,1"
"Ryan Hollingshead\Ryan-Hollingshead,DF,FC Dallas,10,3,30.0,3,4,3,6"
"Erik Hurtado\Erik-Hurtado,FW,Sporting KC,4,1,25.0,0,1,3,0"
"Emerson Hyndman\Emerson-Hyndman,MF,Atlanta,32,12,37.5,15,11,6,3"
"Miguel Ibarra\Miguel-Ibarra,FW,Seattle,19,5,26.3,2,13,4,3"
"Sebastien Ibeagha\Sebastien-Ibeagha,DF,NYCFC,7,4,57.1,3,3,1,0"
"Ilsinho\Ilsinho,MFFW,Philadelphia,3,1,33.3,0,2,1,0"
"Hwang In-beom\Hwang-In-beom,MF,Vancouver,26,7,26.9,13,11,2,4"
"Emiliano Insúa\Emiliano-Insua,DF,LA Galaxy,39,16,41.0,22,15,2,0"
"Clint Irwin\Clint-Irwin,GK,Colorado,0,0,,0,0,0,0"
"Anthony Jackson-Hamel\Anthony-Jackson-Hamel,FW,Montreal,14,6,42.9,1,8,5,0"
"Adam Jahn\Adam-Jahn,FW,Atlanta,9,6,66.7,2,3,4,0"
"Dejan Jakovic\Dejan-Jakovic,DF,Los Angeles FC,18,9,50.0,11,6,1,3"
"Robin Jansson\Robin-Jansson,DF,Orlando City,7,2,28.6,3,3,1,2"
"David Jensen\David-Jensen,GK,NY Red Bulls,0,0,,0,0,0,0"
"Sean Johnson\Sean-Johnson,GK,NYCFC,1,0,0.0,1,0,0,0"
"DeJuan Jones\DeJuan-Jones,DF,New England,40,11,27.5,27,11,2,3"
"Joevin Jones\Joevin-Jones,DFFW,Seattle,11,3,27.3,4,4,3,2"
