"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Preu_mitja_habitatge","Valor"
2018,1,1,"Ciutat Vella",1,"el Raval","Total. Milers d'euros",290.4
2018,1,1,"Ciutat Vella",2,"el Barri Gòtic","Total. Milers d'euros",941.2
2018,1,1,"Ciutat Vella",3,"la Barceloneta","Total. Milers d'euros",205.9
2018,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Total. Milers d'euros",336
2018,1,2,"Eixample",5,"el Fort Pienc","Total. Milers d'euros",516.3
2018,1,2,"Eixample",6,"la Sagrada Família","Total. Milers d'euros",283.4
2018,1,2,"Eixample",7,"la Dreta de l'Eixample","Total. Milers d'euros",571.1
2018,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Total. Milers d'euros",343
2018,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Total. Milers d'euros",286
2018,1,2,"Eixample",10,"Sant Antoni","Total. Milers d'euros",286.4
2018,1,3,"Sants-Montjuïc",11,"el Poble Sec","Total. Milers d'euros",214
2018,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Total. Milers d'euros",NA
2018,1,3,"Sants-Montjuïc",13,"la Marina de Port","Total. Milers d'euros",149.8
2018,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Total. Milers d'euros",287.5
2018,1,3,"Sants-Montjuïc",15,"Hostafrancs","Total. Milers d'euros",213.6
2018,1,3,"Sants-Montjuïc",16,"la Bordeta","Total. Milers d'euros",122
2018,1,3,"Sants-Montjuïc",17,"Sants - Badal","Total. Milers d'euros",194.4
2018,1,3,"Sants-Montjuïc",18,"Sants","Total. Milers d'euros",248.9
2018,1,4,"Les Corts",19,"les Corts","Total. Milers d'euros",356.3
2018,1,4,"Les Corts",20,"la Maternitat i Sant Ramon","Total. Milers d'euros",359.4
2018,1,4,"Les Corts",21,"Pedralbes","Total. Milers d'euros",989.9
2018,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Total. Milers d'euros",288.1
2018,1,5,"Sarrià-Sant Gervasi",23,"Sarrià","Total. Milers d'euros",652.1
2018,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Total. Milers d'euros",568.3
2018,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Total. Milers d'euros",596.9
2018,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Total. Milers d'euros",624.1
2018,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Total. Milers d'euros",514.3
2018,1,6,"Gràcia",28,"Vallcarca i els Penitents","Total. Milers d'euros",279.6
2018,1,6,"Gràcia",29,"el Coll","Total. Milers d'euros",112
2018,1,6,"Gràcia",30,"la Salut","Total. Milers d'euros",283.1
2018,1,6,"Gràcia",31,"la Vila de Gràcia","Total. Milers d'euros",343
2018,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Total. Milers d'euros",360.2
2018,1,7,"Horta-Guinardó",33,"el Baix Guinardó","Total. Milers d'euros",272.8
2018,1,7,"Horta-Guinardó",34,"Can Baró","Total. Milers d'euros",163.4
2018,1,7,"Horta-Guinardó",35,"el Guinardó","Total. Milers d'euros",263.9
2018,1,7,"Horta-Guinardó",36,"la Font d'en Fargues","Total. Milers d'euros",274.5
2018,1,7,"Horta-Guinardó",37,"el Carmel","Total. Milers d'euros",142.7
2018,1,7,"Horta-Guinardó",38,"la Teixonera","Total. Milers d'euros",134.2
2018,1,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Total. Milers d'euros",156.9
2018,1,7,"Horta-Guinardó",40,"Montbau","Total. Milers d'euros",152.7
2018,1,7,"Horta-Guinardó",41,"la Vall d'Hebron","Total. Milers d'euros",220.8
2018,1,7,"Horta-Guinardó",42,"la Clota","Total. Milers d'euros",NA
2018,1,7,"Horta-Guinardó",43,"Horta","Total. Milers d'euros",240.6
2018,1,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Total. Milers d'euros",216.9
2018,1,8,"Nou Barris",45,"Porta","Total. Milers d'euros",156.5
2018,1,8,"Nou Barris",46,"el Turó de la Peira","Total. Milers d'euros",119.9
2018,1,8,"Nou Barris",47,"Can Peguera","Total. Milers d'euros",NA
2018,1,8,"Nou Barris",48,"la Guineueta","Total. Milers d'euros",163
2018,1,8,"Nou Barris",49,"Canyelles","Total. Milers d'euros",170.5
2018,1,8,"Nou Barris",50,"les Roquetes","Total. Milers d'euros",115.8
2018,1,8,"Nou Barris",51,"Verdun","Total. Milers d'euros",96.8
2018,1,8,"Nou Barris",52,"la Prosperitat","Total. Milers d'euros",145.9
2018,1,8,"Nou Barris",53,"la Trinitat Nova","Total. Milers d'euros",93
2018,1,8,"Nou Barris",54,"Torre Baró","Total. Milers d'euros",NA
2018,1,8,"Nou Barris",55,"Ciutat Meridiana","Total. Milers d'euros",88.9
2018,1,8,"Nou Barris",56,"Vallbona","Total. Milers d'euros",NA
2018,1,9,"Sant Andreu",57,"la Trinitat Vella","Total. Milers d'euros",120.9
2018,1,9,"Sant Andreu",58,"Baró de Viver","Total. Milers d'euros",NA
2018,1,9,"Sant Andreu",59,"el Bon Pastor","Total. Milers d'euros",177.2
2018,1,9,"Sant Andreu",60,"Sant Andreu","Total. Milers d'euros",213.2
2018,1,9,"Sant Andreu",61,"la Sagrera","Total. Milers d'euros",263.9
2018,1,9,"Sant Andreu",62,"el Congrés i els Indians","Total. Milers d'euros",157
2018,1,9,"Sant Andreu",63,"Navas","Total. Milers d'euros",337.8
2018,1,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Total. Milers d'euros",330.7
2018,1,10,"Sant Martí",65,"el Clot","Total. Milers d'euros",283.7
2018,1,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Total. Milers d'euros",307.4
2018,1,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Total. Milers d'euros",483.3
2018,1,10,"Sant Martí",68,"el Poblenou","Total. Milers d'euros",338.1
2018,1,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Total. Milers d'euros",509.7
2018,1,10,"Sant Martí",70,"el Besòs i el Maresme","Total. Milers d'euros",255
2018,1,10,"Sant Martí",71,"Provençals del Poblenou","Total. Milers d'euros",255.3
2018,1,10,"Sant Martí",72,"Sant Martí de Provençals","Total. Milers d'euros",266.7
2018,1,10,"Sant Martí",73,"la Verneda i la Pau","Total. Milers d'euros",154
2018,1,1,"Ciutat Vella",1,"el Raval","Nou. Milers d'euros",NA
2018,1,1,"Ciutat Vella",2,"el Barri Gòtic","Nou. Milers d'euros",2841
2018,1,1,"Ciutat Vella",3,"la Barceloneta","Nou. Milers d'euros",212.7
2018,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Nou. Milers d'euros",481.3
2018,1,2,"Eixample",5,"el Fort Pienc","Nou. Milers d'euros",NA
2018,1,2,"Eixample",6,"la Sagrada Família","Nou. Milers d'euros",NA
2018,1,2,"Eixample",7,"la Dreta de l'Eixample","Nou. Milers d'euros",182.3
2018,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Nou. Milers d'euros",458.9
2018,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Nou. Milers d'euros",335
2018,1,2,"Eixample",10,"Sant Antoni","Nou. Milers d'euros",NA
2018,1,3,"Sants-Montjuïc",11,"el Poble Sec","Nou. Milers d'euros",NA
2018,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Nou. Milers d'euros",NA
2018,1,3,"Sants-Montjuïc",13,"la Marina de Port","Nou. Milers d'euros",NA
2018,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Nou. Milers d'euros",NA
2018,1,3,"Sants-Montjuïc",15,"Hostafrancs","Nou. Milers d'euros",251.1
2018,1,3,"Sants-Montjuïc",16,"la Bordeta","Nou. Milers d'euros",NA
2018,1,3,"Sants-Montjuïc",17,"Sants - Badal","Nou. Milers d'euros",231.3
2018,1,3,"Sants-Montjuïc",18,"Sants","Nou. Milers d'euros",NA
2018,1,4,"Les Corts",19,"les Corts","Nou. Milers d'euros",584
2018,1,4,"Les Corts",20,"la Maternitat i Sant Ramon","Nou. Milers d'euros",NA
2018,1,4,"Les Corts",21,"Pedralbes","Nou. Milers d'euros",NA
2018,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Nou. Milers d'euros",NA
2018,1,5,"Sarrià-Sant Gervasi",23,"Sarrià","Nou. Milers d'euros",NA
2018,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Nou. Milers d'euros",NA
2018,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Nou. Milers d'euros",369.1
2018,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Nou. Milers d'euros",609.2
2018,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Nou. Milers d'euros",513.8
2018,1,6,"Gràcia",28,"Vallcarca i els Penitents","Nou. Milers d'euros",424.8
2018,1,6,"Gràcia",29,"el Coll","Nou. Milers d'euros",NA
2018,1,6,"Gràcia",30,"la Salut","Nou. Milers d'euros",NA
2018,1,6,"Gràcia",31,"la Vila de Gràcia","Nou. Milers d'euros",279
2018,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Nou. Milers d'euros",NA
2018,1,7,"Horta-Guinardó",33,"el Baix Guinardó","Nou. Milers d'euros",NA
2018,1,7,"Horta-Guinardó",34,"Can Baró","Nou. Milers d'euros",NA
2018,1,7,"Horta-Guinardó",35,"el Guinardó","Nou. Milers d'euros",281.8
2018,1,7,"Horta-Guinardó",36,"la Font d'en Fargues","Nou. Milers d'euros",NA
2018,1,7,"Horta-Guinardó",37,"el Carmel","Nou. Milers d'euros",132.6
2018,1,7,"Horta-Guinardó",38,"la Teixonera","Nou. Milers d'euros",110.8
2018,1,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Nou. Milers d'euros",130
2018,1,7,"Horta-Guinardó",40,"Montbau","Nou. Milers d'euros",155
2018,1,7,"Horta-Guinardó",41,"la Vall d'Hebron","Nou. Milers d'euros",NA
2018,1,7,"Horta-Guinardó",42,"la Clota","Nou. Milers d'euros",NA
2018,1,7,"Horta-Guinardó",43,"Horta","Nou. Milers d'euros",212.4
2018,1,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Nou. Milers d'euros",NA
2018,1,8,"Nou Barris",45,"Porta","Nou. Milers d'euros",NA
2018,1,8,"Nou Barris",46,"el Turó de la Peira","Nou. Milers d'euros",NA
2018,1,8,"Nou Barris",47,"Can Peguera","Nou. Milers d'euros",NA
2018,1,8,"Nou Barris",48,"la Guineueta","Nou. Milers d'euros",NA
2018,1,8,"Nou Barris",49,"Canyelles","Nou. Milers d'euros",NA
2018,1,8,"Nou Barris",50,"les Roquetes","Nou. Milers d'euros",NA
2018,1,8,"Nou Barris",51,"Verdun","Nou. Milers d'euros",NA
2018,1,8,"Nou Barris",52,"la Prosperitat","Nou. Milers d'euros",NA
2018,1,8,"Nou Barris",53,"la Trinitat Nova","Nou. Milers d'euros",NA
2018,1,8,"Nou Barris",54,"Torre Baró","Nou. Milers d'euros",NA
2018,1,8,"Nou Barris",55,"Ciutat Meridiana","Nou. Milers d'euros",NA
2018,1,8,"Nou Barris",56,"Vallbona","Nou. Milers d'euros",NA
2018,1,9,"Sant Andreu",57,"la Trinitat Vella","Nou. Milers d'euros",NA
2018,1,9,"Sant Andreu",58,"Baró de Viver","Nou. Milers d'euros",NA
2018,1,9,"Sant Andreu",59,"el Bon Pastor","Nou. Milers d'euros",220
2018,1,9,"Sant Andreu",60,"Sant Andreu","Nou. Milers d'euros",NA
2018,1,9,"Sant Andreu",61,"la Sagrera","Nou. Milers d'euros",NA
2018,1,9,"Sant Andreu",62,"el Congrés i els Indians","Nou. Milers d'euros",155.5
2018,1,9,"Sant Andreu",63,"Navas","Nou. Milers d'euros",NA
2018,1,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Nou. Milers d'euros",474.1
2018,1,10,"Sant Martí",65,"el Clot","Nou. Milers d'euros",290
2018,1,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Nou. Milers d'euros",NA
2018,1,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Nou. Milers d'euros",NA
2018,1,10,"Sant Martí",68,"el Poblenou","Nou. Milers d'euros",508
2018,1,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Nou. Milers d'euros",NA
2018,1,10,"Sant Martí",70,"el Besòs i el Maresme","Nou. Milers d'euros",397.9
2018,1,10,"Sant Martí",71,"Provençals del Poblenou","Nou. Milers d'euros",NA
2018,1,10,"Sant Martí",72,"Sant Martí de Provençals","Nou. Milers d'euros",NA
2018,1,10,"Sant Martí",73,"la Verneda i la Pau","Nou. Milers d'euros",NA
2018,1,1,"Ciutat Vella",1,"el Raval","Usat. Milers d'euros",274.1
2018,1,1,"Ciutat Vella",2,"el Barri Gòtic","Usat. Milers d'euros",509.5
2018,1,1,"Ciutat Vella",3,"la Barceloneta","Usat. Milers d'euros",204.6
2018,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Usat. Milers d'euros",312.5
2018,1,2,"Eixample",5,"el Fort Pienc","Usat. Milers d'euros",516.3
2018,1,2,"Eixample",6,"la Sagrada Família","Usat. Milers d'euros",283.4
2018,1,2,"Eixample",7,"la Dreta de l'Eixample","Usat. Milers d'euros",587.6
2018,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Usat. Milers d'euros",326.5
2018,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Usat. Milers d'euros",284.4
2018,1,2,"Eixample",10,"Sant Antoni","Usat. Milers d'euros",290.8
2018,1,3,"Sants-Montjuïc",11,"el Poble Sec","Usat. Milers d'euros",207.9
2018,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Usat. Milers d'euros",NA
2018,1,3,"Sants-Montjuïc",13,"la Marina de Port","Usat. Milers d'euros",149.8
2018,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Usat. Milers d'euros",287.5
2018,1,3,"Sants-Montjuïc",15,"Hostafrancs","Usat. Milers d'euros",208.4
2018,1,3,"Sants-Montjuïc",16,"la Bordeta","Usat. Milers d'euros",122
2018,1,3,"Sants-Montjuïc",17,"Sants - Badal","Usat. Milers d'euros",183
2018,1,3,"Sants-Montjuïc",18,"Sants","Usat. Milers d'euros",228.6
2018,1,4,"Les Corts",19,"les Corts","Usat. Milers d'euros",327.5
2018,1,4,"Les Corts",20,"la Maternitat i Sant Ramon","Usat. Milers d'euros",359.4
2018,1,4,"Les Corts",21,"Pedralbes","Usat. Milers d'euros",989.9
2018,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Usat. Milers d'euros",288.1
2018,1,5,"Sarrià-Sant Gervasi",23,"Sarrià","Usat. Milers d'euros",608
2018,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Usat. Milers d'euros",568.3
2018,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Usat. Milers d'euros",647.5
2018,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Usat. Milers d'euros",626.3
2018,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Usat. Milers d'euros",514.6
2018,1,6,"Gràcia",28,"Vallcarca i els Penitents","Usat. Milers d'euros",231.2
2018,1,6,"Gràcia",29,"el Coll","Usat. Milers d'euros",103.8
2018,1,6,"Gràcia",30,"la Salut","Usat. Milers d'euros",283.1
2018,1,6,"Gràcia",31,"la Vila de Gràcia","Usat. Milers d'euros",345.9
2018,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Usat. Milers d'euros",360.2
2018,1,7,"Horta-Guinardó",33,"el Baix Guinardó","Usat. Milers d'euros",275.1
2018,1,7,"Horta-Guinardó",34,"Can Baró","Usat. Milers d'euros",163.4
2018,1,7,"Horta-Guinardó",35,"el Guinardó","Usat. Milers d'euros",260.6
2018,1,7,"Horta-Guinardó",36,"la Font d'en Fargues","Usat. Milers d'euros",274.5
2018,1,7,"Horta-Guinardó",37,"el Carmel","Usat. Milers d'euros",147.3
2018,1,7,"Horta-Guinardó",38,"la Teixonera","Usat. Milers d'euros",155.5
2018,1,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Usat. Milers d'euros",165.8
2018,1,7,"Horta-Guinardó",40,"Montbau","Usat. Milers d'euros",150
2018,1,7,"Horta-Guinardó",41,"la Vall d'Hebron","Usat. Milers d'euros",220.8
2018,1,7,"Horta-Guinardó",42,"la Clota","Usat. Milers d'euros",NA
2018,1,7,"Horta-Guinardó",43,"Horta","Usat. Milers d'euros",248.3
2018,1,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Usat. Milers d'euros",216.9
2018,1,8,"Nou Barris",45,"Porta","Usat. Milers d'euros",156.5
2018,1,8,"Nou Barris",46,"el Turó de la Peira","Usat. Milers d'euros",119.9
2018,1,8,"Nou Barris",47,"Can Peguera","Usat. Milers d'euros",NA
2018,1,8,"Nou Barris",48,"la Guineueta","Usat. Milers d'euros",163
2018,1,8,"Nou Barris",49,"Canyelles","Usat. Milers d'euros",170.5
2018,1,8,"Nou Barris",50,"les Roquetes","Usat. Milers d'euros",115.8
2018,1,8,"Nou Barris",51,"Verdun","Usat. Milers d'euros",96.8
2018,1,8,"Nou Barris",52,"la Prosperitat","Usat. Milers d'euros",145.9
2018,1,8,"Nou Barris",53,"la Trinitat Nova","Usat. Milers d'euros",93
2018,1,8,"Nou Barris",54,"Torre Baró","Usat. Milers d'euros",NA
