Squad,Tkl,TklW,Def 3rd tk,Mid 3rd tk,Att 3rd tk,Tkl%,Press,Succ,Press%,PressDef 3rd,PressMid 3rd,PressAtt 3rd,Blocks,ShotsBlock,ShSv,Pass,Int,Clr,Err,Rk,W,D,L,GF,GA,GDiff,Pts,Poss,Gls,Ast,PK,PKatt,CrdY,CrdR,G+A,G-PK,G+A-PK,Season
Atlanta,561,352,296,193,72,32.2,3576,972,27.2,1379,1492,705,467,79,2,388,438,500,8,2,21,6,7,70,44,26,69,54.0,1.97,1.26,12,14,60,3,3.24,1.62,2.88,2018
Chicago,584,345,312,213,59,37.7,5854,1368,23.4,2241,2613,1000,447,101,3,346,510,757,13,10,8,8,18,48,61,-13,32,47.7,1.35,0.97,3,4,62,3,2.32,1.26,2.24,2018
Columbus,491,335,263,164,64,35.8,4880,1305,26.7,1648,2107,1125,467,86,1,381,442,598,11,5,14,9,11,43,45,-2,51,52.7,1.21,0.76,6,7,48,3,1.97,1.03,1.79,2018
D.C. United,507,322,283,168,56,33.6,5099,1222,24.0,1987,2058,1054,604,168,2,436,440,808,9,4,14,9,11,60,50,10,51,47.7,1.74,1.32,4,5,42,2,3.06,1.62,2.94,2018
Montreal,572,384,312,199,61,35.6,5702,1485,26.0,2089,2602,1011,388,75,3,313,576,634,14,7,14,4,16,47,53,-6,46,47.6,1.32,0.97,6,6,47,3,2.29,1.15,2.12,2018
New England,584,363,286,224,74,32.6,5640,1497,26.5,1695,2458,1487,502,109,1,393,471,726,13,8,10,11,13,49,55,-6,41,48.5,1.4100000000000001,1.0,3,5,83,4,2.41,1.32,2.32,2018
NY Red Bulls,655,403,270,281,104,33.6,5950,1796,30.2,1776,2738,1436,590,86,2,504,571,742,6,1,22,5,7,62,33,29,71,48.9,1.79,1.44,4,6,54,2,3.24,1.6800000000000002,3.12,2018
NYCFC,589,404,291,215,83,31.6,5000,1457,29.1,1556,2250,1194,484,103,1,381,470,728,7,3,16,8,10,59,45,14,56,58.9,1.6800000000000002,1.03,3,4,61,4,2.71,1.5899999999999999,2.62,2018
Orlando City,615,406,342,184,89,35.9,5053,1350,26.7,1973,2065,1015,440,95,3,345,476,702,10,11,8,4,22,43,74,-31,28,49.9,1.21,0.91,5,7,68,5,2.12,1.06,1.97,2018
Philadelphia,519,352,252,203,64,31.6,4710,1187,25.2,1460,2087,1163,480,94,3,386,484,576,4,6,15,5,14,49,50,-1,50,50.0,1.44,1.03,5,7,60,4,2.47,1.29,2.32,2018
Toronto FC,505,333,245,188,72,32.0,5512,1520,27.6,1789,2485,1238,433,95,1,338,463,619,6,9,10,6,18,59,64,-5,36,53.8,1.71,1.24,5,9,54,4,2.94,1.56,2.79,2018
