Rk,Squad,W,D,L,GF,GA,GDiff,Pts,Poss,MP,Gls,Ast,PK,PKatt,CrdY,CrdR,G+A,G-PK,G+A-PK,Season
1,Toronto FC,20,9,5,74,37,37,69,51.8,34,2.09,1.38,7,11,44,1,3.47,1.88,3.26,2017
2,NYCFC,16,9,9,56,43,13,57,55.2,34,1.65,1.26,4,6,74,3,2.91,1.53,2.79,2017
3,Chicago,16,7,11,61,47,14,55,52.4,34,1.74,1.32,6,7,46,3,3.06,1.56,2.88,2017
4,Atlanta,15,10,9,70,40,30,55,57.6,34,2.03,1.56,4,4,63,5,3.59,1.9100000000000001,3.47,2017
5,Columbus,16,6,12,53,49,4,54,52.0,34,1.56,1.24,4,6,51,4,2.79,1.44,2.68,2017
6,NY Red Bulls,14,8,12,53,47,6,50,56.0,34,1.47,1.12,7,8,71,2,2.59,1.26,2.38,2017
7,New England,13,6,15,53,61,-8,45,45.5,34,1.56,1.12,4,4,54,7,2.68,1.44,2.56,2017
8,Philadelphia,11,9,14,50,47,3,42,45.6,34,1.44,0.9400000000000001,5,7,52,2,2.38,1.29,2.24,2017
9,Montreal,11,6,17,52,58,-6,39,48.2,34,1.53,1.06,6,7,69,7,2.59,1.35,2.41,2017
10,Orlando City,10,9,15,39,58,-19,39,48.0,34,1.15,1.0,0,1,63,11,2.15,1.15,2.15,2017
11,D.C. United,9,5,20,31,60,-29,32,45.3,34,0.79,0.53,2,4,53,3,1.32,0.74,1.26,2017
1,NY Red Bulls,22,5,7,62,33,29,71,48.9,34,1.79,1.44,4,6,54,2,3.24,1.6800000000000002,3.12,2018
2,Atlanta,21,6,7,70,44,26,69,54.0,34,1.97,1.26,12,14,60,3,3.24,1.62,2.88,2018
3,NYCFC,16,8,10,59,45,14,56,58.9,34,1.6800000000000002,1.03,3,4,61,4,2.71,1.5899999999999999,2.62,2018
4,D.C. United,14,9,11,60,50,10,51,47.7,34,1.74,1.32,4,5,42,2,3.06,1.62,2.94,2018
5,Columbus,14,9,11,43,45,-2,51,52.7,34,1.21,0.76,6,7,48,3,1.97,1.03,1.79,2018
6,Philadelphia,15,5,14,49,50,-1,50,50.0,34,1.44,1.03,5,7,60,4,2.47,1.29,2.32,2018
7,Montreal,14,4,16,47,53,-6,46,47.6,34,1.32,0.97,6,6,47,3,2.29,1.15,2.12,2018
8,New England,10,11,13,49,55,-6,41,48.5,34,1.4100000000000001,1.0,3,5,83,4,2.41,1.32,2.32,2018
9,Toronto FC,10,6,18,59,64,-5,36,53.8,34,1.71,1.24,5,9,54,4,2.94,1.56,2.79,2018
10,Chicago,8,8,18,48,61,-13,32,47.7,34,1.35,0.97,3,4,62,3,2.32,1.26,2.24,2018
11,Orlando City,8,4,22,43,74,-31,28,49.9,34,1.21,0.91,5,7,68,5,2.12,1.06,1.97,2018
1,NYCFC,18,10,6,63,42,21,64,57.1,34,1.85,1.26,5,9,79,1,3.12,1.71,2.9699999999999998,2019
2,Atlanta,18,4,12,58,43,15,58,55.5,34,1.62,1.09,8,10,56,1,2.71,1.38,2.47,2019
3,Philadelphia,16,7,11,58,50,8,55,52.9,34,1.6800000000000002,1.24,4,8,59,3,2.91,1.56,2.79,2019
4,Toronto FC,13,11,10,57,52,5,50,54.0,34,1.6800000000000002,1.15,5,7,52,3,2.8200000000000003,1.53,2.68,2019
5,D.C. United,13,11,10,42,38,4,50,47.6,34,1.21,0.74,4,4,49,5,1.94,1.09,1.82,2019
6,NY Red Bulls,14,6,14,53,51,2,48,46.7,34,1.44,1.0,4,5,54,5,2.44,1.32,2.32,2019
7,New England,11,12,11,50,57,-7,45,45.1,34,1.44,1.12,5,7,72,6,2.56,1.29,2.41,2019
8,Chicago,10,12,12,55,47,8,42,48.8,34,1.56,1.09,3,5,62,3,2.65,1.47,2.56,2019
9,Montreal,12,5,17,47,60,-13,41,49.1,34,1.29,0.88,6,6,55,3,2.18,1.12,2.0,2019
10,Columbus,10,8,16,39,47,-8,38,49.0,34,1.09,0.76,4,5,57,1,1.85,0.97,1.74,2019
11,Orlando City,9,10,15,44,52,-8,37,47.9,34,1.29,0.85,3,5,61,3,2.15,1.21,2.06,2019
12,FC Cincinnati,6,6,22,31,75,-44,24,46.5,34,0.85,0.59,4,5,58,4,1.44,0.74,1.32,2019
