,year,country,protesterdemand1,protesterdemand2,participants,freedom,counts
0,1990,Canada,"political behavior, process",labor wage dispute,1000.0,F,1
1,1990,Canada,"political behavior, process",,1000.0,F,1
6,1991,Canada,labor wage dispute,,110000.0,F,1
7,1991,Canada,labor wage dispute,,110000.0,F,1
8,1992,Canada,police brutality,,1000.0,F,1
9,1993,Canada,"political behavior, process",,10000.0,F,1
11,1994,Canada,"political behavior, process",,10000.0,F,1
12,1994,Canada,"price increases, tax policy",,6000.0,F,1
13,1995,Canada,"price increases, tax policy",,3000.0,F,1
15,1996,Canada,"price increases, tax policy",,1000.0,F,1
16,1997,Canada,"political behavior, process",labor wage dispute,126000.0,F,1
17,1997,Canada,labor wage dispute,,45000.0,F,1
18,2000,Canada,"political behavior, process",,2000.0,F,1
23,2005,Canada,"political behavior, process",,170000.0,F,1
26,2007,Canada,"political behavior, process",,1000.0,F,1
28,2009,Canada,"political behavior, process",,12000.0,F,1
30,2010,Canada,"political behavior, process",,1500.0,F,1
32,2012,Canada,"price increases, tax policy",,1000.0,F,1
46,2018,Canada,social restrictions,,1000.0,F,1
50,1994,Cuba,"political behavior, process",,1000.0,NF,1
147,1990,Haiti,police brutality,removal of politician,1000.0,PF,1
148,1990,Haiti,"political behavior, process",,1000.0,PF,1
149,1991,Haiti,"political behavior, process",,1000.0,NF,1
154,1993,Haiti,"political behavior, process",,2500.0,NF,1
159,1994,Haiti,"political behavior, process",,2000.0,PF,1
160,1994,Haiti,"political behavior, process",,1000.0,PF,1
161,1994,Haiti,"political behavior, process",,1000.0,PF,1
162,1994,Haiti,"political behavior, process",,10000.0,PF,1
164,1994,Haiti,"political behavior, process",,1000.0,PF,1
167,1994,Haiti,"political behavior, process",,2000.0,PF,1
172,1997,Haiti,"price increases, tax policy",,1000.0,PF,1
189,2001,Haiti,"political behavior, process",,1000.0,NF,1
190,2002,Haiti,removal of politician,,1000.0,NF,1
191,2002,Haiti,removal of politician,,8000.0,NF,1
192,2002,Haiti,removal of politician,,1000.0,NF,1
193,2002,Haiti,removal of politician,"political behavior, process",1000.0,NF,1
194,2003,Haiti,removal of politician,,1000.0,NF,1
195,2003,Haiti,removal of politician,,1000.0,NF,1
196,2004,Haiti,removal of politician,,1000.0,NF,1
197,2004,Haiti,removal of politician,,4000.0,NF,1
198,2004,Haiti,removal of politician,,15000.0,NF,1
199,2004,Haiti,removal of politician,,10000.0,NF,1
200,2004,Haiti,"political behavior, process",,1000.0,NF,1
202,2004,Haiti,"political behavior, process",,10000.0,NF,1
203,2004,Haiti,"political behavior, process",,1000.0,NF,1
204,2005,Haiti,"political behavior, process",,2000.0,NF,1
205,2005,Haiti,"political behavior, process",,1000.0,NF,1
207,2006,Haiti,"political behavior, process",,10000.0,PF,1
208,2006,Haiti,"political behavior, process",,1000.0,PF,1
210,2007,Haiti,"political behavior, process",,2000.0,PF,1
212,2008,Haiti,"price increases, tax policy",,10000.0,PF,1
215,2010,Haiti,"political behavior, process",,1000.0,PF,1
217,2010,Haiti,"political behavior, process",,1000.0,PF,1
220,2012,Haiti,"political behavior, process",,1000.0,PF,1
222,2012,Haiti,land farm issue,,1000.0,PF,1
223,2013,Haiti,"political behavior, process",,1000.0,PF,1
224,2013,Haiti,"political behavior, process",,1000.0,PF,1
225,2013,Haiti,"price increases, tax policy",,1000.0,PF,1
227,2013,Haiti,"price increases, tax policy","political behavior, process",1000.0,PF,1
228,2013,Haiti,"political behavior, process",,1000.0,PF,1
231,2014,Haiti,"political behavior, process",,2000.0,PF,1
232,2014,Haiti,removal of politician,,1000.0,PF,1
233,2014,Haiti,"political behavior, process",,1500.0,PF,1
234,2014,Haiti,"political behavior, process",,1000.0,PF,1
235,2014,Haiti,"political behavior, process",removal of politician,1000.0,PF,1
236,2014,Haiti,"political behavior, process",removal of politician,1000.0,PF,1
238,2014,Haiti,removal of politician,,1000.0,PF,1
239,2015,Haiti,"political behavior, process",removal of politician,1500.0,PF,1
240,2015,Haiti,"political behavior, process",,4000.0,PF,1
241,2015,Haiti,removal of politician,"price increases, tax policy",1000.0,PF,1
242,2015,Haiti,"political behavior, process",,1000.0,PF,1
244,2016,Haiti,removal of politician,,2000.0,PF,1
247,2017,Haiti,labor wage dispute,,1000.0,PF,1
251,2018,Haiti,"political behavior, process",,10000.0,PF,1
252,2018,Haiti,"political behavior, process",removal of politician,1000.0,PF,1
253,2018,Haiti,"political behavior, process",removal of politician,1000.0,PF,1
254,2019,Haiti,"political behavior, process",removal of politician,1000.0,PF,1
257,2019,Haiti,"political behavior, process",removal of politician,1000.0,PF,1
259,1990,Dominican Republic,"price increases, tax policy",,1000.0,F,1
298,2012,Dominican Republic,"price increases, tax policy","political behavior, process",1000.0,F,1
299,2017,Dominican Republic,"political behavior, process",,10000.0,PF,1
300,2017,Dominican Republic,"political behavior, process",,10000.0,PF,1
301,2017,Dominican Republic,"political behavior, process",,10000.0,PF,1
302,2017,Dominican Republic,"political behavior, process",,10000.0,PF,1
303,2017,Dominican Republic,"political behavior, process",,10000.0,PF,1
304,2017,Dominican Republic,"political behavior, process",,10000.0,PF,1
305,2017,Dominican Republic,"political behavior, process",,10000.0,PF,1
306,2017,Dominican Republic,"political behavior, process",,10000.0,PF,1
307,2017,Dominican Republic,"political behavior, process",,10000.0,PF,1
308,2017,Dominican Republic,"political behavior, process",,10000.0,PF,1
309,2017,Dominican Republic,"political behavior, process",,10000.0,PF,1
310,2017,Dominican Republic,"political behavior, process",,10000.0,PF,1
311,2017,Dominican Republic,"political behavior, process",,10000.0,PF,1
312,2017,Dominican Republic,"political behavior, process",,10000.0,PF,1
313,2017,Dominican Republic,"political behavior, process",,10000.0,PF,1
314,2017,Dominican Republic,"political behavior, process",,10000.0,PF,1
315,2017,Dominican Republic,"political behavior, process",,10000.0,PF,1
316,2017,Dominican Republic,"political behavior, process",,10000.0,PF,1
317,2017,Dominican Republic,"political behavior, process",,10000.0,PF,1
318,2017,Dominican Republic,"political behavior, process",,10000.0,PF,1
319,2017,Dominican Republic,"political behavior, process",,10000.0,PF,1
320,2017,Dominican Republic,"political behavior, process",,10000.0,PF,1
321,2017,Dominican Republic,"political behavior, process",,10000.0,PF,1
322,2017,Dominican Republic,"political behavior, process",,10000.0,PF,1
323,2018,Dominican Republic,"political behavior, process",,10000.0,PF,1
324,2018,Dominican Republic,"political behavior, process",,10000.0,PF,1
325,2018,Dominican Republic,"political behavior, process",,10000.0,PF,1
326,2018,Dominican Republic,social restrictions,,1000.0,PF,1
334,2001,Jamaica,police brutality,,1000.0,F,1
335,2002,Jamaica,"political behavior, process",,1000.0,F,1
339,2003,Jamaica,police brutality,,4000.0,F,1
340,2003,Jamaica,police brutality,,1000.0,F,1
345,2006,Jamaica,police brutality,,3000.0,F,1
358,1990,Mexico,"political behavior, process",,5000.0,PF,1
360,1991,Mexico,"political behavior, process",,20000.0,PF,1
361,1991,Mexico,"political behavior, process",,20000.0,PF,1
364,1992,Mexico,"political behavior, process",,1000.0,PF,1
365,1992,Mexico,"political behavior, process",,10000.0,PF,1
366,1992,Mexico,"political behavior, process",,1000.0,PF,1
367,1992,Mexico,"political behavior, process",,2000.0,PF,1
368,1992,Mexico,"price increases, tax policy",,2000.0,PF,1
369,1993,Mexico,"political behavior, process",,100000.0,PF,1
370,1994,Mexico,"political behavior, process",,1000.0,PF,1
373,1994,Mexico,"political behavior, process",,3000.0,PF,1
374,1994,Mexico,"political behavior, process",,1000.0,PF,1
375,1994,Mexico,"political behavior, process",,1000.0,PF,1
376,1994,Mexico,"political behavior, process",,2000.0,PF,1
379,1994,Mexico,"political behavior, process",,10000.0,PF,1
380,1994,Mexico,"political behavior, process",,10000.0,PF,1
381,1994,Mexico,"political behavior, process",,8000.0,PF,1
384,1995,Mexico,"political behavior, process",,30000.0,PF,1
386,1995,Mexico,"political behavior, process",,100000.0,PF,1
388,1995,Mexico,"political behavior, process",,70000.0,PF,1
392,1996,Mexico,"political behavior, process",,1000.0,PF,1
393,1996,Mexico,"political behavior, process",,1000.0,PF,1
395,1996,Mexico,"political behavior, process",,1000.0,PF,1
397,1996,Mexico,"political behavior, process",,1500.0,PF,1
398,1997,Mexico,"political behavior, process",,20000.0,PF,1
399,1997,Mexico,"political behavior, process",,10000.0,PF,1
400,1997,Mexico,"political behavior, process",police brutality,10000.0,PF,1
401,1998,Mexico,"political behavior, process",,1000.0,PF,1
402,1998,Mexico,police brutality,"political behavior, process",80000.0,PF,1
404,1998,Mexico,"political behavior, process",,10000.0,PF,1
406,1998,Mexico,"political behavior, process",,1000.0,PF,1
407,1998,Mexico,removal of politician,,10000.0,PF,1
409,1999,Mexico,"political behavior, process",,10000.0,PF,1
410,1999,Mexico,"political behavior, process",,1000.0,PF,1
413,2000,Mexico,labor wage dispute,,1000.0,F,1
415,2000,Mexico,labor wage dispute,,2000.0,F,1
418,2000,Mexico,labor wage dispute,,1000.0,F,1
422,2001,Mexico,"political behavior, process",,100000.0,F,1
423,2001,Mexico,"political behavior, process",,1000.0,F,1
424,2002,Mexico,land farm issue,,1000.0,F,1
425,2003,Mexico,"political behavior, process",,10000.0,F,1
427,2004,Mexico,"political behavior, process",,200000.0,F,1
428,2004,Mexico,"political behavior, process",,200000.0,F,1
429,2004,Mexico,"political behavior, process",,1000.0,F,1
430,2005,Mexico,"political behavior, process",,100000.0,F,1
431,2005,Mexico,"political behavior, process",,750000.0,F,1
432,2006,Mexico,"political behavior, process",,90000.0,F,1
434,2006,Mexico,labor wage dispute,removal of politician,70000.0,F,1
435,2006,Mexico,"political behavior, process",,150000.0,F,1
436,2006,Mexico,"political behavior, process",,400000.0,F,1
437,2006,Mexico,"political behavior, process",,1000000.0,F,1
438,2006,Mexico,"political behavior, process",,1000.0,F,1
439,2007,Mexico,"price increases, tax policy",,10000.0,F,1
440,2007,Mexico,"political behavior, process",,1000.0,F,1
442,2007,Mexico,"political behavior, process",,1000.0,F,1
444,2008,Mexico,"political behavior, process",,10000.0,F,1
445,2008,Mexico,"political behavior, process",,1000.0,F,1
446,2008,Mexico,"political behavior, process",,10000.0,F,1
448,2009,Mexico,"political behavior, process",,1000.0,F,1
451,2009,Mexico,"political behavior, process",labor wage dispute,1000.0,F,1
453,2011,Mexico,"political behavior, process",,1000.0,PF,1
454,2011,Mexico,"political behavior, process",,10000.0,PF,1
455,2012,Mexico,police brutality,,1500.0,PF,1
459,2013,Mexico,labor wage dispute,,1000.0,PF,1
460,2014,Mexico,"political behavior, process",,1000.0,PF,1
462,2014,Mexico,"political behavior, process",,1000.0,PF,1
463,2014,Mexico,labor wage dispute,,1000.0,PF,1
465,2014,Mexico,police brutality,,1000.0,PF,1
467,2014,Mexico,police brutality,,1000.0,PF,1
469,2014,Mexico,police brutality,"political behavior, process",1000.0,PF,1
470,2014,Mexico,police brutality,"political behavior, process",1000.0,PF,1
471,2014,Mexico,police brutality,"political behavior, process",1000.0,PF,1
474,2014,Mexico,police brutality,"political behavior, process",1000.0,PF,1
479,2015,Mexico,"political behavior, process",,1000.0,PF,1
487,2015,Mexico,"political behavior, process",,50000.0,PF,1
490,2016,Mexico,"political behavior, process",,1000.0,PF,1
491,2016,Mexico,removal of politician,,1000.0,PF,1
492,2016,Mexico,"political behavior, process",,2000.0,PF,1
493,2017,Mexico,"price increases, tax policy",,1500.0,PF,1
494,2017,Mexico,removal of politician,"political behavior, process",11000.0,PF,1
500,1990,Guatemala,police brutality,,1000.0,PF,1
501,1991,Guatemala,"price increases, tax policy",labor wage dispute,2000.0,PF,1
503,1993,Guatemala,"price increases, tax policy",labor wage dispute,1000.0,PF,1
504,1993,Guatemala,"price increases, tax policy",labor wage dispute,10000.0,PF,1
506,1994,Guatemala,"price increases, tax policy",,1000.0,PF,1
