country,year,counts,participants
Afghanistan,1991,1,2000.0
Afghanistan,1997,1,2000.0
Afghanistan,1998,1,2000.0
Afghanistan,2011,1,10000.0
Afghanistan,2012,1,1500.0
Afghanistan,2014,2,8000.0
Afghanistan,2015,3,4000.0
Afghanistan,2016,2,5500.0
Afghanistan,2017,2,1500.0
Afghanistan,2018,1,5000.0
Albania,1990,3,6667.0
Albania,1991,6,10000.0
Albania,1992,2,10500.0
Albania,1993,1,20000.0
Albania,1994,1,2500.0
Albania,1996,1,1000.0
Albania,1997,10,11550.0
Albania,1998,2,3000.0
Albania,2000,1,1000.0
Albania,2010,4,3250.0
Albania,2011,3,46667.0
Albania,2013,2,2000.0
Albania,2017,2,2000.0
Albania,2018,9,12000.0
Albania,2019,5,1000.0
Algeria,1990,2,22500.0
Algeria,1991,1,10000.0
Algeria,1992,3,45667.0
Algeria,1997,1,1000.0
Algeria,1998,1,1000.0
Algeria,2001,4,202500.0
Algeria,2011,1,10000.0
Algeria,2013,1,1000.0
Algeria,2014,1,1000.0
Algeria,2015,2,1500.0
Algeria,2017,1,1000.0
Algeria,2019,13,102769.0
Angola,1994,1,1000.0
Angola,2001,1,1000.0
Angola,2003,1,1000.0
Angola,2004,1,10000.0
Angola,2005,1,10000.0
Angola,2006,1,6000.0
Angola,2012,1,1000.0
Argentina,1990,6,11583.0
Argentina,1991,2,2500.0
Argentina,1992,2,35500.0
Argentina,1993,2,3000.0
Argentina,1994,3,5167.0
Argentina,1995,1,2500.0
Argentina,1996,4,34250.0
Argentina,1997,3,5333.0
Argentina,1999,2,5500.0
Argentina,2000,2,1000000.0
Argentina,2001,9,6222.0
Argentina,2002,6,1000.0
Argentina,2003,2,8500.0
Argentina,2004,5,40400.0
Argentina,2006,1,1000.0
Argentina,2008,5,62600.0
Argentina,2009,1,1000.0
Argentina,2010,2,3500.0
Argentina,2012,1,10000.0
Argentina,2013,1,3000.0
Argentina,2015,3,40000.0
Argentina,2016,1,10000.0
Argentina,2017,5,26200.0
Argentina,2018,4,1000.0
Armenia,1990,1,150000.0
Armenia,1991,1,10000.0
Armenia,1992,1,400000.0
Armenia,1993,1,100000.0
Armenia,1994,5,28200.0
Armenia,1995,5,13400.0
Armenia,1996,2,100000.0
Armenia,1997,5,13000.0
Armenia,2000,3,6667.0
Armenia,2001,2,7500.0
