,index,protest_count,participants
0,1990,327,23971.0
1,1991,221,45619.0
2,1992,204,47143.0
3,1993,148,24581.0
4,1994,188,38029.0
5,1995,164,37247.0
6,1996,208,45688.0
7,1997,253,31536.0
8,1998,228,21580.0
9,1999,183,25319.0
10,2000,231,41657.0
11,2001,200,26648.0
12,2002,222,56457.0
13,2003,217,74591.0
14,2004,208,39480.0
15,2005,216,35202.0
16,2006,216,53025.0
17,2007,198,27075.0
18,2008,180,20649.0
19,2009,180,40703.0
20,2010,182,33232.0
21,2011,310,15393.0
22,2012,247,31915.0
23,2013,250,27256.0
24,2014,218,21614.0
25,2015,278,25983.0
26,2016,210,20397.0
27,2017,214,89390.0
28,2018,301,13705.0
29,2019,97,61713.0
