,State,Severity 4,Severity 3,Severity 2,Severity 1
0,FL,7422,71631,144622,71.0
1,GA,6595,42393,34605,27.0
2,CA,6388,211189,445381,246.0
3,NY,5421,49968,82388,22.0
4,OH,4973,17057,33817,16.0
5,MI,4721,31361,52583,29.0
6,PA,4718,17862,67778,37.0
7,MD,4669,18341,20285,33.0
8,VA,4623,32750,42556,28.0
9,TX,3448,79467,215027,120.0
10,CO,3185,15699,21235,5.0
11,AZ,3058,12003,47248,21.0
12,IL,2768,24706,58901,15.0
13,NJ,2753,13904,33264,21.0
14,WA,2680,21129,37528,30.0
15,IN,2492,8826,18705,17.0
16,WI,2460,6182,8937,1.0
17,OR,2379,6921,61538,2.0
18,NC,2332,18837,121261,30.0
19,CT,1681,10455,10650,17.0
20,TN,1468,18275,38526,20.0
21,MO,1439,15090,12476,7.0
22,UT,1191,10301,29890,3.0
23,SC,944,31366,114339,40.0
24,LA,901,9887,41674,19.0
25,IA,837,4828,4678,3.0
26,KY,760,8927,9428,7.0
27,DE,574,400,3457,3.0
28,AL,514,11931,23906,18.0
29,WV,454,467,1352,1.0
30,AR,450,439,860,0.0
31,NV,430,3043,6050,1.0
32,OK,411,4677,46194,15.0
33,DC,403,867,2382,1.0
34,KS,379,3246,3262,0.0
35,MN,353,25348,37017,9.0
36,NM,327,1917,2775,1.0
37,MS,270,2373,3317,1.0
38,NE,255,3370,18868,12.0
39,MA,253,12839,19907,15.0
40,ID,195,189,1373,0.0
41,WY,187,176,129,0.0
42,NH,166,1232,5664,2.0
43,MT,106,135,263,0.0
44,RI,102,5418,4963,0.0
45,ME,97,68,1899,1.0
46,VT,59,111,414,1.0
47,SD,35,8,17,0.0
48,ND,11,11,21,0.0
